line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
82,tram,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Lindenstr. Ecke Hegelschule - Pionierpark - Wilhelminenhofstr. Ecke Edisonstr. - Heinrich-Duncker-Str. Ecke Ehrlichstr. - Kraftwerk Klingenberg - S-Bhf. Ostkreuz - Stralauerallee Ecke Markgrafendamm - Warschauerstr. - Ostbahnhof - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Invalidenstr. - Chausseestr. - Walter-Ulbricht-Stadion",20,88,,1964,east,
A82P,autobus,Kinderheim - Friedrich-Junge-Str. - Markgrafendamm,20,5,,1964,east,
83,tram,Wendenschloß Ecke Ekhofstr. - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstr. Ecke Bahnhofstr. - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rahnsdorferstr. - S-Bhf. Mahlsdorf,20,44,,1964,east,
84,tram,"Am Falkenberg - Altglienicke, Kirche - S-Bhf. Adlershof - S-Bhf. Spindlersfeld - Luisenhain - Bahnhofstr. Ecke Lindenstr. - Seelenbinderstr. Ecke Bahnhofstr. - Hirschgarten - S-Bhf. Friedrichshagen - Bölschestr., Brauerei - Friedrichshagen, Wasserwerk",10,57,,1964,east,
85,tram,"Wendenschloß - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstr. Ecke Hegelschule - Parkstr. - Edisonstr. - Bhf. Schöneweide - Johannisthal, Haeckelstr.",20,42,,1964,east,
86,tram,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Grünstr. - Lindenstr. Ecke Bahnhofstr. - S-Bhf. Köpenick - Hirtestr. - Mahlsdorf-Süd, Hubertus",20,43,,1964,east,
87,tram,"Rahnsdorf - S-Bhf. Friedrichshagen - Bölschestr., Brauerei - Hirschgarten - Seelenbinderstr. Ecke Bahnhofstr. - Bahnhofstr. Ecke Lindenstr. - Parkstr. - Wilhelminenhofstr. Ecke Edisonstr. - Bhf. Schöneweide - Kali-Chemie - Köpenicker Landstr. Ecke Baumschulenstr. - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstr. - Wiener Brücke",20,67,,1964,east,
92,tram,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstr. - S-Bhf. Baumschulenweg - Sonnenallee Ecke Baumschulenstr.",15,18,,1964,east,
95,tram,Krankenhaus Köpenick - Lindenstr. Ecke Hegelschule - Parkstr. - Edisonstr. - Bhf. Schöneweide - Kali-Chemie - Baumschulenstr. - S-Bhf. Plänterwald - Elsenstr. - Wiener Brücke,20,47,,1964,east,
A22,autobus,"Hessenwinkel, Lindenstr. - Fahlenbergstr. Ecke Fürstenwalderallee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,27,,1964,east,
A23,autobus,"Falkenhöhe - S-Bhf. Altglienicke - Normannenstr. - Wolfmarsteig - Schönefelderchaussee - Altglienicke, Kirche",20,20,,1964,east,
A26,autobus,VEB Bautransporte - Bhf. Schöneweide,15,5,,1964,east,
A27,autobus,"S-Bhf. Kaulsdorf, Planitzstr. - Chemnitzerstr. Ecke Alt-Kaulsdorf - Ulmenstr. - Wongrowitzerstr. - S-Bhf. Köpenick - Bahnhofstr. Ecke Lindenstr. - Köpenick, Krankenhaus - Müggelseeperle - Müggelheim",10,43,,1964,east,
A36,autobus,"Zentralflughafen - Schönefeld, Kirche - Gartenstr. - S-Bhf. Grünbergallee - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",20,21,,1964,east,
A39,autobus,"Wartenberg, Siedlung - Wartenberg, Dorfstr. - Falkenbergerchaussee - Kolonie ""land In Sonne"" - Hohenschönhausen, Falkenbergerstr.",15,13,,1964,east,
A42,autobus,"Buch, Kiesgruben - Karowerstr., Alt-Buch - Strasse 78 - Alt-Karow - Güteraußenring - Blankenburg, Bahnhofstr. - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze)",10,31,,1964,east,
A43,autobus,"Bürknersfelde - Marzahn, Berlinerchaussee - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde - Weitlingstr. - S-Bhf. Nöldnerplatz",20,23,,1964,east,
A44,autobus,"Hönow, Dorfstr. - Greifswalderstr. - Am Rosenhag - S-Bhf. Mahlsdorf",13,13,,1964,east,
A44E,autobus,Greifswalderstr. - Am Rosenhag - S-Bhf. Mahlsdorf,10,7,,1964,east,
A45,autobus,"Wilhelmsruh, Fontanestr. - Hauptstr. Ecke Edelweißstr. - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - Prenzlauer Promenade Ecke Kissingenstr. - Am Steinberg - Hamburgerplatz - Pistoriusstr. Ecke Klement-Gottwald-Allee - Lichtenbergerstr. Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee Ecke Rennbahnstr. - Weißensee, Schwarzelfenweg",15,38,,1964,east,
A46,autobus,"Ahrensfeld, Kirche - Lpg Falkenberg - Strasse nach Wartenberg - Malchowerweg - Buschallee Ecke Klement-Gottwald-Alle - Klement-Gottwald-Allee Ecke Rennbahnstr. - Feldtmannstr. - Malchow, Dorfstr.",15,30,,1964,east,
A47,autobus,"Bhf. Schöneweide - Sterndamm - Johannisthalerchaussee - Baumschulenstr. Ecke Südostallee - S-Bhf. Baumschulenweg - Eichbuschallee - Treptow, Rathaus - S-Bhf. Treptower Park",10,26,,1964,east,
A48,autobus,Bhf. Schöneweide - Königsheideweg - Lindhorstweg - Stubenrauchstr. - Lindhorstweg - Königsheideweg - Bhf. Schöneweide,5,17,,1964,east,
A49,autobus,"Kaulsdorf, Bausdorfstr. - Ridbacherstr. - Grottkauerstr. - Uckermarkstr. - Kaulsdorf, Bausdorfstr.",20,14,,1964,east,
A54,autobus,Storkowerstr. Ecke Greifswalderstr. - S-Bhf. Lenninallee - Dimitroffstr. Ecke Leninallee,10,7,,1964,east,
A55,autobus,"Wilhelmsruh, Fontanestr. - Hauptstr. Ecke Edelweißstr. - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade Ecke Granitzstr. - Heinersdorf, Kirche - Am Steinberg - Hamburgerplatz - Gustav-Adolf-Str. Ecke Rennbahnstr. - Große Seestr. Ecke Klement-Gottwald-Allee - Weißensee, Liebermannstr. Ecke Piesporterstr.",16,39,,1964,east,
A56,autobus,"Weißensee, Nüßlerstr. - Rennbahnstr. Ecke Gustav-Adolf-Str. - Hamburgerplatz - Prenzlauer Promenade - Wicherstr. Ecke Prenzlauerallee",15,13,,1964,east,
A57,autobus,Kniprodestr. Ecke Ermländischestr. - Dimitroffstr. - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstr. - Bhf. Friedrichstr. - Schumannstr. - Robert-Koch-Platz,7,24,,1964,east,
A58,autobus,"Fontanestr. - Wilhelmsruh, Hauptstrasee - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",16,18,,1964,east,
A59,autobus,Walther-Ulbricht-Stadion - Invalidenstr. - Oranienburger Tor - Bhf. Friedrichstr. - Französischestr. - U-Bhf. Stadtmitte - U-Bhf. Thälmannplatz,7,12,,1964,east,
A7,autobus,"Glienicke, Kirche - Elsässerstr. - Schildow, Kirche - Blankenfelde, Hauptstr. - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastr.",12,34,,1964,east,
A7E,autobus,"Schildow, Kirche - Blankenfelde, Hauptstr. - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastr.",11,23,,1964,east,
A8,autobus,"Waldesruh, Malhlsdorferallee - Fichtestr. Ecke Schopenhauerstr. - Hultschinerdamm - Sadowastr. - Chemnitzer Ecke Ulmenstr. - Alt-Biesdorf, Oberfeldstr. - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,33,,1964,east,
