line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
19,autobus,Grunewald Roseneck - Teplitzerstr. - Richard-Straußstr. - Koenigsallee/Hagenplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrichstr. - Lehninerplatz - U-Bhf. Adenauerplatz - Olivaerplatz/Leibnizstr. - Bleibtreustr. - U-Bhf. Uhlandstr. - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburgerstr. - U-Bhf. Wittenbergplatz - Martin-Lutherstr. - U-Bhf. Nollendorfplatz - Potsdamerstr. - Goebenstr. - U-Bhf. Yorckstr. - Großbeerenstr. - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1982,west,
2,autobus,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstr. - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestr. - Bismarckstr. - Lauenburgerplatz - Bergstr. - Selerweg - Steglitzerdamm - Munsterdamm - Albrechtstr. - Leonorenstr. - Rathaus Lankwitz - Lankwitz, Kirche - Hildburghauserstr. - Waldsassenerstr. - Marienfelde, Waldsassenerstr.",7,36,,1982,west,
20,autobus,Tegelort - Falkenplatz - Heiligenseestr./Gabelung - Schulzendorferweg - Karolinenstr. - Gabrielenstr. - Alt-Tegel/U-Bhf. Tegel - Gorkistr. - Ziekowstr. - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Lübars Alt-Lübars,15,41,,1982,west,
21,autobus,Quickbornerstr. Märkisches Viertel - Wilhelmsruherdamm - Schorfheidestr. - Wilhelmsruherdamm/Dannenwalderweg - Oranienburgerstr. - Alt-Wittenau - Rathaus Reinickendorf - Breitenbachstr. - U-Bhf. Scharnweberstr. - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstr./Drk-Krankenhaus - Landgericht - Luisenplatz - Bismarckstr. - Kantstr. - Amtsgericht Charlottenburg - Kurfürstendamm - Westfälischestr. - Rudolstädterstr. - Berlinerstr. - Fehrbellinerplatz,20,63,,1982,west,
22,autobus,U-Bhf. Osloerstr. - Ritterlandweg - Pankowerallee - Emmentalerstr. - Lindauerallee - Aroserallee - Roedernallee/Paracelsus-Bad - Tessenowstr. - Am Nordgraben - Dannenwalderweg - Wilhelmsruherdamm - Gemeinde-Zentrum - Märkisches Zentrum - Wesendorferstr. - Senftenberger Ring-Ost - Senioren-Zentrum - Calauerstr. - Eichhorsterweg - Lübarserstr. - Hermsdorferstr. - Zabel-Krüger-Damm - Waidmannslust Titiseestr.,15,37,,1982,west,
23,autobus,"Zoo, Hardenbergplatz - Jebensstr./Amerikahaus - Steinplatz - U-Bhf. Ernst-Reuther-Platz - U-Bhf. Hansaplatz - Gotzkowskystr. - Hutten-/Turmstr. - Wittstockerstr. - Sickingen-/Siemensstr. - Seestr. - Hüttigpfad - Friedrich-Olbricht-Damm - Heckerdamm - Kurt-Schumacher-Damm - U-Bhf. Halemweg - Goebelplatz - Quellweg - U-Bhf. Rohrdamm - Saatwinklerdamm Mäkeritzwiesen",15,50,,1982,west,
24,autobus,Moabit Wiebestr. - Huttenstr. - Reuchlinstr. - Waldstr./Beusselstr. - Rathaus Tiergarten - U-Bhf. Turmstr. - Krankenhaus Moabit - Wilsnackerstr. - Rathenowerstr. - Alt-Moabit - Schloß Bellevue - Tiergartenstr. - Lützowplatz - Magdeburgerplatz - Potsdamerstr. - Askanischerplatz - Großbeerenstr. - U-Bhf. Hallesches Tor - U-Bhf. Gneisenaustr. - Columbiadamm - Platz der Luftbrücke,15,43,,1982,west,
25,autobus,Britz-Süd - Fritz-Erler-Allee - Kormoranweg - Grünerweg - Buschkrugallee - U-Bhf. Parchimerallee - Britzerdamm - Gradestr. - Karl-Elsasserstr. - Gottlieb-Dunkelstr. - Teilestr. - Wenckebachstr. - U-Bhf. Ullsteinstr. - Attilaplatz - Alboinstr. - Röblingstr./Arnulfstr. - Priesterweg - Prellerweg - Auguste-Viktoria-Krankenhaus - Grazerplatz - Rubensstr. - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,15,39,,1982,west,
28,autobus,U-Bhf. Tempelhof - Boelckestr. - Werner-Voß-Damm - Loewenhardtdamm - Dudenstr. - Kreuzbergstr. - Yorckstr./Rathaus Kreuzberg - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustr./Zossenerstr. - U-Bhf. Südstern - Urbanstr. - Geibelstr. - Wilmsstr. - U-Bhf. Prinzenstr./Gitschinerstr. - U-Bhf. Kottbusser Tor - Oranienstr. - Mariannenplatz - Köpenickerstr. - U-Bhf. Schlesisches Tor - Falckensteinstr. - Schlesischestr. Ecke Heckmannufer,15,44,,1982,west,
29,autobus,"Grunewald, Roseneck - Teplitzerstr. - Franzensbaderstr./Sportplatz - Bismarckplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrichstr. - Lehninerplatz - U-Bhf. Adenauerplatz - Olivaerplatz/Leibnizstr. - Bleibtreustr. - U-Bhf. Uhlandstr - U-Bhf. Kurfürstendamm - U-Bhf. Wittenbergplatz - An der Urania - Kurfürstenstr. - Lützowplatz - Kluckstr. - Potsdamer Brücke - Askanischerplatz - Friedrichstr./U-Bhf. Kochstr. - Lindenstr. - Alte Jakobstr. - Alexandrinenstr. - U-Bhf. Moritz-Platz - Oranienplatz",10,45,,1982,west,
