line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
A,u-bahn,Pankow (Vinetastr.) - Schönhauserallee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte (Mohrenstr.) - Thälmannplatz,5.0,19.0,7.5,1965,east,
E,u-bahn,Alexanderplatz - Schillingstr. - Strausbergerplatz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Frankfurterallee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5.0,16.0,7.1,1965,east,
1,tram,"Adalbertstr. Ecke Köpenickerstr. - Ostbahnhof - U-Bhf. Strausbergerplatz - Leninplatz - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Invalidenstr. Ecke Brunnenstr. - Chausseestr. Ecke Invalidenstr. - Walter-Ulbricht-Stadion",20.0,27.0,7.3,1965,east,
A1P,autobus,"Köpenickerstr. Ecke Adalbertstr. - S-Bhf. Jannowitzbrücke - Alexanderplatz, Grunerstr.",10.0,6.0,2,1965,east,
3,tram,Revalerstr. (s-Bhf. Warschauerstr.) - Kopernikusstr. - Boxhagenerstr. - Bhf. Frankfurterallee - Roederplatz - Hohenschönhauserstr. - Omnibus Bhf. Lichtenbergerstr. - Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - Schönhauserallee - Björnsonstr.,12.0,43.0,11.4,1965,east,
4,tram,Revalerstr. (s-Bhf. Warschauerstr.) - Grünbergerstr. Ecke Warschauerstr. - Frankfurter Tor - Bersarinplatz - Leninallee Ecke Dimitroffstr. - Kniprodestr. Ecke Dimitroffstr. - Greifswalderstr. Ecke Dimitroffstr. - Prenzlauerallee Ecke Dimitroffstr. - U-Bhf. Dimitroffstr. - Eberswalderstr.,12.0,23.0,6.2,1965,east,
11,tram,"Heinrich-Heine-Str. Ecke Schmidstr. - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Brunnenstr. Ecke Invalidenstr. - Invalidenstr. Ecke Chausseestr. - Oranienburger Tor - Clara-Zetkin-Str. Ecke Friedrichstr. - Am Kupfergraben",20.0,27.0,6.2,1965,east,
13,tram,Hönower Wiesenweg Ecke Blockdammweg - Kraftwerk Klingenberg - S-Bhf. Rummelsburg - Holteistr. Ecke Boxhagenerstr. - Frankfurter Tor - Bersarinplatz - Leninallee Ecke Dimitroffstr. - Kniprodestr. Ecke Dimitroffstr. - Greifswalderstr. Ecke Dimitroffstr. - Prenzlauerallee Ecke Dimitroffstr. - U-Bhf. Dimitroffstr. - Oderbergerstr. Ecke Eberswalderstr.,14.0,38.0,10.3,1965,east,
22,tram,"Rosenthal, Hauptstr. - Nordendstr. - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Rosenthalerplatz - Alexanderplatz, Memhardstr. - S-Bhf. Jannowitzbrücke",12.0,46.0,11.5,1965,east,
46,tram,"Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Brunnenstr. Ecke Invalidenstr. - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",5.0,47.0,11.8,1965,east,
