line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
10 SEV,autobus,"Marzahn, Betriebshof - Marzahn, Kirche - Rebhuhnweg - Bruno-Baum-Str. - S-Bhf. Marzahn - Franz-Stenzer-Str.",60,9,,1984,east,
11,tram,"Elisabethstr. - Alt-Marzahn - Bruno-Leuschner-Str. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Genslerstr. - Zechlinerstr. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr. - Krankenhaus Friedrichshain - Leninplatz - Hans-Beimler-Str. - U-Bhf. Rosa-Luxemburg-Platz - Rosenthalerplatz - Veteranenstr. - Invalidenstr., Post - Stadion Der Weltjugend - Pflugstr.",10,56,,1984,east,
12,tram,"Marzahn, Henneckestr. - Otto-Winzer-Str. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Genslerstr. - Zechlinerstr. - Ho-Chi-Minh-Str. - Leninallee - Herzbergstr. - Rathaus Lichtenberg - Bhf. Frankfurterallee - Scharnweberstr.",20,35,,1984,east,
13,tram,Eberswalderstr. - U-Bhf. Dimitroffstr. - Prenzlauerallee - Greifswalderstr. - Bötzowstr. - Artur-Becker-Str. - Leninallee - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistr. - Hauptstr. - Veb Gummiwerke - Heizkraftwerk - Hönower Wiesenweg,10,40,,1984,east,
14,tram,"Marzahn, Henneckestr. - Otto-Winzer-Str. - Bruno-Baum-Str. - S-Bhf. Marzahn - Bwf Marzahn - Rhinstr. - Genslerstr. - Zechlinerstr. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr.",20,31,,1984,east,
15,tram,Bhf. Berlin-Lichtenberg - Straßenbahn-Betriebshof - Josef-Orlopp-Str. - Herzbergstr. - Ho-Chi-Minh-Str. - Franz-Jacob-Str. - S-Bhf. Leninallee - Dimitroffstr.,20,21,,1984,east,
17,tram,Besarinstr. - S-Bhf. Leninallee - Franz-Jacob-Str. - Herzbergstr. - Siegfriedstr. - Allee Der Kosmonauten - S-Bhf. Friedrichsfelde Ost - Straße Der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstr. - Bhf. Schöneweide - Königsheideweg - Haeckelstr.,12,56,,1984,east,
18,tram,"Henneckestr. - Otto-Winzer-Str. - Bruno-Leuschner-Str. - Alt-Marzahn - Elisabethstr. - Marchwitzastr. - S-Bhf. Springpfuhl - Rhinstr. - Siegfriedstr. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr. - Krankenhaus Friedrichshain - Leninplatz - Hans-Beimler-Str. - U-Bhf. Rosa-Luxemburg-Platz - Rosenthalerstr. - Veteranenstr. - Invalidenstr., Post - Stadion Der Weltjugend - Pflugstr.",20,58,,1984,east,
18E,tram,Henneckestr. - Alt-Marzahn - Elisabethstr. - Marchwitzastr. - S-Bhf. Springpfuhl - Rhinstr. - Siegfriedstr. - Ho-Chi-Minh-Str. - S-Bhf. Leninallee - Dimitroffstr.,10,34,,1984,east,
19,tram,"Köpenick, Krankenhaus - Wendenschloßstr. - Freiheit - Bahnhof-/lindenstr. - Pionierpark - Rathenaustr. - Edisonstr. - Bhf. Karlshorst - U-Bhf. Tierpark - Straße Der Befreiung - S-Bhf. Friedrichsfelde Ost - Allee Der Kosmonauten - Herzberg-/siegfriedstr. - Ho-Chi-Minh-Str. - Franz-Jacob-Str. - S-Bhf. Leninallee - Dimitroffstr.",20,65,,1984,east,
20,tram,Bhf. Lichtenberg - Straßenbahn-Betriebshof - Josef-Orlopp-Str. - Herzbergstr. - Ho-Chi-Minh-Str. - Leninallee - Hohenschönhauserstr. - Omnibus-Betriebshof - Klement-Gottwald-Allee - Antonplatz - Roelckestr. - Wisbyerstr. - S-Bhf. Prenzlauerallee - Dimitroffstr. - Knaackstr. - Wilhelm-Pieck-Str. - U-Bhf. Rosa-Luxemburg-Platz - Hackerscher Markt,20,50,,1984,east,
21,tram,"Eberswalderstr. - U-Bhf. Dimitroffstr. - Prenzlauerallee - Greifswalderstr. - Bötzowstr. - Artur-Becker-Str. - Leninallee - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistr. - Hauptstr. - Veb Gummiwerke - Heizkraftwerk - Hönower Wiesenweg - Stechlinstr. - Hermann-Duncker-Str. - Wilhelminenhofstr. - Rathenaustr. - Pionierpark - Bahnhof-/lindenstr. - Schloßplatz - Wendenschloßstr. - Köpenick, Krankenhaus",20,71,,1984,east,
22,tram,"Rosenthal, Quickbornerstr. - Hauptstr. - Siedlung - Kastanienallee - Nordendstr. - Uhlandstr. - Platanenstr. - Skladanowskystr. - Kurt-Fischer-Platz - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bornholmerstr. - Björnsonstr. - Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Zionskirchplatz - Brunnenstr. - Invalidenstr., Post - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",15,50,,1984,east,
23,autobus,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstr. - Wolfmarsteig - Schönefelderchaussee - Altglienicke, Kirche - Glienickerweg - Veb Berlin-Chemie - Dörpfeldstr. - S-Bhf. Adlershof - Rudowerchaussee",20,28,,1984,east,
