line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
27,tram,"Neukölln, Hermannplatz - U-Bhf. Boddinstrasse - Bhf. Hermannstrasse - Gradestrasse - Mariendorfer Allee - Buckow, Alt-Buckow",10,26,,1956,unified,
28,tram,"Tegelort, Kurzestrasse - Falkenplatz - Gabelung - Ruppiner Chaussee Ecke Karolinenstrasse - Alt-Tegel Ecke Schloßstrasse - Bernauerstrasse Ecke Berlinerstrasse - Eichenborndamm, Sportplatz Reinickendorf - Kurt-Schumacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Reinickendorferstrasse Ecke Schulstrasse - Uferstrasse Ecke Exerzierstrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenesrstrasse Ecke Brunnenstrasse",20,59,,1956,unified,
29,tram,"Heiligensee, Dorfaue - Hennigsdorferstrasse Ecke Heiligensee - Gabelung - Ruppiner Chaussee Ecke Karolinenstrasse - Alt-Tegel Ecke Schloßstrasse - Bernauerstrasse Ecke Berlinerstrasse - Eichborndamm, Sportplatz Reinickendorf - Kurt-Schumacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Reinickendorferstrasse Ecke Schulstrasse - Uferstrasse Ekce Exerziestrasse - Pankstrasse/Prinzenallee - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse",20,57,,1956,unified,
35,tram,"Siemensstradt, Nonnendammallee - Wernerwerk - Bhf. Jungfernheide - Tauroggenerstrasse Ecke Osnabrückerstrasse - Wiebestrasse Ecke Huttenstrasse - Gotzkowskystrasse Ecke turmstrasse - Turmstrasse Ecke Stromstrasse - Rathenowerstrasse Ecke Perlebergstrasse - Weddingplatz, Müllerstrasse - Nettelbeckplatz - Schulstrasse Ecke Reinickendorferstrasse - Oskarplatz - Pankowerallee Ecke Residenzstrasse - Residenzstrasse Ecke Alt-Reinickendorf - Graf-Roedern-Allee Ecke Alt-Reinickendorf - Reinickendorf, Teichstrasse Ecke Humboldtstrasse",15,48,,1956,unified,
36,tram,"Bhf. Wilhelmsruh - Residenzstrasse Ecke Alt-Reinickendorf - Pankower Allee, Schäfersee - Pankower Allee, Strassenbahnhof - Pankower Allee Ecke Provinzstrasse - Osloerstrasse Ecke Kolonie-Drontheim - Schwedenstrasse/Uferstrasse - Pankstrasse Ecke Badstrasse - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse",15,20,,1956,unified,
40,tram,"Dahlem, Clayallee - Pacelliallee/Thielallee - U-Bhf. Dahlem-Dorf - Podbielskiallee (Botanischer Garten) - Rathaus Steglitz - Bhf. Steglitz - Klingsorstrasse Ecke Birkbuschstrasse - Steglitz, Birkbuschstrasse Ecke Siemensstrasse",15,20,,1956,unified,
41,tram,"Tegel, Alt-Tegel - Bernauerstrasse Ecke Berlinerstrasse - Eichborndamm Ecke Scharnweberstrasse - Kurt-Schuhmacher-Platz - Graf-Roedernallee Ecke Reinickendorferstrasse - Aroserallee Ecke Reinickendorferstrasse - Residenzstrasse Ecke Alt-Reinickendorf - Pankowerallee (Schäfersee) - Osloerstrasse Ecke Schwedenstrasse - Uferstrasse Ecke Badstrasse - Pankstrasse/Prinzenallee - U-Bhf. Gesundbrunnen - Usedomerstrasse - Brunnenstrasse Ecke Bernauerstrasse - Bernauerstrasse Ecke Wollinerstrasse",15,44,,1956,unified,
44,tram,"Sandkrugbrücke, Lehrter Bahnhof - Rathenowerstrasse Ecke Invalidenstrasse - Stromstrasse Ecke Alt-Moabit - Gotzkowskystrasse Ecke Alt-Moabit - U-Bhf. Ernst-Reuter-Platz - Wilmersdorfer Strasse Ecke Berlinerstrasse - Kantstrasse Ecke Wilmersdorferstrasse - Kurfürstendamm Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Berlinerstrasse Ecke Blissestrasse - Hildegardstrasse Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Titania-Palast - Bhf. Steglitz - Schloßstrasse Ecke Albrechtstrasse - Birkbuschstrasse Ecke Siemensstrasse",15,56,,1956,unified,
46,tram,"Niederschönhausen, Schillerstrasse - Nordend, Dietzgenstrasse - Ossietzkyplatz - Kurt-Fischer-Platz - Breitestrasse, Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Veteranenstrasse Ecke Brunnenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstrasse - Am Kupfergraben",12,49,11.75,1956,unified,
47,tram,"Hermannplatz - Erkstrasse, Rathaus Neukölln - Karl-Marx-Strasse Station - U-Bhf. Neukölln - U-Bhf. Grenzallee - Buschkrug - Parchimerallee Ecke Rudowerstrasse - Krankenhaus Neukölln - Johannisthaler Chaussee Ecke Rudowerstrasse - Wildmeisterdamm - Rudow, Bahnhofstrasse",10,34,,1956,unified,
49,tram,"Buchholz - Eweststrasse - Galenusstrasse, Pankow, Krankenhaus - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow, Florastrasse - U-Bhf. Vinetastrasse - S-Bhf. Schönhauser Allee - Eberswalderstrasse, U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Rosenthaler Platz - Hackescher Markt - Große Präsidentenstrasse",16,42,10.38,1956,unified,
51,tram,"Roseneck, Grunewald - U-Bhf. Heidelberger Platz - Berlinerstrasse Ecke Uhlandstrasse - U-Bhf. Hohenzollernplatz - U-Bhf. Uhlandstrasse - Bhf. Zoo",20,23,,1956,unified,
54,tram,"Spandau, Johannesstift - Spandau, Stadtpark - Fehrbelliner Tor - Hafenplatz - Spandau, Markt - Bhf. Spandau - Teltowerstrasse Ecke Charlottenburgerstrasse - U-Bhf. Ruhleben - Schloß Ruhwald - Königin-Elisabeth-Strasse Ecke Spandauer Damm - Schloßstrasse Ecke Spandauer Damm - Luisenplatz - Wilmersdorferstrasse Ecke Berlinerstrasse - U-Bhf. Richard-Wagner-Platz - Leibnizstrasse Ecke Berlinerstrasse - U-Bhf. Ernst-Reuter-Platz - Kantstrasse Ecke Hardenburgerstrasse - Bhf. Zoo",15,51,,1956,unified,
55,tram,"Spandau, Nauenerstrasse - Spandau, Markt - Siedlung Haselhorst - Gartenfelderstrasse Ecke Paulsternstrasse - Verwaltungsgebäude - Bhf. Jungfernheide - Luisenplatz - U-Bhf. Richard-Wagner-Platz - Knie - Bhf. Zoo",12,48,,1956,unified,
60,tram,Königin-Elisabeth-Strasse Ecke Kaiserdamm - Spandauer Damm Königin-Elisabeth-Strasse - Klausenerplatz - Schlossstrasse Ecke Suarezstrasse - Kaiser-Friedrich-Strasse Ecke Kantstrasse - Stuttgarter Platz - Kurfürstendamm Ecke Wilmersdorferstrasse - Konstanzerstrasse Ecke Brandenburgischestrasse - Westfälischestrasse Ecke Brandenburgischestrasse - Fehrbelliner Platz - Blissestrasse Ecke Berlinerstrasse - Uhlandstrasse Ecke Berlinerstrasse - Badenschestrasse Ecke Berlinerstrasse - Bundesallee Ecke Berliner Strasse - Martin-Luther-Strasse Ecke Grunewaldstrasse - Hauptstrasse Ecke Dominicusstrasse - Bhf. Papestrasse - Sachsendamm Ecke Alboinstrasse - Lindenhof Eythstrasse,15,49,,1956,unified,
63,tram,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Freienwalderstrasse Ecke Orankestrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Leninallee, Dimitroffstrasse - Leninplatz - Kleine Frankfurterstrasse - Alexanderplatz, Memhardstrasse - U-Bhf. Weinmeisterstrasse - Hackescher Markt - Große Präsidentenstrasse",20,41,10.16,1956,unified,
64,tram,"Hohenschönhausen, Falkenberger Strasse - Orankestrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Leninallee Ecke Dimitroffstrasse - Leninplatz - Kleine Frankfurterstrasse - Alexanderplatz, Grunestrasse - Bhf. Jannowitzbrücke - U-Bhf. Neanderstrasse - Spittelmarkt - Dönhoffplatz, Krausenstrasse",20,39,12.08,1956,unified,
66,tram,Belziger Strasse Ecke Martin-Luther-Strasse - Hauptstrasse Ecke Dominicusstrasse - Innsbrucker Platz - Traegerstrasse - Ceciliengärten - Beckerstrasse Ecke Rubensstrasse - Canovastrasse (Krankenhaus) - Thorwaldsenstrasse Ecke Grazer Damm,10,12,,1956,unified,
68,tram,"Bhf. Wittenau, Nordbahn, Cyclopstrasse - Alt-Wittenau Ecke Oranienburgerstrasse - Heilanstalt - Kurt-Schuhmacher-Platz - Londonerstrasse Ecke Müllerstrasse - Seestrasse Ecke Müllerstrasse - Schulstrasse Ecke Müllerstrasse - Nettelbeckplatz",15,27,,1956,unified,
69,tram,"Johannisthal, Haeckelstrasse - Königsweide - Bhf. Schöneweide - Oberschöneweide Ecke Wilhelminenhofstrasse - Hegemeisterweg, Rennbahn - S-Bhf. Karlshorst - Tierpark Berlin - Schlossstrasse Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriedstrasse - Roederplatz - Steuerhaus - Leninallee Ecke Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt - Oranienburger Tor - Walter-Ulbricht-Stadion",20,79,21.39,1956,unified,
70,tram,"Hohenschönhausen, Falkenberger Strasse - Suermondtstrasse Ecke Hauptstrasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade Ecke Gustav-Adolf-Strasse - Wichertstrasse, Humannplatz - Schönhauser Allee - Zionskirchstrasse - Invalidenstrasse Ecke Brunnenstrasse - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstrasse - Clara-Zetkin-Strasse Ecke Neue Wilhelmstrasse",12,52,12.43,1956,unified,
71,tram,"Heinersdorf, Romain-Rolland-Str. - Heinersdorf, Kirche - Am Steinberg, Thulestrasse - Prenzlauer Promenade Ecke Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse Ecke Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Jüdenstrasse, Berliner Rathaus",10,31,7.56,1956,unified,
72,tram,"Weißensee, Rennbahnstrasse Ecke Parkstrasse - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Antonplatz - Gustav-Adolf-Strasse Ecke Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse, Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Molkenmarkt - Roßstrasse Ecke Breitestrasse - Charlottenstrasse Ecke Taubenstrasse",10,42,10.39,1956,unified,
73,tram,"Bhf. Lichterfelde-Ost - Wiesenbaude, Giesendorferstrasse - Hindenburgdamm Ecke Schloßstrasse - Rathaus Steglitz - Schloßstrasse Ecke Bundesallee - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Eisenacherstrasse Ecke Hauptstrasse - Pallasstrasse Ecke Potsdamerstrasse - U-Bhf. Bülowstrasse - Lützowstrasse Ecke Potdamerstrasse - Potsdamer Platz, Linkstrasse",20,41,,1956,unified,
74,tram,"Lichtefelde, Finckensteinallee - Wiesenbaude - Hindenburgdamm Ecke Schloßstrasse - Rathaus Steglitz - Bundesallee - Innsbrucker Platz - Dominicusstrasse - Pallasstrasse - Bülowstrasse - Potsdamer Platz, Linkstrasse",20,38,,1956,unified,
74,tram,"Wießensee, Rennbahnstrasse Ecke Parkstrasse - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse Ecke Greifswalderstrasse - Königstor - Alexanderplatz, Grunerstrasse - Molkenmarkt - Spittelmarkt - Charlottenstrasse Ecke Taubenstrasse",6,38,9.4,1956,unified,
75,tram,"Bhf. Zoo, Kantstrasse - Leibnizstrasse Ecke Kantstrasse - Wilmersdorfer Strasse Ecke Kantstrasse - Kaiser-Friedrich-Strasse Ecke Kantstrasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Scholzplatz - Stößenseebrücke - Pichelsdorfer Strasse Ecke Heerstrasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse Ecke Klosterstrasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke streitstrasse - Hakenfelde",10,59,,1956,unified,
77,tram,"Bhf. Zoo - Wittenbergplatz - Pariserstrasse Ecke Bundesallee - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm Ecke Schloßstrasse - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Baselerstrasse - Rittberg-Krankenhaus - Goerzallee Ecke Wismarer Strasse - Lichterfelde, Goerzallee",20,45,,1956,unified,
78,tram,Bhf. Zoo - Wittenbergplatz - Pariserstrasse Ecke Bundesallee - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm Ecke Schloßstrasse - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Baselerstrasse - Rittberg-Krankenhaus - Wismarerstrasse Ecke Goerzallee - Lindenstrasse,20,44,,1956,unified,
82,tram,"Dönhoffplatz, Krausenstrasse - Spittelmarkt - Molkenmarkt - Ostbahnhof - Warschauerstrasse - Markgrafendamm - S-Bhf. Ostkreuz - Kraftwerk Klingenberg - Karlshorst, Treskowallee - Hegemeisterweg, Rennbahn - Edisonstrasse Ecke Wilhelminenhofstrasse - Oberschöneweide, Parkstrasse - Pionierrepublik - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Köpenick, Hirtestrasse",20,73,21.53,1956,unified,
83,tram,"Wendenschloß Ecke Ekhofstrasse - Strassenbahnhof Köpenick - Schüßlerplatz - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus - Bütowerstrasse - Rahnsdorferstrasse - S-Bhf. Mahlsdorf",20,47,12.23,1956,unified,
