line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
15,tram,Daimlerstr. - Großbeerenstr. Ecke Lankwitzerstr. - Körtingstr. - Mariendorferdamm - Imbrosweg - Mariendorfer Friedhof - Industriestr. - Germaniastr. - Frauenklinik - Hermannstr. - U-Bhf. Neukölln - Richardstr. - Saalestr. Ecke Sonnenallee - Dammweg - Schulenburgpark,10,36,,1964,west,
47,tram,Gradestr. Ecke Tempelhoferweg - U-Bhf. Blaschko-Allee - Buschkrug - Onkel-Herse-Str. - Parachimerallee Ecke Buschkrugallee - Grünerweg Ecke Buschkrugallee - Krankenhaus Neukölln - Johannisthalerchaussee Ecke Rudowerstr. - Wildmeisterdamm Ecke Neuköllnerstr. - Stubenrauchstr. - Köpenickerstr. Ecke Neuköllnerstr. - Große-Ziethenchaussee Ecke Waltersdorferchaussee,10,21,,1964,west,
53,tram,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Str. - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltowerstr. - Freiheit - Spandau, Markt - Hafenplatz - Lynastr. Ecke Neuendorferstr. - Hohenzollernring - Hakenfelde",20,40,,1964,west,
54,tram,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Str. - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltowerstr. - Freiheit - Spandau, Markt - Hafenplatz - Lynastr. Ecke Neuendorferstr. - Hohenzollernring - Johannesstift",20,41,,1964,west,
55,tram,Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Osnabrückerstr. - Jakob-Kaiser-Platz - Quellweg - Paulsternstr. - Zitadellenweg - Carl-Schurz-Str. Ecke Am Juliusturm - Hafenplatz - Hohenzollernring - Hakenfelde,15,51,,1964,west,
75,tram,"Bhf. Zoo, Kantstr. - Wilmersdorferstr. - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstr. - Reichssportfeldstr. - Stößenseebrücke - Pichelsdorferstr. - Weverstr., Strassenbahnhof - Seeburgerstr. - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20,58,,1964,west,
76,tram,"Bhf. Zoo, Kantstr. - Wilmersdorferstr. - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstr. - Reichssportfeldstr. - Stößenseebrücke - Pichelsdorferstr. - Weverstr., Strassenbahnhof - Seeburgerstr. - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke Schönwalderallee - Johannesstift",20,59,,1964,west,
95,tram,Mehringplatz - Zossenerstr. Ecke Blücherstr. - Baerwaldstr. Ecke Urbanstr. - Urban-Krankenhaus - Hermannplatz - Erkstr. Ecke Sonnenallee - Hertzbergplatz - Saalestr. Ecke Sonnenallee - Dammweg Ecke Sonnenallee - Schulenburgpark - Schwarzerweg Ecke Sonnenallee,15,25,,1964,west,
96,tram,"Lindenstr. - Mehringplatz - Yorckstr. - U-Bhf. Flughafen - Adolf-Scheidt-Platz - Berlinickeplatz - Attilaplatz - Ringstr. Ecke Attilastr. - Lankwitz, Kirche - Seydlitzstr. Ecke Kaiser-Wilhelm-Str. - Kranoldplatz - Ostpreußendamm Ecke Morgensternstr. - Giesendorferstr. Ecke Ostpreußendamm - Wismarerstr. Ecke Ostpreußendamm - Goerzallee",15,49,,1964,west,
A1,autobus,"Moabit, Waldstr. Ecke Turmstr. - Otto-Suhr-Allee Ecke Cauerstr. - Kurfürstendamm Ecke Konstanzerstr. - U-Bhf. Fehrbellinerplatz - Detmolderstr. Ecke Blissestr. - Breitenbachplatz - Botanischer Garten - Pacelli/Theilallee - Clayallee Ecke Königin-Luise-Str. - U-Bhf. Oskar-Helene-Heim - Potsdamerstr. Ecke Clayallee - Rathaus Zehlendorf - Beeskowdamm Ecke Goerzallee - Wismarerstr. Ecke Lindenstr. - Lindenstr. Ecke Müllerstr.",15,58,,1964,west,
A2,autobus,"Bhf. Zoo - Spichernstr. Ecke Joachimstalerstr. - Berlinerstr. Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstr. Ecke Feuerbachstr. - Bergstr. Ecke Bismarckstr. - Feuerbachstr. Ecke Bismarckstr. - Steglitzerdamm Ecke Halskestr. - Leonorenstr. Ecke Albrechstr. - Lankwitz, Kirche - Havensteinstr. Ecke Gallwitzstr. - Lerbacherweg Ecke Tautenbergstr. - Trippsteinstr.",10,39,,1964,west,
