line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
53,tram,"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Königin-Elisabethstr. - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltowerstr. - Spandau, Markt - Carl-Schurzstr. - Hafenplatz - Hohenzollernring - Hakenfelde",20,59,,1960,unified,
54,tram,"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Königin-Elisabethstr. - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltowerstr. - Spandau, Markt - Carl-Schurzstr. - Hafenplatz - Hohenzollernring - Johannesstift",20,60,,1960,unified,
55,tram,"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstr. - Richard-Wagner-Platz - Luisenplatz - Osnabrückerstr. - Bhf. Jungfernheide - Siemensplatz - Quellweg - Paulsternstr. - Zitadellenweg - Spandau, Markt - Rathaus Spandau - Nauenerstr.",12,54,,1960,unified,
6,tram,Wintersteinstr. - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Rathaus Schöneberg - Hauptstr. - Bhf. Papestr. - Tempelhoferdamm - Gottlieb-Dunkelstr. - Britzerdamm - Buschkrug - U-Bhf. Grenzallee - Bhf. Neukölln - Rathaus Neukölln - Elsenstr.,10,57,,1960,unified,
60,tram,Königin-Elisabethstr. - Spandauerdamm - Klausenerplatz - Schloßstr. Ecke Spandauerdamm - Kaiser-Friedrichstr. - Stuttgarterplatz - Kurfürstendamm - Fehrbellinerplatz - Bundesallee Ecke Berlinerstr. - Martin-Lutherstr. - Rathaus Schöneberg - Hauptstr. (Schöneberg) - Bhf. Papestr. - Bosestr. - Eythstr.,15,49,,1960,unified,
63,tram,"Hohenschönhausen, Gartenstadt - Falkenbergerstr. Ecke Wartenbergerstr. - Degnerstr. - Weißenseerweg - Steuerhaus - Dimitroffstr. - Leninplatz - Alexanderplatz, Memhardstr. - Hackescher Markt, Große Präsidentenstr.",20,38,10.2,1960,unified,
64,tram,"Hohenschönhausen, Falkenbergerstr. - Degnerstr. - Weißenseerweg - Steuerhaus - Dimitroffstr. - Leninplatz - Alexanderplatz, Grunestr. - Jacobystr. - U-Bhf. Neanderstr. - Spittelmarkt - Dönhoffplatz",20,39,10.2,1960,unified,
66,tram,Belzigerstr. - Hauptstr. (Schöneberg) - Innsbruckerplatz - Traegerstr. - Ceciliengärten - Rembrandtstr. - Canovastr. (Krankenhaus) - Thorwaldsenstr. - Bergstr.,10,12,,1960,unified,
69,tram,"Johannisthal, Haeckelstr. - Königsweide - Bhf. Schöneweide - Wilhelminenhofstr. - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Schlossstr. Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriedstr. - Klubhaus VEB Elektrokohle - Roederplatz - Steuerhaus - Dimitroffstr. - Leninplatz - Alexanderplatz, Memhardstr. - Hackescher Markt - Oranienburger Tor - Invalidenstr. Ecke Chausseestr. - Walter-Ulbricht-Stadion",20,82,21.4,1960,unified,
69E,tram,"Johannisthal, Haeckelstr. - Königsweide - Bhf. Schöneweide - Wilhelminenhofstr. - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Schlossstr. Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriedstr. - Klubhaus VEB Elektrokohle - Roederplatz - Steuerhaus - Dimitroffstr. - Kniprodestr.",20,59,16.3,1960,unified,
70,tram,"Hohenschönhausen, Falkenbergerstr. - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstr. - Brunnenstr. - Invalidenstr. Ecke Chausseestr. - Oranienburger Tor - Weidendammbrücke, Bhf. Friedrichstr. - Am Kupfergraben (Haus der Frau)",12,49,11.9,1960,unified,
71,tram,"Heinersdorf, Romain-Rollandstr. - Heinersdorf, Kirche - Am Steinberg - Prenzlauerallee Ecke Wisbyerstr. - S-Bhf. Prenzlauerallee - Dimitroffstr. - Saarbrückerstr. - Prenzlauer Tor - Alexanderplatz, Grunerstr. - Jüdenstr., Molkenmarkt",10,32,7.6,1960,unified,
72,tram,"Weißensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Bernkastelerstr. - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauerallee - Dimitroffstr. - Saarbrückerstr. - Prenzlauer Tor - Alexanderplatz, Grunerstr. - Jüdenstr., Molkenmarkt - Spittelmarkt - Taubenstr.",13,46,10.5,1960,unified,
73,tram,Bhf. Lichterfelde-Ost - Wiesenbaude - Moltkestr. - Schlossstr. - Rathaus Steglitz - Bundesallee - Kaisereiche - Lauterplatz - Innsbruckerplatz - Dominicusstr. - Albertstr. - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstr. - Lützowstr. - Potsdamerplatz,20,42,,1960,unified,
74,tram,Finckensteinallee - Wiesenbaude - Moltkestr. - Schlossstr. - Rathaus Steglitz - Bundesallee - Kaisereiche - Lauterplatz - Innsbruckerplatz - Dominicusstr. - Albertstr. - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstr. - Lützowstr. - Potsdamerplatz,20,39,,1960,unified,
