line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
18,autobus,"U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Schützallee - Scharfestrasse - Potsdamerstrasse - Fischerhüttenstrasse - Lindenthaler Allee - Spanische Allee - Von-Luck-Strasse/Waldfriedhof - Isoldestrasse - Nibelungenstrasse - Kronprinzessinenweg - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse - Wilhelmplatz, Stölpchensee - Kohlhasenbrück - Königsweg - Bernhard-Beyer-Strasse - Steinstücken",20,33,,1980,west,
19,autobus,Grunewald Roseneck - Teplitzerstrasse - Richard-Strauß-Strasse - Koenigsallee/Hagenplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstrasse - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburgerstrasse - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse - U-Bhf. Nollendorfplatz - Potsdamerstrasse - Goebenstrasse - U-Bhf. Yorckstrasse - Großbeerenstrasse - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1980,west,
2,autobus,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestrasse - Bismarckstrasse - Lauenburger Platz - Bergstrasse - Selerweg - Steglitzer Damm - Munsterdamm - Albrechtstrasse - Leonorenstrasse - Rathaus Lankwitz - Lankwitz, Kirche - Hildburghauserstrasse - Waldsassenerstrasse - Marienfelde, Waldsassenerstrasse",7,36,,1980,west,
20,autobus,Tegelort - Falkenplatz - Heiligenseestrasse/Gabelung - Schulzendorfer Weg - Karolinenstrasse - Gabrielenstrasse - Alt-Tegel/U-Bhf. Tegel - Gorkistrasse - Ziekowstrasse - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Lübars Alt-Lübars,15,41,,1980,west,
21,autobus,Quickbornerstrasse Märkisches Viertel - Wilhelmsruher Damm - Schorfheidestrasse - Wilhelmsruher Damm/Dannenwalder Weg - Oranienburgerstrasse - Alt-Wittenau - Rathaus Reinickendorf - Breitenbachstrasse - U-Bhf. Scharnweberstrasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Luisenplatz - Bismarckstrasse - Kantstrasse - Amtsgericht Charlottenburg - Kurfürstendamm - Westfälischestrasse - Rudolstädterstrasse - Berlinerstrasse - Fehrbelliner Platz,15,63,,1980,west,
22,autobus,U-Bhf. Osloerstrasse - Ritterlandweg - Pankower Allee - Emmentalerstrasse - Lindauer Allee - Aroser Allee - Roedernallee/Paracelsus-Bad - Tessenowstrasse - Am Nordgraben - Dannenwalder Weg - Wilhelmsruher Damm - Gemeinde-Zentrum - Märkisches Zentrum - Wesendorferstrasse - Senftenberger Ring-Ost - Senioren-Zentrum - Calauerstrasse - Eichhorster Weg - Lübarserstrasse - Hermsdorferstrasse - Zabel-Krüger-Damm - Waidmannslust Titiseestrasse,15,37,,1980,west,
22E,autobus,"U-Bhf. Holzhauserstrasse - Wittestrasse - Soltauerstrasse - Breitenbachstrasse - Miraustrasse - Triftstrasse - Rathaus Reinickendorf - Alt-Wittenau - Wittenau, Kirche",15,11,,1980,west,
23,autobus,"Zoo, Hardenbergplatz - Jebensstrasse/Amerikahaus - Steinplatz - U-Bhf. Ernst-Reuther-Platz - U-Bhf. Hansaplatz - Gotzkowskystrasse - Hutten-/Turmstrasse - Wittstockerstrasse - Sickingen-/Siemensstrasse - Beusselstrasse/Goerdelerdamm - Hüttigpfad - Friedrich-Olbricht-Damm - Heckerdamm - Jakob-Kaiser-Platz - U-Bhf. Jakob-Kaiser-Platz - Halemweg - Goebelplatz - Quellweg - U-Bhf. Rohrdamm - Saatwinkler Damm Mäkeritzwiesen",15,53,,1980,west,
24,autobus,Moabit Wiebestrasse - Huttenstrasse - Reuchlinstrasse - Waldstrasse/Beusselstrasse - Rathaus Tiergarten - U-Bhf. Turmstrasse - Krankenhaus Moabit - Wilsnackerstrasse - Rathenowerstrasse - Alt-Moabit - Schloß Bellevue - Tiergartenstrasse - Lützowplatz - Magdeburger Platz - Potsdamerstrasse - Askanischer Platz - Großbeerenstrasse - U-Bhf. Hallesches Tor - U-Bhf. Gneisenaustrasse - Columbiadamm - Platz der Luftbrücke,15,41,,1980,west,
25,autobus,Britz-Süd - Fritz-Erler-Allee - Kormoranweg - Grüner Weg - Buschkrugallee - U-Bhf. Parchimer Allee - Britzer Damm - Gradestrasse - Karl-Elsasser-Strasse - Gottlieb-Dunkel-Strasse - Teilestrasse - Wenckebachstrasse - U-Bhf. Ullsteinstrasse - Attilaplatz - Alboinstrasse - Röblingstrasse/Arnulfstrasse - Priesterweg - Prellerweg - Auguste-Viktoria-Krankenhaus - Grazer Platz - Rubensstrasse - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,12,40,,1980,west,
