line_name,type,stops,frequency (7:30),length (Time),Length (km),year,east_west,info
1,tram,"Ostbahnhof - Breslauerstr. Ecke Andreasstr. - U-Bhf. Strausbergerplatz - Leninplatz - Alexanderplatz, Memhardstr. - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Invalidenstr. Ecke Chausseestr. - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",20,39,,1961,east,
3,tram,Warschauerstr. - Warschauer Brücke - Kopernikusstr. Ecke Warschauerstr. - Boxhagenerstr. Ecke Holteistr. - Boxhagenerstr. Ecke Holteistr. - Bhf. Stalinallee - Rathaus Lichtenberg - Roederplatz - Landsbergerchaussee Ecke Weißenseerweg - Hohenschönhauserstr. - Klement-Gottwald-Allee Ecke Indira-Ghandistr. - Antonplatz - Prenzlauer Promenade - Schönhauserallee Ecke Bornholmerstr. - Björnsonstr.,12,46,,1961,east,
4,tram,Warschauerstr. - Warschauer Brücke - Kopernikusstr. Ecke Warschauerstr. - Grünbergerstr. - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestr. - Greifswalderstr. - Prenzlauerallee - U-Bhf. Dimitroffstr. - Eberswalderstr. Ecke Oderbergerstr.,8,25,,1961,east,
11,tram,"Heinrich-Heinestr. - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstr. - Rosenthalerplatz - Brunnenstr. Ecke Invalidenstr. - Oranienburger Tor - Hannoverschestr.",20,19,,1961,east,
13,tram,"Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Karlshorsterstr. - Boxhagenerstr. Ecke Holteistr. - Frankfurter Tor/Stalinallee - Bersarinplatz - Leninallee - Kniprodestr. - Greifswalderstr. - Prenzlauerallee - U-Bhf. Dimitroffstr.",8,35,,1961,east,
22,tram,"Bhf. Rosenthal - Nordendstr. - Kurt-Fischer-Platz - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastr. - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Rosenthalerplatz - Alexanderplatz, Memhardstr. - Elisabethstr.",12,48,,1961,east,
46,tram,"Niederschönhausen, Schillerstr. - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - S-Bhf. Pankow - U-Bhf. Vinetastr. - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Brunnenstr. - Oranienburger Tor - Bhf. Friedrichstr. - Am Kupfergraben",12,52,,1961,east,
49,tram,"Buchholz, Hauptstr. - Rosenthalerweg - Blankenburgerstr. Ecke Pasewalkerstr. - Galenusstr., Krankenhaus Pankow - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Vinetastr. - Bornholmerstr. Ecke Schönhauserallee - S-Bhf. Schönhauserallee - U-Bhf. Dimitroffstr. - Rosenthalerplatz - Hackescher Markt, Große Präsidentenstr.",15,41,,1961,east,
63,tram,"Hohenschönhausen, Gartenstadt - Falkenbergerstr. Ecke Wartenbergerstr. - Hohenschönhausen, Hauptstr. - Degnerstr. - Weißenseerweg - Steuerhaus - Dimitroffstr. - Leninplatz - Alexanderplatz, Memhardstr. - Hackescher Markt, Große Präsidentenstr.",20,36,,1961,east,
64,tram,"Hohenschönhausen, Falkenbergerstr. - Hohenschönhausen, Hauptstr. - Degnerstr. - Weißenseerweg - Steuerhaus - Dimitroffstr. - Leninplatz - Alexanderplatz, Leninallee - S-Bhf. Jannowitzbrücke - Heinrich-Heinestr. - Spittelmarkt - Dönhoffplatz",20,27,,1961,east,
