line_name,type,stops,frequency (7:30),length (Time),length (km),year,east_west,info
A4,autobus,"Neu-Westend, Brixplatz - Theodor-Heuss-Platz - Messedamm - Henriettenplatz - Hochmeisterplatz - U-Bhf. Fehrbellinerplatz - Berlinerstr. Ecke Uhlandstr. - Bundesallee Ecke Badenschestr. - Rathaus Schöneberg - Innsbruckerplatz - Hauptstr. Ecke Dominicusstr. - Kaiser-Wilhelm-Platz - Dudenstr. Ecke Katzbachstr. - U-Bhf. Flughafen - Columbiadamm Ecke Friesenstr. - Flughafenstr. Ecke Hermannstr. - Kienitzerstr. Ecke Karl-Marx-Str. - Sonnenallee Ecke Erkstr. - Harzerstr. Ecke Elsenstr.",10.0,56.0,,1965,west,
A5,autobus,"Machandelweg - U-Bhf. Ruhleben - Teltowerstr. Ecke Ruhlebenerstr. - Stresowplatz - Breitestr. Ecke Charlottenstr. - Rathaus Spandau - Zeppelinstr. Ecke Seegefelderstr. - Falkenseerchaussee Ecke Zeppelinstr. - Waldkrankenhaus - Spandau, Landesnervenklinik",10.0,32.0,,1965,west,
A6,autobus,S-Bhf. Wannsee - Königstr. Ecke Kronprinzessinnenweg - Pfaueninselschaussee Ecke Königstr. - Rathaus Wannsee - Friedenstr. Ecke Königstr. - Schäferberg - Nikolskoerweg Ecke Königstr. - Glienicker Brücke,30.0,13.0,,1965,west,
A10,autobus,"Haselhorst, Kirche - Paulsternstr. Ecke Nonnendamm - Verwaltungs-Gebaüde - Spandauerdamm Ecke Fürstenbrunnerweg - U-Bhf. Kaiserdamm - Masurenallee Ecke Messedamm - Amtsgericht - Kurfürstendamm Ecke Joachim-Friedrichstr. - Henriettenplatz - Rathenauplatz - Elsterplatz - Hundekehlestr. Ecke Warnemünderstr. - Königin-Luise-Str. Ecke Pacelliallee - U-Bhf. Thielplatz - Berlinerstr. Ecke Thielallee - Berlinerstr. Ecke Sundgauerstr. - Teltowerdamm Ecke Clayallee - Teltowerdamm Ecke Machnowerstr. - Behring-Krankenhaus - Lupsteinerweg Ecke Sachtlebenstr.",10.0,62.0,,1965,west,
A11,autobus,"Saargemünderstr. Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - Ihnestr. Ecke Garystr. - Corrensplatz - Unter den Eichen Ecke Habelschwendterallee - Gardeschützerweg Ecke Drakestr. - Ringstr. Ecke Drakestr. - Wiesenbaude - Ostrpreußendamm Ecke Königsbergerstr. - Marienstr. Ecke Königsbergerstr. - Morgensternstr. Ecke Königsbergerstr. - Kranoldplatz - Langestr. Ecke Lorenzstr. - Hildburghauserstr. Ecke Mariannenstr. - Stadtilmerweg - Marienelde, Alt-Marienfelde",7.5,34.0,,1965,west,
A12,autobus,Gartenstr. Ecke Bernauerstr. - Grenzstr. Ecke Ackerstr. - U-Bhf. Leopold-Platz - U-Bhf. Seestr. - Bristolstr. Ecke Barfusstr. - Emmentalerstr. Ecke Aroserallee - Lindauerallee Ecke Roedernallee - Tessenowstr. Ecke Roedernallee - Rathaus Reinickendorf - Cyclopstr. Ecke Hermsdorferstr. - Zabel-Krüger-Damm Ecke Oraniendamm - Almutstr. Ecke Berlinerstr. - Hermsdorferdamm Ecke Berlinerstr. - Zeitingerplatz - Donnersmarkplatz - Hainbuchenstr. Ecke Stolzingstr.,20.0,54.0,,1965,west,
A13,autobus,"Heiligensee, Alt-Heiligensee - Am Dachsbau Ecke Heiligenseestr. - Gabelung - Ruppinerchaussee Ecke Heiligenseestr. - U-Bhf. Tegel - Bernauerstr. Ecke Berlinerstr. - Krankenhaus Tegel-Süd - Strasse nach Saatwinkel Ecke Bernauerstr. - Paulsternstr. Ecke Gartenfelderstr. - Daumstr. Ecke Am Juliusturm - Carl-Schurzstr. Ecke Am Juliusturm - Rathaus Spandau - Seeburgerstr. Ecke Klosterstr. - Päwesinerweg Ecke Seeburgerstr. - Heerstr. Ecke Wilhelmstr. - Weinmeisterhornweg Ecke Wilhelmstr.",15.0,57.0,,1965,west,
A14,autobus,"Heiligensee, Alt-Heiligensee - Mattenbuder Pfad Ecke Henningsdorferstr. - Ruppinerchaussee Ecke Henningsdorferstr. - Schulzendorferstr. Ecke Ruppinerchaussee - Heiligenseestr. Ecke Karolinenstr. - U-Bhf. Tegel - Ziekowstr. Ecke Gorkistr. - Alt-Wittenau, Rathaus Reinickendorf - Tessenowstr. Ecke Roedernallee - Aroserallee Ecke Lindauerallee - Kopenhagenerstr. Ecke Klemkestr. - Klemkestr. Ecke Sommerstr. - Pankowerallee Ecke Provinzstr. - Osloerstr. Ecke Drontheimerstr. - Pankstr. Ecke Badstr. - U-Bhf. Gesundbrunnen - Rügenerstr. Ecke Brunnenstr.",15.0,53.0,,1965,west,
A15,autobus,Lübarserstr. Ecke Eichorsterweg - Cyclopstr. Ecke Oranienburgerstr. - Alt-Wittenau Ecke Oranienburgerstr. - Breitenbachstr. Ecke Eichborndamm - Holzhauserstr. Ecke Breitenbachstr. - Borsigwalderweg Ecke Ecke Conradstr. - Gorkistr. Ecke Ziekowstr. - U-Bhf. Tegel - Hermsdorferdamm Ecke Karolinenstr. - Schulzendorferstr. Ecke Hermsdorferdamm - Dominikus Krankenhaus - Donnersmarckplatz - Zeitlingerplatz - Am Pilz - Invalidensiedlung,20.0,55.0,,1965,west,
A16,autobus,Osloerstr. Ecke Koloniestr. - Luise-Schroeder-Platz - U-Bhf. Seestr. - Virchow-Krankenhaus - Fennstr. Ecke Tegelerstr. - Wilsnackerstr. Ecke Perlebergerstr. - Hansaplatz - Großer Stern - Lützowplatz - Nollendorfplatz - Rathaus Schöneberg - Innsbruckerplatz - Bundesplatz - Wiesbadenerstr. Ecke Südwestkorso - Breitenbachplatz - Englerallee,15.0,50.0,,1965,west,
