line_name,type,stops,frequency (7:30),length (time),Length (km),year,east_west,info
D,omnibus,"U-Bhf. Friedrichsfelde - Treskowallee - Warmbaderstr. - Biesdorf-Süd - Kaulsdorf-Süd, Zimmermannstr. - Ulmenstr. - Mahlsdorf-Süd, Kohlisstr. - Akazienallee - Dahlwitz, Kol. Waldesruh",12,,,1946,unified,
Wannsee-Pichelsberg,ferry,"Pichelsberg, Stössenseebrücke - Kladow - Wannsee",120,,,1946,unified,
1,omnibus,Flughafen - Franz-Mehringstr. - Hallesches Tor - Lindenstr. - Jerusalemerstr. - Dönhoffplatz - Werderscher markt - Schloßplatz - Alexanderplatz - Alexanderstr. - Holzmarkstr. - Schlesischer Bahnhof - Am Schlesischen Bahnhof - Fruchtstr. - Kürstrinerplatz - Frankfurterallee - Frankfurterallee Ecke Warschauerstr. - Frankfurterallee Ecke Gürtelstr. - Alt-Friedrichsfelde,25,,,1946,unified,
8,omnibus,"Waldstr. Ecke Thälmannstr. - Seestr., Friedhöfe",10,,,1946,unified,frequency 10-15 minutes
17,omnibus,"Zehlendorf, Rathaus - Potsdamerchaussee - Bhf. Nikolassee - Bhf. Wannsee - Stölpchensee",30,,,1946,unified,
5,omnibus,"Steglitz, Rathaus - Schloßstr. - Unter den Eichen - Berlinerstr. Ecke Thielallee - Zehlendorf, Rathaus",60,,,1946,unified,
9,omnibus,"Alexanderplatz - Schloßplatz - Unter den Linden Ecke Friedrichstr. - Brandenburger Tor - Charlottenburgerchaussee - Charlottenburg, Knie",10,,,1946,unified,frequency 10-20 minutes
H,omnibus,"U-Bhf. Lichtenberg - Alt-Friedrichsfelde - Alt-Biesdorf - Alt-Kaulsdorf - Bhf. Kaulsdorf - Giesestr. - Mahlsdorf, Zeppelinstr. - Bahnhof Mahlsdorf - Hönowerstr. - Hönow",15,,,1946,unified,
27,omnibus,"Müggelheim - Müggelheimerdamm - Köpenick, Krankenhaus",20,,,1946,unified,frequency 20-30 minutes
KBS 100,s-bahn,Gesundbrunnen - Schönhauserallee - Prenzlauerallee - Greifswalderstr. - Frankfurterallee - Ostkreuz - Treptower Park - Sonnenallee - Neukölln - Hermannstr. - Tempelhof - Papestr. - Schöneberg - Innsbruckerplatz - Wilmersdorf - Schmargendorf - Hohenzollerndamm - Halensee - Westkreuz - Witzleben - Westend - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen,10,,,1946,unified,
KBS 100a,s-bahn,Hermannstr. - Neukölln - Köllnische Heide - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,30,,,1946,unified,
KBS 100b,s-bahn,Jungfernheide - Wernerwerk - Siemensstadt - Gartenfeld,30,,,1946,unified,
KBS 100c,s-bahn,Spandau - Pichelsberg - Reichssportfeld - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Börse - Alexanderplatz - Jannowitzbrücke - Schlesischer Bahnhof - Warschauerstr. - Ostkreuz - Treptower Park - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,30,,,1946,unified,
KBS 100d,s-bahn,Schöneweide - Oberspree - Spindlersfeld,30,,,1946,unified,
KBS 103,s-bahn,Bernau - Zepernick - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow-Schönhausen - Bornholmerstr. - Gesundbrunnen - Humboldthain - Stettiner Bahnhof,30,,,1946,unified,
KBS 103,s-bahn,Potsdamerplatz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd,30,,,1946,unified,
KBS 104,s-bahn,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen-Neuendorf - Frohnau - Hermsdorf - Waidmannslust - Wittenau - Wilhelmsruh - Schönholz - Wollankstr. - Bornholmerstr. - Gesundbrunnen - Humboldthain - Stettiner Bahnhof,30,,,1946,unified,
KBS 104a,s-bahn,Friedrichstr. - Unter den Linden - Potsdamerplatz - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauerstr. - Zehlendorf - Zehlendorf West - Schlachtensee - Nikolassee - Wannsee - Dreilinden,30,,,1946,unified,
KBS 105,s-bahn,Velten - Hohenschöpping - Hennigsdorf - Heiligensee - Schulzendorf - Tegel - Eichbornstr. - Wittenau - Reinickendorf - Schönholz - Wollankstr. - Bornholmerstr. - Gesundbrunnen - Humboldthain - Stettiner Bahnhof,30,,,1946,unified,
KBS 105a,s-bahn,Potsdamerplatz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade - Mahlow - Dahlewitz - Rangsdorf,40,,,1946,unified,
KBS 101,s-bahn,Potsdam - Babelsberg - Griebnitzsee - Wannsee - Nikolassee - Grunewald - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Börse - Alexanderplatz - Jannowitzbrücke - Schlesischer Bahnhof - Warschauerstr. - Ostkreuz - Neu-Lichtenberg - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf,15,,,1946,unified,
1,tram,Hackescher Markt - Rosenthalerstr. - Rosenthalerplatz - Invalidenstr. - Stettiner Bhf. - Friedrichstr. - Weidendammbrücke - Prinz-Louis-Ferdinandstr. - Dorotheenstr. - Hindenburgplatz - Potsdamerplatz - Anhalter Bahnhof,10,,,1946,unified,frequency range 10-15 minutes
21,tram,Wiebestr. - Thälmannstr. Ecke Waldstr. - Rathenowerstr. - Alt-Moabit - Moltkebrücke - Lehrter Bhf. - Moltkestr. - Fürst-Bismarckstr. - Königsplatz - Hindenburgplatz - Potsdamerplatz - Anhalter Bhf.,6,,,1946,unified,frequency range 6-15 minutes
