,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
108,A 75,Munsterdamm Ecke Steglitzer Damm - Bergstrasse Ecke Bismarckstrasse - Lauenburger Platz - Kaisereiche - Innsbrucker Platz - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Am Karlsbad - Askanischer Platz - U-Bhf. Kochstrasse - Oranienstrasse - U-Bhf. Moritzplatz - Skalitzer Strasse - Spreewaldplatz - Wiener Brücke,10.0,42.0,bus,West,1961
109,A 76,Blohmstrasse Ecke Wünsdorfer Strasse - Bhf. Lichtenrade - Marienfelder Strasse Ecke Lichtenrader Damm - Goethestrasse Ecke Lichtenrader Damm - Buckower Chaussee Ecke Lichtenrader Damm - Rennbahn - Alt-Mariendorf Ecke Tempelhofer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Burgemeister Strasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring - Flughafen Tempelhof - Platz der Luftbrücke,10.0,36.0,bus,West,1961
110,A 77,Daimlerstrasse - Bhf. Marienfelde - Körtingstrasse - Mariendorfer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Markgrafenstrasse Ecke Mariendorfer Damm - Burgemeister Strasse Ecke Tempelhofer Damm - Rathaus Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring - Paradestrasse - Flughafen Tempelhof - Platz der Luftbrücke,10.0,25.0,bus,West,1961
118,A S1,Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Luisenplatz - Fürstenbrunner Weg - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Rathaus Spandau - Hafenplatz - Lynastrasse - Klinkeplatz - Hohenzollernring,15.0,28.0,bus,West,1961
119,A S2,"Bhf. Zoo - HardenbergStrasse - Kurfürstendamm - Rankeplatz, Bundeshaus - Berliner Strasse - Bundesplatz - Schlossstrasse, Wilhelm-Schreiber-Platz - Canovastrasse - Attilaplatz - Mariendorfer Damm - Alt-Mariendorf - Tauernallee, Adlermühle - Buckower Chaussee - Lichtenrade, Goethestrasse - Goltzstrasse - Bhf. Lichtenrade - Lichtenrade, Blohmstrasse Ecke  Wünsdorfer Strasse",20.0,40.0,bus,West,1961
120,A S3,"Bhf. Zoo - HardenbergStrasse - Kurfürstendamm - Rankeplatz/Bundeshaus - U-Bhf. Fehrbelliner Platz - Bhf. Hohenzollerndamm - Berkaer Strasse, Elsterplatz - Roseneck - Pücklerstrasse - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Sundgauer Strasse - Winfriedstrasse - Clayallee/Teltower Damm - Rathaus Zehlendorf",15.0,24.0,bus,West,1961
122,A I,Gleisdreieck - Bülowstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsche Oper (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz,10.0,18.5,u-bahn,West,1961
123,A II,Kottbusser Tor - Prinzenstrasse - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstrasse - Nollendorfplatz - Wittenbergplatz - Augsburger Str. - Spichernstr. (Bundesallee) - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10.0,36.5,u-bahn,West,1961
124,A III,Deutsche Oper (Bismarckstr.) - Richard-Wagner-Platz,10.0,1.5,u-bahn,West,1961
125,B I,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsche Oper (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz - Neu-Westend - Olympia-Stadion - Ruhleben,10.0,35.5,u-bahn,West,1961
126,B II,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Augsburger Str. - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10.0,40.0,u-bahn,West,1961
127,B III,Nollendorfplatz - Viktoria-Luise-Platz - Bayerischer Platz - Rathaus Schöneberg - Innsbrucker Platz (Hauptstr.),5.0,6.0,u-bahn,West,1961
128,C I,Tegel - Borsigwerke - Holzhauser Str. - Seidelstr. (Flughafen Tegel) - Scharnweberstr. (Eichborndamm) - Kurt-Schumacher-Platz - Afrikanische Str. - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Bahnhof Friedrichstr. (Stadtbahn) - Kochstr. - Hallesches Tor - Mehringdamm - Gneisenaustr. - Südstern - Hermannplatz - Rathaus Neukölln - Karl-Marx-Str. - Neukölln (Südring) - Grenzallee,5.0,40.0,u-bahn,West,1961
129,C II,Mehringdamm - Flughafen - Paradestr. - Tempelhof (Südring),5.0,5.0,u-bahn,West,1961
130,D,Gesundbrunnen - Voltastr. - Moritzplatz - Kottbusser Tor - Kottbusser Damm (Schönleinstr.) - Hermannplatz - Boddinstr. - Leinestr.,10.0,19.5,u-bahn,West,1961
133,KBS 100,Gesundbrunnen - Wedding - Putlitzstr. - Beusselstr. - Jungfernheide - Westend - Witzleben - Westkreuz - Halensee - Hohenzollerndamm - Schmargendorf - Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Sonnenallee,,,s-bahn,West,1961
134,KBS 100a,Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Köllnische Heide - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,,,s-bahn,West,1961
135,KBS 100c,Gartenfeld - Siemensstadt - Wernerwerk - Jungfernheide,,,s-bahn,West,1961
137,KBS 101,Spandau West - Spandau - Pichelsberg - Olympiastadion - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr.,,,s-bahn,West,1961
141,KBS 102,Wannsee - Nikolassee - Grunewald - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr.,,,s-bahn,West,1961
145,KBS 103a,Spandau West - Spandau - Siemensstadt-Fürstenbrunn - Jungfernheide,,,s-bahn,West,1961
146,KBS 104a,Zehlendorf - Düppel-Kleinmachnow,,,s-bahn,West,1961
147,KBS 104,Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Lindenthaler Allee - Schlachtensee - Nikolassee - Wannsee,,,s-bahn,West,1961
150,KBS 105,Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstr. - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade,,,s-bahn,West,1961
152,KBS 106,Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd,,,s-bahn,West,1961
162,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),Kladow - Wannsee,60.0,20.0,Fähre,West,1961
