,stop_id,stop_name,type,in_lines
755,756,Tauroggener Strasse Ecke Osnabrücker Strasse,bus,{'A72x'}
756,757,Tauroggener Strasse Ecke Osnabrücker Strasse,strassenbahn,{'3x'}
757,758,Tegel,s-bahn,{'KBS 105'}
758,759,Tegel,u-bahn,{'C I'}
759,760,Tegeler Strasse Ecke Trifstrasse,bus,{'A64x'}
760,761,Tegelort,bus,{'A20'}
761,762,Teichstrasse,bus,{'A61s'}
762,763,Teltower Damm,bus,"{'A10', 'A48s', 'A53x'}"
763,764,Teltower Strasse,bus,"{'A5s', 'AS1s', 'A31s'}"
764,765,Teltower Strasse,strassenbahn,"{'53x', '54x'}"
765,766,Tempehofer Damm Ecke Friedrich-Karl-Strasse,bus,{'A68x'}
766,767,Tempelhof,s-bahn,"{'KBS 100a', 'KBS 100'}"
767,768,Tempelhof (Südring),u-bahn,{'C II'}
768,769,Tempelhofer Damm,bus,{'A24x'}
769,770,Tempelhofer Damm Ecke Friedrich-Karl-Strasse,bus,{'A25x'}
770,771,Tempelhofer Weg Ecke Britzer Damm,bus,{'A25x'}
771,772,Tempelhofer Weg Ecke Britzer Damm,strassenbahn,{'27x'}
772,773,Thielallee/Pacelliallee,bus,{'A68x'}
773,774,Thielplatz,u-bahn,"{'A II', 'B II'}"
774,775,Thorwaldsenstrasse,strassenbahn,{'66x'}
775,776,Thuner Platz,bus,{'A53x'}
776,777,Thuyring,bus,"{'A76x', 'A77x'}"
777,778,Tiergarten,s-bahn,"{'KBS 101', 'KBS 102'}"
778,779,Tiergartenstrasse,bus,"{'A69x', 'A16', 'A24x'}"
779,780,Tor 5,bus,{'A15'}
780,781,Trabener Strasse,bus,{'A69x'}
781,782,Traegerstrasse,strassenbahn,{'66x'}
782,783,Transvaalstrasse Ecke Africkanische Strasse,bus,{'A64x'}
783,784,Triftweg,bus,{'A52s'}
784,785,Trippsteinstrasse,bus,"{'A2', 'A11'}"
785,786,TurmStrasse,bus,{'A16'}
786,787,Turmstrasse Ecke Stromstrasse,bus,{'A72x'}
787,788,Turmstrasse/Rathenower Strasse,bus,{'A70x'}
788,789,U-Bhf Kottbusser Tor,bus,{'A28s'}
789,790,U-Bhf. Boddinstrasse,bus,{'A4x'}
790,791,U-Bhf. Boddinstrasse,strassenbahn,{'27x'}
791,792,U-Bhf. Bülowstrasse,bus,"{'A48s', 'A75x'}"
792,793,U-Bhf. Bülowstrasse,strassenbahn,"{'73s', '74s'}"
793,794,U-Bhf. Dahlem-Dorf,bus,{'A68x'}
794,795,U-Bhf. Ernst-Reuter-Platz,bus,"{'A62x', 'AS1s', 'A25x'}"
795,796,U-Bhf. Ernst-Reuter-Platz,strassenbahn,{'55x'}
796,797,U-Bhf. Fehrbelliner Platz,bus,"{'A4x', 'A1s', 'AS3s', 'A21'}"
797,798,U-Bhf. Flughafen,bus,"{'A4x', 'A19'}"
798,799,U-Bhf. Flughafen,strassenbahn,{'96x'}
799,800,U-Bhf. Gesundbrunnen,bus,"{'A14', 'A64x'}"
800,801,U-Bhf. Grenzallee,bus,{'A67s'}
801,802,U-Bhf. Grenzallee,strassenbahn,{'47x'}
802,803,U-Bhf. Hallesches Tor,bus,{'A24x'}
803,804,U-Bhf. Heidelberg Platz,bus,{'A65x'}
804,805,U-Bhf. Heidelberger Platz,bus,{'A60s'}
805,806,U-Bhf. Kaiserdamm,bus,"{'A10', 'A65x'}"
806,807,U-Bhf. Kochstrasse,bus,{'A75x'}
807,808,U-Bhf. Kottbusser Tor,bus,{'A67s'}
808,809,U-Bhf. Krumme Lanke,bus,"{'A53x', 'A3'}"
