line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30),profile,capacity
19601_unified,1960,1,tram,Schillingbrücke (Ostbahnhof)<> Am Kupfergraben,33,7.7,unified,20.0,,195
19602_unified,1960,11,tram,"Köpenickerstr. Ecke Adalbertstr.<> Oranienburger Tor, Hannoverschestr.",23,5.4,unified,20.0,,195
19603_unified,1960,13,tram,"Klingenberg, Blockdammweg<> Oderbergerstr.",37,9.9,unified,7.0,,195
19604_unified,1960,15,tram,Daimlerstr.<> Schulenburgpark,36,,unified,15.0,,195
19605_unified,1960,2,tram,Wollinerstr.<> Spreewaldplatz,70,,unified,15.0,,195
19606_unified,1960,22,tram,Bhf. Rosenthal<> Elisabethstr.,49,11.7,unified,13.0,,195
19607_unified,1960,25,tram,Wollinerstr.<> Gotenstr.,68,,unified,15.0,,195
19608_unified,1960,26,tram,Spreewaldplatz<> Industriestr.,31,,unified,15.0,,195
19609_unified,1960,27,tram,Hobrechtstr.<> Alt-Buckow,26,,unified,10.0,,195
196010_unified,1960,3,tram,Mühlenstr.<> Björnsonstr.,45,12.1,unified,10.0,,195
196011_unified,1960,3,tram,Hobrechtstr.<> Grüntalerstr.,79,,unified,10.0,,195
196012_unified,1960,35,tram,Nonnendammallee<> Bhf. Wilhelmsruh,48,,unified,15.0,,195
196013_unified,1960,4,tram,Mühlenstr.<> Oderbergerstr.,27,6.3,unified,8.0,,195
196014_unified,1960,44,tram,Sandkrugbrücke<> Birkbuschstr.,58,,unified,15.0,,195
196015_unified,1960,46,tram,"Niederschönhausen, Schillerstr.<> Clara-Zetkinstr.",51,12.1,unified,15.0,,195
196016_unified,1960,46E,tram,"Niederschönhausen, Idastr. Bzw. Nordend<> Oranienburger Tor, Hannoverschestr.",41,9.8,unified,15.0,,195
196017_unified,1960,47,tram,Hermannplatz<> Bahnhofstr.,34,,unified,10.0,,195
196018_unified,1960,49,tram,"Buchholz, Hauptstr.<> Hackescher Markt, Große Präsidentenstr.",41,10.6,unified,8.0,,195
196019_unified,1960,53,tram,Nollendorfplatz<> Hakenfelde,59,,unified,20.0,,195
196020_unified,1960,54,tram,Nollendorfplatz<> Johannesstift,60,,unified,20.0,,195
196021_unified,1960,55,tram,Nollendorfplatz<> Nauenerstr.,54,,unified,12.0,,195
196022_unified,1960,6,tram,Wintersteinstr.<> Elsenstr.,57,,unified,10.0,,195
196023_unified,1960,60,tram,Königin-Elisabethstr.<> Eythstr.,49,,unified,15.0,,195
196024_unified,1960,63,tram,"Hohenschönhausen, Gartenstadt<> Hackescher Markt, Große Präsidentenstr.",38,10.2,unified,20.0,,195
196025_unified,1960,64,tram,"Hohenschönhausen, Falkenbergerstr.<> Dönhoffplatz",39,10.2,unified,20.0,,195
196026_unified,1960,66,tram,Belzigerstr.<> Bergstr.,12,,unified,10.0,,195
196027_unified,1960,69,tram,"Johannisthal, Haeckelstr.<> Walter-Ulbricht-Stadion",82,21.4,unified,20.0,,195
196028_unified,1960,69E,tram,"Johannisthal, Haeckelstr.<> Kniprodestr.",59,16.3,unified,20.0,,195
196029_unified,1960,70,tram,"Hohenschönhausen, Falkenbergerstr.<> Am Kupfergraben (Haus der Frau)",49,11.9,unified,12.0,,195
196030_unified,1960,71,tram,"Heinersdorf, Romain-Rollandstr.<> Jüdenstr., Molkenmarkt",32,7.6,unified,10.0,,195
196031_unified,1960,72,tram,"Weißensee, Pasedagplatz<> Taubenstr.",46,10.5,unified,13.0,,195
196032_unified,1960,73,tram,Bhf. Lichterfelde-Ost<> Potsdamerplatz,42,,unified,20.0,,195
196033_unified,1960,74,tram,Finckensteinallee<> Potsdamerplatz,39,,unified,20.0,,195
196034_unified,1960,74,tram,"Weißensee, Pasedagplatz<> Leipzigerplatz",39,10.2,unified,8.0,,195
196035_unified,1960,74E,tram,"Klement-Gottwald-Allee<> Jüdenstr., Molkenmarkt",26,7.5,unified,8.0,,195
196036_unified,1960,75,tram,"Bhf. Zoo, Kantstr.<> Hakenfelde",57,,unified,20.0,,195
196037_unified,1960,76,tram,"Spandau, Johannesstift<> Kanststr. Ecke Joachimsthalerstr.",60,,unified,20.0,,195
196038_unified,1960,77,tram,Bhf. Zoo<> Goerzallee,49,,unified,20.0,,195
196039_unified,1960,78,tram,Bhf. Zoo<> Lichterfelde Süd Lindenstr.,48,,unified,20.0,,195
196040_unified,1960,82,tram,"Mahlsdorf-Süd, Hubertus<> Elisabethstr.",75,20.9,unified,20.0,,195
196041_unified,1960,83,tram,Wendenschloß Ecke Ekhofstr.<> S-Bhf. Mahlsdorf,47,,unified,20.0,,195
196042_unified,1960,84,tram,"Altglienicke, Am Falkenberg<> Friedrichshagen, Wasserwerk",52,,unified,20.0,,195
196043_unified,1960,86,tram,"Alt-Schmöckwitz<> Mahlsdorf-Süd, Hubertus",53,,unified,20.0,,195
196044_unified,1960,87,tram,Rahnsdorf<> Wiener Brücke,73,21.6,unified,20.0,,195
196045_unified,1960,88,tram,Stadtpark<> Wiener Brücke,45,,unified,15.0,,195
196046_unified,1960,92,tram,"Treptow, Flutgraben<> Bhf. Oberspree",38,,unified,20.0,,195
196047_unified,1960,95,tram,Attilaplatz<> Schwarzerweg,42,,unified,15.0,,195
196048_unified,1960,95,tram,"Baumschulenweg, Sonnenallee<> Köpenick, Krankenhaus",0,,unified,20.0,,195
196049_unified,1960,96,tram,"Machnower Schleuse<> Teltow, Paul-Gerhardtstr.",24,7.0,unified,20.0,,195
196050_unified,1960,96,tram,U-Bhf. Tempelhof<> Schwelmerstr.,33,,unified,15.0,,195
196051_unified,1960,98,tram,Mehringplatz (Hallesches Tor)<> Daimlerstr. Ecke Birnhornweg,35,,unified,15.0,,195
196052_unified,1960,99,tram,Lindenstr.<> Bhf. Lichtenrade,49,,unified,15.0,,195
196053_unified,1960,A1,autobus,Waldstr.<> Lindenstr.,58,,unified,15.0,,0
196054_unified,1960,A10,autobus,"Haselhorst, Kirche<> Lupsteinerweg",62,,unified,15.0,,0
196055_unified,1960,A11,autobus,Saargemünderstr.<> Trippsteinstr.,26,,unified,10.0,,0
