,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19821,1982,1,bus,"Moabit, Waldstrasse Ecke Turmstrasse<> Lichterfelde, Lindenstrasse",69,West,12
1,19822,1982,10,bus,"Haselhorster Damm<> Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",67,West,12
2,19823,1982,11,bus,Dahlem Waldfriedhof<> U-Bhf. Alt-Mariendorf,43,West,12
3,19824,1982,11,strassenbahn,S-Bhf. Marzahn<> Stadion der Weltjugend,47,Ost,20
4,19825,1982,12,bus,"Wedding, Bernauer Strasse<> Maximiliankorso Ecke Hainbuchenstrasse",61,West,15
5,19826,1982,12,strassenbahn,S-Bhf. Marzahn<> Scharnweberstrasse,27,Ost,20
6,19827,1982,13,bus,Alt-Heiligensee<> Spandau Weinmeisterhornweg,66,West,12
7,19828,1982,13,strassenbahn,Eberswalder Strasse<> Hönower Wiesenweg,40,Ost,10
8,19829,1982,14,bus,U-Bhf. Osloer Strasse<> Alt-Heiligensee,60,West,15
9,198210,1982,14E,bus,Alt-Heiligensee<> Falkenplatz,9,West,30
10,198211,1982,15,bus,Wittenauer Strasse Märkisches Viertel<> Frohnau Invalidensiedlung,58,West,20
11,198212,1982,15,strassenbahn,"Bhf. Lichtenberg<> Hackescher Markt""",37,Ost,20
12,198213,1982,16,bus,Reinickendorf Klemkestrasse/Sommerstrasse<> Breitenbachplatz,63,West,15
13,198214,1982,17,bus,Grundewald Fontanestrasse<> Lichterfelde Celsiusstrasse,56,West,12
14,198215,1982,17,strassenbahn,Besarinstrasse<> Haeckelstrasse,56,Ost,12
15,198216,1982,18,bus,U-Bhf. Oskar-Helene-Heim<> Steinstücken,33,West,20
16,198217,1982,18,strassenbahn,"Biesdorf, Elisabethstrasse<> Stadion der Weltjugend",49,Ost,20
17,198218,1982,19,bus,Grunewald Roseneck<> Platz der Luftbrücke,44,West,10
18,198219,1982,19,strassenbahn,"Köpenick, Krankenhaus<> Artur-Becker-Strasse",68,Ost,20
19,198220,1982,2,bus,"U-Bhf. Friedrich-Wilhelm-Platz<> Marienfelde, Waldsassener Strasse",36,West,7
20,198221,1982,20,bus,Tegelort<> Lübars Alt-Lübars,41,West,15
21,198222,1982,20,strassenbahn,Bhf. Lichtenberg<> Hackerscher Markt,50,Ost,20
22,198223,1982,21,bus,Quickborner Strasse Märkisches Viertel<> Fehrbelliner Platz,63,West,20
23,198224,1982,21,strassenbahn,"Eberswalder Strasse<> Köpenick, Krankenhaus",72,Ost,20
24,198225,1982,22,bus,U-Bhf. Osloer Strasse<> Waidmannslust Titiseestrasse,37,West,15
25,198226,1982,22,strassenbahn,"Rosenthal, Quickborner Strasse<> Am Kupfergraben",50,Ost,15
26,198227,1982,23,bus,Falkenhöhe<> Rudower Chaussee,28,Ost,20
27,198228,1982,23,bus,"Zoo, Hardenbergplatz<> Saatwinkler Damm Mäkeritzwiesen",50,West,15
28,198229,1982,24,bus,Moabit Wiebestrasse<> Platz der Luftbrücke,43,West,15
29,198230,1982,24,strassenbahn,Pasedagplatz<> Stadion der Weltjugend,36,Ost,12
30,198231,1982,25,bus,Britz-Süd<> U-Bhf. Friedrich-Wilhelm-Platz,39,West,15
31,198232,1982,25,strassenbahn,Sterndamm<> Rahnsdorf,47,Ost,20
32,198233,1982,26,strassenbahn,"Sterndamm<> Köpenick, Krankenhaus",26,Ost,20
33,198234,1982,27,bus,S-Bhf. Kaulsdorf<> Alt-Müggelheim,41,Ost,10
34,198235,1982,28,bus,U-Bhf. Tempelhof<> Schlesische Strasse Ecke Heckmannufer,44,West,15
35,198236,1982,29,bus,"Grunewald, Roseneck<> Oranienplatz",45,West,10
36,198237,1982,3,bus,"Düppel-Süd<> Wannsee, Heckeshorn",46,West,15
37,198238,1982,3,strassenbahn,Björnsonstrasse<> S-Bhf. Warschauer Strasse,43,Ost,10
38,198239,1982,30,bus,Robert-Koch-Platz<> Ostbahnhof,67,Ost,15
39,198240,1982,30,bus,U-Bhf. Rathaus Steglitz<> Lichtenrade Nahariyastrasse,37,West,20
40,198241,1982,31,bus,"Buch, Hobrechtsfelder Chaussee<> Ostseestrasse",39,Ost,20
41,198242,1982,31,bus,U-Bhf. Ruhleben<> Staaken Heidebergplan,28,West,10
42,198243,1982,32,bus,Hans-Beimler-Strasse<> Otto-Grotewohl-Strasse,22,Ost,6
43,198244,1982,32,bus,U-Bhf. Rathaus Steglitz<> Marienfelde Bahnstrasse,28,West,10
44,198245,1982,33,bus,Grumbkowstrasse<> U-Bhf. Pankow,17,Ost,20
45,198246,1982,33,bus,U-Bhf. Breitenbachplatz<> Mariendorf Rixdorfer Strasse Ecke Dirschelweg,29,West,10
46,198247,1982,34,bus,U-Bhf. Marchlewskistrasse<> Alt-Stralau,17,Ost,15
47,198248,1982,34,bus,"Spandau, Wasserwerk<> Glienicke Gutshof",50,West,20
48,198249,1982,35,bus,"Biesdorf-Süd, Köpenicker Strasse<> S-Bhf. Nöldnerplatz",32,Ost,20
49,198250,1982,35,bus,U-Bhf. Ruhleben<> Kladow Hottengrund,37,West,20
50,198251,1982,36,bus,"S-Bhf. Grünau<> Schönefeld, Dorfstrasse",18,Ost,10
51,198252,1982,361,bus,Flughafen Schönefeld<> Flughafen Schönefeld,9,Ost,20
52,198253,1982,362,bus,Flughafen Schönefeld<> Flughafen Schönefeld,6,Ost,20
53,198254,1982,37,bus,S-Bhf. Grünau<> Rudower Strasse,12,Ost,30
54,198255,1982,38,bus,S-Bhf. Grünau<> Diepensee,25,Ost,60
