,stop_id,stop_name,type,location,in_lines,identifier
0,19820,Achtermannstrasse,bus,"52.57652468032656, 13.418517187666131",{'52'},nan
1,19821,Adalbertstrasse,bus,"52.50548699996121, 13.42221404498021","{'78', '78E'}",nan
2,19822,Adamstrasse,bus,"52.521029117218866, 13.19780699419913","{'97', '34'}",nan
3,19823,Adamstrasse,bus,"52.52107002529741, 13.187973386740664","{'13', '35'}",nan
4,19824,Adamstrasse/Wilhelmstrasse,bus,"52.5210885080291, 13.18793717048703",{'92'},nan
5,19825,Adenauer Platz,u-bahn,"52.499722, 13.307222",{'7'},Q570939
6,19826,Adlershof,s-bahn,"52.434722222222,13.541388888889","{'141', '115', '140', '110'}",Q323551
7,19827,Adolf-Martens-Strasse,bus,"52.4439303939079, 13.288858198599703",{'11'},nan
8,19828,Adolf-Scheidt-Platz/Krankenhaus,bus,"52.47818518185836, 13.37828632745728",{'96'},nan
9,19829,Afrikanische Strasse,bus,"52.54630534791768, 13.343982606132034","{'89', '65'}",nan
10,198210,Afrikanische Strasse,u-bahn,"52.560027777778,13.334633333333",{'6'},Q559239
11,198211,Ahrensdorfer Strasse,bus,"52.40904426274492, 13.359316733496573",{'52'},nan
12,198212,"Ahrensfelde, Kirche",bus,"52.57532251281871, 13.576456279814597",{'41'},nan
13,198213,Akademie der Wissenschaften,bus,"52.6361286884856, 13.501898618531815",{'51E'},nan
14,198214,Albertstrasse,bus,"52.4844490887776, 13.352821218973295",{'48'},nan
15,198215,Alboinplatz,bus,"52.46105995730699, 13.369787146273511",{'74'},nan
16,198216,Alboinstrasse,bus,"52.455726944420924, 13.369959548978303","{'68', '25'}",nan
17,198217,Alboinstrasse,bus,"52.469830364927105, 13.372107866799311","{'74', '73', '65'}",nan
18,198218,Albrechtstrasse,bus,"52.44699308706475, 13.342439352513631","{'2', '81', '83'}",nan
19,198219,Albrechtstrasse,bus,"52.45654850047487, 13.322386656459386","{'84', '17', '30'}",nan
20,198220,Albrechtstrasse,bus,"52.461538575992826, 13.376822231146619","{'96', '68'}",nan
21,198221,Alexanderplatz,bus,"52.5219449,13.4143847","{'78', '9', '78E'}",nan
22,198222,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","{'143', '100', '115', '105', '110'}",Q111324700
23,198223,Alexanderplatz,u-bahn,"52.5214,13.4119","{'A', 'E'}",Q17173458
24,198224,Alexanderstrasse,bus,"52.51778540833277, 13.418077932963259",{'79'},nan
