,stop_name,line_count,type,in_lines
184,Halensee,1,s-bahn,['KBS 150']
185,Hohenzollerndamm,1,s-bahn,['KBS 150']
186,Schmargendorf,1,s-bahn,['KBS 150']
187,Wilmersdorf,1,s-bahn,['KBS 150']
188,Innsbrucker Platz,1,s-bahn,['KBS 150']
189,Schöneberg,2,s-bahn,"['KBS 154', 'KBS 150']"
190,Papestr.,1,s-bahn,['KBS 150']
191,Tempelhof,2,u-bahn,['6']
192,Tempelhof,2,s-bahn,['KBS 150']
193,Hermannstr.,1,s-bahn,['KBS 150']
194,Neukölln,2,u-bahn,['7']
195,Neukölln,2,s-bahn,['KBS 150']
196,Sonnenallee,1,s-bahn,['KBS 150']
197,Frohnau,1,s-bahn,['KBS 154']
198,Hermsdorf,1,s-bahn,['KBS 154']
199,Waidmannslust,1,s-bahn,['KBS 154']
200,Wittenau (Nordbahn),1,s-bahn,['KBS 154']
201,Wilhelmsruh,1,s-bahn,['KBS 154']
202,Schönholz,3,s-bahn,"['KBS 153', 'KBS 154', 'KBS 152']"
203,Wollankstr.,1,s-bahn,['KBS 154']
204,Gesundbrunnen,5,u-bahn,['8']
205,Gesundbrunnen,5,s-bahn,"['KBS 153', 'KBS 154', 'KBS 150', 'KBS 152']"
206,Humboldthain,3,s-bahn,"['KBS 153', 'KBS 154', 'KBS 152']"
207,Friedrichstr.,2,s-bahn,"['KBS 157', 'KBS 154']"
208,Anhalter Bahnhof,3,s-bahn,"['KBS 153', 'KBS 154', 'KBS 152']"
209,Großgörschenstr.,1,s-bahn,['KBS 154']
210,Schöneberg,2,s-bahn,"['KBS 154', 'KBS 150']"
211,Friedenau,1,s-bahn,['KBS 154']
212,Feuerbachstr.,1,s-bahn,['KBS 154']
213,Steglitz,1,s-bahn,['KBS 154']
214,Botanischer Garten,1,s-bahn,['KBS 154']
215,Lichterfelde West,1,s-bahn,['KBS 154']
216,Sundgauer Str.,1,s-bahn,['KBS 154']
217,Zehlendorf,2,s-bahn,"['KBS 155', 'KBS 154']"
218,Lindenthaler Allee,1,s-bahn,['KBS 154']
219,Schlachtensee,1,s-bahn,['KBS 154']
220,Nikolassee,2,s-bahn,"['KBS 156', 'KBS 154']"
221,Wannsee,2,s-bahn,"['KBS 156', 'KBS 154']"
222,Zehlendorf,2,s-bahn,"['KBS 155', 'KBS 154']"
223,Zehlendorf Süd,1,s-bahn,['KBS 155']
224,Düppel,1,s-bahn,['KBS 155']
225,Friedrichstr.,2,s-bahn,"['KBS 157', 'KBS 154']"
226,Lehrter Stadtbahnhof,2,s-bahn,"['KBS 156', 'KBS 157']"
227,Bellevue,2,s-bahn,"['KBS 156', 'KBS 157']"
228,Tiergarten,2,s-bahn,"['KBS 156', 'KBS 157']"
229,Zoologischer Garten,4,u-bahn,"['9', '1']"
230,Zoologischer Garten,4,s-bahn,"['KBS 156', 'KBS 157']"
231,Savignyplatz,2,s-bahn,"['KBS 156', 'KBS 157']"
232,Charlottenburg,2,s-bahn,"['KBS 156', 'KBS 157']"
233,Westkreuz,3,s-bahn,"['KBS 156', 'KBS 157', 'KBS 150']"
234,Eichkamp,1,s-bahn,['KBS 157']
235,Heerstr.,1,s-bahn,['KBS 157']
236,Olympiastadion,1,s-bahn,['KBS 157']
237,Pichelsberg,1,s-bahn,['KBS 157']
238,Spandau,2,s-bahn,"['KBS 157', 'KBS 158']"
239,Spandau West,2,s-bahn,"['KBS 157', 'KBS 158']"
240,Staaken,1,s-bahn,['KBS 157']
241,Beusselstr.,3,s-bahn,"['KBS 158', 'KBS 150', 'KBS 159']"
242,Jungfernheide,3,s-bahn,"['KBS 158', 'KBS 150', 'KBS 159']"
243,Siemensstadt-Fürstenbrunn,1,s-bahn,['KBS 158']
244,Spandau,2,s-bahn,"['KBS 157', 'KBS 158']"
245,Spandau West,2,s-bahn,"['KBS 157', 'KBS 158']"
246,Beusselstr.,3,s-bahn,"['KBS 158', 'KBS 150', 'KBS 159']"
247,Jungfernheide,3,s-bahn,"['KBS 158', 'KBS 150', 'KBS 159']"
248,Wernerwerk,1,s-bahn,['KBS 159']
249,Siemensstadt,1,s-bahn,['KBS 159']
250,Gartenfeld,1,s-bahn,['KBS 159']
