,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
102,Papestr.,s-bahn,['KBS 150'],"52.4756,13.3644",Q111323139,"['KBS 100', 'KBS 103', 'KBS 105a']+ ['KBS 100a', 'KBS 106', 'KBS 105b', 'KBS 100']+ ['KBS 106', 'KBS 100', 'KBS 100a', 'KBS 105']+ KBS 105,KBS 100a,KBS 100,KBS 106+ KBS 100,KBS 100a,KBS 105,KBS 106+ KBS 100d,KBS 100c,KBS 100,KBS 100k+ ['KBS 100k', 'KBS 100c', 'KBS 100', 'KBS 100d']+ ['KBS 151', 'KBS 150', 'KBS 153', 'KBS 152']",nan+ nan+ nan+ S-Bahnhof Berlin Südkreuz+ S-Bahnhof Berlin Südkreuz+ S-Bahnhof Berlin Südkreuz+ nan+ nan
103,Papestrasse,s-bahn,"['KBS 153', 'KBS 152']","52.4756,13.3644",Q376589,"['KBS 153', 'KBS 152']+ 152,153+ 2+ 2",nan+ nan+ nan+ nan
104,Paradestr.,u-bahn,['6'],"52.478055555556,13.386111111111",Q557543,C II+ C II+ C II+ ['6']+ ['6'],Paradestraße metro station+ Paradestraße metro station+ Paradestraße metro station+ nan+ nan
105,Parchimer Allee,u-bahn,['7'],"52.444722222222,13.449444444444",Q571855,C I+ ['7']+ ['7']+ ['7']+ 7+ 7+ 7,nan+ nan+ nan+ nan+ nan+ nan+ nan
106,Pichelsberg,s-bahn,['KBS 157'],"52.5103,13.2271",Q800488,"['KBS 100c']+ ['KBS 101', 'KBS 103']+ ['KBS 101', 'KBS 103']+ KBS 103,KBS 101+ KBS 101+ KBS 100g+ ['KBS 100g']+ ['KBS 157']",nan+ nan+ nan+ Berlin-Pichelsberg railway station+ Berlin-Pichelsberg railway station+ Berlin-Pichelsberg railway station+ nan+ nan
107,Podbielskiallee,u-bahn,['2'],"52.464444444444,13.296388888889",Q571324,"['A2']+ ['A II']+ ['A II']+ B II,A II+ A II,B II+ A II+ ['2']+ ['2']+ ['2']+ 2+ 2+ 2",nan+ nan+ nan+ Podbielskiallee+ Podbielskiallee+ Podbielskiallee+ nan+ nan+ nan+ nan+ nan+ nan
108,Priesterweg,s-bahn,"['KBS 153', 'KBS 152']","52.4601,13.3563",Q800508,"['KBS 105a', 'KBS 103']+ ['KBS 106', 'KBS 105b']+ ['KBS 106', 'KBS 105']+ KBS 105,KBS 106+ KBS 105,KBS 106+ KBS 100d,KBS 100c+ ['KBS 100c', 'KBS 100d']+ ['KBS 153', 'KBS 152']+ ['KBS 153', 'KBS 152']+ 152,153+ 2+ 2",nan+ nan+ nan+ Priesterweg railway station+ Priesterweg railway station+ Priesterweg railway station+ nan+ nan+ nan+ nan+ nan+ nan
109,Prinzenstr.,u-bahn,['1'],"52.498333333333,13.406111111111",Q689797,"['B I']+ B II,B I+ B II,B I+ A I,A II+ ['1']+ ['1']",nan+ Prinzenstraße+ Prinzenstraße+ Prinzenstraße+ nan+ nan
110,Putlitzstr.,s-bahn,['KBS 150'],"52.536,13.344",Q465972,"['KBS 100']+ ['KBS 100']+ ['KBS 100', 'KBS 103a']+ KBS 100,KBS 103a,KBS 100c+ KBS 100+ KBS 100a,KBS 100+ ['KBS 100a', 'KBS 100']+ ['KBS 150', 'KBS 158']",nan+ nan+ nan+ Berlin Westhafen station+ Berlin Westhafen station+ Berlin Westhafen station+ nan+ nan
111,Putlitzstr. (Westhafen),u-bahn,['9'],"52.536,13.344",Q465972,['9']+ ['9'],nan+ nan
112,Rathaus Neukölln,u-bahn,['7'],"52.481666666667,13.434166666667",Q628770,['C']+ ['C I']+ ['C I']+ C I+ C I+ C I+ ['7']+ ['7']+ ['7']+ 7+ 7+ 7,nan+ nan+ nan+ Rathaus Neukölln+ Rathaus Neukölln+ Rathaus Neukölln+ nan+ nan+ nan+ nan+ nan+ nan
113,Rathaus Schöneberg,u-bahn,['4'],"52.483116666667, 13.341930555556+52.483116666667,13.341930555556",Q570926,['B II']+ B III+ B III+ ['4']+ ['4']+ ['4']+ 4+ 4+ 4,nan+ Rathaus Schöneberg+ Rathaus Schöneberg+ nan+ nan+ nan+ nan+ nan+ nan
114,Rathaus Steglitz,u-bahn,['9'],"52.456794,13.320901",Q28945859,['9']+ 9+ 9+ 9,nan+ nan+ nan+ nan
115,Rehberge,u-bahn,['6'],"52.5567,13.3412",Q253850,"['C I']+ C II,C I+ C I+ C I+ ['6']+ ['6']+ ['6']+ 6+ 6+ 6",nan+ Rehberge+ Rehberge+ Rehberge+ nan+ nan+ nan+ nan+ nan+ nan
