,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Achtermannstrasse,bus,['52'],,,,
1,Adalbertstrasse,bus,"['75', '78']","52.50548699996121, 13.42221404498021",nan,A1P+ ['A18'],nan+ nan
2,Adamstrasse,bus,"['35', '97', '34']","52.521029117218866, 13.19780699419913",nan,"A35,A34+ A34,A35+ A34,A35",Adamstrasse Ecke Pichelsdorfer Strasse+ Adamstrasse Ecke Pichelsdorfer Strasse+ Adamstrasse Ecke Pichelsdorfer Strasse
3,Adamstrasse/Wilhelmstrasse,bus,['92'],,,,
4,Adenauerplatz,bus,"['69', '86', '89', '9', '19', '74', '29']",,,,
5,Adlergestell,bus,['23'],,,,
6,Adlershof,s-bahn,"['110', '140', '141', '115']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a+ ['KBS 103', 'KBS 103a', 'KBS 106a', 'KBS 105']",nan+ nan+ Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station+ nan
7,Adolf-Martens-Strasse,bus,['11'],,,,
8,Adolf-Scheidt-Platz/Krankenhaus,bus,['96'],,,,
9,Afrikanische Strasse,bus,"['89', '65', '64']","52.54630154020319, 13.343855247543928+52.56092107945643, 13.333499647590612",nan,A16+ A64+ A16,Afrikanische Strasse Ecke Seestrasse +  Afrikanische Strasse Ecke Müllerstrasse+ Afrikanische Strasse Ecke Seestrasse
10,Ahrensdorfer Strasse,bus,['52'],,,,
11,Akademie der Wissenschaften,bus,['51'],"52.6361286884856, 13.501898618531815",nan,['51B'],nan
12,Albertstrasse,bus,"['75', '48']",,,,
13,Alboinstrasse,bus,"['73', '68', '65', '74']",,,,
14,Albrechstrasse,bus,"['96', '83']",,,,
15,Albrechtstrasse,bus,"['17', '30', '81', '2', '68', '84']","52.52325414751492, 13.383819128683713",nan,A57,Albrechtstrasse Ecke Rheinhardtstrasse
