stop_order,stop_id,line_id,distance_meters
0,19670_west,19671_west,1735.2765551746902
1,19671_west,19671_west,1565.431090933122
2,19672_west,19671_west,1135.6683704399718
3,19673_west,19671_west,1355.8180204808107
4,19674_west,19671_west,1475.5049441933222
5,19675_west,19671_west,1040.39210388234
6,19676_west,19671_west,1107.8593539327182
7,19677_west,19671_west,858.4661215663443
8,19678_west,19671_west,1169.5923910329373
9,19679_west,19671_west,1819.4127672381328
10,196710_west,19671_west,213.05691126956404
11,196711_west,19671_west,2756.8871354953726
12,196712_west,19671_west,2320.79405417815
13,196713_west,19671_west,105.09489370354105
14,196714_west,19671_west,
0,196715_west,19672_west,1204.1743979381622
1,196716_west,19672_west,995.2863178405228
2,196717_west,19672_west,976.453889981808
3,196718_west,19672_west,820.5545585380394
4,196719_west,19672_west,913.6842276928768
5,196720_west,19672_west,301.3335939143053
6,196721_west,19672_west,785.3647243145775
7,196722_west,19672_west,1077.256570178498
8,196723_west,19672_west,817.0209379911702
9,196724_west,19672_west,1010.5202365266284
10,196725_west,19672_west,483.4124832104844
11,196726_west,19672_west,700.6526887519539
12,196727_west,19672_west,755.2581272915804
13,196728_west,19672_west,447.136958277824
14,196729_west,19672_west,
0,196730_west,19673_west,705.5777556008211
1,196731_west,19673_west,1327.1045025813144
2,196732_west,19673_west,1291.5745304513582
3,196733_west,19673_west,1066.6204098731853
4,196734_west,19673_west,1517.7228294710203
5,196735_west,19673_west,431.08231958946516
6,196736_west,19673_west,937.5261254246851
7,196737_west,19673_west,1881.665239610549
8,196738_west,19673_west,283.90962084362945
9,196739_west,19673_west,1324.672063583711
10,196740_west,19673_west,747.0816084269128
11,196741_west,19673_west,978.1833307134224
12,196742_west,19673_west,282.88879842100255
13,196743_west,19673_west,829.5217932530119
14,196744_west,19673_west,
0,196745_west,19674_west,740.9657389048731
1,196746_west,19674_west,1291.2966798358968
2,196747_west,19674_west,2396.3437035434213
3,196748_west,19674_west,938.5283881493046
4,196749_west,19674_west,1110.3094408250415
5,196750_west,19674_west,2311.9001806151723
6,196751_west,19674_west,2866.354553053162
7,196752_west,19674_west,1941.0864479432269
8,196753_west,19674_west,2385.5197065363454
9,196754_west,19674_west,885.1257510212363
10,196755_west,19674_west,1023.2862502992896
11,196756_west,19674_west,2004.023761513934
12,196757_west,19674_west,901.8973961942263
13,196758_west,19674_west,1620.6192911701128
14,196759_west,19674_west,
0,196760_west,19675_west,81.4025721105861
1,196761_west,19675_west,460.57210129585394
2,196762_west,19675_west,592.7229424489066
3,196763_west,19675_west,640.3835136612162
4,196764_west,19675_west,398.05001790172986
5,196765_west,19675_west,389.56391534336035
6,196766_west,19675_west,1296.2628371546516
7,196767_west,19675_west,386.92984926965903
8,196768_west,19675_west,693.8549867819523
9,196769_west,19675_west,1465.8581220462395
10,196770_west,19675_west,1742.5073595642632
11,196771_west,19675_west,1613.2692440836752
12,196772_west,19675_west,982.7042880844647
13,196773_west,19675_west,852.7590654255971
14,196774_west,19675_west,
0,196775_west,19676_west,1123.559522212062
1,196776_west,19676_west,1379.5987056147897
2,196777_west,19676_west,631.9958150084913
3,196778_west,19676_west,890.5132142696893
4,196779_west,19676_west,1021.8794279159188
5,196780_west,19676_west,694.4398530480072
6,196781_west,19676_west,1494.933457982943
7,196782_west,19676_west,1240.7636024010221
8,196783_west,19676_west,1161.6696154761082
9,196784_west,19676_west,643.8675128694059
10,196785_west,19676_west,903.1216822855902
11,196786_west,19676_west,884.1794777823827
12,196787_west,19676_west,1948.8918690217342
13,196788_west,19676_west,786.08287749183
14,196789_west,19676_west,636.875438862848
15,196790_west,19676_west,
0,196791_west,19677_west,2826.855332759168
1,196792_west,19677_west,1567.1489496605311
2,196793_west,19677_west,1101.513650482816
3,196794_west,19677_west,1644.8155126183262
4,196795_west,19677_west,1077.2644636772245
5,196796_west,19677_west,2228.9001766607175
6,196797_west,19677_west,2044.6289610192368
7,196798_west,19677_west,1077.7748600260222
8,196799_west,19677_west,1909.8423807547163
9,1967100_west,19677_west,661.085821107629
10,1967101_west,19677_west,677.6657717522895
11,1967102_west,19677_west,981.7869841781767
12,1967103_west,19677_west,1095.4671554638992
13,1967104_west,19677_west,795.0012266408863
14,1967105_west,19677_west,
0,1967106_west,19678_west,1828.0193643143728
1,1967107_west,19678_west,1155.0904465681267
2,1967108_west,19678_west,1776.0064883932523
3,1967109_west,19678_west,2736.392498429718
4,1967110_west,19678_west,1100.5638253367918
5,1967111_west,19678_west,584.0579006007939
6,1967112_west,19678_west,2311.199099441791
7,1967113_west,19678_west,1573.333206400772
8,1967114_west,19678_west,1366.6133673864963
9,1967115_west,19678_west,497.48219018384185
10,1967116_west,19678_west,1657.1572154966452
11,1967117_west,19678_west,1396.248596950359
12,1967118_west,19678_west,593.7425602081568
13,1967119_west,19678_west,480.5857335854271
14,1967120_west,19678_west,
0,1967121_west,19679_west,465.4202891619323
1,1967122_west,19679_west,320.29157472227456
2,1967123_west,19679_west,249.12643184987854
3,1967124_west,19679_west,1386.7210144301166
4,1967125_west,19679_west,291.9943378792053
5,1967126_west,19679_west,
0,1967127_west,196710_west,633.884523132593
1,1967128_west,196710_west,739.1854572400312
2,1967129_west,196710_west,1744.637919286
3,1967130_west,196710_west,1233.6353538107794
4,1967131_west,196710_west,1681.8266550862947
5,1967132_west,196710_west,986.5760587657207
6,1967133_west,196710_west,575.7052877298169
7,1967134_west,196710_west,935.9286012724084
8,1967135_west,196710_west,1989.7481161354774
9,1967136_west,196710_west,1154.2930530715846
10,1967137_west,196710_west,984.9761420081492
11,1967138_west,196710_west,1026.915192902921
12,1967139_west,196710_west,786.08287749183
13,1967140_west,196710_west,1223.7204248068283
14,1967141_west,196710_west,1641.5110362625703
15,1967142_west,196710_west,
0,1967143_west,196711_west,791.886200528728
1,1967144_west,196711_west,1169.6898492182204
2,1967145_west,196711_west,1142.1300544489131
3,1967146_west,196711_west,1637.1079438282852
4,1967147_west,196711_west,1253.75313938969
5,1967148_west,196711_west,573.7859757296364
6,1967149_west,196711_west,1146.4227439906256
7,1967150_west,196711_west,653.9367124136559
8,1967151_west,196711_west,1061.725693568051
9,1967152_west,196711_west,598.9210635362288
10,1967153_west,196711_west,1701.4292549368279
11,1967154_west,196711_west,736.9080088123787
12,1967155_west,196711_west,1045.007806164346
13,1967156_west,196711_west,993.4314386990179
14,1967157_west,196711_west,838.1766699533205
15,1967158_west,196711_west,692.2380617283332
16,1967159_west,196711_west,
0,1967160_west,196712_west,454.5559350309112
1,1967161_west,196712_west,1402.3435877474992
2,1967162_west,196712_west,536.16177898515
3,1967163_west,196712_west,1703.1628691486733
4,1967164_west,196712_west,913.8655754922981
5,1967165_west,196712_west,701.9622505687278
6,1967166_west,196712_west,1043.1464807968873
7,1967167_west,196712_west,1506.1097854942877
8,1967168_west,196712_west,503.7747739113147
9,1967169_west,196712_west,1128.808500300085
