stop_order,stop_id,line_id
15,1967252_west,196718_west
0,1967253_west,196719_west
1,1967254_west,196719_west
2,1967255_west,196719_west
3,1967256_west,196719_west
4,1967257_west,196719_west
5,1967258_west,196719_west
6,1967259_west,196719_west
7,1967260_west,196719_west
8,1967261_west,196719_west
9,1967262_west,196719_west
10,1967263_west,196719_west
11,1967264_west,196719_west
12,1967265_west,196719_west
13,1967266_west,196719_west
14,1967267_west,196719_west
0,1967268_west,196720_west
1,1967269_west,196720_west
2,1967270_west,196720_west
3,1967271_west,196720_west
4,1967272_west,196720_west
5,1967273_west,196720_west
6,1967274_west,196720_west
7,1967275_west,196720_west
8,1967276_west,196720_west
9,1967277_west,196720_west
10,1967278_west,196720_west
11,1967279_west,196720_west
12,1967280_west,196720_west
13,1967281_west,196720_west
14,1967282_west,196720_west
0,1967283_west,196721_west
1,1967284_west,196721_west
2,1967285_west,196721_west
3,1967286_west,196721_west
4,1967287_west,196721_west
5,1967288_west,196721_west
6,1967289_west,196721_west
7,1967290_west,196721_west
8,1967291_west,196721_west
9,1967292_west,196721_west
10,1967293_west,196721_west
11,1967294_west,196721_west
12,1967295_west,196721_west
13,1967296_west,196721_west
14,1967297_west,196721_west
15,1967298_west,196721_west
0,1967299_west,196722_west
1,1967300_west,196722_west
2,1967301_west,196722_west
3,1967302_west,196722_west
4,1967303_west,196722_west
5,1967304_west,196722_west
0,1967305_west,196723_west
1,1967306_west,196723_west
2,1967307_west,196723_west
3,1967308_west,196723_west
4,1967309_west,196723_west
5,1967310_west,196723_west
0,1967311_west,196724_west
1,1967312_west,196724_west
2,1967313_west,196724_west
3,1967314_west,196724_west
4,1967315_west,196724_west
5,1967316_west,196724_west
0,1967317_west,196725_west
1,1967318_west,196725_west
2,1967319_west,196725_west
3,1967320_west,196725_west
4,1967321_west,196725_west
5,1967322_west,196725_west
6,1967323_west,196725_west
7,1967324_west,196725_west
8,1967325_west,196725_west
9,1967326_west,196725_west
10,1967327_west,196725_west
11,1967328_west,196725_west
12,1967329_west,196725_west
13,1967330_west,196725_west
14,1967331_west,196725_west
15,1967332_west,196725_west
0,1967333_west,196726_west
1,1967334_west,196726_west
0,1967335_west,196727_west
1,1967336_west,196727_west
2,1967337_west,196727_west
3,1967338_west,196727_west
4,1967339_west,196727_west
5,1967340_west,196727_west
6,1967341_west,196727_west
7,1967342_west,196727_west
8,1967343_west,196727_west
9,1967344_west,196727_west
10,1967345_west,196727_west
11,1967346_west,196727_west
0,1967347_west,196728_west
