,stop_name,line_count,type,in_lines
0,"Moabit, Waldstrasse",1,bus,{'1'}
1,Alt-Moabit,3,bus,"{'1', '24', '90'}"
2,Franklinstrasse,2,bus,"{'1', '90'}"
3,Helmholtzstrasse,1,bus,{'1'}
4,Guerickestrasse,1,bus,{'1'}
5,Otto-Suhr-Allee,1,bus,{'1'}
6,Bismarckstrasse,12,bus,"{'81', '1', '17', '68', '32', '30', '54', '2', '76', '62'}"
7,Bismarckstrasse,12,u-bahn,"{'1', '7'}"
8,Goethestrasse,4,bus,"{'1', '78', '76'}"
9,Goethestrasse,4,strassenbahn,{'?'}
10,Kantstrasse,2,bus,"{'1', '62'}"
11,Kurfürstendamm,4,bus,"{'1', '10', '74'}"
12,Kurfürstendamm,4,u-bahn,{'3'}
13,Düsseldorfer Strasse,1,bus,{'1'}
14,U-Bhf. Konstanzer Strasse,1,bus,{'1'}
15,U-Bhf. Fehrbelliner Platz,2,bus,"{'1', '4'}"
16,U-Bhf. Blissestrasse,3,bus,"{'1', '60', '4'}"
17,Am Volkspark,3,bus,"{'1', '60', '74'}"
18,Hildegardstrasse,2,bus,"{'1', '74'}"
19,Detmolder Strasse,1,bus,{'1'}
20,Hanauer Strasse,1,bus,{'1'}
21,Deidesheimer Strasse,1,bus,{'1'}
22,Wiesbadener Strasse,3,bus,"{'1', '86', '16'}"
23,Laubenheimer Strasse,2,bus,"{'1', '16'}"
24,U-Bhf. Breitenbachplatz,3,bus,"{'1', '16', '33'}"
25,Englerallee,1,bus,{'1'}
26,Rohlfsstrasse,1,bus,{'1'}
27,Botanischer Garten,4,bus,"{'1', '48', '17'}"
28,Botanischer Garten,4,s-bahn,{'1'}
29,Arnimallee,2,bus,"{'1', '17'}"
30,Museum-Dahlem,1,bus,{'1'}
31,U-Bhf. Dahlem-Dorf,2,bus,"{'1', '17'}"
32,Thielallee,1,bus,{'1'}
33,Löhleinstrasse,1,bus,{'1'}
34,Habelschwerdter A.,1,bus,{'1'}
35,Ehrenbergstrasse,1,bus,{'1'}
36,Unter den Eichen,1,bus,{'1'}
37,Von-Laue-Strasse,1,bus,{'1'}
