line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Info
23,bus,West,S-Bhf. Tiergarten - Klopstockstrasse - U-Bhf. Hansaplatz - Elberfelder Strasse - Zinzendorfstrasse - Gotzkowskystrasse - Beusselstrasse - Turmstrasse - Wiclefstrasse - Sickingenstrasse - Beusselbrücke - Gedenkstätte Plötzensee - Schleuse Plötzensee - Riedemannweg - Friedrich-Olbricht-Damm - Stiefring - Heckerdamm - Thaters Privatweg - Jugendheim - Reichweindamm - Wirmerzeile - Bernhard-Lichtenberg-Strasse - Klausingring - Heckerdamm - Kurt-Schumacher-Damm - Heilmannring - Hofackerzeile - Dahrendorfzeile - U-Bhf. Halemweg - Toeplerstrasse - Schweiggerweg - Goebelplatz - Popitzweg - U-Bhf. Siemensdamm - Grammestrasse - U-Bhf. Rohrdamm - Bingelstrasse - Köttgenstrasse - Harriesstrasse - Saatwinkler Damm - Saatwinkler Damm 137 - Mäckeritzbrücke - Saatwinkler Damm/Mäkeritzwiesen,15,44,,1989,
24,bus,West,U-Bhf. Turmstrasse - Krankenhaus Moabit - Wilsnackerstrasse - Rathenower Strasse - Alt-Moabit - Lüneburger Strasse - Schloß Bellevue - Großer Stern - Tiergartenstrasse - Lützowplatz - Lützowufer - Magdeburger Platz - Potsdamer Strasse - Flottwellstrasse - Schöneberger Ufer - Reichpietschufer - Bernburger Strasse - S-Bhf. Anhalter Bahnhof - Großbeerenstrasse - U-Bhf. Hallesches Tor - Blücherstrasse - U-Bhf. Gneisenaustrasse - Bergmannstrasse - Schwiebusser Strasse - Columbiadamm - Platz der Luftbrücke,20,34,,1989,
24,strassenbahn,Ost,"Weißensee, Pasedagplatz - Buschallee - Indira-Gandhi-Strasse Ecke Klement-Gottwald-Allee - Albertinenstrasse - Antonplatz - S-Bhf. Erich-Thälmann-Park - Dimitroffstrasse Ecke Greifswalder Strasse - Mollstrasse Ecke Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Orianienburger Tor - Stadion der Weltjugend - Pflugstrasse ",10,36,,1989,
25,bus,West,U-Bhf. Britz-Süd - Otto-Wels-Ring - Kormoranweg - Rotschwanzweg - Rudower Weg - Grüner Weg - Parchimer Allee - U-Bhf. Parchimer Allee - Paster-Behrens-Strasse - Britzer Damm - Gradestrasse - Eintrachsiedlung - Wilhelm-Borgmann-Brücke - Karl-Elsasser-Strasse - Gottlieb-Dunkel-Strasse - Teilestrasse - Komturstrasse/Teilestrasse - Colditzstrasse - Wenckebachstrasse - Tempelhofer Damm - Attilaplatz - Alboinstrasse - Domnauer Strasse - Röblingstrasse - S-Bhf. Priesterweg - Insulaner/Sternwarte - Auguste-Viktoria-Krankenhaus - Grazer Platz/Grazer Damm - Grazer Platz - Friedenauer Brücke - Kaisereiche - U-Bhf. Friedrich-Wilhelm-Platz,19,37,,1989,
25,strassenbahn,Ost,Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse Ecke Edisonstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Seelenbinderstrasse Ecke Bahnhofstrasse - Brandenburgplatz - Hirschgarten - Bölschestrasse - S-Bhf. Friedrichshagen - Hartlebenstrasse - Am Wasserwerk - Müggelseedamm - Freibad Müggelsee - Rahnsdorf,20,47,,1989,
26,bus,West,U-Bhf. Holzhauser Strasse/Berliner Strasse - Wittestrasse - Holzhauser Strasse - Soltauer Strasse - Breitenbachstrasse - Miraustrasse - Triftstrasse - Am Nordgraben Ecke Oranienburgerstrasse - Rathauspromenade - Oranienburgerstrasse - Alt-Wittenau - Roedernallee - Oranienburger Strasse - S-Bhf. Wittenau (Nordbahn),20,17,,1989,
26,strassenbahn,Ost,"Sterndamm - Bhf. Schöneweide - Wilhelminenhofstrasse Ecke Edisonstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Schloßplatz - Wendenschloßstrasse Ecke Müggelheimer Strasse - Köpenick, Krankenhaus",20,28,,1989,
27,bus,West,Alt-Heiligensee - Fährstrasse - Havelblick - Strandbad/Heiligensee - Gemeindefriedhof - Rallenweg - Rohrweihstrasse - Sperberstrasse - Habichtstrasse/Strandbad - Konradshöhe/Falkenplatz,30,9,,1989,
28,bus,West,U-Bhf. Tempelhof - Boelckestrasse - Hoeppnerstrasse - Werner-Voß-Damm - Rumeyplan - Loewenhardtdamm - Badener Ring - Dudenstrasse - Monumentenstrasse - Kreuzbergstrasse - Großbeerenstrasse - Yorckstrasse - U-Bhf. Mehringdamm - U-Bhf. Gneisenaustrasse - Baerwaldstrasse - Südstern - U-Bhf. Südstern - Fichtestrasse - Urbanstrasse - Grimmstrasse - Geibelstrasse - Wilmsstrasse - Baerwaldstrasse - U-Bhf. Prinzenstrasse - Ritterstrasse - Segitzdamm - U-Bhf. Kottbusser Tor - Adalbertstrasse - Oranienstrasse - Waldemarstrasse - Mariannenplatz - Manteuffelstrasse - Wrangelstrasse - Köpenicker Strasse - Eisenbahnstrasse - U-Bhf. Schlesisches Tor - Falckensteinstrasse - Taborstrasse - Heckmannufer - Schlesische Strasse Ecke Heckmannufer,15,44,,1989,
28,strassenbahn,Ost,"Hohenschönhausen, Zingster Strasse - Prerower Platz - Stadion Buschallee - Sulzfelder Strasse - Klement-Gottwald-Allee Ecke Buschallee - Indira-Gandhi-Strasse - Albertinenstrasse - Antonplatz - S-Bhf. Erich-Thälmann-Park - Dimitroffstrasse Ecke Greifswalder Strasse - Mollstrasse Ecke Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt",10,36,,1989,
29,bus,West,"Grunewald, Roseneck - Teplitzer Strasse - Berkaer Strasse - Hubertusallee - Lynarstrasse - Bismarckplatz - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz - Bleibtreustrasse - U-Bhf. Uhlandstr - U-Bhf. Kurfürstendamm - Gedächtnis-Kirche - Europa-Center - U-Bhf. Wittenbergplatz - An der Urania - Kurfürstenstrasse - Lützowplatz - Lützowufer - Magdeburger Platz - Kluckstrasse - Kulturforum - Flottwellstrasse - Schöneberger Strasse - S-Bhf. Anhalter Bahnhof - Kochstrasse - U-Bhf. Kochstrasse - Charlottenstrasse - Lindenstrasse/Oranienstrasse - Alte Jakobstrasse  - Alexandrinenstrasse - U-Bhf. Moritz-Platz - Oranienplatz - Adalbertstrasse - Heinrichplatz - U-Bhf. Görlitzer Bahnhof - Spreewaldstrasse - Reichenberger Strasse - Glogauer Strasse - Pflügerstrasse - Sonnenallee - U-Bhf. Hermannplatz",10,58,,1989,
29,strassenbahn,Ost,"Weißensee, Hansastrasse - Klement-Gottwald-Allee - Indira-Gandhi-Strasse - Omnibus-Betriebshof - Hohenschönhauser Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse",20,22,,1989,Keine Verbindung zwischen 7.17 und 14.16? 
3,bus,West,"Lichterfelde, Oberhofer Platz - Kranoldplatz - Jungfernstieg - Marienstrasse - Ostpreußendamm - Hindenburgdamm - Karwendelstrasse/Drakestrasse - Kadettenweg - Kommandantenstrasse - Carstennstrasse - Dahlemer Weg - S-Bhf. Sundgauer Strasse - Winfriedstrasse - Seehofstrasse - Clayallee/Berliner Strasse - Scharfestrasse/Stadtbad - Schützstrasse - Sophie-Charlotte-Strasse - Am Fischtal - Im Gestell - U-Bhf. Onkel Toms Hütte - Onkel-Tom-Strasse - Siebenendenweg - Teschener Weg - U-Bhf. Krumme Lanke - Forststrasse - S-Bhf. Mexikoplatz - Niklasstrasse - Potsdamer Chaussee - Clauertstrasse - Am Rohrgarten - Spanische Allee - Kurstrasse - Wasgenstrasse - Waldfriedhof - Quantzstrasse - Isoldestrasse - Nibelungenstrasse - Kronprinzessinenweg - Am Großen Wannsee - Seglerweg - Koblanckstrasse - Colomierstrasse - Jugenderholungsheim - Löwendenkmal - Wannsee, Heckeshorn",15,57,,1989,
3,strassenbahn,Ost,Björnsonstrasse - Bornholmer Strasse - Schönhauser Allee - Stahlheimer Strasse - Prenzlauer Promenade - Roelckestrasse - Antonplatz - Indira-Gandhi-Strasse -  Omnibus-Betriebshof - Hohenschönhauser Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse - Boxhagener Strasse - Gärtnerstrasse - Simon-Dach-Strasse - S-Bhf. Warschauer Strasse,10,43,,1989,
30,bus,West,"U-Bhf. Rathaus Steglitz/Kreisel - S-Bhf. Steglitz - Breitestrasse - Filandastrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Stadtbad Lankwitz - Lankwitz, Rathaus - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Malteserstrasse/Belßstrasse - Eiswaldstrasse - Preysingstrasse - Marchandstrasse - Friedrichrodaer Strasse - Zum Guten Hirten - Hildburghauser Strasse - Nahmitzer Damm - Nahmitzer Damm / I B M - Motzener Strasse - Nunsdorfer Ring/Nord - Nunsdorfer Ring/Süd - Sperenberger Strasse - Schichauweg - Illigstrasse - Simpsonweg/Nuthestrasse - Barnetstrasse/Steinstrasse - Finchleystrasse - Groß-Ziethener Strasse - Alt-Lichtenrade - Taunusstrasse - Nahariyastrasse - Skarbinastrasse - Lichtenrade, Nahariyastrasse",10,41,,1989,
31,bus,West,"Werderstrasse - Streitstrasse/Mertensstrasse - Rauchstrasse - Goltzstrasse/Reußstrasse - Hohenzollern Ring - Schäferstrasse - Lynarstrasse/Parkstrasse - Triftstrasse - Wröhmännerpark - Moritzstrasse - U-Bhf. Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Metzer Strasse - Weißenburger Strasse - Adamstrasse - Földerichstrasse/Adamstrasse - Melanchtonplatz - Kolonie Hasenheide - Seeburger Strasse - Maulbeerallee - Baluscheckweg - Magistratsweg - Springerzeile - Brunsbütteler Damm - Spandauer Strasse - Torweg - Torweg/Hackbuschstrasse - Staaken, Heidebergplan",15,36,,1989,
32,bus,West,"U-Bhf. Rathaus Steglitz/Kreisel - S-Bhf. Steglitz - Breite Strasse - Filandastrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Stadtbad Lankwitz - Rathaus Lankwitz - Lankwitz, Kirche - Mühlenstrasse - Malteserstrasse - Malteser Strasse/Belßstrasse - Wedellstrasse - Wichurastrasse - Preysingstrasse - Sonnenscheinpfad - Marienfelder Allee - S-Bhf. Marienfelde - Daimlerstrasse - Fritz-Werner-Strasse - Benzstrasse - Richard-Tauber-Damm - Marienfelde, Culemeyerstrasse ",10,37,,1989,
33,bus,West,"Breitenbachplatz - U-Bhf. Breitenbachplatz - Björnsonstrasse - Gritznerstrasse - Lepsiusstrasse - U-Bhf. Schloßstrasse - Filandastrasse - Südendstrasse - Albrechtstrasse - Steglitzer Damm - Halskestrasse - Liebenowzeile - Buhrowstrasse - Hünefeldzeile - S-Bhf. Mariendorf - Kurfürstenstrasse - Gersdorfstrasse - Rathausstrasse - U-Bhf. Westphalweg - Eisenacher Strasse - Kollostrasse - Kosleckweg - Didostrasse - Rixdorfer Strasse - Imbrosweg - Goldenes Horn - Imbrosweg 66 - Mariendorf, Dardanellenweg",10,34,,1989,
34,bus,West,"Spandau, Wasserwerk - Wolburgsweg - Frankenwaldstrasse - Friedhof In den Kisseln - Zeppelinstrasse - Zweibrücker Strasse - Askanierring - Kurze Strasse/Mittelstrasse - Wröhmännerpark - Moritzstrasse - U-Bhf. Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Metzer Strasse - Weißenburger Strasse - Adamstrasse - Jordanstrasse - Heerstrasse - Jaczostrasse - Gatower Strasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Biberburg - Ortsgrenze Gatow - Pfirsichweg - Gatow, Kirche - Groß-Glienicker Weg - Am Graben - Badewiese - Krankenhaus Hohengatow - Waldstrasse - Flugplatz Gatow - Krankenhaus Havelhöhe - Neukladower Allee - Finnenhaus-Siedlung - Ritterfelddamm - Schallweg - Schwabinger Weg - Gredinger Strasse - Waldallee - Seekorso - Kurpromenade - Glienicke, Gutshof",15,50,,1989,
35,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Polizei-Direktion-West - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Krowelstrasse - Pichelsdorfer Strasse - Földerichstrasse/Adamstrasse - Melanchtonplatz - Am Omnibushof - Heerstrasse/Gatower Strasse - Sandheideweg - Weinmeisterhornweg - Zur Haveldüne - Biberburg - Ortsgrenze Gatow - Pfirsichweg - Gatow, Kirche - Groß-Glienicker Weg - Am Graben - Badewiese - Krankenhaus Hohengatow - Waldstrasse - Flugplatz Gatow - Krankenhaus Havelhöhe - Neukladower Allee - Finnenhaus-Siedlung - Ritterfelddamm - Kladow, Dorfplatz - Krampnitzer Weg - Gößweinsteiner Gang - Hottengrundweg - Kaserne Hottengrund - Kladow, Hottengrund",,,,1989,
36,bus,West,Krankenhaus Hohengatow - Waldschluchtpfad - Breitehornweg - badewiese - Am Graben - Groß-Glienicker Weg - Zum Dorf Gatow - Gatower Heide - Siedlung Habichtswald,20,11,,1989,
37,bus,West,"Kladow, Alt-Kladow - Krampnitzer Weg - Grimmelshausenerstrasse - Selbitzer Strasse - Lanzendorfer Weg - Seniorenheim Hottengrund",30,6,,1989,
4,bus,West,"Brixplatz - U-Bhf. Neu-Westend - Kirschenallee - Kastanienallee - Theodor-Heuss-Platz - U-Bhf. Theodor-Heuss-Platz - Messegelände - Omnibusbahnhof - Congress-Centrum - Trabener Strasse - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Hochmeisterplatz - Eisenzahnstrasse - Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - U-Bhf. Berliner Strasse - Kufsteiner Strasse - John-F.-Kennedy-Platz - Hauptstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - Gustav-Müller-Strasse - Naumannstrasse - Kesselsdorfstrasse - Loewenhardtdamm - Katzbachstrasse - Friesenstrasse - Golßener Strasse - Friedhof - Freibad - Fontanestrasse - U-Bhf. Boddinstrasse - Werbellinstrasse - Morusstrasse - Kienitzer Strasse - U-Bhf. Karl-Marx-Strasse - Richardstrasse - U-Bhf. Rathaus Neukölln - Sonnenallee - Wildenbruchplatz - Harzer Strasse - Elsenstrasse - Brockenstrasse - Treptower Strasse - Weigandufer - Neukölln, Teupitzer Strasse",10,64,,1989,
4,strassenbahn,Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Bersarinplatz - U-Bhf. Frankfurter Tor - Grünberger Strasse - S-Bhf. Warschauer Strasse,12,25,,1989,
41,bus,West,Waltersdorfer Chaussee - Timmendorfer Weg - Narkauer Weg - Ostburger Weg - Neuhofer Strasse - Eichenauer Weg - U-Bhf. Rudow - Köpenicker Strasse - Krokusstrasse - Stubenrauchstrasse - Fritz-Erler-Allee - Arnikaweg/Efeuweg - Lipschitzallee - Johannisthaler Chaussee - Storchenweg - Krankenhaus Neukölln - Grüner Weg - Parchimer Allee - Onkel-Herse-Strasse - Blaschkoallee - Haarlemer Strasse - U-Bhf. Grenzallee - Grenzallee - Naumburger Strasse - Am Oberhafen - Bergiusstrasse - Neuköllnische Allee - Sonnenallee - Ziegrastrasse - Saalestrasse - Mareschstrasse - Hertzbergplatz - Geygerstrasse - Wildenbruchstrasse - Fuldastrasse - Pannierstrasse - U-Bhf. Hermannplatz - Hohenstaufenplatz - U-Bhf. Kottbusser Damm - Kottbusser Brücke - U-Bhf. Kottbusser Tor - Adalbertstrasse - Oranienstrasse - Oranienplatz - U-Bhf. Moritzplatz - Alexandrinenstrasse - Alte Jakobstrasse - Lindenstrasse - Markgrafenstrasse - Neuenburger Strasse - Gitschiner Strasse - U-Bhf. Hallesches Tor,15,61,,1989,
46,strassenbahn,Ost,"Niederschönhausen, Schillerstrasse - Nordend - Kuckhoffstrasse - Kurt-Fischer-Strasse - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bornholmer Strasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchplatz - Brunnenstrasse - Invalidenstrasse, Post - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",7.5,46,,1989,
48,bus,West,"Zehlendorf, Busseallee - Fischerhüttenstrasse - Zehlendorfer Eiche - Berliner Strasse - Seehofstrasse - Winfriedstrasse - Sundgauer Strasse - Holländische Mühle - Dahlemer Weg - Adolf-Martens-Strasse - Drakestrasse - Tietzenweg - Asternplatz - Botanischer Garten - Hindenburgdamm - Wolfensteindamm - U-Bhf. Rathaus Steglitz/S-Bhf. Rathaus Steglitz - Kieler Strasse - U-Bhf. Schloßstrasse - U-Bhf. Walther-Schreiber-Platz - Dickhardtstrasse - Kaisereiche - Breslauer Platz - Sponholzstrasse - U-Bhf. Innsbrucker Platz - Martin-Luther-Strasse - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Kulturforum - Tiergartenstrasse Philharmonie",7.5,46,,1989,
49,strassenbahn,Ost,"Bucholz, Hauptstrasse - Blankenfelder Strasse - Rosenthaler Strasse Ecke Bahnhofstrasse - Blankenburger Strasse - Pankower Strasse - Galenusstrasse - S-Bhf. Pankow-Heinersdorf - Klaustaler Strasse - Stiftsweg - Pankow, Kirche - S-Bhf. Pankow (Vinetastrasse) - U-Bhf. Pankow - Bornholmer Strasse Ecke Wisbyer Strasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Rosenthaler Platz - Hackescher Markt",10,38,,1989,
5,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Pol.-Direktion-West - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Breite Strasse/Markt - U-Bhf. Rathaus Spandau - Galenstrasse - Staakener Strasse - Petzoldtweg - Zeppelinstrasse - Spekteweg - Merziger Strasse - Falkenseer Chaussee - Westerwaldstrasse - Frankenwaldstrasse - Am Kiesteich - Im Spektefeld - Paul-Gerhardt-Ring - Schulzentrum - Hochhausweg - Stadtrandstrasse - Glühwürmchenweg - Waldkrankenhaus - Griesingerstrasse - Spandau, Nervenklinik",10,32,,1989,
5,strassenbahn,Ost,"Marzahn, Henneckestrasse - Otto-Winzer-Strasse - Bruno-Leuschner-Strasse - Alt-Marzahn - Elisabethstrasse - S-Bhf. Springpfuhl - Rhinstrasse - Siegfriedstrasse - Betriebshof Lichtenberg - Bhf. Lichtenberg",20,29,,1989,kein Verkehr zwischen 7.31 und 14.29
50,bus,West,"Düppel-Süd, Neuruppiner Strasse - Satzkorner Weg - Michendorfer Strasse - Ludwigsfelder Strasse - Loebellstrasse - Thürstrasse - Camphausenstrasse - Machnower Strasse - S-Bhf. Zehlendorf - Zehlendorfer Eiche - Clayallee - Scharfestrasse/Stadtbad - Schützallee - Sundgauer Strasse - Krankenhaus Oskar-Helene-Heim - U-Bhf. Oskar-Helene-Heim - Hüttenweg - Auf dem Grat - Königin-Luise-Strasse - Finkenstrasse - Pücklerstrasse - Messelstrasse - Roseneck - Elsterplatz - Frockenbeckstrasse - Landecker Strasse - Cunostrasse - Rudolstädter Strasse - Seesener Strasse - Berliner Strasse - U-Bhf. Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauische Strasse - U-Bhf. Güntzelstrasse",20,42,,1989,
52,bus,West,"Rudow, Kanalstrasse - Mimosenweg/Hafenstrasse - Mistelweg - Kanalstrasse 8-41 - Stubenrauchstrasse - Frauenschuhweg - Flurweg - Fuchsienweg - Windenweg - Arnikaweg/Efeuweg - Lipschitzallee - Gesundheitszentrum - Fritz-Erler-Allee - Löwensteinring - Johannisthaler chaussee - U-Bhf. Johannisthaler Chaussee - Tischlerzeile - Wildmeisterdamm - Buckower Damm - Buckower Friedhof - Rufacher Weg - Delmer Steig - Quarzweg - Bühler Weg - Grauwackeweg - Mariendorfer Damm - Kettinger Strasse - Richard-Tauber-Damm - S-Bhf. Buckower Chaussee - Motzener Strasse - Gutshof Marienfeld - Marienfelder Allee - Marienfelde, Nahmitzer Damm",10,34,,1989,
53,bus,West,S-Bhf. Nikolassee - Burgunder Strasse - An der Rehwiese - Krottnaurerstrasse - Reifträgerweg - S-Bhf. Schlachtensee - Ilsensteinweg - Rhumeweg - S-Bhf. Mexico Platz - Forststrasse - U-Bhf. Krumme Lanke - Sven-Hedin-Strasse - Hartmannsweilerweg - Bergmannstrasse - Potsdamer Strasse - Zehlendorf Eiche - S-Bhf. Zehlendorf - Machnower Strasse - Mühlenstrasse/Seehofstrasse - Knesebeckstrasse - Jänickestrasse - Dahlemer Weg - Osteweg/Seehofstrasse - Platz des 4. Juli - Osteweg/Carstennstrasse - Thuner Platz - Goerzallee - Ruthnerweg - Engadiner Weg - Bremer Strasse - Drakestrasse - Wiesenbaude,20,34,,1989,
54,bus,West,Spandau Johannesstift - Stadtpark/Cautiusstrasse - Mögeldorfer Weg - Klinkeplatz - Stadtheidestrasse - Lynarstrasse - Predigergarten - Wröhmännerpark - Moritzstrasse - U-Bhf. Rathaus Spandau - Ruhlebener Strasse - Tiefwerderweg - Teltower Strasse - Güterbahn Ruhleben - Polizei-Direktion-West - Krematorium Ruhleben - U-Bhf. Ruhleben - Machandelweg - Reichsstrasse - Schloß Ruhwald - Meiningenallee - Kirschenallee - Kastanienallee - Klinikum Charlottenburg - Königin-Elisabeth-Strasse - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Klausenerplatz - Schloßstrasse/Schloß - Luisenplatz - Wilmersdorfer Strasse - U-Bhf. Richard-Wagner-Platz - Krumme Strasse - Leibnizstrasse - Bismarckstrasse - U-Bhf. Ernst-Reuter-Platz - Steinplatz - jebensstrasse - U-Bhf./S-Bhf. Zoologischer Garten - Hertzallee,10,47,,1989,
56,bus,West,U-Bhf. Ruhleben - Krematorium Ruhleben - Klärwerkstrasse/Freiheit - Freiheit 16-43 - Pichelswerderstrasse - Fernbahnhof Spandau - Breite Strasse/Markt - U-Bhf. Rathaus Spandau - Moritzstrasse - Wröhmännerpark - Triftstrasse - Lynarstrasse/Parkstrasse - Schäferstrasse - Hohenzollernring - Goltzstrasse/Reußstrasse - Streitstrasse/Rauchstrasse - Goltzstrasse/Rauchstrasse - Goltzstrasse/Mertensstrasse - Streitstrasse/Mertensstrasse - Werderstrasse - Eschenweg - Spandau Hakenfelde,15,25,,1989,
57,bus,West,Zwickauer Damm - Fleischerstrasse - Schriftsetzerweg - U-Bhf. Zwickauer Damm - Windenweg - Ehrenpreisweg - Petunienweg - Kanalstrasse - Kanalstrasse 8-41 - Mistelweg - Mimosenweg/Hafenstrasse - Köpenicker Strasse - Im Bauernbusch - Neudecker Weg - Selgenauer Weg - Landhaussiedlung Rudow - U-Bhf. Rudow - Eichenauer Weg - Lockenhuhnweg - Geflügelsteig - Kapaunenstrasse - Leghornweg - Lakenfelder Weg - Groß-Ziethener-Chaussee - Pirnaer Strasse - Kolonie Ewige Heimat - U-Bhf. Rudow - Landhaussiedlung Rudow - Selgenauer Weg - Lettberger Strasse - Köpenicker Strasse - Kanalstrasse - Mimosenweg/Hafenstrasse - Mistelweg - Kanalstrasse 8-41 - Stubenrauchstrasse - Petunienweg - Glockenblumenweg - Windenweg - Neuköllner Strasse - U-Bhf. Zwickauer Damm - Theodor-Loos-Weg - Zwickauer Damm,20,44,,1989,Ringlinie
58,bus,West,U-Bhf. Rudow - Köpenicker Strasse - Prierosser Strasse - Selgenauer Weg - Buchsbaumweg - Im Bauernbusch - Kanalstrasse - Neudecker Weg - Lettberger Strasse - Neuhofer Strasse - Ostburger Weg - Will-Meisel-Weg - friedhof Rudow - Waltersdorfer Chaussee - neuhofer Strasse - Eichenauer Weg - U-Bhf. Rudow,30,17,,1989,Ringlinie
6,bus,West,S-Bhf. Wannsee - Königstrasse - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Schloß Glienicke - Weg der Moorlake - Glienicker Brücke,30,13,,1989,
6,strassenbahn,Ost,Betriebshof Marzahn - Otto-Buchwitz-Strasse - Bruno-Leuschner-Strasse - Bruno-Baum-Strasse - S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Arendsweg - Zechliner Strasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse,10,32,,1989,
60,bus,West,"Hertzallee - U-Bhf./S-Bhf. Zoologischer Garten - kantstrasse - Uhlandstrasse/Kantstrasse - U-Bhf. Uhlandstrasse - Lietzenburger Strasse - Pariser Strasse - U-Bhf. Hohenzollernplatz - Güntzelstrasse/Uhlandstrasse - Postamt Uhlandstrasse - U-Bhf.  Blissestrasse - Am Volkspark - Brabanter Platz - U-Bhf. Heidelberger Platz - Forckenbeckstrasse - Rudolf-Mosse-Platz - Oeynhauser Strasse - Cunostrasse/Kirchstrasse - Berkaer Strasse/Breite Strasse - Rathaus Schmargendorf - Kissinger Strasse - Elsterplatz - Grunewald, Roseneck",20,27,,1989,
61,bus,West,U-Bhf. Osloer Strasse - Koloniestrasse - Prinzenallee - Soldiner Strasse - Koloniestrasse - Kleingartenkolonie - Kühnemannstrasse - Pankower Allee - Reginhardstrasse - U-Bhf. Franz-Neumann-Strasse - Hausotterstrasse - U-Bhf. Residenzstrasse - Lindauer Allee - Klemkestrasse - Flottenstrasse - Montanstrasse - U-Bhf. Paracelsus-Bad - Gemeindefriedhof - Sebastian-Friedhof - Auguste-Viktoria-Allee - Hoeferstrasse - U-Bhf. Kurt-Schumacher-Platz - Hechelstrasse - General-Barby-Strasse - Zobeltitzstrasse - Auguste-Viktoria-Allee - General-Woyna-Strasse - Antonienstrasse - Quäckerstrasse - Foxweg - Otisstrasse - Otisstrasse Ecke Wittestrasse,15,40,,1989,
62,bus,West,"Wilhelmsruher Damm Märkisches Viertel - Tiefenseer Strasse - Treuenbrietzener Strasse - Gemeinde-Zentrum - Königshorster Strasse - Eichhorster Weg - Finsterwalder Strasse - S-Bhf. Wittenau (Nordbahn) - Oranienburger Strasse - Techowpromenade - Alt-Wittenau - Am Nordgraben Ecke Oranienburgerstrasse - Jansenstrasse - Tessenowstrasse - Bonhoeffer-Nervenklinik - Lindauer Allee - Pfahlerstrasse - Auguste-Viktoria-Allee - Hoeferstrasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Nordtor - Kaserne Südtor - Aristide-Briand-Brücke - Hinckeldeybrücke - Heckerdamm - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse - Landgericht - Schloßbrücke - Luisenplatz/Eosanderstrasse - Luisenplatz/Schloß - Haubachstrasse/Hebbelstrasse - Bismarckstrasse - Kantstrasse - S-Bhf. Charlottenburg - Friedbergstrasse - Charlottenburg, Amtsgericht",7.5,49,,1989,
