line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Info
14,strassenbahn,Ost,Ahrensfelde - Erich-Glückauf-Strasse - Henneckestrasse - Otto-Winzer-Strasse - Bruno-Baum-Strasse - S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Arendsweg - Zechliner Strasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse,10,35,,1989,
15,bus,West,Eichenroder Ring - Eichhorster Weg - Lübarser Strasse - Finsterwalder Strasse - Finsterwalder Strasse 29-32 - Dannenwalder Weg - S-Bhf. Wittenau - Oranienburger Strasse - Techowpromenade - Alt-Wittenau - Am Nordgraben Ecke Oranienburgerstrasse - Rathauspromenande - Eichborndamm - Pannwitzstrasse - Eichborndamm 167/Tor 5 - Olbendorfer Strasse - Miraustrasse - Innungsstrasse - Holzhauser Strasse - Ernststrasse - Conradstrasse - Borsigwalder Weg - Trettachzeile - Gorkistrasse/Ziekowstrasse - Tegel-Center - U-Bhf. Tegel - Waidmannsluster Damm - Hermsdorfer Damm - Am Fließ - Forststrasse/Jugendherberge - Mühlenfeldstrasse - Schulzendorfer Strasse - Martin-Luther-Strasse - Fellbacher Strasse - Falkentaler Steig - Hohenzollernstrasse - Loerkesteig - Dominikus-Krankenhaus - Hermsdorfer Friedhof - Welfenallee - Donnersmarckplatz - Maximiliankorso - Im Amseltal - S-Bhf. Frohnau - Zeltinger Platz - Markgrafenstrasse - Zerndorfer Weg - Am Pilz - Jägerstieg - Hubertusweg - Invalidensiedlung,20,61,,1989,Wagenabstand ist für Streckenabschnitte verschieden
15,strassenbahn,Ost,Falkenberg - S-Bhf. Hohenschönhausen - Prerower Platz - Gehrenseestrasse - Hauptstrasse - Simon-Bolivar-Strasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse,10,28,,1989,
16,bus,West,U-Bhf. Franz-Neumann-Platz - Walderseestrasse - Louise-Schroeder-Strasse - Iranische Strasse - U-Bhf. Nauener Platz - Maxstrasse - U-Bhf. Leopoldplatz - Luxemburger Strasse - U-Bhf. Amrumer Strasse - Samoastrasse - Tegeler Strasse - Fennstrasse - Quitzowstrasse - Stephanstrasse - Wilsnacker Strasse - Birkenstrasse - Turmstrasse - Kirchstrasse - S-Bhf. Bellevue - U-Bhf. Hansaplatz - Großer Stern - Tiergartenstrasse - Lützowufer - U-Bhf. Nollendorfplatz - Hohenstaufenstrasse - Eisenacher Strasse - Martin-Luther-Strasse - Barbarossastrasse - Grunewaldstrasse - John-F.-Kennedy-Platz - U-Bhf. Innsbrucker Platz - Prinzregentenstrasse - U-Bhf. Bundesplatz - Stubenrauchstrasse - Taunusstrasse - Wiesbadener Strasse - Laubenheimer Strasse - U-Bhf. Breitenbachplatz - Breitenbachplatz,20,54,,1989,
16,strassenbahn,Ost,"Köpenick, Krankenhaus - Wendenschloßstrasse - Freiheit - Bahnhof-/Lindenstrasse - Pionierpark - Rathenaustrasse - Sterndamm - Bhf. Berlin-Schöneweide - Edisonstrasse - Bhf. Karlshorst - U-Bhf. Tierpark - Straße der Befreiung - S-Bhf. Friedrichsfelde Ost - Allee der Kosmonauten - Leninallee - Gärtnerstrasse - Gehrenseestrasse - Prerower Platz - Zingster Strasse Hohenschönhausen",20,66,,1989,
17,bus,West,"Dahlem, Clayallee - Vogelsang - Bachstelzenweg - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Museum Dahlem - Arnimallee - Botanischer Garten - Schmidt-Ott-Strasse - Lepsiusstrasse - U-Bhf. Rathaus Steglitz - Breite Strasse/Heesestrasse - Filandastrasse/Elisenstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse/Halskestrasse - Leonorenstrasse/Siemensstrasse - Birkbuschstrasse - Gärtnerstrasse - Stadion Lichterfelde - Boothstrasse - Bäkestrasse - Königsberger Strasse - Marienstrasse - Morgensternstrasse - Kranoldplatz - Oberhofer Platz - Grabenstrasse - Hildburghauser Strasse - Saaleckplatz - Scheelestrasse - Lichterfelder Ring - Osdorfer Strasse - Osdorfer Strasse/Scheelestrasse - Woltmannweg - Celsiusstrasse/Osdorfer Strasse - Fahrenheitstrasse - Lichterfelde Celsiusstrasse",12+8,42,,1989,
17,strassenbahn,Ost,"Leninallee/Dimitroffstrasse - S-Bhf. Leninallee - Anton-Saefkow-Platz - Herzbergstrasse Ecke Ho-Chi-Minh-Strasse - Siegfriedstrasse Ecke Herzbergstrasse - Allee der Kosmonauten Ecke Rhinstrasse - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstrasse Ecke Edinsonstrasse - Bhf. Schöneweide - Königsheideweg Ecke Sterndamm - Johannisthal, Haeckelstrasse ",12,54,,1989,
18,bus,West,Clayallee - U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Schützallee - Scharfestrasse/Stadtbad - Zehlendorf Eiche - Fischerhüttenstrasse - Mittelstrasse - Fürstenstrasse - Wolzogenstrasse - Lindenthaler Allee - Spanische Allee - Krankenhaus Hubertus - Schopenhauerstrasse - Krottnaurerstrasse - An der Rehwiese - S-Bhf. Nikolassee - Wannseebadweg - Wasserwerk - Am Sandwerder - Tillmannsweg - S-Bhf. Wannsee - Königstrasse -  Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse  - Schäferstrasse - Am Birkenhügel - Hans-Meitner-Institut - Wilhelmplatz - Strandbad Stölpchensee - Hubertusbrücke - Bäkestrasse - Königsweg/Bäkestrasse - Bernhard-Beyer-Strasse - Stahnsdorfer Strasse - Steinstücken,10,41,,1989,
18,strassenbahn,Ost,"Ahrensfelde - Erich-Glückauf-Strasse - Henneckestrasse - Otto-Winzer-Strasse - Bruno-Leuschner-Strasse - Alt-Marzahn - Elisabethstrasse - S-Bhf. Springpfuhl - Rhinstrasse Ecke Allee der Kosmonauten - Siegfriedstrasse Ecke Herzbergstrasse - Ho-Chi-Minh-Strasse Ecke Herzbergstrasse - S-Bhf. Leninallee - Dimitroffstrasse Ecke Leninallee - Leninplatz - Hans-Beimler-Strasse Ecke Mollstrasse - Prenzlauer Allee Ecke Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Platz - Brunnenstrasse Ecke Invalidenstrasse - Invalidenstrasse, Post Ecke Chausseestrasse - Stadion der Weltjugend - Wöhlertstrasse",10,64,,1989,
18E,strassenbahn,Ost,Ahrensfelde - Erich-Glückauf-Strasse - Henneckestrasse - Otto-Winzer-Strasse - Bruno-Leuschner-Strasse - Alt-Marzahn - Elisabethstrasse - S-Bhf. Springpfuhl - Rhinstrasse Ecke Allee der Kosmonauten - Siegfriedstrasse Ecke Herzbergstrasse - Ho-Chi-Minh-Strasse Ecke Herzbergstrasse - S-Bhf. Leninallee - Dimitroffstrasse Ecke Leninallee,10,40,,1989,
