,stop_id,stop_name,type,location,in_lines,identifier,stop_description
32,196432,Alt-Moabit,bus,"52.524078460891005, 13.357069143313803",A24,nan,Alt-Moabit Ecke Rathenower Strasse
33,196433,Alt-Moabit Ecke Gotzkowskystrasse,bus,"52.52377875537158, 13.329735095213607","A90, A86","nan, nan","nan, nan"
34,196434,Alt-Reinickendorf Ecke Rödern Allee,bus,"52.57586051212987, 13.347765981901512",A72,nan,nan
35,196435,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",86,Q66459540,Alt-Schmöckwitz
36,196436,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"52.465964306830664, 13.38558297633417","A68,A76,A77,A78",nan+ nan+ nan,nan+ nan+ nan
37,196437,Alt-Wittenau,bus,"52.58972877186178, 13.334169215342472","A62, A62","nan, nan","Alt-Wittenau Ecke Oranienburger Straße, Alt-Wittenau Ecke Eichborndamm"
38,196438,Alt-Wittenau Ecke Eichborndamm,bus,"52.59187977745068, 13.32645957736823","A14,A15,A21",nan,nan
39,196439,Altenheim Hottengrund,bus,"52.44892366863784, 13.114237745947817",A35E,nan,nan
40,196440,Altglienicke station,s-bahn,"52.4073,13.5588","KBS 106a,KBS 103a",Q4736651,nan
41,196441,"Altglienicke, Kirche",bus,"52.421845729296805, 13.539407702079252",A23,nan,"Altglienicke, Kirche"
42,196442,"Altglienicke, Kirche",strassenbahn,"52.421845729296805, 13.539407702079252",84,nan,nan
43,196443,Am Beelitzhof,bus,"52.432202091928794, 13.186661564435827",A3,nan,Am Beelitzhof Ecke Kronprinzessinnenweg
44,196444,Am Dachsbau,bus,"52.60655284387061, 13.22984370797522",A13,nan,Am Dachsbau Ecke Heiligenseestrasse
45,196445,Am Falkenberg,strassenbahn,"52.41079970042163, 13.570452931545786",84,nan,nan
46,196446,Am Grossen Wannsee,bus,"52.420496581432594, 13.167192967572669","A18,A51",nan,Am Grossen Wannsee Ecke Königstrasse
47,196447,Am Großen Wannsee,bus,"52.420496581432594, 13.167192967572669",AS4,nan,nan
48,196448,Am Großen Wannsee Ecke Königstrasse,bus,"52.420496581432594, 13.167192967572669",A3,nan,nan
49,196449,Am Karlsbad,bus,"52.505510534075455, 13.36801582264215",A75,nan,nan
50,196450,Am Kupfergraben,strassenbahn,"52.5194208,13.3953839","46,70,11",Q65055027,Am Kupfergraben
51,196451,Am Nordhafen,bus,"52.53868315849872, 13.363248409190426",A70,nan,Am Nordhafen
52,196452,Am Nordhafen Ecke Tegelerstrasse,bus,"52.53843836936191, 13.362733894464787",A90,nan,nan
53,196453,Am Oberhafen,bus,"52.465017297775326, 13.450594183790596",A67,nan,Am Oberhafen
54,196454,Am Pilz,bus,"52.64251497264632, 13.300908054411988",A15,nan,nan
55,196455,Am Rosenhag,bus,"52.52474356253909, 13.621775828105108","A44,A44E",nan,Am Rosenhag
56,196456,Am Steinberg,bus,"52.55648144940878, 13.429306764151775","A45,A55,A42",nan,Am Steinberg Ecke Prenzlauer Promenade
57,196457,Am Steinberg,strassenbahn,"52.5585796,13.4333751",71,Q65103320,Am Steinberg
58,196458,Am Treptower Park Ecke Elsenstrasse,strassenbahn,"52.4917648672198, 13.457703881892664",87,nan,nan
59,196459,Am Vierrutenberg Ecke Zabel-Krüger-Damm,bus,"52.61351518095798, 13.343830308232075",A20,nan,nan
60,196460,Am Volkspark,bus,"52.483222065143515, 13.32036833862448",A60,nan,Am Volkspark Ecke Blissestrasse
61,196461,Amrumer Strasse,u-bahn,"52.5425,13.350277777778",G,Q557577,nan
62,196462,Amtsgericht,bus,"52.50682617853116, 13.297391449613752","AS4,A10",nan,nan
63,196463,Amtsgericht,strassenbahn,"52.50682617853116, 13.297391449613752","75,76",nan,Amtsgericht
64,196464,Amtsgericht Charlottenburg,bus,"52.50571853839105, 13.295347400894903",A21,nan,Amtsgericht Charlottenburg
65,196465,An der Urania,bus,"52.50313263781954, 13.3499093331407",A69,nan,nan
66,196466,Andreasstrasse,bus,"52.51797306914227, 13.432895480772247",O30,nan,Andreasstrasse/Lebuser Strasse
67,196467,Andreezeile,bus,"52.41046140348477, 13.267143098688617",A66,nan,nan
68,196468,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","KBS 100d,KBS 100c,KBS 100e",Q111324573,S-Bahnhof Berlin Anhalter Bahnhof
69,196469,Antonplatz,strassenbahn,"52.5484803,13.4517416","72,74E,3,74,70",Q65548849,Antonplatz
70,196470,Antwerpener Strasse Ecke Luxemburgerstrasse,bus,"52.54412983146483, 13.354948086368704",A64,nan,nan
71,196471,Argentinische Allee Ecke Fischerhüttenstrasse,bus,"52.44271134249338, 13.24015363503932",A53,nan,nan
72,196472,Arnimallee,bus,"52.45789378609326, 13.299570204130864",A68,nan,Arnimallee
73,196473,Aroser Allee,bus,"52.57376245122369, 13.351970705456408","A14,A61",nan,Aroser Allee Ecke Lindauer Strasse
74,196474,Askanierring Ecke Falkenhagener Strasse,bus,"52.54891706140618, 13.193495587303872",A34,nan,Askanierring Ecke Falkenhagener Strasse
75,196475,Askanierring Ecke Falkenseer Chaussee,bus,"52.545679974269035, 13.194267325495874","A35,A63",nan,Askanierring Ecke Falkenhagener Damm
76,196476,Askanischer Platz,bus,"52.50447897041404, 13.382295467838158","A24,A75,A29",nan,nan
77,196477,Attilaplatz,bus,"52.45590179888225, 13.376512495751076","AS2s,A25,A68",nan,Attilaplatz
78,196478,Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905",96,nan,Attilaplatz
79,196479,Augsburger Str.,u-bahn,"52.500556,13.336389",A II,Q667035,nan
80,196480,Auguste-Viktoria-Allee,bus,"52.569268504658915, 13.329801350092811",A62,nan,Auguste-Viktoria-Allee Ecke Ollenhauerstrasse
81,196481,Badstrasse,bus,"52.55228040855936, 13.381394276023574",A70,nan,Badstrasse Ecke Pankstrasse
82,196482,Badstrasse/Prinzenallee,bus,"52.55231378388406, 13.381413167559051",A71,nan,Badstrasse/Prinzenallee
83,196483,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,"52.493899843231475, 13.403460093532933",95,nan,nan
84,196484,Bahnhof Flughafen BER - Terminal 5,s-bahn,"52.3914,13.5128","KBS 106a,KBS 103a",Q661069,nan
85,196485,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,"52.520111111111,13.388305555556",C I,Q3753274,Friedrichstraße metro station
86,196486,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,"52.510556,13.496389",E,Q3831986,Lichtenberg metro station
87,196487,Bahnhof Wedding,u-bahn,"52.5425,13.366111",C I,Q4018733,U-Bahnhof Wedding
88,196488,Bahnhofstrasse Ecke Lindenstrasse,bus,"52.45096281111, 13.572146868709519",A27,nan,Bahnhofstrasse Ecke Lindenstrasse
89,196489,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684","84,87",Q66095701,Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße
90,196490,Barfusstrasse,bus,"52.558311542070335, 13.351189355013176",A12S,nan,nan
91,196491,Baumschulenstrasse,strassenbahn,"52.469081846595664, 13.491329912138305","92,95",nan,Baumschulenstrasse Ecke Köpenicker Landstrasse
92,196492,Baumschulenstrasse Ecke Südostallee,bus,"52.46095841731415, 13.481191835004426",A47,nan,Baumschulenstrasse Ecke Südostallee
93,196493,Baumschulenweg,s-bahn,"52.4675,13.489722","KBS 106a,KBS 106,KBS 103,KBS 103a",Q324336,Berlin-Baumschulenweg station
94,196494,Bautzener Strasse Ecke Yorckstrasse,bus,"52.49265331044414, 13.370954942054576",A19,nan,nan
95,196495,Bayerischer Platz,u-bahn,"52.488333333333,13.340277777778",B I,Q668574,Bayerischer Platz station
96,196496,Bayernring Ecke Tempelhofer,bus,"52.48164004976185, 13.385828867118994",A78,nan,nan
97,196497,Bayernring Ecke Tempelhofer Damm,bus,"52.481634872864596, 13.385858395941424","A76,A77",nan,nan
98,196498,Beeskowdamm Ecke Goerz Allee,bus,"52.40988367033843, 13.273529095833517",A1,nan,nan
99,196499,Behring-Krankenhaus,bus,"52.42410894567823, 13.251764544509987",A10,nan,Behring-Krankenhaus
100,1964100,Bellevue,s-bahn,"52.52,13.348055555556","KBS 100h,KBS 100g",Q374018,Berlin Bellevue station
101,1964101,Belßstrasse,bus,"52.42719908422464, 13.365826813492008",A83,nan,nan
102,1964102,Benschallee,bus,"52.42959261918116, 13.22400013419735",A18,nan,Benschallee Ecke Potsdamer Chaussee
103,1964103,Benschallee Ecke Potsdamer Chaussee,bus,"52.429638035873005, 13.22393270091056",A3,nan,nan
104,1964104,Bergfelde (b Bln),s-bahn,"52.6702,13.3203",KBS 104,Q4891640,nan
105,1964105,Bergstrasse Ecke Bismarckstrasse,bus,"52.45863817204511, 13.33931462421719","A81,A2",nan+ nan,nan+ nan
106,1964106,Bergstrasse Ecke Thorwaldstrasse,bus,"52.45911303271541, 13.348433992418155",A83,nan,nan
107,1964107,Berkaer Strasse,bus,"52.48209270683341, 13.281182952838728",A29,nan,Berkaer Strasse Ecke Teplitzer Strasse
108,1964108,"Berkaer Strasse, Elsterplatz",bus,"52.479592141367654, 13.285296936169493",AS3s,nan,"Berkaer Strasse, Elsterplatz"
109,1964109,Berlin-Staaken station,s-bahn,"52.5378,13.1414",KBS 100a,Q477545,nan
110,1964110,Berliner Strasse Ecke Brandenburgischestrasse,bus,"52.48646559054497, 13.320388485889481",A60,nan,nan
111,1964111,Berliner Strasse Ecke Bundesallee,bus,"52.48735367071187, 13.33100210517226","A2,AS2s,A25",nan,nan
112,1964112,Berliner Strasse Ecke Joachimstalerstrasse,bus,"52.487347586247154, 13.330990285702837",A81,nan,nan
113,1964113,Berliner Strasse Ecke Suermondtstrasse,strassenbahn,"52.54900402056681, 13.501740363652805",70,nan,nan
114,1964114,Berlinickeplatz,strassenbahn,"52.466329675590764, 13.378144688199017",96,nan,Berlinickeplatz Ecke Manteuffelstrasse
115,1964115,Berlinickestrasse Ecke Albrechtstrasse,bus,"52.45613384482348, 13.323889347619627",A33,nan,nan
116,1964116,Bernau (b Bln),s-bahn,"52.6763,13.5931",KBS 106,Q479789,Bernau bei Berlin station
117,1964117,Bernauer Strasse,bus,"52.57629905299874, 13.294692761311245",A13,nan,Bernauer Strasse Ecke Berliner Strasse
118,1964118,Bernauer Strasse Ecke Brunnenstrasse,bus,"52.53829556916397, 13.396023771544826","A71, A61",nan,Bernauer Strasse/Brunnenstrasse
119,1964119,Bernauer Strasse Ecke Wolliner Strasse,bus,"52.539825749774046, 13.4015229935377","A64,A71",nan,nan
120,1964120,Bersarinplatz,strassenbahn,"52.519215,13.4525257","4,13",Q65706258,Bersarinplatz
121,1964121,Betriebsbahnhof Rummelsburg,s-bahn,"52.4939,13.4978",KBS 102,Q829009,Betriebsbahnhof Rummelsburg station
122,1964122,Betriebsbahnhof Schöneweide,s-bahn,"52.44676,13.52391","KBS 106a,KBS 103,KBS 103a",Q4526101,Berlin-Johannisthal railway station
123,1964123,Beusselstr.,s-bahn,"52.534444444444,13.329166666667","KBS 100a,KBS 100",Q323219,Berlin Beusselstraße station
124,1964124,Bezirksamt,bus,"52.54146443211212, 13.200850156157355",A63,nan,Bezirksamt
125,1964125,Bhf. Frankfurter Allee,strassenbahn,"52.5138037,13.4773772",3,Q65948557,nan
126,1964126,Bhf. Friedrichstrasse,bus,"52.5205606637086, 13.388231915342985","A57,A9,A59",nan,Bhf. Friedrichstrasse
127,1964127,Bhf. Friedrichstrasse,strassenbahn,"52.5192805,13.3884107","11, 46,70","Q65095382, Q65095382","nan, nan"
128,1964128,Bhf. Gesundbrunnen,bus,"52.548738600413905, 13.387745851632966","A61,A71",nan,Bhf. Gesundbrunnen
129,1964129,Bhf. Hermsdorf,bus,"52.61953939324446, 13.30416069232153",A15,nan,Bhf. Hermsdorf
130,1964130,Bhf. Hohenzollerndamm,bus,"52.488411167563925, 13.302041677512456",A21,nan,nan
131,1964131,Bhf. Jungfernheide,bus,"52.530138785889896, 13.296018817180764",A62,nan,Bhf. Jungfernheide
132,1964132,Bhf. Lichtenberg,bus,"52.5112875601879, 13.499591119128855","O37,O30",nan,Bhf. Lichtenberg
133,1964133,Bhf. Lichtenberg,strassenbahn,"52.5123603,13.4977547","69,69E",Q66013733,S+U Lichtenberg/Siegfriedstraße
134,1964134,Bhf. Lichtenrade,bus,"52.386683297852706, 13.395506929836833","A76,AS2s",nan,nan
135,1964135,Bhf. Lichterfelde-West,bus,"52.44397675869793, 13.295628699942629",A11,nan,Bhf. Lichterfelde-West
136,1964136,Bhf. Lindenthaler Allee,bus,"52.43102570943782, 13.229881678326638",A3,nan,Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee
137,1964137,Bhf. Marienfelde,bus,"52.42342246533686, 13.374664175181172","A77,A32",nan,Bhf. Marienfelde
138,1964138,Bhf. Schönefeld,bus,"52.38192403313463, 13.511545079208773",AZ,nan,nan
139,1964139,Bhf. Schöneweide,bus,"52.45374952013775, 13.510200397684477","A26,A47,A48",nan,"Bhf. Schöneweide, Sterndamm"
140,1964140,Bhf. Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422","85,69E,92,87,69,95",nan,Bhf. Schöneweide
141,1964141,Bhf. Sonnenallee,bus,"52.473861610807525, 13.455874121666916",A67,nan,Bhf. Sonnenallee
142,1964142,Bhf. Spandau-West,bus,"52.53497194201396, 13.198460334945361",A63,nan,Bhf. Spandau-West
143,1964143,Bhf. Tempelhof,bus,"52.47084694496318, 13.385638120230526",A68,nan,Bhf. Tempelhof
144,1964144,Bhf. Wannsee,bus,"52.42151302311533, 13.17810256503659","AS4,A3,A51,A6",nan,Bhf. Wannsee
145,1964145,Bhf. Wilhelmsruh,bus,"52.58102921945559, 13.363635067647111",A71,nan,Bhf. Wilhelmsruh
146,1964146,Bhf. Wollankstrasse,bus,"52.56453849178735, 13.393420272477442",A70,nan,Bhf. Wollankstrasse
147,1964147,Bhf. Zoo,bus,"52.507029532025605, 13.333220118900503","A2,A62,AS2s,A25,AS3s,AS4,A73,AS1s",nan,Bhf. Zoo
148,1964148,Bhf. Zoo,strassenbahn,"52.50719345524868, 13.332629878993917",55,nan,Bhf. Zoo
149,1964149,"Bhf. Zoo, Hardenbergplatz",bus,"52.506961767508, 13.333080958799588","A85,A81,A90",nan,nan
150,1964150,"Bhf. Zoo, Kantstrasse",strassenbahn,"52.50540350310839, 13.330367559360592","75,76",nan,"Bhf. Zoo, Kantstrasse"
151,1964151,Biesdorf,s-bahn,"52.5131,13.5554",KBS 101,Q4892357,Berlin-Biesdorf station
152,1964152,Birkbuschstrasse Ecke Siemensstrasse,bus,"52.4424390398498, 13.332082171164004",A86,nan,nan
153,1964153,Birkenstrasse,u-bahn,"52.532222222222,13.341388888889",G,Q555998,nan
154,1964154,Birkenwerder,s-bahn,"52.6885,13.2888",KBS 104,Q2343634,Birkenwerder station
155,1964155,Bismarckplatz,bus,"52.492064537089135, 13.28493897027407",A29,nan,Bismarckplatz
156,1964156,Bismarckstrasse Ecke Bergstrasse,bus,"52.45863794281251, 13.339298022918376","A75,A68",nan,nan
157,1964157,Bismarckstrasse Ecke Steglitzer Damm,bus,"52.45103871422625, 13.337949524239141","A33, A81","nan, nan","nan, nan"
158,1964158,Björnsonstrasse,strassenbahn,"52.5544232,13.4030585",3,Q65920495,nan
159,1964159,Blankenburg,s-bahn,"52.5915,13.4435","KBS 104,KBS 106",Q800469,Berlin-Blankenburg station
160,1964160,"Blankenburg, Bahnhofstrasse",bus,"52.591380472079955, 13.453512267562314",A42,nan,"Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse"
161,1964161,"Blankenfelde, Hauptstrasse",bus,"52.63002534735451, 13.38262328371393","A7,A7E",nan,"Blankenfelde, Hauptstrasse"
162,1964162,Blaschkoallee,u-bahn,"52.451944444444,13.449444444444",C I,Q666911,nan
163,1964163,Blaschkoallee Ecke Britzer Damm,bus,"52.45261494085354, 13.438544655903872",A91,nan,nan
164,1964164,Bleibtreustrasse Ecke Kurfürstendamm,bus,"52.50160347596025, 13.319464110729676",A69,nan,nan
165,1964165,Blohmstrasse Ecke Wünsdorfer Strasse,bus,"52.388693095651256, 13.394328971164002",A76,nan,nan
166,1964166,Blumenstrasse,strassenbahn,"52.44907887643158, 13.760106955990562",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),nan,nan
167,1964167,Boddinstr.,u-bahn,"52.48,13.425277777778",D,Q819495,Boddinstraße
168,1964168,"Bohnsdorf, Kirche",bus,"52.39948771402893, 13.555574431978044",A36,nan,"Bohnsdorf, Kirche"
169,1964169,"Bohnsdorf, Waldstrasse",bus,"52.389397192754984, 13.570666562153916","AD,A38",nan,"Bohnsdorf, Waldstrasse"
170,1964170,Bonhoeffer-Heim,bus,"52.57940412664757, 13.33327468081513",A62,nan,nan
171,1964171,"Bonsdorf, Waldstrasse",bus,"52.389397192754984, 13.570666562153916",A38,nan,nan
172,1964172,Borgsdorf,s-bahn,"52.7155,13.2764",KBS 104,Q4093486,Borgsdorf station
173,1964173,Bornholmer Strasse,strassenbahn,"52.5537705,13.4138898",49,nan,nan
174,1964174,Borsigwalder Weg,bus,"52.58482847787268, 13.29793542584195",A15,nan,Borsigwalder Weg Ecke Conradstrasse
175,1964175,Borsigwerke,u-bahn,"52.5819,13.2907",C I,Q525185,Borsigwerke
176,1964176,Borussenstrasse Ecke Kronprizessinnen Weg,bus,"52.42987973140939, 13.185060134093185",A3,nan,nan
177,1964177,Botanischer Garten,bus,"52.458598799471524, 13.303436055459807","A1,A68",nan,"Botanischer Garten, Ecke Königin-Luise-Strasse"
178,1964178,Botanischer Garten,s-bahn,"52.44806,13.30722",KBS 100e,Q800498,Berlin Botanischer Garten station
179,1964179,Boxhagenerstrasse Ecke Holteistrasse,bus,"52.508613193309614, 13.466277189422302",O30,nan,nan
180,1964180,Brabanter Platz,bus,"52.48200661448961, 13.316219175470072",A60,nan,Brabanter Platz
181,1964181,Brandenburgischestrasse Ecke Blissestrasse,bus,"52.48649713854125, 13.320383969408674",A89,nan,nan
182,1964182,Breite Strasse Ecke Albrechtstrasse,bus,"52.45435057367761, 13.328307509759025",A68,nan,Breite Strasse Ecke Albrechtstrasse
183,1964183,Breite Strasse Ecke Charlottenstrasse,bus,"52.53613613360638, 13.20450629947795","A5,A31",nan,Breite Strasse Ecke Charlottenstrasse
184,1964184,Breitenbachplatz,bus,"52.467219717443385, 13.309473490660878","A1,A16,A32",nan,Breitenbachplatz
185,1964185,Breitenbachplatz,u-bahn,"52.466388888889,13.308055555556",A II,Q571339,Breitenbachplatz metro station
186,1964186,Breitenbachstrasse Ecke Eichborndamm,bus,"52.57783789535704, 13.314837431368987",A15,nan,nan
187,1964187,Breitscheidplatz,bus,"52.504438063129996, 13.33564615707506","A19,A29,A60",nan,Breitscheidplatz
188,1964188,Bristolstrasse,bus,"52.558311542070335, 13.351189355013176",A12,nan,Bristolstrasse Ecke Barfusstrasse
189,1964189,Britz-Süd,u-bahn,"52.437777777778,13.448055555556",C I,Q571845,nan
190,1964190,Britzer Damm Ecke Gradestrasse,bus,"52.45262467877224, 13.438590226068557",A73,nan,nan
191,1964191,Britzer Damm Ecke Tempelhofer Weg,bus,"52.44894113315902, 13.436220481040927","A25, A91","nan, nan","nan, nan"
192,1964192,Brixplatz,bus,"52.51907944117457, 13.25699370576959",A4,nan,Brixplatz
193,1964193,Brunnenplatz,bus,"52.54967231813887, 13.377205988834362",A99,nan,nan
194,1964194,Brunnenstrasse,strassenbahn,"52.5324542,13.3974236","46,70",Q65691740,Brunnenstraße/Invalidenstraße
195,1964195,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"52.5324542,13.3974236",11,Q65691740,nan
196,1964196,Brunnenstrasse Ecke Lortzingstrasse,bus,"52.542546240732094, 13.392728124104385",A99,nan,nan
197,1964197,Buch,s-bahn,"52.6359,13.4917",KBS 106,Q4892359,Berlin-Buch station
198,1964198,"Buch, Kiesgruben",bus,"52.641758052786535, 13.515964627443202",A42,nan,nan
199,1964199,"Buchholz, Hauptstrasse",strassenbahn,"52.619072064369824, 13.393383358408967",49,nan,"Buchholz, Hauptstrasse"
200,1964200,Buckower Ch.,s-bahn,"52.4103,13.3829",KBS 100c,Q800499,Buckower Chaussee station
201,1964201,Buckower Chaussee Ecke Lichtenrader Damm,bus,"52.41457113222887, 13.401203951196644",A76,nan,nan
202,1964202,Buckower Chaussee Ecke Mariendorfer Damm,bus,"52.41454962275545, 13.401182443012997",AS2s,nan,nan
203,1964203,Buckower Damm,bus,"52.42368329841466, 13.436638725763267",A52,nan,Buckower Damm Ecke Alt-Buckow
204,1964204,Buckower Friedhof,bus,"52.42151537347778, 13.43036950960343",A52,nan,Buckower Friedhof
205,1964205,Bundesallee Ecke Badenische Strasse,bus,"52.48613795045858, 13.33110029774997",A4,nan,nan
206,1964206,Bundesallee Ecke Berliner Strasse,bus,"52.487321004799746, 13.331012834110986","A89, A74, A85",nan,nan
207,1964207,Bundesallee Ecke Rheinstrasse,bus,"52.46493423553767, 13.328438507021911","A84,A48,A17",nan,nan
208,1964208,Bundesallee Ecke Tratenaustrasse,bus,"52.49318663087416, 13.330848427020651",A50,nan,nan
209,1964209,Bundesplatz,bus,"52.478678991134835, 13.32860278411238","A2,AS2s,A25,A16,A81,A86,A65",nan,Bundesplatz
210,1964210,Bundesplatz,bus,"52.47869393029977, 13.328448766668432",A85,nan,nan
211,1964211,Burgemeister Strasse Ecke Tempelhofer Damm,bus,"52.4570129343595, 13.383915410725029","A76,A77",nan,nan
212,1964212,Burgemeisterstrasse Ecke Tempelhofer Damm,bus,"52.457032547412204, 13.38394759723302",A78,nan,nan
213,1964213,Buschallee Ecke Klement-Gottwald-Alle,bus,"52.55387831866095, 13.467451226079117",A46,nan,nan
214,1964214,Buschallee Ecke Klement-Gottwald-Allee,strassenbahn,"52.5537598,13.4691966",70,Q65546661,Buschallee
215,1964215,Buschkrug,strassenbahn,"52.452470895695484, 13.450748195174354",47,nan,Buschkrug
216,1964216,Buschkrug Alle Ecke Blaschko-Allee,bus,"52.452543995347135, 13.452160354904555",A73,nan,nan
217,1964217,"Bölschestrasse, Brauerei",strassenbahn,"52.44699265840037, 13.624251999339991","84,87",nan,nan
218,1964218,Bötzowbahn,bus,"52.560942294746425, 13.171763262130519",A63,nan,nan
219,1964219,Bühler Weg,bus,"52.41724643282917, 13.412638052235238",A52,nan,nan
220,1964220,Bülowstrasse Ecke Potsdamer Strasse,bus,"52.49785436286328, 13.362010881893301","A83, A19","nan, nan","nan, nan"
221,1964221,Bürgerwäldchen,strassenbahn,"52.4893741,13.6064139",83,Q66364551,nan
222,1964222,Bürknersfelde,bus,"52.549540493749184, 13.586689708671303",A43,nan,nan
223,1964223,Canovastrasse,bus,"52.46306323889937, 13.342852729949465",AS2s,nan,Canovastrasse Ecke Thorwaldsenstrasse
224,1964224,Carl-Schurz-Strasse Ecke Am Juliusturm,strassenbahn,"52.53954502335214, 13.205550832211756",55,nan,nan
225,1964225,Carl-Schurz-Strasse Ecke Neuendorfer Strasse,bus,"52.54010263102275, 13.203987462586664",A13,nan,nan
226,1964226,Carl-Schurz-Strasse Ecke Seegefelder Strasse,bus,"52.53512820008616, 13.199778539551522",A99,nan,nan
227,1964227,Cauerstrasse,bus,"52.51470519737728, 13.315222708879112",AS1s,nan,Cauerstrasse Ecke Otto-Suhr-Allee
228,1964228,Cauerstrasse Ecke Wilmersdorferstrasse,bus,"52.514688043406586, 13.31517213109502",A86,nan,nan
229,1964229,Charlottenburg,s-bahn,"52.504722222222,13.303333333333","KBS 100h,KBS 100g,KBS 100k",Q111326217,S-Bahnhof Berlin Charlottenburg
230,1964230,Charlottenstrasse,strassenbahn,"52.51050786460274, 13.391831492474326",72,nan,nan
231,1964231,Chausseestrasse,strassenbahn,"52.53061984499073, 13.383042789757935",82,nan,nan
232,1964232,Chemische Fabrik,strassenbahn,"52.42696432509712, 13.573540465650169",86,nan,Chemische Fabrik
233,1964233,Chemnitzer Ecke Ulmenstrasse,bus,"52.48730504728054, 13.5749460378103","A8,A8E",nan,Chemnitzer Ecke Ulmenstrasse
234,1964234,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,"52.505156423214295, 13.58155740370254",A27,nan,nan
235,1964235,Clayallee Ecke Berliner Strasse,bus,"52.435061281531794, 13.260469051198768",A66,nan,nan
236,1964236,Clayallee Ecke Königin-Luise-Strasse,bus,"52.46044681153186, 13.274898269312029","A1,A68",nan,nan
237,1964237,Clayallee/Teltower Damm,bus,"52.4350547405869, 13.260361762838802",AS3s,nan,Clayallee/Teltower Damm
238,1964238,Colomierstrasse,bus,"52.42928675585897, 13.164090298875724",A51,nan,Colomierstrasse Ecke Am Großen Wannsee
239,1964239,Columbiadamm,bus,"52.48398171737193, 13.394418749054523",A4,nan,Columbiadamm Ecke Friesenstrasse
240,1964240,Columbiadamm Ecke Friesenstrasse,bus,"52.483967865507275, 13.39436897076973",A24,nan,nan
241,1964241,Corrensplatz,bus,"52.446014012041694, 13.284264679815902",A11,nan,Corrensplatz
242,1964242,Cyclopstrasse,bus,"52.60208376924525, 13.32483857919441","A12,A12S",nan,Cyclopstrasse & Hermsdorfer Strasse
243,1964243,Cyclopstrasse Ecke Oranienburger Strasse,bus,"52.59742743850453, 13.33252389138792",A15,nan,nan
244,1964244,Cyclopstrasse Ecke Waidmannsluster Damm,bus,"52.607017376341744, 13.319760309798667",A20,nan,nan
245,1964245,Dachdeckerweg Ecke Buckower Damm,bus,"52.43209035931259, 13.435151878364518",A91,nan,nan
246,1964246,Dahlem-Dorf,u-bahn,"52.456944444444,13.289444444444",A II,Q668585,Dahlem-Dorf
247,1964247,Dahlemer Weg,bus,"52.44179805042347, 13.282699371472702","A10,A53,A48",nan,Dahlemer Weg Ecke Berliner Strasse
248,1964248,Daimlerstrasse,bus,"52.42310029473227, 13.382719145401357",A77,nan,nan
249,1964249,Daimlerstrasse,strassenbahn,"52.423949959899865, 13.380145054879522",15,nan,Daimlerstrasse
250,1964250,Dammweg,bus,"52.47029082500845, 13.464688258814357",A67,nan,Dammweg Ecke Sonnenallee
251,1964251,Dammweg,strassenbahn,"52.47070358256429, 13.46392233215299",15,nan,Dammweg
252,1964252,Dammweg Ecke Sonnenallee,strassenbahn,"52.4702891791955, 13.464619670250386",95,nan,nan
253,1964253,Daumstrasse,bus,"52.540609965802126, 13.232264733228831",A13,nan,Daumstrasse
254,1964254,Degnerstrasse,strassenbahn,"52.54488036635163, 13.493949954029993","63,64",nan,Degnerstrasse
255,1964255,Demminer Strasse Ecke Brunnenstrasse,bus,"52.54113697481197, 13.393805198148023",A64,nan,nan
256,1964256,Detmolder Strasse Ecke Blissestrasse,bus,"52.47876002753526, 13.320303638716377",A1,nan,nan
257,1964257,Deutsche Oper (Bismarckstr.),u-bahn,"52.511944444444,13.310555555556","A I,A III",Q869501,nan+ nan
258,1964258,Deutschland Halle,bus,"52.497205479328066, 13.270893555260278",A88,nan,nan
259,1964259,Diepensee,bus,"52.300569220227956, 13.588920019126693",AD,nan,nan
260,1964260,Dimitroffstr.,u-bahn,"52.541666666667,13.412222222222",A,Q571382,Eberswalder Straße metro station
261,1964261,Dimitroffstrasse,bus,"52.52644944679887, 13.447574773361476","A9,A57",nan,Dimitroffstrasse Ecke Landsberger Allee
262,1964262,Dimitroffstrasse,strassenbahn,"52.5264303512303, 13.447596791543624","69E,72,64,74E,63,71,69",nan,Dimitroffstrasse Ecke Landsberger Allee
263,1964263,Dimitroffstrasse,strassenbahn,"52.53617065447549, 13.433035147691381","69E,72,64,74E,63,71,69",nan,Dimitroffstrasse Ecke Greifswalder Strasse
