,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19641,1964,1,strassenbahn,Ostbahnhof<> Hannoversche Strasse,28,Ost,20
1,19642,1964,A1P,bus,"Adalbertstrasse<> Alexanderplatz, Grunerstrasse",6,Ost,10
2,19643,1964,3,strassenbahn,S-Bhf. Warschauer Strasse<> Björnsonstrasse,45,Ost,12
3,19644,1964,4,strassenbahn,S-Bhf. Warschauer Strasse<> Eberswalderstrasse Ecke Oderberger Strasse,26,Ost,12
4,19645,1964,11,strassenbahn,Heinrich-Heine-Strasse<> Am Kupfergraben,27,Ost,20
5,19646,1964,13,strassenbahn,Hönower Wiesenweg Ecke Blockdammweg<> Oderberger Strasse Ecke Eberswalderstrasse,38,Ost,14
6,19647,1964,15,strassenbahn,Daimlerstrasse<> Schulenburgpark,36,West,10
7,19648,1964,22,strassenbahn,"Rosenthal, Hauptstrasse<> S-Bhf. Jannowitzbrücke",46,Ost,12
8,19649,1964,46,strassenbahn,"Niederschönhausen, Schillerstrasse<> Am Kupfergraben",47,Ost,5
9,196410,1964,47,strassenbahn,Gradestrasse Ecke Tempelhofer Weg<> Große-Ziethen Chaussee Ecke Waltersdorfer Chaussee,21,West,10
10,196411,1964,49,strassenbahn,"Buchholz, Hauptstrasse<> Hackescher Markt, Große Präsidentenstrasse",39,Ost,11
11,196412,1964,53,strassenbahn,Richard-Wagner-Platz<> Hakenfelde,40,West,20
12,196413,1964,54,strassenbahn,Richard-Wagner-Platz<> Johannesstift,41,West,20
13,196414,1964,55,strassenbahn,Bhf. Zoo<> Hakenfelde,51,West,15
14,196415,1964,63,strassenbahn,"Hohenschönhausen, Gartenstadt<> Hackescher Markt, Große Präsidentenstrasse",38,Ost,20
15,196416,1964,64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Dönhoffplatz",40,Ost,20
16,196417,1964,69,strassenbahn,"Johannisthal, Haeckelstrasse<> Walter-Ulbricht-Stadion",84,Ost,20
17,196418,1964,69E,strassenbahn,"Johannisthal, Haeckelstrasse<> Kniprodestrasse",55,Ost,20
18,196419,1964,70,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Am Kupfergraben",49,Ost,10
19,196420,1964,72,strassenbahn,"Weißensee, Pasedagplatz<> Taubenstrasse Ecke Glinkastrasse",44,Ost,12
20,196421,1964,74,strassenbahn,"Wießensee, Pasedagplatz<> Leipziger Strasse Ecke Wilhelmstrasse",37,Ost,6
21,196422,1964,74E,strassenbahn,Klement-Gottwald-Allee Ecke Rennbahnstrasse<> Spittelmarkt,28,Ost,6
22,196423,1964,75,strassenbahn,"Bhf. Zoo, Kantstrasse<> Hakenfelde",58,West,20
23,196424,1964,76,strassenbahn,"Bhf. Zoo, Kantstrasse<> Johannesstift",59,West,20
24,196425,1964,82,strassenbahn,"Mahlsdorf-Süd, Hubertus<> Walter-Ulbricht-Stadion",88,Ost,20
25,196426,1964,82P,bus,Kinderheim<> Markgrafendamm,5,Ost,20
26,196427,1964,83,strassenbahn,Wendenschloß Ecke Ekhofstrasse<> S-Bhf. Mahlsdorf,44,Ost,20
27,196428,1964,84,strassenbahn,"Am Falkenberg<> Friedrichshagen, Wasserwerk",57,Ost,10
28,196429,1964,85,strassenbahn,"Wendenschloß<> Johannisthal, Haeckelstrasse",42,Ost,20
29,196430,1964,86,strassenbahn,"Alt-Schmöckwitz<> Mahlsdorf-Süd, Hubertus",43,Ost,20
30,196431,1964,87,strassenbahn,Rahnsdorf<> Wiener Brücke,67,Ost,20
31,196432,1964,92,strassenbahn,"Oberspree, Bruno-Bürgel-Weg<> Sonnenallee Ecke Baumschulenstrasse",18,Ost,15
32,196433,1964,95,strassenbahn,Krankenhaus Köpenick<> Wiener Brücke,47,Ost,20
33,196434,1964,95,strassenbahn,Mehringplatz<> Schwarzer Weg Ecke Sonnenallee,25,West,15
