stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
226,Carl-Schurz-Strasse Ecke Am Juliusturm,strassenbahn,55,"52.53954502335214, 13.205550832211756",,,,
227,Carl-Schurz-Strasse Ecke Neuendorfer Strasse,bus,A13,"52.54010263102275, 13.203987462586664",,,,
228,Carl-Schurz-Strasse Ecke Seegefelder Strasse,bus,A99,"52.53512820008616, 13.199778539551522",,,,
229,Cauerstrasse,bus,AS1s,"52.51470519737728, 13.315222708879112",nan,250,AS1,Cauerstrasse Ecke Otto-Suhr-Allee
230,Cauerstrasse Ecke Wilmersdorferstrasse,bus,A86,"52.514688043406586, 13.31517213109502",,,,
231,Charlottenburg,s-bahn,"KBS 100h,KBS 100g,KBS 100k","52.504722222222,13.303333333333",Q111326217,253,"KBS 101,KBS 102",S-Bahnhof Berlin Charlottenburg
232,Charlottenstrasse,strassenbahn,72,"52.51050786460274, 13.391831492474326",,,,
233,Chausseestrasse,strassenbahn,82,"52.53061984499073, 13.383042789757935",,,,
234,Chemische Fabrik,strassenbahn,86,"52.42696432509712, 13.573540465650169",nan,255,86,Chemische Fabrik
235,Chemnitzer Ecke Ulmenstrasse,bus,"A8,A8E","52.48730504728054, 13.5749460378103",nan,256,"A8,A8E",Chemnitzer Ecke Ulmenstrasse
236,Chemnitzer Strasse Ecke Alt-Kaulsdorf,bus,A27,"52.505156423214295, 13.58155740370254",nan,257,A27,nan
237,Clayallee Ecke Berliner Strasse,bus,A66,"52.435061281531794, 13.260469051198768",nan,259,A66,nan
238,Clayallee Ecke Königin-Luise-Strasse,bus,"A1,A68","52.46044681153186, 13.274898269312029",nan,260,A68,nan
239,Clayallee/Teltower Damm,bus,AS3s,"52.4350547405869, 13.260361762838802",nan,261,AS3,Clayallee/Teltower Damm
240,Colomierstrasse,bus,A51,"52.42928675585897, 13.164090298875724",nan,262,A51,Colomierstrasse Ecke Am Großen Wannsee
241,Columbiadamm,bus,A4,"52.48398171737193, 13.394418749054523",nan,263,A24,Columbiadamm Ecke Friesenstrasse
242,Columbiadamm Ecke Friesenstrasse,bus,A24,"52.483967865507275, 13.39436897076973",,,,
243,Corrensplatz,bus,A11,"52.446014012041694, 13.284264679815902",nan,264,A11,Corrensplatz
244,Cyclopstrasse,bus,"A12,A12S","52.60208376924525, 13.32483857919441",nan,266,A12,Cyclopstrasse & Hermsdorfer Strasse
245,Cyclopstrasse Ecke Oranienburger Strasse,bus,A15,"52.59742743850453, 13.33252389138792",,,,
246,Cyclopstrasse Ecke Waidmannsluster Damm,bus,A20,"52.607017376341744, 13.319760309798667",,,,
247,Dachdeckerweg Ecke Buckower Damm,bus,A91,"52.43209035931259, 13.435151878364518",,,,
248,Dahlem-Dorf,u-bahn,A II,"52.456944444444,13.289444444444",Q668585,268,"A II,B II",Dahlem-Dorf
249,Dahlemer Weg,bus,"A10,A53,A48","52.44179805042347, 13.282699371472702",nan,269,"A10,A48,A53",Dahlemer Weg Ecke Berliner Strasse
250,Daimlerstrasse,bus,A77,"52.42310029473227, 13.382719145401357",nan,271,A77,nan
251,Daimlerstrasse,strassenbahn,15,"52.423949959899865, 13.380145054879522",nan,272,15,Daimlerstrasse
252,Dammweg,bus,A67,"52.47029082500845, 13.464688258814357",nan,273,A67,Dammweg Ecke Sonnenallee
253,Dammweg,strassenbahn,15,"52.47070358256429, 13.46392233215299",nan,274,15,Dammweg
254,Dammweg Ecke Sonnenallee,strassenbahn,95,"52.4702891791955, 13.464619670250386",nan,275,95,nan
255,Daumstrasse,bus,A13,"52.540609965802126, 13.232264733228831",nan,277,A13,Daumstrasse
256,Degnerstrasse,strassenbahn,"63,64","52.54488036635163, 13.493949954029993",nan,278,"64,63",Degnerstrasse
257,Demminer Strasse Ecke Brunnenstrasse,bus,A64,"52.54113697481197, 13.393805198148023",nan,279,A64,nan
258,Detmolder Strasse Ecke Blissestrasse,bus,A1,"52.47876002753526, 13.320303638716377",,,,
259,Deutsche Oper (Bismarckstr.),u-bahn,"A I,A III","52.511944444444,13.310555555556",Q869501,281+ 282,"A III,A I+ B I",nan+ nan
260,Deutschland Halle,bus,A88,"52.497205479328066, 13.270893555260278",,,,
261,Diepensee,bus,AD,"52.300569220227956, 13.588920019126693",,,,
262,Dimitroffstr.,u-bahn,A,"52.541666666667,13.412222222222",Q571382,284,A,Eberswalder Straße metro station
263,Dimitroffstrasse,bus,"A9,A57","52.52644944679887, 13.447574773361476",nan,285,A9,Dimitroffstrasse Ecke Landsberger Allee
264,Dimitroffstrasse,strassenbahn,"69E,72,64,74E,63,71,69","52.5264303512303, 13.447596791543624 ;   52.53918901477695, 13.42424530247013 ;  52.53617065447549, 13.433035147691381",nan,286,"64,63 ; 72,71 ; 74E,74",Dimitroffstrasse Ecke Landsberger Allee ;   Dimitroffstrasse Ecke Prenzlauer Strasse ;  Dimitroffstrasse Ecke Greifswalder Strasse
265,Dimitroffstrasse Ecke Leninallee,bus,A54,"52.52644398829154, 13.447645022319072",nan,287,O37,nan
266,Dominicusstrasse Ecke Hauptstrasse,bus,"A84,A75","52.48180071652041, 13.348377997983935",,,,
267,Dominikus-Krankenhaus,bus,A15,"52.626196524368744, 13.294495665499268",nan,292,A15,Dominikus-Krankenhaus
268,Donnersmarckplatz,bus,"A12,A15","52.62982465046043, 13.28047497184123",nan,293,"A15,A12",Donnersmarckplatz
269,"Doppel-Süd, Berlepschstrasse",bus,A66,"52.42115284920077, 13.226688767210124",nan,294,A66,nan
270,Dorfaue,strassenbahn,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)","52.478869891771325, 13.700379205739726",,,,
271,Drakestrasse,bus,A48,"52.445733691746746, 13.293722374035292",nan,296,A48,Drakestrasse Ecke Unter den Eichen
272,Drakestrasse Ecke Ringstrasse,bus,A85,"52.43979507204022, 13.300191166543234",,,,
273,Dreilindenstrasse,bus,A53,"52.42046329010259, 13.183323568986776",,,,
274,Drontheimer Strasse Ecke Osloer Strasse,bus,A89,"52.55646891407764, 13.377008238722954",,,,
275,Dudenstrasse,bus,A28,"52.485078406979376, 13.376567552300232",nan,297,A28,Dudenstrasse Ecke Katzbachstrasse
276,Dyotzer Strasse,bus,A63,"52.541513574478394, 13.168806761501132",nan,298,A63,Dyotzer Strasse Ecke Seegefelder Strasse
277,Dönhoffplatz,strassenbahn,64,"52.509950568117645, 13.398144081918815",nan,299,64,nan
278,Düppel-Kleinmachnow,s-bahn,KBS 100f,"52.421388888889,13.226666666667",Q44763529,300,KBS 104a,Berlin-Düppel railway station
280,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,4,"52.54061076763243, 13.404559930731686",nan+ nan,301+ 832,4+ 13,nan+ nan
281,Ebertystrasse Ecke Leninallee,bus,O30,"52.52722237261361, 13.450799684654514",nan,302,O30,Ebertystrasse Ecke Leninallee
282,Prinz-Eugen-Straße Ecke Schulstraße,bus,A79,"52.54878969825585, 13.362986291264232",,,,
283,Edisonstrasse,strassenbahn,"85,95","52.4619496,13.5139049",Q65951882,303,95,nan
284,Efeuweg,bus,A52,"52.42961975739112, 13.47788675809725",nan,304,A52,Efeuweg Ecke Neuköllner Strasse
285,Egelingzeile,bus,A74,"52.46361812486443, 13.369990724217713",,,,
286,Egelpfuhlstrasse,bus,"A31,A80","52.53353984351533, 13.169416926784528",nan,305,A31,Egelpfuhlstrasse Ecke Brunsbüttler Damm
287,Ehrenmal,bus,"A45,A55,A58","52.57958419912971, 13.375974716701414",nan,306,"A55,A45",Ehrenmal
288,Eichborndamm Ecke Alt-Wittenau,bus,A12,"52.591828552976516, 13.32639160518794",,,,
289,Eichbornstr.,s-bahn,KBS 100c,"52.5776,13.3169",Q800500,307,KBS 105,Eichborndamm station
290,Eichbuschallee,bus,A47,"52.47574296676633, 13.487312571777435",nan,308,A47,Eichbuschallee Ecke Neue Krugallee
291,Eichbuschplatz,bus,A38,"52.39366126137233, 13.582046308470128",nan,309,A38,Eichbuschplatz
292,Eichendamm,strassenbahn,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.45567448233044, 13.730971293129528",,,,
293,Eichkamp,bus,A69,"52.48991827349885, 13.259541279740162",nan,311,A69,nan
294,Eichkamp,s-bahn,KBS 100g,"52.4987,13.2702",Q800504,312,KBS 101,Berlin Messe Süd railway station
295,Eichkampstrasse Ecke Alte Allee,bus,A88,"52.491857630544814, 13.26346312119853",,,,
296,Eichwalde,s-bahn,KBS 103,"52.3715,13.6152",Q19274479,313,KBS 103,Eichwalde station
297,Elisabethstrasse,bus,O37,"52.53409533705918, 13.55949915809485",nan,316,O37,Elisabethstrasse Ecke Oberfeldstrasse
298,Elsenstrasse,strassenbahn,95,"52.48802829044681, 13.452728713947648",,,,
299,Elsheimer Strasse Ecke Berlepschstrasse,bus,A66,"52.42566701496254, 13.243889889353003",,,,
300,Elsterplatz,bus,"A10,A50","52.47977982878401, 13.285507613099716",nan,319,"A10,A50",Elsterplatz
301,Elsässer Strasse,bus,A7,"52.63337294510061, 13.345103420124245",nan,320,A7,nan
302,Emmentaler Strasse,bus,"A12,A12S,A71","52.5675354709663, 13.351240165364471 ; 52.570420696850896, 13.360956869321077",nan,321,A12 ; A71,Emmentaler Strasse Ecke Aroser Allee ; Emmentaler Strasse Ecke Residenzstraße
303,Emser Platz,bus,A50,"52.492072890007414, 13.319251387534207",nan,322,A50,Emser Platz
304,Englerallee,bus,A16,"52.46177802552459, 13.304473295414123",nan,324,A16,Englerallee
305,Erdener Strasse,bus,A19,"52.490558314289494, 13.276360031005654",nan,325,A19,Erdener Strasse Ecke Königsallee
306,Erkner,s-bahn,KBS 102,"52.4296,13.7513",Q14434071,326,KBS 102,Erkner railway station
307,Erkstrasse,bus,A67,"52.48167227551806, 13.440052048368255",nan,327,A67,Erkstrasse Ecke Sonnenallee
308,Erkstrasse Ecke Sonnenallee,strassenbahn,95,"52.48169987618706, 13.440143697235596",nan,328,95,nan
309,Ernst-Reuter-Platz,bus,"A90,A86","52.511591823135106, 13.322571528312595",nan,329,A2,nan
310,Ernst-Reuter-Platz,u-bahn,A I,"52.511944444444,13.322222222222",Q658361,331,"A I,B I",Ernst-Reuter-Platz metro station
311,Exerzierstrasse Ecke Badstrasse,bus,A61,"52.55379746935533, 13.377146592521141",,,,
312,Exerzierstrasse Ecke Schulstrasse,bus,A79,"52.55394744930925, 13.371515849478492",,,,
313,Eythstrasse,bus,A74,"52.45972284347706, 13.366428299506616",nan,334,A74,nan
314,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,A22,"52.431470149043314, 13.718708856639706",nan,336,A22,Fahlenbergstrasse Ecke Fürstenwalder Allee
315,Falkenberger Chaussee,bus,A39,"52.565816857333125, 13.511913714753",nan,337,A39,Falkenberger Chaussee Ecke Falkenberger Chaussee
316,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,63,"52.55036672097044, 13.509915032138812",nan,338,63,Falkenbergerstrasse Ecke Wartenberger Strasse
318,Falkenplatz,bus,A20,"52.58490937545724, 13.227619925618022",nan,339,A20,Falkenplatz
319,Falkensee,s-bahn,KBS 103,"52.559722,13.088889",Q5431918,340,KBS 103,Falkensee railway station
320,Falkenseer Chaussee,bus,A5,"52.54750354783305, 13.184668062763297",nan,341,A5,Falkenseer Chaussee Ecke Zeppelinstrasse
321,Fasanenstrasse,strassenbahn,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.45303125634222, 13.744280675634114",,,,
322,Fehrbelliner Platz,bus,"A86,A74","52.49040638965375, 13.314204217177087",nan,343,"A74,A50",Fehrbelliner Platz
323,Fehrbelliner Platz,u-bahn,A II,"52.490277777778,13.314444444444",Q663245,345,"A II,B II",U-Fehrbelliner Platz
324,Feldtmannstrasse,bus,A46,"52.56401588379611, 13.46980857664685",nan,346,A46,Feldtmannstrasse Ecke Berliner Allee
325,Fennstrasse Ecke Tegeler Strasse,bus,A16,"52.537921114358255, 13.361618236551074",,,,
326,Feuerbachstr.,s-bahn,KBS 100e,"52.463611111111,13.332777777778",Q800501,347,KBS 104,Berlin Feuerbachstraße station
327,Feuerbachstrasse Ecke Bismarckstrasse,bus,"A81,A2","52.464513435475055, 13.338927866545799",,,,
328,"Fichtenau, Stadtgrenze",bus,A22,"52.45479242349705, 13.701499962608066",nan,348,A22,"Fichtenau, Stadtgrenze"
329,Fichtestrasse Ecke Schopenhauerstrasse,bus,A8,"52.47979924975105, 13.617292306977053",nan,349,A8,Fichtestrasse Ecke Schopenhauerstrasse
330,Flinsberger Platz,bus,A50,"52.483689942018465, 13.29268111645926",nan,351,A50,Flinsberger Platz
331,Florastrasse,bus,A84,"52.46147250684306, 13.325119089841486",,,,
332,Flughafen,bus,"A24,A19","52.470965141866394, 13.385641462324475",nan,352,"A19,A24",Flughafen
333,Flughafen,u-bahn,C II,"52.485556, 13.385833",Q557582,353,C II,Platz der Luftbrücke
334,Fontanestrasse,bus,A58,"52.58985938767378, 13.361193570257216",,,,
335,Forckenbeckstrasse,bus,A50,"52.482221394934605, 13.290044081376928",nan,356,A50,Forckenbeckstrasse Ecke Hohenzollerndamm
336,Frankfurter Allee,s-bahn,"KBS 106a,KBS 104,KBS 106","52.514166666667,13.474722222222",Q111250033,,,
337,Frankfurter Tor,strassenbahn,"4,13","52.5153903,13.4540172","Q65706246",,,
338,Frankfurter Tor,u-bahn,E,"52.515833333333,13.454166666667","Q568627",357,E,nan
339,Franz-Körner-Strasse Ecke Britzer Damm,bus,A91,"52.45589548157786, 13.43725717384978",,,,
340,Französische Strasse,bus,A59,"52.51479530644954, 13.389211606710221",,,,
341,Frauenklinik,strassenbahn,15,"52.463949908172545, 13.427509548910932",nan,359,15,Frauenklinik
342,Fredersdorf (b Bln),s-bahn,KBS 101,"52.5265,13.7625",Q15197387,360,KBS 101,Fredersdorf station
343,Freibad Grünau,strassenbahn,86,"52.4086224,13.604455",Q66489598,361,86,nan
344,Freie Scholle,bus,A20,"52.599851537868666, 13.301736158422598",nan,362,A20,Freie Scholle
345,Freiheit,strassenbahn,"54,53","52.53269778633445, 13.207518439639045",,,,
346,Friedenau,s-bahn,KBS 100e,"52.47,13.341",Q800471,363,KBS 104,Berlin-Friedenau station
347,Friedenstrasse,bus,A6,"52.417223782342035, 13.138950169993388",nan,364,A6,Friedenstrasse Ecke Königstrasse
348,Friedhof Rudow,bus,A52,"52.42113122136662, 13.503199151482875",nan,365,A52,Friedhof Rudow
349,Friedhof Ruhleben,bus,"A5,A31","52.527735865422024, 13.231788317801291",nan,366,"A5,A31",Friedhof Ruhleben
350,Friedrich-Junge-Strasse,bus,82P,"52.49382897072681, 13.471572865851856",nan,367,A82P,Friedrich-Junge-Strasse Ecke Alt-Stralau
351,Friedrich-Wilhelm-Platz,bus,"A85,A2,A17","52.47128806242274, 13.328362126543809",nan,369,A2,Friedrich-Wilhelm-Platz
352,Friedrichsfelde (Tierpark),u-bahn,E,"52.506111111111,13.512777777778",Q429781,372,E,Friedrichsfelde
353,Friedrichsfelde Ost,s-bahn,KBS 101,"52.5141,13.5198",Q800473,373,KBS 101,Berlin-Friedrichsfelde Ost station
354,Friedrichshagen,s-bahn,KBS 102,"52.4574,13.6233",Q800474,374,KBS 102,Berlin-Friedrichshagen station
355,"Friedrichshagen, Wasserwerk",strassenbahn,84,"52.4560563,13.6419956",Q66362601,375,84,Wasserwerk Friedrichshagen
356,Friedrichstr.,s-bahn,"KBS 100d,KBS 101,KBS 100g,KBS 100c,KBS 100h,KBS 102,KBS 103,KBS 103a,KBS 100e","52.52027777777778,13.386944444444444",Q111219456,376,"KBS 106,KBS 104,KBS 101,KBS 105,KBS 103,KBS 102",S-Bahnhof Friedrichstraße
357,Friedrichstrasse,bus,"A9,A57","52.51718498081941, 13.388821428784585",,,,
358,Frohnau,s-bahn,KBS 100e,"52.6325,13.2902",Q800472,380,KBS 106,Berlin-Frohnau station
359,"Frohnau, Invalidensiedlung",bus,A15,"52.65584641928224, 13.29035792910375",,,,
360,Fuldastrasse,bus,A67,"52.483802510465225, 13.435884392882318",nan,381,A67,Fuldastrasse Ecke Sonnenallee
361,Fürstenbrunner Weg,bus,AS1s,"52.518378845111386, 13.280184750778325",nan,382,AS1,Fürstenbrunner Weg Ecke Spandauer Damm
362,Gabelung,bus,A13,"52.59988612656876, 13.25204128545515",nan,384,A13,Gabelung
363,Galenusstrasse,strassenbahn,49,"52.5818183,13.4287678",Q66195410,,,
364,Gartenfeld,bus,A72,"52.54719055045343, 13.247793329242997",,,,
365,Gartenfeld,s-bahn,KBS 100b,"52.54695,13.24882",Q96080469,386,KBS 100c,Gartenfeld
366,Gartenfelderstrasse Ecke Nonnendamm Allee,bus,A99,"52.53935038939542, 13.232299966570043",,,,
367,"Gartenplatz, Feldstrasse",bus,A61,"52.538565896675905, 13.384005277447793",nan,387,A61,"Gartenplatz, Feldstrasse"
368,Gartenstadtweg,bus,A36,"52.412313913821045, 13.56660267841369",nan,388,AD/36,Gartenstadtweg
369,Gartenstrasse,bus,A36,"52.393046080600556, 13.525019920565521",,,,
370,Gartenstrasse Ecke Bernauer Strasse,bus,A12,"52.53347451941179, 13.387474124225042",nan,389,A12,nan
371,Gartenstrasse Ecke Grenzstrasse,bus,A90,"52.54185206233087, 13.37811062641435",,,,
372,"Gatow, Kirche",bus,"A34,A35","52.48684680676539, 13.18215147844503",nan,390,"A34,A35","Gatow, Kirche"
373,Gatower Strasse,bus,"A34, A35","52.489436255649245, 13.180387588417426",nan,391,A35,Gatower Strasse Ecke Alt-Gatow
374,Gerlindeweg Ecke Friederikestrasse,bus,A20,"52.57564385703113, 13.228964845529648",,,,
375,Germaniapromenade Ecke Hermannstrasse,bus,A91,"52.46089743652378, 13.435062821383825",,,,
376,Germaniastrasse,strassenbahn,15,"52.46053782557012, 13.418009045149528",nan,394,"15,26",Germaniastrasse
377,Germersheimer Platz,bus,A99,"52.54433253766927, 13.187336363919895",nan,395,A35,Germersheimer Platz
378,Gesundbrunnen,s-bahn,"KBS 100d,KBS 100,KBS 100a,KBS 100c,KBS 100e","52.548611111111,13.389444444444",Q111239092,397,"KBS 100,KBS 104,KBS 105,KBS 106",S-Bahnhof Berlin-Gesundbrunnen
379,Gesundbrunnen,u-bahn,D,"52.548611,13.389444",Q3761416,398,D,U-Bahnhof Gesundbrunnen
380,Giebelsee,s-bahn,KBS 101,"52.5291,13.791",Q7178217,399,KBS 101,Petershagen Nord railway station
381,Giesendorferstrasse Ecke Ostpreußendamm,strassenbahn,96,"52.424004043498876, 13.314394633539294",,,,
382,Gleisdreieck,u-bahn,"A I,A II","52.49952,13.37409",Q678372,402,"A II,A I,B II,B I",Gleisdreieck
383,"Glienicke, Kirche",bus,A7,"52.63062737184449, 13.312861916755343",nan,403,A7,"Glienicke, Kirche"
384,Glienicker Brücke,bus,A6,"52.413474089031965, 13.091235881924467",nan,404,A6,Glienicker Brücke
385,Gneisenaustr.,u-bahn,C I,"52.491388888889,13.395555555556",Q668618,406,C I,Gneisenaustraße
386,Gneisenaustrasse Ecke Zossener Strasse,bus,A24,"52.49150139774128, 13.394363809880979",,,,
387,Goebelplatz,bus,A65,"52.53812718171093, 13.27991414794248",nan,408,A65,Goebelplatz
388,Goeben-/Pallasstrasse,bus,A48,"52.49428616497335, 13.361054367554111",nan,409,A48,Goeben-/Pallasstrasse
389,Goerzallee,strassenbahn,96,"52.421943941201924, 13.298506647186814",nan,410,"77,78",Goerzallee
390,Goethestrasse,strassenbahn,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),"52.455545765090996, 13.726377148130858",,,,
391,Goltzstrasse,bus,AS2s,"52.38667572084441, 13.407934498494095",nan,413,AS2,Goltzstrasse Ecke Bahnhofstrasse
392,Gorkistrasse,bus,A15,"52.59059426195262, 13.292011153010927",nan,414,A15,nan
393,Gotenstrasse Ecke Torgauerstrasse,bus,A84,"52.47978046569568, 13.360192355820017",,,,
394,Gottlieb-Dunkel-Strasse Ecke Germaniastrasse,bus,A25,"52.46056887553805, 13.417975404195007",,,,
395,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,A73,"52.460486783559624, 13.417983924217406",nan,417,A73,nan
396,Gotzkowskybrücke,bus,A25,"52.52381238362036, 13.329729120795239",nan,419,A25,Gotzkowskybrücke Ecke Alt-Moabit
397,Gotzkowskystrasse,bus,A24,"52.527187214573765, 13.330550930001301",,,,
398,Alt-Moabit Ecke Gotzkowskystrasse,bus,A86,"52.52377875537158, 13.329735095213607",,,,
399,Gradestrasse Ecke Tempelhofer Weg,strassenbahn,47,"52.452539318651766, 13.433056825223494",,,,
400,Grazer Platz,bus,"A83,A25","52.467636991817486, 13.347565807885369",nan,423,A25,Grazer Platz
401,Greifswalder Str.,s-bahn,"KBS 106a,KBS 104,KBS 106","52.539722222222,13.439444444444",Q439246,424,"KBS 103a,KBS 106",Berlin Greifswalder Straße station
402,Greifswalder Strasse,bus,"A44,A44E","52.53002871375482, 13.62681794411932",nan,425,"A44,A44E",Greifswalder Strasse Ecke Hönower Strasse
403,Greifswalder Strasse,strassenbahn,"4,13","52.5364975,13.4334045",Q65548960,426,"13,4",Greifswalder Straße/Danziger Straße
404,Greifswalderstrasse Ecke Dimitroffstrasse,bus,O30,"52.5362177572407, 13.433017500945247",nan,427,O30,Greifswalderstrasse Ecke Dimitroffstrasse
405,Grenadierstrasse,bus,A31,"52.530981925368565, 13.205371761701368",nan,428,"A5,A31",Grenadierstrasse Ecke Grunewaldstrasse
406,Grenzallee,u-bahn,C I,"52.463333333333,13.443888888889",Q571836,429,C I,Grenzallee
407,Grenzstrasse,bus,A12,"52.541822798579034, 13.378147647725354",nan,430,A12,Grenzstrasse Ecke Gerichtstrasse
408,Gritznerstrasse,bus,A32,"52.46438146098689, 13.316483335491945",,,,
409,Grottkauer Strasse,bus,A49,"52.52796238368814, 13.600805280630896",nan,433,A49,Grottkauer Strasse Ecke Am Baltenring
410,Groß Ziethen,bus,AZ,"52.41404104155547, 13.438879163306126",nan,434,AZ,nan
411,Großbeerenstrasse Ecke Lankwitzer Strasse,strassenbahn,15,"52.437910165337165, 13.380481533598488",,,,
412,Große Seestrasse Ecke Klement-Gottwald-Allee,bus,A55,"52.56000045883561, 13.467055661888581",,,,
413,Große-Ziethen Chaussee Ecke Waltersdorfer Chaussee,strassenbahn,47,"52.40158342647793, 13.513562829889217",,,,
414,Großer Stern,bus,"A69,A16","52.514524715463295, 13.349933192922938",nan,436,A69,nan
415,Großglienicker Weg,bus,"A34,A35","52.483148805729485, 13.182630557348212",nan,437,"A34,A35",nan
416,Großgörschenstr.,s-bahn,KBS 100e,"52.4922745,13.3678588",Q21776726,438,KBS 104,Yorckstraße (Großgörschenstraße) station
417,Grunewald,s-bahn,KBS 100h,"52.4892,13.2614",Q457266,439,KBS 102,Berlin-Grunewald station
418,"Grunewald, Fontanestrasse",bus,A17,"52.48728923056679, 13.263800173256355",,,,
419,Grunewaldstrasse,bus,A73,"52.48907804007202, 13.345000249198607",nan,440,A73,nan
420,Grunewaldstrasse Ecke Martin-Luther-Strasse,bus,A85,"52.489052179432406, 13.345015381967391",,,,
421,Grunewaldstrasse Ecke Ruhlebenerstrasse,bus,A92,"52.53017272986947, 13.204684565238468",,,,
422,Grünau,s-bahn,KBS 103,"52.4122,13.5746",Q111307258,443,"KBS 103,KBS 100a,KBS 106",S-Bahnhof Grünau
423,Grünbergallee station,s-bahn,"KBS 106a,KBS 103a","52.3992,13.5416",Q5612896,,,
424,Grünberger Strasse,strassenbahn,4,"52.5122359,13.452609",Q65706239,444,4,Grünberger Straße/Warschauer Straße
425,Grüner Weg,bus,A52,"52.42955863550208, 13.453590733350595",nan,445,"A25,A52",Grüner Weg Ecke Johannisthaler Chaussee
426,Grüner Weg Ecke Buschkrug Allee,strassenbahn,47,"52.44257243179654, 13.456440580599027",,,,
427,Grüner Weg Ecke Buschkrug Allee,bus,A25,"52.442742512360894, 13.45624531425605",,,,
428,Grünstrasse,strassenbahn,86,"52.44496664892706, 13.57413386885382",,,,
429,Grüntaler Straße Ecke Osloer Strasse,bus,A89,"52.55535324911242, 13.391390423377038",,,,
430,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,A55,"52.562178269666816, 13.454275093038184",nan,447,A55,nan
431,Gutschmidtstrasse Ecke Buckower Damm,bus,A91,"52.44037172323985, 13.434787185803776",,,,
432,Gutshof,bus,A34,"52.47510904064348, 13.120710540203262",nan,450,A34,Gutshof
433,Görlitzer Bahnhof (Oranienstr.),u-bahn,"A I,A II","52.4992,13.428",Q597759,452,"B II,B I",Görlitzer Bahnhof
434,Güntzelstrasse,bus,A60,"52.49154575346882, 13.323206588873013",nan,453,A60,nan
435,Güteraußenring,bus,A42,"52.599887239389226, 13.469297130431492",nan,454,A42,nan
436,Güterbahnhof Springpfuhl,bus,A43,"52.52561231977731, 13.533687321893124",nan,455,A43,nan
437,Hackbuschstrasse,bus,A31,"52.53959956967987, 13.150244533066292",nan,456,A31,Hackbuschstrasse Ecke Torstrasse
438,Hackescher Markt,strassenbahn,69,"52.5238354,13.402603",Q65094590,,,
439,"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"49,63","52.523392495650945, 13.40144677696498",nan,457,"49,63",nan
440,Hafenplatz,bus,"A24 ; A34,AS1s","52.50392083524772, 13.375479875476426 ; 52.54215888169655, 13.206044861619935",nan,458,"A24 ; AS1,A34","Hafenplatz Ecke Köthener Strasse ; Hafenplatz, Spandau"
441,Hafenplatz,strassenbahn,"53,54,75,76,55","52.542292547760184, 13.206201126048732",nan,459,"53,75,54,76",Hafenplatz
442,Hagenplatz,bus,"A17,A19","52.483382973651, 13.265818700272884",nan,460,"A19,A17",Hagenplatz
443,Hainbuchenstrasse Ecke Kastanienallee,bus,A12,"52.63439314334195, 13.27475571542677",,,,
444,Hakenfelde,strassenbahn,"53,75,55","52.57886009874865, 13.210057800310379",nan,462,"53,75",Hakenfelde
445,Halensee,s-bahn,"KBS 100,KBS 100k","52.4961,13.2906",Q800476,463,KBS 100,Berlin-Halensee station
446,Halenseestrasse Ecke Messedamm,bus,A88,"52.503580044744524, 13.278993774264324",,,,
447,Hallesches Tor,u-bahn,"A I,C I,A II","52.497777777778,13.391111111111",Q658302,464,"B I,A II,B II,C I",Hallesches Tor
448,Halskestrasse Ecke Attilastrasse Ecke Steglitzer Damm,bus,A33,"52.45003698821141, 13.346681411732686",,,,
449,Hamburger Platz,bus,"A45,A56,A55","52.555394187589414, 13.438973139463632",nan,466,"A56,A55,A45",Hamburger Platz
450,"Hamburger Strasse, Rudolf-Mosse-Platz",bus,A60,"52.475375170002664, 13.303566446005037",nan,467,A60,"Hamburger Strasse, Rudolf-Mosse-Platz"
451,Hannoversche Strasse,strassenbahn,1,"52.52716496126181, 13.387046759579254",nan,468,11,nan
452,Hansaplatz,bus,"A16,A25","52.5179343319099, 13.342038193257153",nan,469,"A25,A16",Hansaplatz
453,Hansaplatz,u-bahn,G,"52.517777777778,13.342222222222",Q287552,,,
454,Hardenbergstrasse,bus,AS3s,"52.506154057324025, 13.33242747094564",,,,
455,Hardenbergstrasse Ecke Joachimstalerstrasse,bus,AS2s,"52.50618524939871, 13.332362408473958",,,,
456,Hartmannsweiler Weg,bus,A53,"52.43871188132932, 13.248833836243495",nan,471,A53,Hartmannsweiler Weg Ecke Fischerhüttenstrasse
457,Harzer Strasse,bus,A4,"52.48636830082275, 13.446318376662678",nan,472,A4,nan
458,"Haselhorst, Kirche",bus,A10,"52.5468281751583, 13.237065889883622",nan,473,A10,"Haselhorst, Kirche"
459,Hatzfeldtallee,bus,A20,"52.59133642369986, 13.286579893431492",,,,
