stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
44,Am Beelitzhof,bus,A3,"52.432202091928794, 13.186661564435827",nan,38,A3,Am Beelitzhof Ecke Kronprinzessinnenweg
45,Am Dachsbau,bus,A13,"52.60655284387061, 13.22984370797522",nan,39,A13,Am Dachsbau Ecke Heiligenseestrasse
46,Am Falkenberg,strassenbahn,84,"52.41079970042163, 13.570452931545786",,,,
47,Am Grossen Wannsee,bus,"A18,A51","52.420496581432594, 13.167192967572669",nan,41,"A6,A51,A18",Am Grossen Wannsee Ecke Königstrasse
48,Am Großen Wannsee,bus,AS4,"52.420496581432594, 13.167192967572669",,,,
49,Am Großen Wannsee Ecke Königstrasse,bus,A3,"52.420496581432594, 13.167192967572669",nan,42,A3,nan
50,Am Karlsbad,bus,A75,"52.505510534075455, 13.36801582264215",nan,43,A75,nan
51,Am Kupfergraben,strassenbahn,"46,70,11","52.5194208,13.3953839",Q65055027,44,"46,70,1",Am Kupfergraben
52,Am Nordhafen,bus,A70,"52.53868315849872, 13.363248409190426",nan,45,A70,Am Nordhafen
53,Am Nordhafen Ecke Tegelerstrasse,bus,A90,"52.53843836936191, 13.362733894464787",,,,
54,Am Oberhafen,bus,A67,"52.465017297775326, 13.450594183790596",nan,46,A67,Am Oberhafen
55,Am Pilz,bus,A15,"52.64251497264632, 13.300908054411988",,,,
56,Am Rosenhag,bus,"A44,A44E","52.52474356253909, 13.621775828105108",nan,47,"A44,A44E",Am Rosenhag
57,Am Steinberg,bus,"A45,A55,A42","52.55648144940878, 13.429306764151775",nan,48,"A55,A42,A45",Am Steinberg Ecke Prenzlauer Promenade
58,Am Steinberg,strassenbahn,71,"52.5585796,13.4333751",Q65103320,49,71,Am Steinberg
59,Am Treptower Park Ecke Elsenstrasse,strassenbahn,87,"52.4917648672198, 13.457703881892664",nan,50,87,nan
60,Am Vierrutenberg Ecke Zabel-Krüger-Damm,bus,A20,"52.61351518095798, 13.343830308232075",,,,
61,Am Volkspark,bus,A60,"52.483222065143515, 13.32036833862448",nan,52,A60,Am Volkspark Ecke Blissestrasse
62,Amrumer Strasse,u-bahn,G,"52.5425,13.350277777778",Q557577,,,
63,Amtsgericht,bus,"AS4,A10","52.50682617853116, 13.297391449613752",,,,
64,Amtsgericht,strassenbahn,"75,76","52.50682617853116, 13.297391449613752",nan,54,"75,76",Amtsgericht
65,Amtsgericht Charlottenburg,bus,A21,"52.50571853839105, 13.295347400894903",nan,55,A21,Amtsgericht Charlottenburg
66,An der Urania,bus,A69,"52.50313263781954, 13.3499093331407",,,,
67,Andreasstrasse,bus,O30,"52.51797306914227, 13.432895480772247",nan,56,O30,Andreasstrasse/Lebuser Strasse
68,Andreezeile,bus,A66,"52.41046140348477, 13.267143098688617",nan,57,A66,nan
