stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
"Glienicke, Kirche",autobus,7,19710_east,"52.63062737,13.31286192",,,,,,,,1971329.0,,,east,
Elsässerstr.,autobus,7,19711_east,"52.63337295,13.34510342",,,,,,,,1971250.0,,,east,
"Schildow, Kirche",autobus,7,19712_east,"52.63581867,13.37771917",,,,,,,,1971965.0,,,east,
"Blankenfelde, Hauptstr.",autobus,7,19713_east,"52.63002535,13.38262328",,,,,,,,1971136.0,Blankenfelde,Pankow,east,13159
Industriebahn,autobus,7,19714_east,"52.61860431,13.39039578",,,,,,,,1971486.0,Blankenfelde,Pankow,east,13159
Nordend,autobus,7,19715_east,"52.59006569,13.40174057",,,,,,,,1971731.0,Rosenthal,Pankow,east,13158
Kurt-Fischer-Platz,autobus,7,19716_east,"52.57973293,13.39833073",,,,,,,,1971579.0,Niederschönhausen,Pankow,east,13156
"Pankow, Rathaus",autobus,7,19717_east,"52.56953909,13.40418644",,,,,,,,1971777.0,Pankow,Pankow,east,13187
U-Bhf. Pankow,autobus,7,19718_east,"52.56721534,13.41219922",,,,,,,,19711140.0,Pankow,Pankow,east,13187
Mahlsdorferallee,autobus,8,19719_east,"52.47821522,13.62080081",,,,,,,,1971663.0,,,east,
Hultschinerdamm,autobus,8,197110_east,"52.47711374,13.60059814",,,,,,,,1971470.0,Mahlsdorf,Marzahn-Hellersdorf,east,12623
Sadowastr.,autobus,8,197111_east,"52.48267547,13.58483307",,,,,,,,1971958.0,Mahlsdorf,Marzahn-Hellersdorf,east,12621
Köpenickerstr.,autobus,8,197112_east,"52.48661965,13.56035513",,,,,,,,1971594.0,Biesdorf,Marzahn-Hellersdorf,east,12683
Oberfeldstr.,autobus,8,197113_east,"52.50917456,13.55329997",,,,,,,,1971735.0,Biesdorf,Marzahn-Hellersdorf,east,12683
Am Tierpark,autobus,8,197114_east,"52.50960268,13.51897760",,,,,,,,197153.0,Friedrichsfelde,Lichtenberg,east,10315
U-Bhf. Friedrichsfelde,autobus,8,197115_east,"52.50624112,13.51285306",,,,,,,,19711120.0,Friedrichsfelde,Lichtenberg,east,10315
Kurischestr.,autobus,9,197116_east,"52.53541469,13.43908579",,,,,,,,1971578.0,Prenzlauer Berg,Pankow,east,10407
Hufelandstr.,autobus,9,197117_east,"52.53302774,13.42935531",,,,,,,,1971469.0,Prenzlauer Berg,Pankow,east,10405
Königstor,autobus,9,197118_east,"52.52520269,13.41983499",,,,,,,,1971588.0,Mitte,Mitte,east,10178
Hans-Beimlerstr.,autobus,9,197119_east,"52.52515376,13.41990595",,,,,,,,1971388.0,Mitte,Mitte,east,10178
Breitestr.,autobus,9,197120_east,"52.51406755,13.40574007",,,,,,,,1971153.0,Mitte,Mitte,east,10179
