,stop_name,line_count,type,in_lines
0,"Glienicke, Kirche",1,bus,['7']
1,Elsässer Strasse,1,bus,['7']
2,"Schildow, Kirche",1,bus,['7']
3,"Blankenfelde, Hauptstrasse",1,bus,['7']
4,Industriebahn,1,bus,['7']
5,Nordend,2,bus,['7']
6,Nordend,2,strassenbahn,['46']
7,Kurt-Fischer-Platz,4,bus,"['7', '50']"
8,Kurt-Fischer-Platz,4,strassenbahn,"['22', '46']"
9,"Pankow, Rathaus",6,bus,"['45', '55', '7', '58']"
10,"Pankow, Rathaus",6,strassenbahn,"['22', '46']"
11,U-Bhf. Pankow,3,bus,"['7', '52']"
12,U-Bhf. Pankow,3,strassenbahn,['46']
13,Mahlsdorfer Allee,1,bus,['8']
14,Hultschiner Damm,1,bus,['8']
15,Sadowastrasse,1,bus,['8']
16,Köpenicker Strasse,1,bus,['8']
17,Oberfeldstrasse,2,bus,"['35', '8']"
18,Am Tierpark,4,bus,"['43', '35', '37', '8']"
19,U-Bhf. Friedrichsfelde,2,bus,"['35', '8']"
20,Kurische Strasse,1,bus,['9']
21,Hufelandstrasse,1,bus,['9']
22,Königstor,2,bus,"['57', '9']"
23,Hans-Beimler-Strasse,1,bus,['9']
24,Breite Strasse,2,bus,"['18', '9']"
25,Charlottenstrasse,1,bus,['9']
26,Otto-Grotewohl-Strasse,1,bus,['9']
27,Arkonaplatz,1,bus,['16']
28,Brunnenstrasse,4,bus,['16']
29,Brunnenstrasse,4,strassenbahn,"['22', '46', '70']"
30,Rosenthaler Platz,4,bus,"['40', '30', '16']"
31,Rosenthaler Platz,4,strassenbahn,['49']
32,Alexanderplatz,10,bus,"['57', '18', '16']"
33,Alexanderplatz,10,s-bahn,"['KBS 105', 'KBS 110', 'KBS 143', 'KBS 100', 'KBS 115']"
34,Alexanderplatz,10,u-bahn,"['E', 'A']"
35,S-Bhf. Jannowitzbr.,2,bus,"['16', '32']"
36,Annenstrasse,2,bus,"['18', '16']"
37,Adalbertstrasse,3,bus,"['18', '16']"
38,Adalbertstrasse,3,bus,"['18', '16']"
39,S-Bhf. Jannowitzbrücke,1,bus,['18']
40,Alexanderplatz,10,bus,"['57', '18', '16']"
41,Alexanderplatz,10,s-bahn,"['KBS 105', 'KBS 110', 'KBS 143', 'KBS 100', 'KBS 115']"
42,Alexanderplatz,10,u-bahn,"['E', 'A']"
43,Charlottenstrasse Ecke Französische Straße,1,bus,['18']
44,Bhf. Friedrichstrasse,7,bus,"['59', '57', '18']"
45,Bhf. Friedrichstrasse,7,strassenbahn,"['22', '46', '70']"
46,Schumannstrasse Ecke Reinhardtstrasse,1,bus,['18']
47,Robert-Koch-Platz,4,bus,"['40', '18', '30']"
48,Robert-Koch-Platz,4,bus,"['40', '18', '30']"
49,Schumannstrasse,1,bus,['18']
50,Albrechtstrasse,1,bus,['18']
51,Friedrichstrasse,1,bus,['18']
52,Bhf. Friedrichstrasse,7,bus,"['59', '57', '18']"
53,Bhf. Friedrichstrasse,7,strassenbahn,"['22', '46', '70']"
54,Unter den Linden,1,bus,['18']
55,Deutsche Staatsoper,1,bus,['18']
56,Breite Strasse,2,bus,"['18', '9']"
57,U-Bhf. Märk. Museum,1,bus,['18']
58,Annenstrasse,2,bus,"['18', '16']"
59,Melchiorstrasse,1,bus,['18']
60,Adalbertstrasse,3,bus,"['18', '16']"
61,"Hessenwinkel, Lutherstrasse",1,bus,['22']
62,Fahlenbergstrasse Ecke Fürstenwalder Allee,1,bus,['22']
63,S-Bhf. Wilhelmshagen,1,bus,['22']
64,Zentralschule,1,bus,['22']
65,Waldschänke,1,bus,['22']
66,S-Bhf. Rahnsdorf,2,bus,['22']
67,S-Bhf. Rahnsdorf,2,strassenbahn,['S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)']
68,Hamburger Strasse,1,bus,['22']
69,"Fichtenau, Post",1,bus,['22']
70,Falkenhöhe,1,bus,['23']
71,S-Bhf. Grünbergallee,2,bus,"['23', '36']"
72,S-Bhf. Altglienicke,1,bus,['23']
73,Wolfmarsteig,1,bus,['23']
74,"Altglienicke, Schönefelder Chaussee",1,bus,['23']
75,"Altglienicke, Kirche",2,bus,['23']
76,"Altglienicke, Kirche",2,strassenbahn,['84']
77,VEB Bautransporte,1,bus,['26']
78,Bhf. Schöneweide,10,bus,"['26', '65', '47', '48']"
79,Bhf. Schöneweide,10,strassenbahn,"['85', '69', '95', '87', '21']"
80,"S-Bhf. Kaulsdorf, Planitzstrasse",1,bus,['27']
81,Chemnitzer Strasse Ecke Alt-Kaulsdorf,1,bus,['27']
82,Jägerstrasse,1,bus,['27']
83,Gehsener Strasse,1,bus,['27']
84,S-Bhf. Köpenick,5,bus,"['27', '27E']"
85,S-Bhf. Köpenick,5,strassenbahn,"['86', '83', '82']"
86,Bahnhofstrasse Ecke Lindenstrasse,3,bus,['27']
87,Bahnhofstrasse Ecke Lindenstrasse,3,strassenbahn,"['87', '84']"
88,Schloßplatz,1,bus,['27']
89,Wendenschloßstrasse Ecke Müggelheimerstrasse,1,bus,['27']
90,"Köpenick, Krankenhaus",2,bus,"['27', '27E']"
91,Müggelturm,2,bus,"['27', '27E']"
92,Müggelheim,3,bus,"['27', '27E']"
93,Müggelheim,3,Fähre,['295']
94,Ostbahnhof,8,bus,"['40', '30', '32']"
95,Ostbahnhof,8,s-bahn,"['KBS 105', 'KBS 110', 'KBS 143', 'KBS 100', 'KBS 115']"
96,Warschauer Strasse,3,bus,"['30', '34']"
97,Warschauer Strasse,3,strassenbahn,['3']
98,Holteistrasse,1,bus,['30']
99,S-Bhf. Rummelsburg,1,bus,['30']
100,Schlichtallee,1,bus,['30']
101,Bhf. Lichtenberg,3,bus,"['30', '37']"
102,Bhf. Lichtenberg,3,strassenbahn,['69']
103,Obus- Betriebshof,1,bus,['30']
104,VEB Elektrokohle,3,bus,['30']
105,VEB Elektrokohle,3,strassenbahn,"['17', '19']"
106,Roederplatz,5,bus,['30']
107,Roederplatz,5,strassenbahn,"['17', '19', '3', '69']"
108,Leninallee,7,bus,['30']
109,Leninallee,7,s-bahn,"['KBS 141', 'KBS 142', 'KBS 140', 'KBS 143']"
110,Leninallee,7,strassenbahn,"['4', '13']"
111,Dimitroffstrasse,12,bus,"['56', '30', '37']"
112,Dimitroffstrasse,12,strassenbahn,"['17', '71', '74', '63', '75', '69', '73', '72', '19']"
113,U-Bhf. Luxemburgerplatz,1,bus,['30']
114,Rosenthaler Platz,4,bus,"['40', '30', '16']"
115,Rosenthaler Platz,4,strassenbahn,['49']
116,Robert-Koch-Platz,4,bus,"['40', '18', '30']"
117,S-Bhf. Buch,2,bus,"['51/B', '31']"
118,Karowerstrasse,2,bus,"['51/B', '31']"
119,Alt-Karow,2,bus,"['42', '31']"
120,Blankeburg,1,bus,['31']
121,"Heinersd., Kirche",2,bus,"['42', '31']"
122,Prenzlauer Promenade,7,bus,"['55', '42', '31']"
123,Prenzlauer Promenade,7,strassenbahn,"['70', '71', '3', '72']"
124,Ostseestrasse,2,bus,"['42', '31']"
125,H.- Beimler-Strasse,1,bus,['32']
126,Leninplatz,5,bus,"['40', '32']"
127,Leninplatz,5,strassenbahn,"['63', '69', '74']"
128,K.- Marx-Allee,1,bus,['32']
129,Ostbahnhof,8,bus,"['40', '30', '32']"
130,Ostbahnhof,8,s-bahn,"['KBS 105', 'KBS 110', 'KBS 143', 'KBS 100', 'KBS 115']"
131,S-Bhf. Jannowitzbr.,2,bus,"['16', '32']"
132,Spittelmarkt,2,bus,['32']
133,Spittelmarkt,2,u-bahn,['A']
134,U-Bhf. Thälmannplatz,2,bus,"['59', '32']"
135,Alt-Stralau,1,bus,['34']
136,Friedrich-Junge-Strasse,1,bus,['34']
137,Corinthstrasse,1,bus,['34']
138,Modersohnstrasse,1,bus,['34']
139,Warschauer Strasse,3,bus,"['30', '34']"
140,Warschauer Strasse,3,strassenbahn,['3']
141,Grünberger Strasse,2,bus,['34']
142,Grünberger Strasse,2,strassenbahn,['4']
143,U-Bhf. Marchlewskistrasse,1,bus,['34']
144,Pirolstrasse,1,bus,['35']
145,Dohlengrund,1,bus,['35']
146,Oberfeldstrasse,2,bus,"['35', '8']"
147,Am Tierpark,4,bus,"['43', '35', '37', '8']"
148,U-Bhf. Friedrichsfelde,2,bus,"['35', '8']"
149,Lincolnstrasse,1,bus,['35']
150,S-Bhf. Nöldnerplatz,1,bus,['35']
151,Zentralflughafen,1,bus,['36']
152,Bhf. Schönefeld,1,bus,['36']
153,S-Bhf. Grünbergallee,2,bus,"['23', '36']"
154,"Bohnsdorf, Kirche",1,bus,['36']
155,Gartenstadtweg,1,bus,['36']
156,S-Bhf. Grünau,2,bus,['36']
157,S-Bhf. Grünau,2,strassenbahn,['86']
158,Bhf. Lichtenberg,3,bus,"['30', '37']"
159,Bhf. Lichtenberg,3,strassenbahn,['69']
160,Am Tierpark,4,bus,"['43', '35', '37', '8']"
161,S-Bhf. Biesdorf,1,bus,['37']
162,Boschpoler Strasse,1,bus,['37']
163,Alt-Marzahn,1,bus,['37']
164,Marzahner Chaussee,2,bus,"['53', '37']"
165,Bürknersfelde,1,bus,['37']
166,Dingelst. Strasse,1,bus,['37']
167,Weißenseer Weg,3,bus,['37']
168,Weißenseer Weg,3,strassenbahn,"['63', '74']"
169,S-Bhf. Leninallee,4,bus,"['56', '37']"
170,S-Bhf. Leninallee,4,strassenbahn,"['63', '74']"
171,Dimitroffstrasse,12,bus,"['56', '30', '37']"
172,Dimitroffstrasse,12,strassenbahn,"['17', '71', '74', '63', '75', '69', '73', '72', '19']"
173,"Wartenberg, Siedlung",1,bus,['39']
174,"Wartenberg, Lindenbergerstrasse",1,bus,['39']
175,Falkenberger Chaussee Ecke Wartenbergerstrasse,1,bus,['39']
176,Falkenberger Strasse,2,bus,['39']
177,Falkenberger Strasse,2,strassenbahn,['99']
178,Ostbahnhof,8,bus,"['40', '30', '32']"
179,Ostbahnhof,8,s-bahn,"['KBS 105', 'KBS 110', 'KBS 143', 'KBS 100', 'KBS 115']"
180,Karl-Marx-Allee,1,bus,['40']
181,Leninplatz,5,bus,"['40', '32']"
182,Leninplatz,5,strassenbahn,"['63', '69', '74']"
183,U-Bhf. Luxemburgplatz,6,bus,['40']
184,U-Bhf. Luxemburgplatz,6,strassenbahn,"['71', '63', '73', '72', '75']"
185,Rosenthaler Platz,4,bus,"['40', '30', '16']"
186,Rosenthaler Platz,4,strassenbahn,['49']
187,Robert-Koch-Platz,4,bus,"['40', '18', '30']"
188,Buch,2,bus,['42']
189,Buch,2,s-bahn,['KBS 141']
190,Karower Strasse,1,bus,['42']
191,Alt-Karow,2,bus,"['42', '31']"
192,Blankenburg,5,bus,['42']
193,Blankenburg,5,s-bahn,"['KBS 141', 'KBS 142', 'KBS 140', 'KBS 143']"
194,"Heinersd., Kirche",2,bus,"['42', '31']"
195,Prenzlauer Promenade,7,bus,"['55', '42', '31']"
196,Prenzlauer Promenade,7,strassenbahn,"['70', '71', '3', '72']"
197,Ostseestrasse,2,bus,"['42', '31']"
198,"Marzahner Chaussee, Springpfuhl",1,bus,['43']
199,Stadtberg,1,bus,['43']
200,Dingelstätter Strasse,1,bus,['43']
201,S-Bhf. Friedrichsf.-Ost,1,bus,['43']
202,Am Tierpark,4,bus,"['43', '35', '37', '8']"
203,U-Bhf. Friedrichsf.,1,bus,['43']
204,S-Bf. Nöldnerplatz,1,bus,['43']
205,"Hönow, Dorfstrasse",1,bus,['44']
206,Greifswalder Strasse,4,bus,"['56', '44']"
207,Greifswalder Strasse,4,strassenbahn,"['4', '13']"
208,S-Bhf. Mahlsdorf,4,bus,"['44E', '44']"
209,S-Bhf. Mahlsdorf,4,strassenbahn,['83']
210,"Wilhelmsruh, Schillerstrasse",1,bus,['45']
211,Hauptstrasse Ecke Edelweißstrasse,1,bus,['45']
212,Heinrich-Mann-Platz,2,bus,"['45', '58']"
213,"Pankow, Rathaus",6,bus,"['45', '55', '7', '58']"
214,"Pankow, Rathaus",6,strassenbahn,"['22', '46']"
215,"Pankow, Kirche",6,bus,"['45', '55', '58']"
216,"Pankow, Kirche",6,strassenbahn,"['22', '49', '46']"
217,Prenzlauer Promenade Ecke Kissingenstrasse,1,bus,['45']
218,Am Steinberg,1,bus,['45']
219,Hamburger Platz,2,bus,"['45', '56']"
220,Lichtenberger Strasse Ecke Klement-Gottwald-Allee,1,bus,['45']
221,Klement-Gottwald-Allee Ecke Rennbahnstrasse,1,bus,['45']
222,"Weißensee, Schwarzelfenweg",1,bus,['45']
223,Bhf. Schöneweide,10,bus,"['26', '65', '47', '48']"
224,Bhf. Schöneweide,10,strassenbahn,"['85', '69', '95', '87', '21']"
225,Johannisthaler Chaussee,2,bus,['47']
226,Johannisthaler Chaussee,2,u-bahn,['7']
227,S-Bhf. Baumschulenweg,1,bus,['47']
228,"Treptow, Rathaus",1,bus,['47']
229,Sowjetisches Ehrenmal,1,bus,['47']
230,S-Bhf. Treptower Park,1,bus,['47']
231,"Treptow, Eichenstrasse",1,bus,['47']
232,Bhf. Schöneweide,10,bus,"['26', '65', '47', '48']"
233,Bhf. Schöneweide,10,strassenbahn,"['85', '69', '95', '87', '21']"
234,Lindhorstweg,2,bus,['48']
235,Stubenrauchstrasse,2,bus,"['A52', '48']"
236,Lindhorstweg,2,bus,['48']
237,Bhf. Schöneweide,10,bus,"['26', '65', '47', '48']"
238,Bhf. Schöneweide,10,strassenbahn,"['85', '69', '95', '87', '21']"
239,"Bhf. Kaulsdorf, Bausdorfstrasse",2,bus,['49']
240,Wernerbad,1,bus,['49']
241,Grottkauer Strasse,1,bus,['49']
242,"Bhf. Kaulsdorf, Bausdorfstrasse",2,bus,['49']
243,"Niederschönhausen, Rolandstrasse",1,bus,['50']
244,Kurt-Fischer-Platz,4,bus,"['7', '50']"
245,Kurt-Fischer-Platz,4,strassenbahn,"['22', '46']"
246,Bürgerpark,2,bus,"['55', '50']"
247,Mühlenstrasse Ecke Florastrasse,1,bus,['50']
248,U-Bhf. Pankow (Vinetastrasse),2,bus,"['58', '50']"
249,"Pankow, Achtermannstrasse",1,bus,['52']
250,Galenusstrasse,2,bus,['52']
251,Galenusstrasse,2,strassenbahn,['49']
252,Prenzlauer Chaussee,1,bus,['52']
253,Granitzstrasse,1,bus,['52']
254,Kissingenstrasse,1,bus,['52']
255,U-Bhf. Pankow,3,bus,"['7', '52']"
256,U-Bhf. Pankow,3,strassenbahn,['46']
257,"Moabit, Waldstrasse Ecke Turmstrasse",1,bus,['A1']
258,Otto-Suhr-Allee Ecke Cauerstrasse,1,bus,['A1']
259,Kurfürstendamm Ecke Leibnizstrasse,1,bus,['A1']
260,Fehrbelliner Platz,9,bus,"['A1', 'A4', 'A89', 'A50', 'A21', 'A86', 'A74']"
261,Fehrbelliner Platz,9,u-bahn,"['7', '2']"
262,Detmolder Strasse Ecke Blissestrasse,1,bus,['A1']
263,Breitenbachplatz,4,bus,"['A32', 'A1', 'A16']"
264,Breitenbachplatz,4,u-bahn,['2']
265,Botanischer Garten,2,bus,['A1']
266,Botanischer Garten,2,s-bahn,['KBS 154']
267,Pacelli/Thielallee,1,bus,['A1']
268,Clayallee Ecke Königin-Luise-Strasse,2,bus,"['A68', 'A1']"
269,U-Bhf. Oskar-Helene-Heim,4,bus,"['A60', 'A11', 'A1', 'A18']"
270,Potsdamer Strasse Ecke Clayallee,3,bus,"['A60', 'A1', 'A18']"
271,Rathaus Zehlendorf,4,bus,"['A60', 'A1', 'A3', 'A53']"
272,Beeskowdamm Ecke Teltowerdamm,1,bus,['A1']
273,Wismarer Strasse Ecke Goerzallee,1,bus,['A1']
274,Lindenstrasse Ecke Müllerstrasse,1,bus,['A1']
275,Haselhorster Damm Ecke Gartenfelderstrasse,1,bus,['A10']
276,Paulsternstrasse Ecke Nonnendammallee,2,bus,"['A10', 'A99']"
277,Verwaltungs-Gebäude,1,bus,['A10']
278,Spandauer Damm Ecke Fürstenbrunner Weg,1,bus,['A10']
279,Kaiserdamm Ecke Königin-Elisabethstrasse,1,bus,['A10']
280,Amtsgericht,5,bus,"['A94', 'A66', 'A10', 'A21', 'A92']"
281,Kurfürstendamm Ecke Joachim-Friedrichstrasse,2,bus,"['A21', 'A10']"
282,Henriettenplatz,5,bus,"['A29', 'A4', 'A10', 'A69', 'A19']"
283,Elsterplatz,1,bus,['A10']
284,Königin-Luise-Strasse Ecke Pacelliallee,1,bus,['A10']
285,U-Bhf. Thielplatz,1,bus,['A10']
286,Berliner Strasse Ecke Unter den Eichen,1,bus,['A10']
287,Teltower Damm Ecke Potsdamerstrasse,2,bus,"['A10', 'A53']"
288,Behring-Krankenhaus,1,bus,['A10']
289,Lupsteiner Weg,1,bus,['A10']
290,"Dahlem, Waldfriedhof",1,bus,['A11']
291,U-Bhf. Oskar-Helene-Heim,4,bus,"['A60', 'A11', 'A1', 'A18']"
292,Saargemünder Strasse Ecke Kehler Weg,1,bus,['A11']
293,Corrensplatz,1,bus,['A11']
294,Unter den Eichen Ecke Habelschwerdterallee,1,bus,['A11']
295,Ringstrasse Ecke Drakestrasse,1,bus,['A11']
296,Wiesenbaude,2,bus,"['A11', 'A53']"
297,Marienstrasse Ecke Königsbergerstrasse,1,bus,['A11']
298,Kranoldplatz,2,bus,"['A11', 'A96']"
299,Geraer Strasse Ecke Mariannenstrasse,1,bus,['A11']
300,Sondershausener Strasse Ecke Hildburghauserstrasse,1,bus,['A11']
301,Alt-Marienfelde Ecke Marienfelderallee,1,bus,['A11']
302,Daimlerstrasse Ecke Großbeerenstrasse,1,bus,['A11']
303,Körtingstrasse Ecke Großbeerenstrasse,1,bus,['A11']
304,U-Bhf. Alt-Mariendorf,4,bus,"['A77', 'A11', 'A78', 'A76']"
305,Bernauerstrasse Ecke Gartenstrasse,1,bus,['A12']
306,Gartenplatz,1,bus,['A12']
307,U-Bhf. Leopold-Platz,1,bus,['A12']
308,U-Bhf. Seestrasse,4,bus,"['A89', 'A16', 'A12', 'A65']"
309,Bristolstrasse Ecke Barfusstrasse,1,bus,['A12']
310,Emmentaler Strasse Ecke Aroserallee,1,bus,['A12']
311,Lindauer Allee Ecke Aroserallee,1,bus,['A12']
312,Tessenowstrasse Ecke Roedernallee,1,bus,['A12']
313,Rathaus Reinickendorf,2,bus,"['A14', 'A12']"
314,Zabel-Krüger-Damm Ecke Oraniendamm,1,bus,['A12']
315,Almutstrasse Ecke Berlinerstrasse,1,bus,['A12']
316,Hermsdorfer Damm Ecke Burgfrauenstrasse,1,bus,['A12']
317,Zeltinger Platz,2,bus,"['A12', 'A15']"
318,Donnersmarckplatz,2,bus,"['A12', 'A15']"
319,Hainbuchenstrasse Ecke Maximilian-Korso,1,bus,['A12']
320,Heiligensee,2,bus,['A13']
321,Heiligensee,2,s-bahn,['KBS 152']
322,Gabelung,1,bus,['A13']
323,Karolinenstrasse Ecke Hiligenseestrasse,1,bus,['A13']
324,U-Bhf. Tegel,4,bus,"['A20', 'A14', 'A15', 'A13']"
325,Bernauer Strasse Ecke Berlinerstrasse,1,bus,['A13']
326,Krankenhaus Tegel-Süd,1,bus,['A13']
327,Strasse nach Saatwinkel,1,bus,['A13']
328,Paulsternstrasse Ecke Gartenfelderstrasse,2,bus,"['A55', 'A13']"
329,Daumstrasse Ecke Am Juliusturm,1,bus,['A13']
330,Carl-Schurz-Strasse Ecke Am Juliusturm,3,bus,"['A99', 'A55', 'A13']"
331,Rathaus Spandau,9,bus,"['A34', 'A54', 'A80', 'A99', 'A13', 'A97', 'A5', 'A31', 'A63']"
332,Seebugerstrasse Ecke Klosterstrasse,1,bus,['A13']
333,Päwesiner Weg Ecke Seeburgerstrasse,1,bus,['A13']
334,Heerstrasse Ecke Wilhelmstrasse,1,bus,['A13']
335,Weinmeisterhornweg Ecke Wilhelmstrasse,1,bus,['A13']
336,Heiligensee Ecke Alt-Heiligensee,1,bus,['A14']
337,Mattenbuder Platz,1,bus,['A14']
338,Ruppiner Chaussee Ecke Hennigsdorferstrasse,1,bus,['A14']
339,Dambockstrasse Ecke Ruppinerchaussee,1,bus,['A14']
340,Heiligenseestrasse Ecke Karolinenstrasse,1,bus,['A14']
341,U-Bhf. Tegel,4,bus,"['A20', 'A14', 'A15', 'A13']"
342,Ziekowstrasse Ecke Gorkistrasse,1,bus,['A14']
343,Rathaus Reinickendorf,2,bus,"['A14', 'A12']"
344,Bonhoeffer Klinik,2,bus,"['A62', 'A14']"
345,Aroser Allee Ecke Lindauerallee,2,bus,"['A61', 'A14']"
346,Raschdorffstrasse Ecke Residenzstrasse,1,bus,['A14']
347,Pankower Allee Ecke Provizstrasse,1,bus,['A14']
348,Pankstrasse Ecke Badstrasse,3,bus,"['A61', 'A70', 'A14']"
349,U-Bhf. Gesundbrunnen,5,bus,"['A71', 'A61', 'A14', 'A99', 'A64']"
350,Rügener Strasse Ecke Rügenerstrasse,1,bus,['A14']
351,Alt-Heiligensee,1,bus,['A14E']
352,Havelblick,1,bus,['A14E']
353,Strandbad,1,bus,['A14E']
354,Gemeindefriedhof,1,bus,['A14E']
355,Sperberstrasse,1,bus,['A14E']
356,Falkenplatz,2,bus,"['A20', 'A14E']"
357,Wittenauer Strasse Ecke Eichhorsterweg,1,bus,['A15']
358,Cyclopstrasse Ecke Oranienburgerstrasse,1,bus,['A15']
359,Alt-Wittenau Ecke Eichborndamm,2,bus,"['A21', 'A15']"
360,Breitenbachstrasse Ecke Eichborndamm,2,bus,"['A21', 'A15']"
361,Holzhauser Strasse Ecke Breitenbachstrasse,1,bus,['A15']
362,Ernststrasse Ecke Conradstrasse,1,bus,['A15']
363,Gorkistrasse Ecke Ziekowstrasse,1,bus,['A15']
364,U-Bhf. Tegel,4,bus,"['A20', 'A14', 'A15', 'A13']"
365,Hermsdorfer Damm Ecke Karolinenstrasse,1,bus,['A15']
366,Schulzendorfer Strasse Ecke Hermsdorferdamm,1,bus,['A15']
367,Dominikus-Krankenhaus,1,bus,['A15']
368,Donnersmarckplatz,2,bus,"['A12', 'A15']"
369,Zeltinger Platz,2,bus,"['A12', 'A15']"
370,Am Pilz,1,bus,['A15']
371,"Frohnau, Invalidensiedlung",1,bus,['A15']
