line_name,Stops,Frequency,Length (time),type,east-west,year
A1,"Moabit, Waldstrasse Ecke Turmstrasse - Otto-Suhr-Allee Ecke Cauerstrasse - Kurfürstendamm Ecke Leibnizstrasse - Fehrbelliner Platz - Detmolder Strasse Ecke Blissestrasse - Breitenbachplatz - Botanischer Garten - Pacelli/Thielallee - Clayallee Ecke Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Rathaus Zehlendorf - Beeskowdamm Ecke Teltowerdamm - Wismarer Strasse Ecke Goerzallee - Lindenstrasse Ecke Müllerstrasse",12,57,bus,West,1971
A10,Haselhorster Damm Ecke Gartenfelderstrasse - Paulsternstrasse Ecke Nonnendammallee - Verwaltungs-Gebäude - Spandauer Damm Ecke Fürstenbrunner Weg - Kaiserdamm Ecke Königin-Elisabethstrasse - Amtsgericht - Kurfürstendamm Ecke Joachim-Friedrichstrasse - Henriettenplatz - Elsterplatz - Königin-Luise-Strasse Ecke Pacelliallee - U-Bhf. Thielplatz - Berliner Strasse Ecke Unter den Eichen - Teltower Damm Ecke Potsdamerstrasse - Behring-Krankenhaus - Lupsteiner Weg,10,67,bus,West,1971
A11,"Dahlem, Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Saargemünder Strasse Ecke Kehler Weg - Corrensplatz - Unter den Eichen Ecke Habelschwerdterallee - Ringstrasse Ecke Drakestrasse - Wiesenbaude - Marienstrasse Ecke Königsbergerstrasse  - Kranoldplatz - Geraer Strasse Ecke Mariannenstrasse - Sondershausener Strasse Ecke Hildburghauserstrasse - Alt-Marienfelde Ecke Marienfelderallee - Daimlerstrasse Ecke Großbeerenstrasse - Körtingstrasse Ecke Großbeerenstrasse - U-Bhf. Alt-Mariendorf",10,42,bus,West,1971
A12,Bernauerstrasse Ecke Gartenstrasse - Gartenplatz - U-Bhf. Leopold-Platz - U-Bhf. Seestrasse - Bristolstrasse Ecke Barfusstrasse - Emmentaler Strasse  Ecke Aroserallee - Lindauer Allee Ecke Aroserallee - Tessenowstrasse Ecke Roedernallee - Rathaus Reinickendorf - Zabel-Krüger-Damm Ecke Oraniendamm - Almutstrasse Ecke Berlinerstrasse - Hermsdorfer Damm  Ecke Burgfrauenstrasse - Zeltinger Platz - Donnersmarckplatz - Hainbuchenstrasse Ecke Maximilian-Korso,15,57,bus,West,1971
A13,Heiligensee - Gabelung - Karolinenstrasse Ecke Heiligenseestrasse - U-Bhf. Tegel - Bernauer Strasse Ecke Berlinerstrasse - Krankenhaus Tegel-Süd - Strasse nach Saatwinkel - Paulsternstrasse Ecke Gartenfelderstrasse - Daumstrasse Ecke Am Juliusturm - Carl-Schurz-Strasse Ecke Am Juliusturm - Rathaus Spandau - Seebugerstrasse Ecke Klosterstrasse - Päwesiner Weg Ecke Seeburgerstrasse - Heerstrasse Ecke Wilhelmstrasse - Weinmeisterhornweg Ecke Wilhelmstrasse,15,57,bus,West,1971
A14,Heiligensee Ecke Alt-Heiligensee - Mattenbuder Pfad - Ruppiner Chaussee Ecke Hennigsdorferstrasse - Dambockstrasse Ecke Ruppinerchaussee  - Heiligenseestrasse Ecke Karolinenstrasse - U-Bhf. Tegel - Ziekowstrasse Ecke Gorkistrasse - Rathaus Reinickendorf - Bonhoeffer Klinik - Aroser Allee Ecke Lindauerallee - Raschdorffstrasse Ecke Residenzstrasse - Pankower Allee Ecke Provinzstrasse - Pankstrasse Ecke Badstrasse - U-Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse,15,55,bus,West,1971
A14E,Alt-Heiligensee - Havelblick - Strandbad - Gemeindefriedhof - Sperberstrasse - Falkenplatz,30,9,bus,West,1971
A15,"Wittenauer Strasse Ecke Eichhorsterweg - Cyclopstrasse Ecke Oranienburgerstrasse - Alt-Wittenau Ecke Eichborndamm - Breitenbachstrasse Ecke Eichborndamm - Holzhauser Strasse Ecke Breitenbachstrasse - Ernststrasse Ecke Conradstrasse  - Gorkistrasse Ecke Ziekowstrasse - U-Bhf. Tegel - Hermsdorfer Damm Ecke Karolinenstrasse - Schulzendorfer Strasse Ecke Hermsdorferdamm - Dominikus-Krankenhaus - Donnersmarckplatz - Zeltinger Platz - Am Pilz - Frohnau, Invalidensiedlung",20,55,bus,West,1971
A16,Osloer Strasse Ecke Koloniestrasse - Louise-Schroeder-Platz - U-Bhf. Seestrasse - Virchow-Krankenhaus - Fennstrasse Ecke Tegelerstrasse - Birkenstrasse Ecke Perlebergerstrasse - Hansaplatz - Großer Stern - Lützowplatz - Nollendorfplatz - Rathaus Schöneberg - Prinzregentenstrasse - Bundesplatz - Breitenbachplatz - Englerallee,15,58,bus,West,1971
A17,"Grunewald, Fontanestrasse - Roseneck - Warnemünder Strasse Ecke Breitestrasse - U-Bhf. Rüdesheimer Platz - Friedrich-Wilhelm-Platz - Walter-Schreiber-Platz - Rathaus Steglitz - Bismarckstrasse Ecke Albrechtstrasse - Leonorenstrasse Ecke Siemensstrasse - Königsberger Strasse Ecke Ostpreußen Damm - Morgensternstrasse Ecke Königsbergerstrasse - Oberhofer Platz  - Saaleckplatz - Scheelestrasse - Celsiusstrasse",10,53,bus,West,1971
