stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Alexanderplatz,omnibus,9,194643_unified,"52.52005247,13.41395724",,,,,,,,19462.0,Mitte,Mitte,unified,10178
Schloßplatz,omnibus,9,194644_unified,"52.51618910,13.40187007",,,,,,,,1946476.0,Mitte,Mitte,unified,10178
Unter den Linden Ecke Friedrichstr.,omnibus,9,194645_unified,"52.51700215,13.38883824",,,,,,,,1946573.0,Mitte,Mitte,unified,10117
Brandenburger Tor,omnibus,9,194646_unified,"52.51776765,13.37028142",,,,,,,,194698.0,Tiergarten,Mitte,unified,10557
Charlottenburgerchaussee,omnibus,9,194647_unified,"52.51393859,13.35020428",,,,,,,,1946120.0,Tiergarten,Mitte,unified,10557
"Charlottenburg, Knie",omnibus,9,194648_unified,"52.51253515,13.32179649",,,,,,,,1946118.0,Charlottenburg,Charlottenburg-Wilmersdorf,unified,10587
U-Bhf. Lichtenberg,omnibus,H,194649_unified,"52.51132111,13.49932995",,,,,,,,1946568.0,Rummelsburg,Lichtenberg,unified,10317
Alt-Friedrichsfelde,omnibus,H,194650_unified,"52.51072943,13.50487703",,,,,,,,19468.0,Rummelsburg,Lichtenberg,unified,10317
Alt-Biesdorf,omnibus,H,194651_unified,"52.50880579,13.55872478",,,,,,,,19467.0,Biesdorf,Marzahn-Hellersdorf,unified,12683
Alt-Kaulsdorf,omnibus,H,194652_unified,"52.50517404,13.58153936",,,,,,,,194610.0,Kaulsdorf,Marzahn-Hellersdorf,unified,12621
Bhf. Kaulsdorf,omnibus,H,194653_unified,"52.51155339,13.58729504",,,,,,,,194666.0,Kaulsdorf,Marzahn-Hellersdorf,unified,12621
Giesestr.,omnibus,H,194654_unified,"52.51608275,13.59800772",,,,,,,,1946181.0,Kaulsdorf,Marzahn-Hellersdorf,unified,12621
"Mahlsdorf, Zeppelinstr.",omnibus,H,194655_unified,"52.51405404,13.61139731",,,,,,,,1946331.0,Mahlsdorf,Marzahn-Hellersdorf,unified,12623
Bahnhof Mahlsdorf,omnibus,H,194656_unified,"52.51250911,13.61223104",,,,,,,,194627.0,Mahlsdorf,Marzahn-Hellersdorf,unified,12623
