,stop_id,stop_description,type,in_lines,identifier,location,stop_name
903,1960904,Theodor-Heuss-Platz,u-bahn,"A I,B I",Q657857,"52.509722222222,13.273055555556",Reichskanzlerplatz
904,1960905,Berlin Olympiastadion station,s-bahn,"KBS 103,KBS 101",Q800506,"52.511,13.2416",Reichssportfeld
905,1960906,Reichssportfeldstrasse,strassenbahn,"75,76",,"52.507514731015824, 13.242086696344282",Reichssportfeldstrasse
906,1960907,Berlin Alt-Reinickendorf station,s-bahn,KBS 105,Q800496,"52.5779,13.3506",Reinickendorf
907,1960908,Reinickendorfer Straße,u-bahn,"C II,C I",Q559249,"52.539911111111,13.370377777778",Reinickendorfer Str.
908,1960909,Rembrandtstrasse,strassenbahn,66,,"52.47116466720471, 13.343688369656276",Rembrandtstrasse
909,1960910,Rennbahn,strassenbahn,99,,"52.430060594099295, 13.39244351468167",Rennbahn
910,1960911,Rennbahnstrasse Ecke Gustav-Adolf-Strasse,bus,A56,,"52.56218648050474, 13.454267038723398",Rennbahnstrasse Ecke Gustav-Adolf-Strasse
911,1960912,Retzbacher Weg,bus,A55,,"52.570942535830284, 13.422907898864429",Retzbacher Weg
912,1960913,Reuchlinstrasse Ecke Huttenstrasse,bus,A70,,"52.5278079827492, 13.324842775070394",Reuchlinstrasse
913,1960914,Reuterstrasse Ecke Sonnenallee,bus,A67,,"52.48654240757135, 13.428977740572138",Reuterstrasse
914,1960915,Richard-Wagner-Platz,bus,A62,,"52.517490990443804, 13.306397097578404",Richard-Wagner-Platz
915,1960916,Richard-Wagner-Platz,strassenbahn,"55,53,54",,"52.517570616857, 13.306248118529135",Richard-Wagner-Platz
916,1960917,Richard-Wagner-Platz metro station,u-bahn,A III,Q662201,"52.5175,13.306388888889",Richard-Wagner-Platz
917,1960918,Richardstrasse,strassenbahn,15,,"52.47097391592754, 13.446301038467002",Richardstrasse
918,1960919,Richtershorn,strassenbahn,86,Q66481215,"52.40105,13.6248473",Richtershorn
919,1960920,Ridbacher Strasse Ecke Grottkauer Strasse,bus,A49,,"52.527457204488485, 13.606447755554132",Ridbacher Strasse
920,1960921,Ringstrasse Ecke Drakestrasse,bus,A11,,"52.439772810020266, 13.300175076283422",Ringstrasse
921,1960922,Rittberg-Krankenhaus,strassenbahn,"78,77",,"52.42987951650218, 13.288961460110901",Rittberg-Krankenhaus
922,1960923,Ritterlandweg,bus,A71,,"52.56036399935592, 13.36907949823327",Ritterlandweg
923,1960924,Robert-Koch-Platz,bus,"O40,A57",,"52.527570508835595, 13.37877230286134",Robert-Koch-Platz
924,1960925,Roederplatz,bus,O30,,"52.52671388514014, 13.479662353432392",Roederplatz
925,1960926,Roederplatz,strassenbahn,"69,3,69E",Q65685373,"52.5266001,13.479068",Roederplatz
926,1960927,Roseneck,bus,"A50,AS3,A19,A29",,"52.47580089902253, 13.282411270445099",Roseneck
927,1960928,"Roseneck, Hundekehl",bus,A60,,"52.47640250997692, 13.281611267179592","Roseneck, Hundekehl"
928,1960929,Roseneck,bus,A17,,"52.47578489322442, 13.282306517997712",Rosenecke
929,1960930,Rosenthaler Platz,bus,O40,,"52.5296729549826, 13.401428926082492",Rosenthaler Platz
930,1960931,U Rosenthaler Platz,strassenbahn,"1,49,22,11",Q65093945,"52.5301769,13.4016121",Rosenthaler Platz
931,1960932,Rosenthaler Platz station,u-bahn,D,Q663231,"52.53,13.401111111111",Rosenthaler Platz
932,1960933,Rudower Strasse Ecke Johannisthaler Chaussee,bus,A52,,"52.43428237477314, 13.469124205215895",Rudower Strasse
933,1960934,Ruhleben station,u-bahn,B I,Q656401,"52.525555555556,13.241388888889",Ruhleben
934,1960935,Ruhlsdorfer Platz,strassenbahn,96,,"52.40085341513547, 13.268853571967181",Ruhlsdorfer Platz
935,1960936,Ruhrstrasse Ecke Hohenzollerndamm,bus,A50,,"52.48988277984805, 13.312456459919812",Ruhrstrasse
936,1960937,Berlin-Rummelsburg railway station,s-bahn,KBS 102,Q15107132,"52.501244,13.478545",Rummelsburg
937,1960938,Ruppiner Chaussee Ecke Heiligensee,bus,A13,,"52.59792202028554, 13.275075196373528",Ruppiner Chaussee
938,1960939,Röblingstrasse Ecke Attilastrasse,strassenbahn,96,,"52.44966812373649, 13.366852447351357",Röblingstrasse
939,1960940,Röntgental station,s-bahn,KBS 106,Q801386,"52.6487,13.5136",Röntgental
940,1960941,Rüdesheimer Platz,u-bahn,"B II,A II",Q167147,"52.473333333333,13.314444444444",Rüdesheimer Platz
941,1960942,Rügener Strasse,bus,"A61,A71,A14",,"52.544791277773946, 13.391067616355128",Rügener Strasse
942,1960943,Rügener Strasse,strassenbahn,25,,"52.544766906982396, 13.39098830610686",Rügener Strasse
943,1960944,bus and tram stop S Adlershof,strassenbahn,84,Q66363728,"52.435251,13.5408489",S-Bhf. Adlershof
944,1960945,S-Bhf. Alexanderplatz,bus,"O30,A57,A9",,"52.52074877770386, 13.412147230655155",S-Bhf. Alexanderplatz
945,1960946,S-Bhf. Baumschulenweg,bus,A47,,"52.4674967534767, 13.489379882069517",S-Bhf. Baumschulenweg
946,1960947,S-Bhf. Biesdorf,bus,O37,,"52.513432593832405, 13.555387279249894",S-Bhf. Biesdorf
947,1960948,"S-Bhf. Friedrichsfelde-Ost, Marzahner Chaussee",bus,A43,,"52.51324537165634, 13.524030584354616",S-Bhf. Friedrichsfelde-Ost
948,1960949,S Friedrichshagen,strassenbahn,"87,84",Q66360784,"52.4564126,13.6253656",S-Bhf. Friedrichshagen
949,1960950,S Greifswalder Straße,strassenbahn,"74,74E",Q65548932,"52.5407234,13.4382904",S-Bhf. Greifswalder Strasse
950,1960951,S-Bhf. Grünau,bus,"A38,AZ,AD/36",,"52.41361515857581, 13.573796290663196",S-Bhf. Grünau
951,1960952,S-Bhf. Hohen Neuendorf,bus,AN,,"52.66955116686502, 13.286967415942232",S-Bhf. Hohen Neuendorf
952,1960953,S Karlshorst,strassenbahn,"69,69E",Q65952829,"52.481331,13.5254433",S-Bhf. Karlshorst
953,1960954,"S-Bhf. Kaulsdorf, Planitzstrasse",bus,A27,,"52.51113864301491, 13.58755467300039","S-Bhf. Kaulsdorf, Planitzstrasse"
954,1960955,S-Bhf. Köpenick,bus,A27,,"52.45882190200453, 13.579564677172508",S-Bhf. Köpenick
955,1960956,S Köpenick,strassenbahn,"86,82,83",Q66370784,"52.4582153,13.5790435",S-Bhf. Köpenick
956,1960957,S-Bhf. Mahlsdorf,bus,"A44E,A44",,"52.51234908870327, 13.61221793610957",S-Bhf. Mahlsdorf
957,1960958,S-Bhf. Mahlsdorf,strassenbahn,83,,"52.51221826761895, 13.612190748726157",S-Bhf. Mahlsdorf
958,1960959,S-Bhf. Ostkreuz,strassenbahn,82,,"52.50243021718411, 13.469020052690205",S-Bhf. Ostkreuz
959,1960960,S-Bhf. Pankow-Heinersdorf,strassenbahn,49,,"52.577507820515834, 13.427853061920917",S-Bhf. Pankow-Heinersdorf
960,1960961,S Prenzlauer Allee,strassenbahn,"71,72",Q65219791,"52.5448075,13.427408",S-Bhf. Prenzlauer Allee
961,1960962,S-Bhf. Rahnsdorf,bus,A22,,"52.451628368326396, 13.691579101298974",S-Bhf. Rahnsdorf
962,1960963,S-Bhf. Rummelsburg,bus,O30,,"52.50179539105723, 13.478028581044718",S-Bhf. Rummelsburg
963,1960964,S+U Schönhauser Allee,strassenbahn,"49,46E,22,46",Q65088013,"52.5493619,13.4135734",S-Bhf. Sch nhauser Allee
964,1960965,S Schöneweide,strassenbahn,95,Q65950245,"52.4553413,13.5110449",S-Bhf. Schöneweide
965,1960966,S Spindlersfeld,strassenbahn,84,Q66363397,"52.4457311,13.5624298",S-Bhf. Spindlersfeld
966,1960967,S-Bhf. Treptow,strassenbahn,92,,"52.492888929278756, 13.459229771020295",S-Bhf. Treptow
967,1960968,S-Bhf. Treptower Park,bus,A47,,"52.49403640886682, 13.460762565516704",S-Bhf. Treptower Park
968,1960969,S-Bhf. Wilhelmshagen,bus,A22,,"52.43886122089184, 13.721060252199655",S-Bhf. Wilhelmshagen
969,1960970,S-Bhf. Wollkanstrasse,bus,A55,,"52.564761382051245, 13.39377998446197",S-Bhf. Wollkanstrasse
970,1960971,Saaleckplatz,bus,A17,,"52.41629158246214, 13.323941962356194",Saaleckplatz
971,1960972,SaarBrücker Strasse,strassenbahn,"71,72",,"52.5285309565747, 13.417113687314579",SaarBrücker Strasse
972,1960973,Saargemünder Strasse Ecke Clayallee,bus,"A18,A11",,"52.450918082089416, 13.270922488527036",Saargem nder Strasse
973,1960974,Saatwinkler Damm Ecke Kurt-Schumacher-Damm,bus,A62,,"52.54802938567344, 13.300569461587116",Saatwinkler Damm
974,1960975,Sadowastrasse Ecke Ulmenstrasse,bus,A8,,"52.482675472271694, 13.584833068425244",Sadowastrasse
975,1960976,Saltykowstrasse,strassenbahn,26,,"52.47670468546067, 13.439116319771621",Saltykowstrasse
976,1960977,Samariterstraße metro station,u-bahn,E,Q552891,"52.514722222222,13.464444444444",Samariterstr.
977,1960978,S+U Hauptbahnhof,strassenbahn,44,Q65552616,"52.5264969,13.3694391",Sandkrugbrücke
978,1960979,Sansibarstrasse Ecke Müllerstrasse,bus,A64,,"52.55519162213508, 13.34350843324585",Sansibarstrasse
979,1960980,Berlin Savignyplatz station,s-bahn,"KBS 103,KBS 102,KBS 101",Q554382,"52.5051746,13.3190659",Savignyplatz
980,1960981,Schäferberg,bus,A6,,"52.41562661861071, 13.12630868100336",Sch ferberg
981,1960982,"Schäfersee, Pankower Allee",bus,A71,,"52.56403098912502, 13.36417150367161","Sch fersee, Pankower Allee"
982,1960983,"Schönefeld, Siedlung",bus,"AZ,AD/36",,"52.38835097546488, 13.564205018328355","Sch nefeld, Siedlung"
983,1960984,"Schönfließ, Kirche",bus,AN,,"52.65542824931846, 13.339252408377327","Schönfließ, Kirche"
984,1960985,S+U Schönhauser Allee,strassenbahn,3,Q65088013,"52.5493619,13.4135734",Sch nhauser Allee
985,1960986,Scharfestrasse Ecke Clayallee,bus,A18,,"52.43828828643976, 13.262213345971533",Scharfestrasse
986,1960987,Scharnhorst- Ecke Kieler Strasse,bus,A9,,"52.534352691939105, 13.370302521463962",Scharnhorst- Ecke Kieler Strasse
987,1960988,Scharnweberstraße,u-bahn,"C II,C I",Q557586,"52.566944444444,13.312777777778",Scharnweberstr. (Eichborndamm)
988,1960989,Scharnweberstrasse Ecke Eichborndamm,bus,A21,,"52.567891242257375, 13.31193029694028",Scharnweberstrasse
989,1960990,"Schildow, Kirche",bus,A7,,"52.63581867397586, 13.377719168374458","Schildow, Kirche"
990,1960991,Schildower Strasse Ecke Berliner Strasse,bus,A12S,,"52.617692355403776, 13.315814094976371",Schildower Strasse
991,1960992,SchillingBrücke (Ostbahnhof),strassenbahn,1,,"52.50956365130009, 13.429517625327765",SchillingBrücke (Ostbahnhof)
992,1960993,Schillingstraße station,u-bahn,E,Q552899,"52.5203281262719, 13.421918670116558",Schillingstr.
993,1960994,Schillingstrasse Ecke Scharnweberstrasse,bus,A61,,"52.56595360108564, 13.320255053064429",Schillingstrasse
994,1960995,Berlin-Schlachtensee station,s-bahn,KBS 104,Q800509,"52.4401,13.2153",Schlachtensee
995,1960996,Schlesisches Tor,u-bahn,"B II,B I",Q602282,"52.500833333333,13.441666666667",Schlesisches Tor
996,1960997,Schloss Glienicke,bus,A6,,"52.41321315212787, 13.096214143840962",Schloss Glienicke
997,1960998,Schloss Ruhwald,bus,AS1,,"52.521567840298836, 13.260569641184494",Schloss Ruhwald
998,1960999,Schloss Ruhwald,strassenbahn,"53,54",,"52.52160139428261, 13.260396465216335",Schloss Ruhwald
999,19601000,SchlossBrücke,bus,A65,,"52.52277864874118, 13.300093422040403",SchlossBrücke
1000,19601001,SchlossStrasse Ecke Albrechtstrasse,bus,A32,,"52.456909123066914, 13.320715400125325",SchlossStrasse
1001,19601002,"Schlossstrasse, Walther-Schreiber-Platz",bus,A2,,"52.46502319139203, 13.328512641123645",Schlossstrasse
1002,19601003,Schlossstrasse,strassenbahn,"74,78,44,73,77",,"52.4649279288063, 13.328420834164818",Schlossstrasse
1003,19601004,Schlossstrasse Ecke Alt-Friedrichsfelde,bus,"A8,A43,O37",,"52.50943477223745, 13.518813938774796",Schlossstrasse Ecke Alt-Friedrichsfelde
1004,19601005,Schlossstrasse Ecke Alt-Friedrichsfelde,strassenbahn,"69,69E",,"52.50962902699515, 13.518687787679205",Schlossstrasse Ecke Alt-Friedrichsfelde
1005,19601006,"Schlossstrasse, Walther-Schreiber-Platz",bus,AS2,,"52.46497175478016, 13.328534991548652","Schlossstrasse, Wilhelm-Schreiber-Platz"
1006,19601007,Berlin Heidelberger Platz station,s-bahn,KBS 100,Q302810,"52.479672222222,13.312441666667",Schmargendorf
1007,19601008,Schopenhauerstrasse Ecke Spanische Allee,bus,A3,,"52.433980607704285, 13.212025322862429",Schopenhauerstrasse
1008,19601009,Schulenburgpark,strassenbahn,"95,15",,"52.466660612786704, 13.470292593214328",Schulenburgpark
1009,19601010,Schulstrasse Ecke Müller Strasse,bus,"A12,A12S",,"52.54642643480478, 13.359232857179148",Schulstrasse
1010,19601011,Schulzendorf railway station,s-bahn,KBS 105,Q800487,"52.6128,13.2462",Schulzendorf (b Tegel)
1011,19601012,Schulzendorfer Strasse Ecke Hermsdorfer Damm,bus,A15,,"52.61057476279662, 13.295480649416259",Schulzendorfer Strasse
1012,19601013,Schwartzkopffstraße,u-bahn,"C II,C I",Q554360,"52.535277777778,13.377222222222",Schwartzkopffstr.
1013,19601014,Schwarzer Weg,strassenbahn,95,,"52.47404160436518, 13.455540454175738",Schwarzer Weg
1014,19601015,U Osloer Straße,strassenbahn,3,Q65767136,"52.5566956,13.3732618",Schwedenstrasse
1015,19601016,Schwelmer Strasse Ecke Ostpreußendamm,strassenbahn,96,,"52.41218489799642, 13.299052814203694",Schwelmer Strasse
1016,19601017,Schwiezerhaus,bus,A34,,"52.46177834654878, 13.133492629933269",Schwiezerhaus
1017,19601018,Berlin-Schöneberg station,s-bahn,"KBS 100a,KBS 100,KBS 104",Q543855,"52.4794,13.3517",Schöneberg
1018,19601019,S-Bahnhof Berlin Schöneweide,s-bahn,"KBS 103,KBS 100a,KBS 103a",Q111323931,"52.455,13.509444444444",Schöneweide
1019,19601020,S-Bahnhof Schönhauser Allee,s-bahn,"KBS 100,KBS 103a,KBS 100b,KBS 100c",Q111264493,"52.549329,13.413706",Schönhauser Allee
1020,19601021,Schönhauser Allee (metro station),u-bahn,"A I,A II",Q47014936,"52.549328888889,13.413706111111",Schönhauser Allee
1021,19601022,Berlin-Schönholz station,s-bahn,"KBS 105,KBS 104",Q800490,"52.5714,13.3814",Schönholz
1022,19601023,Schützenstrasse,strassenbahn,44,,"52.4518159507727, 13.320824351045882",Schützenstrasse
1023,19601024,Schüßlerplatz,strassenbahn,"86,84,83",,"52.44553303566032, 13.576935078888754",Schüßlerplatz
1024,19601025,Sebastianfriedhof,bus,A61,,"52.571002500013684, 13.336360943589446",Sebastianfriedhof
1025,19601026,Sedanstrasse Ecke Albrechtstrasse,bus,A32,,"52.451462388098534, 13.33534176193218",SedanStrasse
1026,19601027,Sedanstrasse Ecke Albrechtstrasse,bus,A33,,"52.45143021733514, 13.335289250392284",Sedanstrasse
1027,19601028,Seeburger Strasse,strassenbahn,"75,76",,"52.52919074855153, 13.195613280527734",Seeburger Strasse
1028,19601029,"Seegefelder Weg, Stadtgrenze",bus,A63,,"52.549813200063646, 13.128679816115987",Seegefelder Weg
1029,19601030,Seehofstrasse Ecke Hampsteadstrasse,bus,A53,,"52.43283190806482, 13.264994537854385",Seehofstrasse
1030,19601031,Bahnhofstraße/Seelenbinderstraße,strassenbahn,84,Q66324934,"52.4554632,13.5769303",Seelenbinderstrasse
1031,19601032,Seestraße,u-bahn,"C II,C I",Q554391,"52.55056,13.35194",Seestr.
1032,19601033,Seestrasse Ecke Müllerstrasse,bus,A64,,"52.55049580648446, 13.351890902404168",Seestrasse
1033,19601034,Otisstraße,u-bahn,"C II,C I",Q557582,"52.571111111111,13.302777777778",Seidelstr. (Flugplatz Tegel)
1034,19601035,Selchow,bus,AZ,,"52.35758122167604, 13.471955883887944",Selchow
1035,19601036,U-Bahnhof Senefelderplatz,u-bahn,"A I,A II",Q32661454,"52.53242,13.412743",Senefelderplatz
1036,19601037,Seydlitzstrasse Ecke Kaiser-Wilhelm Strasse,strassenbahn,96,,"52.43194337149705, 13.338145709235352",Seydlitzstrasse
1037,19601038,Siegfriedstrasse Ecke Landsberger Allee,bus,O41,,"52.53435088055727, 13.499697796899122",Siegfriestrasse
1038,19601039,Siemensplatz,strassenbahn,55,,"52.53383462771808, 13.282552661519206",Siemensplatz
1039,19601040,Berlin-Siemensstadt railway station,s-bahn,"KBS 100d,KBS 100c",Q96080453,"52.53923,13.26365",Siemensstadt
1040,19601041,Siemensstadt-Fürstenbrunn station,s-bahn,KBS 103a,Q18747940,"52.528,13.2695",Siemensstadt-Fürstenbrunn
1041,19601042,Silbersteinstrasse,strassenbahn,"26,47",,"52.46723844998069, 13.438467144199928",Silbersteinstrasse
1042,19601043,"Skalitzer Strasse, Görlitzer Bahnhof",strassenbahn,88,,"52.499266545091395, 13.427683785013587",Skalitzer Strasse
1043,19601044,Berlin Sonnenallee station,s-bahn,KBS 100,Q481364,"52.473,13.4558",Sonnenallee
1044,19601045,Sonnenallee,strassenbahn,26,,"52.48613359502478, 13.430239659364373",Sonnenallee
1045,19601046,Sophie-Charlotte-Platz,u-bahn,"A I,B I",Q657879,"52.510833333333,13.296666666667",Sophie-Charlotte-Platz
1046,19601047,Sophie-Charlotten-Strasse Ecke Clayallee,bus,A18,,"52.44594955353092, 13.267788405970709",Sophie-Charlotten-Strasse
1047,19601048,Spandau,s-bahn,"KBS 103,KBS 103a,KBS 101",Q800491,"52.532, 13.2089",Spandau
1048,19601049,Spandau West,s-bahn,"KBS 103,KBS 103a,KBS 101",Q111325678,"52.5347,13.1958",Spandau West
1049,19601050,"Spandau, Friedhof",bus,A34,,"52.553136286584845, 13.179674445908985","Spandau, Friedhof"
1050,19601051,"Spandau, Johannesstift",strassenbahn,76,,"52.567653498027326, 13.191830361576441","Spandau, Johannesstift"
1051,19601052,"Spandau, Markt",strassenbahn,"75,54,76,55,53",,"52.53784349532438, 13.204135429364628","Spandau, Markt"
1052,19601053,Spandauer Damm Ecke Königin-Elisabeth-Strasse,bus,A10,,"52.51838420899177, 13.280076964056246",Spandauer Damm
1053,19601054,Spandauer Damm,strassenbahn,60,,"52.51839517954807, 13.280375306388953",Spandauer Damm
1054,19601055,Spandauer Strasse Ecke Klosterbuschweg,bus,A31,,"52.535940922541684, 13.156793426342295",Spandauer Strasse
1055,19601056,Spichernstraße metro station,u-bahn,"B II,A II",Q667046,"52.496388888889,13.330555555556",Spichernstr. (Bundesallee)
1056,19601057,Berlin-Spindlersfeld station,s-bahn,KBS 103a,Q4892371,"52.4472,13.5613",Spindlersfeld
1057,19601058,Spittelmarkt,strassenbahn,"64,74,72",,"52.511243321361405, 13.40494539543245",Spittelmarkt
1058,19601059,Spittelmarkt station,u-bahn,"A I,A II",Q569489,"52.511111111111,13.403611111111",Spittelmarkt
1059,19601060,Spreewaldplatz,strassenbahn,"2,26,88",,"52.49792227545992, 13.430617008810609",Spreewaldplatz
1060,19601061,Städtische Frauenklinik,strassenbahn,26,,"52.465664066744466, 13.434206221880236",St dtische Frauenklinik
1061,19601062,Stößenseebrücke,strassenbahn,75,,"52.508905514881846, 13.217438333440223",St enseeBrücke
1062,19601063,Stölpchensee,bus,A18,,"52.409430239790396, 13.14381794619846",St lpchensee
1063,19601064,Berlin-Staaken station,s-bahn,KBS 101,Q477545,"52.5378,13.1414",Staaken
1064,19601065,Staakener Strasse Ecke Seegefelder Strasse,bus,A63,,"52.536487084911975, 13.190823566060091",Staakener Strasse
1065,19601066,Stadion Buschallee/Hansastraße,strassenbahn,70,Q65504715,"52.5566718,13.4869834",Stadion Buschallee
1066,19601067,Stadion Lichterfelde,bus,A17,,"52.43867922703144, 13.325050443019501",Stadion Lichterfelde
1067,19601068,Stadtmitte station,u-bahn,"C II,C I",Q660066,"52.5122,13.3894",Stadtmitte (Leipziger Str.)
1068,19601069,Stadtmitte station,u-bahn,"A I,A II",Q660066,"52.5122,13.3894",Stadtmitte (Mohrenstr.)
1069,19601070,"Stadtpark, Albrechtstrasse",bus,A17,,"52.44890555557147, 13.338827669086982",Stadtpark
1070,19601071,Stadtpark Steglitz,strassenbahn,88,,"52.45106715288867, 13.337967917367436",Stadtpark
1071,19601072,Stadtrandsiedlung,bus,A46,,"52.573369662221204, 13.56744978653018",Stadtrandsiedlung
1072,19601073,Stadtrandstrasse Ecke Falkenseer Chaussee,bus,A5,,"52.553426999619965, 13.153585430700852",Stadtrandstrasse
1073,19601074,Stahnsdorf railway station,s-bahn,KBS 104b,Q23787450,"52.38972222,13.19",Stahnsdorf
1074,19601075,Stalinallee Ecke Strasse der Pariser Kommune,bus,O40,,"52.51715128685504, 13.440640767102789",Stalinallee
1075,19601076,S-Bahnhof Frankfurter Allee,s-bahn,"KBS 100,KBS 103a,KBS 100b,KBS 100c",Q111250033,"52.514166666667,13.474722222222",Stalinallee
1076,19601077,Stalinallee,strassenbahn,1,,"52.51808306742478, 13.432938339097822",Stalinallee
1077,19601078,Berlin Frankfurter Allee station,u-bahn,E,Q552872,"52.514166666667,13.474722222222",Stalinallee (Ringbahn)
1078,19601079,Stegerwaldstrasse Ecke Marienfelder Allee,bus,A32,,"52.42073935358918, 13.369265336797783",Stegerwaldstrasse
1079,19601080,S-Bahnhof Rathaus Steglitz,s-bahn,KBS 104,Q111264179,"52.4562,13.3216",Steglitz
1080,19601081,Steglitzer Damm Ecke Bismarckstrasse,bus,A2,,"52.45105449993721, 13.337974502579238",Steglitzer Damm
1081,19601082,Stephanplatz,bus,A66,,"52.533700234029276, 13.34712215648683",Stephanplatz
1082,19601083,Sterndamm Ecke Königsheideweg,bus,A47,,"52.44658674940087, 13.506534865142585",Sterndamm
1083,19601084,Oderbruchstraße,strassenbahn,"69,64,69E,63",Q65553632,"52.530493,13.4614989",Steuerhaus
1084,19601085,Stindestrasse Ecke Albrechtstrasse,bus,A32,,"52.44812122178611, 13.340103869265922",StindeStrasse
1085,19601086,Stolpe Süd station,s-bahn,KBS 105,Q19274514,"52.63018,13.22333",Stolpe Süd
1086,19601087,Stralauer Allee Ecke Markgrafendamm,strassenbahn,82,,"52.49740745019046, 13.46463650693144",Stralauer Allee Ecke Markgrafendamm
1087,19601088,Strasse 393 Ecke Seegefelder Weg,bus,A63,,"52.54346134229288, 13.156333109553433",Strasse 393
1088,19601089,"Strasse des 17. Juni, Ernst-Reuter-Platz",bus,A2,,"52.51271130765139, 13.323003400102502",Strasse des 17. Juni
1089,19601090,Strasse nach Staatwinkel & Bernauer Strasse,bus,A13,,"52.561964827739885, 13.254588036270711",Strasse nach Staatwinkel
1090,19601091,Strasse nach Wartenberg Ecke Falkenberger Chaussee,bus,A46,,"52.56866269126953, 13.520582099858125",Strasse nach Wartenberg
1091,19601092,Betriebshof Köpenick,strassenbahn,83,Q66370900,"52.4399134,13.5817824",Strassenbahnhof Köpenick
1092,19601093,Strausberg station,s-bahn,"KBS 101a,KBS 101",Q7622326,"52.531933,13.836933",Strausberg
1093,19601094,Strausberg Nord station,s-bahn,KBS 101a,Q7622324,"52.5902,13.9084",Strausberg Nord
1094,19601095,Strausberg Stadt station,s-bahn,KBS 101a,Q7622325,"52.5766,13.8878",Strausberg Stadt
1095,19601096,Strausberger Platz,u-bahn,E,Q570999,"52.518055555556,13.430833333333",Strausberger Platz
1096,19601097,Stresowplatz,bus,"A5,A31",,"52.53362877636616, 13.206781830760963",Stresowplatz
1097,19601098,StromStrasse Ecke Turmstrasse,bus,A24,,"52.52632226250912, 13.34326443872038",StromStrasse
1098,19601099,Stromstrasse Ecke Turmstrasse,bus,A70,,"52.52631690374401, 13.343146315837002",Stromstrasse
1099,19601100,Stromstrasse,strassenbahn,"35,44,2",,"52.525392130952426, 13.342921518835107",Stromstrasse
1100,19601101,Stubenrauchstrasse,strassenbahn,47,,"52.42422390261997, 13.485461375958135",Stubenrauchstrasse
1101,19601102,Stuttgarter Platz,bus,A21,,"52.50551610729052, 13.302923303561508",Stuttgarter Platz
1102,19601103,Stuttgarter Platz,strassenbahn,60,,"52.50566810519856, 13.306864497506904",Stuttgarter Platz
1103,19601104,Stölpchensee,bus,A3,,"52.41228329093362, 13.141800667623677",Stölpchensee
1104,19601105,Stössenseebrücke,strassenbahn,76,,"52.508894368243524, 13.217475972829826",Stössenseebrücke
1105,19601106,Berlin Sundgauer Straße station,s-bahn,KBS 104,Q800513,"52.436291,13.273772",Sundgauer Str.
1106,19601107,Sven-Hedin-Strasse Ecke Fischerhüttenstrasse,bus,A53,,"52.44044491814346, 13.244750958691851",Sven-Hedin-Strasse
1107,19601108,Südende station,s-bahn,KBS 106,Q800511,"52.4481,13.3536",Südende
1108,19601109,Südstern,bus,A28,,"52.488958649509335, 13.40781379557614",Südstern
1109,19601110,Südstern,strassenbahn,2,,"52.489200004098294, 13.407589825806399",Südstern
1110,19601111,Südstern,u-bahn,C I,Q656081,"52.489444444444,13.407777777778",Südstern
1111,19601112,Türkenstrasse Ecke Müllerstrasse,bus,A64,,"52.55326868982377, 13.347158257015531",T rkenstrasse
1112,19601113,Taubenstrasse,strassenbahn,72,,"52.51306493755938, 13.391398735901545",Taubenstrasse
1113,19601114,"Tauernallee, Adlermühle ",bus,AS2,,"52.42337464834511, 13.396185392179197","Tauernallee, Adlerm hle"
1114,19601115,Tauroggener Strasse,strassenbahn,35,,"52.525832421277336, 13.301928782162818",Tauroggener Strasse
1115,19601116,Berlin-Tegel railway station,s-bahn,KBS 105,Q800493,"52.5886,13.2894",Tegel
1116,19601117,Alt-Tegel metro station,u-bahn,"C II,C I",Q656090,"52.58944,13.28389",Tegel
1117,19601118,Tegelort,bus,A20,,"52.5705390073051, 13.231220862666484",Tegelort
1118,19601119,Teichstrasse Ecke Lindauer Allee,bus,A61,,"52.57435884050963, 13.34777330742025",Teichstrasse
1119,19601120,Teltow railway station,s-bahn,KBS 106,Q7697868,"52.388056,13.299444",Teltow
1120,19601121,"Teltow, Paul-Gerhardt-Strasse",strassenbahn,96,,"52.41175171527543, 13.297893346256327","Teltow, Paul-Gerhardt-Strasse"
1121,19601122,Teltower Damm Ecke Berliner Strasse,bus,"A10,A48,A53",,"52.43504474561002, 13.2604425311939",Teltower Damm
1122,19601123,Teltower Strasse Ecke Ruhlebener Strasse,bus,"A5,A31,AS1",,"52.52691807826059, 13.215807069988056",Teltower Strasse
1123,19601124,Teltower Strasse,strassenbahn,"53,54",,"52.52691412538678, 13.215987693499372",Teltower Strasse
1124,19601125,S-Bahnhof Berlin-Tempelhof,s-bahn,"KBS 100a,KBS 100",Q111264368,"52.4708,13.3854",Tempelhof
1125,19601126,Tempelhof (Südring) metro station,u-bahn,C II,Q3983109,"52.47075,13.385361111111",Tempelhof (Südring)
1126,19601127,Tempelhofer Damm Ecke Manfred-Richthofen-Strasse,bus,"A25,A24",,"52.48422430539437, 13.385891408286207",Tempelhofer Damm
1127,19601128,Tempelhofer Damm,strassenbahn,6,,"52.46584374970472, 13.385470187093661",Tempelhofer Damm
1128,19601129,Tempelhofer Weg,strassenbahn,27,,"52.448900802776095, 13.436210910779328",Tempelhofer Weg
1129,19601130,Thielallee/Pacelliallee,bus,A68,,"52.458161495962216, 13.28707254649315",Thielallee/Pacelliallee
1130,19601131,Freie Universität (Thielplatz) metro station,u-bahn,"B II,A II",Q571331,"52.451111111111,13.282222222222",Thielplatz
