,stop_id,stop_description,type,in_lines,identifier,location,stop_name
730,1960731,Martin-Luther-Strasse,strassenbahn,"60,3",,"52.488858993840374, 13.344921966484465",Martin-Luther-Strasse
731,1960732,Marx-Engels-Platz,bus,"A57,A9",,"52.51617617310524, 13.400937413635054",Marx-Engels-Platz
732,1960733,Berlin Hackescher Markt station,s-bahn,"KBS 103,KBS 102,KBS 101",Q689312,"52.5226,13.4022",Marx-Engels-Platz
733,1960734,"Marzahn, Berliner Chaussee Ecke Rraoul-Wallenberg-Strasse",bus,A43,,"52.54469782123951, 13.564560329042491","Marzahn, Berliner Chaussee"
734,1960735,Masurenallee Ecke Königin-Elisabeth-Strasse,bus,A65,,"52.50642938866968, 13.280405207863838",Masurenallee
735,1960736,Mattenbuder Pfad & Henningsdorfer Strasse,bus,A14,,"52.61696067657215, 13.220550425237422",Mattenbuder Pfad
736,1960737,Mehringdamm Ecke Gneisenaustrasse,bus,"A28,A19",,"52.49293917608851, 13.38772030059097",Mehringdamm
737,1960738,Mehringdamm,strassenbahn,"3,2",,"52.49298792323627, 13.387950331490586",Mehringdamm
738,1960739,Mehringdamm,u-bahn,"C II,C I",Q657905,"52.493888888889,13.388333333333",Mehringdamm
739,1960740,Mehringplatz,strassenbahn,99,,"52.4979249057416, 13.39108106831653",Mehringplatz
740,1960741,Mehringplatz (Hallesches Tor),strassenbahn,98,,"52.4979249057416, 13.39108106831653",Mehringplatz (Hallesches Tor)
741,1960742,Messedamm,bus,A4,,"52.50446814877144, 13.279412101845791",Messedamm
742,1960743,Messedamm,strassenbahn,"75,76",,"52.50641938570246, 13.280392436943686",Messedamm
743,1960744,Mimosenweg Ecke Kanalstrasse,bus,A52,,"52.42675928719203, 13.506179808906213",Mimosenweg
744,1960745,Mittelstrasse Ecke Potsdamer Strasse,bus,A18,,"52.43475141442549, 13.249262104251452",Mittelstrasse
745,1960746,Moltkestrasse,strassenbahn,"74,73",,"52.440407040891834, 13.316309800686549",Moltkestrasse
746,1960747,Moritzplatz,bus,A67,,"52.50387355112676, 13.409983330065609",Moritzplatz
747,1960748,Moritzplatz station,u-bahn,D,Q374225,"52.503611111111,13.410833333333",Moritzplatz
748,1960749,Moritzstrasse Ecke Altstädter Ring,bus,A63,,"52.538616245338716, 13.20068787610921",Moritzstrasse
749,1960750,Munsterdamm Ecke Bergstrasse,bus,A68,,"52.45912869204209, 13.348683628449525",Munsterdamm
