,stop_id,stop_name,type,location,in_lines,identifier
0,19600,4. Ring,bus,"52.42250630689789, 13.2869490566549",A53,nan
1,19601,Adamstrasse,bus,"52.521029117218866, 13.19780699419913","A34,A35",nan
2,19602,Adlershof,s-bahn,"52.434722222222,13.541388888889","KBS 103,KBS 100a",Q323551
3,19603,Adolf-Scheidt-Platz,strassenbahn,"52.478194856980814, 13.37836902238447",95,nan
4,19604,Afrikanische Str.,u-bahn,"52.560027777778,13.334633333333","C II,C I",Q559239
5,19605,Afrikanische Strasse,bus,"52.54630154020319, 13.343855247543928",A16,nan
6,19606,Afrikanische Strasse,bus,"52.56092107945643, 13.333499647590612",A64,nan
7,19607,"Ahrensfeld, Kirche",bus,"52.57532170199278, 13.576515606968998",A46,nan
8,19608,Albertstrasse,strassenbahn,"52.48441764584102, 13.352842591071507","74,73",nan
9,19609,Albrechtshof,s-bahn,"52.5494,13.1283",KBS 103,Q800470
10,196010,Albrechtstrasse,bus,"52.52325414751492, 13.383819128683713",A57,nan
11,196011,"Alexanderplats, Memhardstr.",strassenbahn,"52.5233439,13.4110773",1,Q65227406
12,196012,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","KBS 103,KBS 102,KBS 101",Q111324700
13,196013,Alexanderplatz,u-bahn,"52.5214,13.4119","A I,D,A II,E",Q17173458
14,196014,"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877","74,72,71,82,74E",nan
15,196015,"Alexanderplatz, Grunestrasse",strassenbahn,"52.52008326268696, 13.41408418961877",64,nan
16,196016,"Alexanderplatz, Memhardstrasse",strassenbahn,"52.5233439,13.4110773","69,11,63,22",Q65227406
17,196017,"Alt-Biesdorf, Oberfeldstrasse",bus,"52.50918606891929, 13.553347058493491",A8,nan
18,196018,Alt-Buch,bus,"52.63585516282156, 13.50090380436997",A42,nan
19,196019,Alt-Buckow,strassenbahn,"52.42369898147204, 13.43651094045107",27,nan
20,196020,Alt-Heiligensee,bus,"52.60616921042186, 13.210646859320935","A13,A14",nan
21,196021,Alt-Kladow,bus,"52.454591413254434, 13.144488043956764","A34,A35",nan
22,196022,Alt-Mariendorf,bus,"52.44015553185248, 13.387328254903215",AS2,nan
23,196023,Alt-Mariendorf,strassenbahn,"52.4401532176395, 13.387265005984174",99,nan
24,196024,Alt-Marienfelde,bus,"52.413385082183694, 13.36338063003787",A52,nan
25,196025,"Alt-Marzahn, Kirche",bus,"52.542423454435976, 13.564061751343658",O37,nan
26,196026,Alt-Moabit,bus,"52.524078460891005, 13.357069143313803",A24,nan
27,196027,Alt-Moabit,bus,"52.52437871670591, 13.350938481047272",A66,nan
28,196028,Alt-Müggelheim,bus,"52.41018331064196, 13.665897531850348",A27,nan
29,196029,Alt-Schm ckwitz,bus (Umlandlinie),"52.37536708814027, 13.649399886968025","Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)",nan
30,196030,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",86,Q66459540
31,196031,Alt-Tempelhof,strassenbahn,"52.4660774066416, 13.3856316379907","99,96,98",nan
32,196032,Alt-Wittenau,bus,"52.58972877186178, 13.334169215342472",A62,nan
33,196033,Alt-Wittenau,bus,"52.59166508975595, 13.326326895395114","A15,A21",nan
34,196034,Alte Wagenhalle,strassenbahn,"52.39228324366295, 13.224814455372194",96,nan
35,196035,"Altglienicke, Am Falkenberg",strassenbahn,"52.41079970042163, 13.570452931545786",84,nan
36,196036,"Altglienicke, Kirche",bus,"52.421845729296805, 13.539407702079252",A23,nan
37,196037,Am Beelitzhof,bus,"52.432202091928794, 13.186661564435827",A3,nan
38,196038,Am Dachsbau,bus,"52.60655284387061, 13.22984370797522",A13,nan
39,196039,Am Flie,bus,"52.6034575714732, 13.289613652822638",A15,nan
40,196040,Am Grossen Wannsee,bus,"52.420496581432594, 13.167192967572669","A3,A6,A18,A51",nan
41,196041,Am Kupfergraben,strassenbahn,"52.5194208,13.3953839",1,Q65055027
42,196042,Am Kupfergraben (Haus der Frau),strassenbahn,"52.51968436891945, 13.396249324607327",70,nan
43,196043,Am Nordhafen,bus,"52.53868315849872, 13.363248409190426",A70,nan
44,196044,Am Oberhafen,bus,"52.465017297775326, 13.450594183790596",A67,nan
45,196045,Am Rosenhag,bus,"52.52474356253909, 13.621775828105108","A44E,A44",nan
46,196046,Am Steinberg,bus,"52.55648144940878, 13.429306764151775","A45,A42",nan
47,196047,Am Steinberg,strassenbahn,"52.5585796,13.4333751",71,Q65103320
48,196048,Am Treptower Park Ecke Bulgarische Strasse,strassenbahn,"52.48147563483442, 13.472811198997826",87,nan
49,196049,Am Vierrutenbert,bus,"52.613698620824124, 13.344231823340426",A20,nan
50,196050,Am Volkspark,bus,"52.483222065143515, 13.32036833862448",A60,nan
51,196051,Amtsgerichsplatz,bus,"52.50685665976427, 13.295057483522156",A10,nan
52,196052,Amtsgericht,strassenbahn,"52.50682617853116, 13.297391449613752","75,76",nan
53,196053,Amtsgericht Charlottenburg,bus,"52.50571853839105, 13.295347400894903",A21,nan
54,196054,Andreasstrasse,bus,"52.51797306914227, 13.432895480772247",O30,nan
55,196055,Andreasstrasse,strassenbahn,"52.51085823996067, 13.430402171026154",82,nan
56,196056,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","KBS 105,KBS 106,KBS 104",Q111324573
57,196057,Anhalter Bahnhof,strassenbahn,"52.50453275122, 13.382326534592197",88,nan
58,196058,Anhalter Bhf.,bus,"52.504693895352524, 13.381969502572149","A24,A29",nan
59,196059,Antonplatz,strassenbahn,"52.5484803,13.4517416","74,72,70,3,74E",Q65548849
60,196060,Arnimallee,bus,"52.45789378609326, 13.299570204130864",A68,nan
61,196061,Aroser Allee,bus,"52.57376245122369, 13.351970705456408","A61,A14",nan
62,196062,Askanierring,bus,"52.545679974269035, 13.194267325495874","A35,A63",nan
63,196063,Askanierring,bus,"52.54891706140618, 13.193495587303872",A34,nan
64,196064,Attilaplatz,bus,"52.45590179888225, 13.376512495751076","A25,AS2",nan
65,196065,Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905","96,95",nan
66,196066,Auguste-Viktoria-Allee,bus,"52.569268504658915, 13.329801350092811",A62,nan
67,196067,Augustenburger Platz,strassenbahn,"52.54195473048106, 13.349004434392675",25,nan
68,196068,B hler Weg,bus,"52.41724643282917, 13.412638052235238",A52,nan
69,196069,BSC-Sportplatz,bus,"52.48590335523557, 13.284366733504768",A29,nan
70,196070,"BVG-Bf. Lichtenberg, Siegfriedstrasse",strassenbahn,"52.5206411,13.4994454","69,69E",Q66014798
71,196071,"BVG-Bf. Lichtenberg, Siegfriestrasse",bus,"52.52004640241046, 13.499373630980266",O30,nan
72,196072,BVG-Bf. Weißensee,strassenbahn,"52.557019987591296, 13.4676689116181",74,nan
73,196073,Babelsberg,s-bahn,"52.3914,13.0928",KBS 102,Q801326
74,196074,Badstrasse,bus,"52.55228040855936, 13.381394276023574",A70,nan
75,196075,Badstrasse/Prinzenallee,bus,"52.55231378388406, 13.381413167559051",A71,nan
76,196076,Baerwaldstrasse,strassenbahn,"52.49390938472972, 13.403182384220054",95,nan
77,196077,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,"52.520111111111,13.388305555556","C II,C I",Q3753274
78,196078,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,"52.510556,13.496389",E,Q3831986
79,196079,Bahnhof Tempelhof,strassenbahn,"52.46587999632718, 13.38561353594905",98,nan
80,196080,Bahnhof Wedding,u-bahn,"52.5425,13.366111","C II,C I",Q4018733
81,196081,Bahnhofstrasse,strassenbahn,"52.40244986860125, 13.512704137216817",47,nan
82,196082,Bahnhofstrasse Ecke Lindenstrasse,bus,"52.45096281111, 13.572146868709519",A27,nan
83,196083,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684","87,82",Q66095701
84,196084,Barfusstrasse,bus,"52.554307201956135, 13.345153941265151","A12,A12S",nan
85,196085,Baumschulenstrasse,strassenbahn,"52.469081846595664, 13.491329912138305",92,nan
86,196086,Baumschulenstrasse Ecke Südostallee,bus,"52.46095841731415, 13.481191835004426",A47,nan
87,196087,Baumschulenweg,s-bahn,"52.4675,13.489722","KBS 103,KBS 100a,KBS 103a",Q324336
88,196088,"Baumschulenweg, Sonnenallee",strassenbahn,"52.46729434178432, 13.489094025693007",95,nan
89,196089,Bayerischer Platz,u-bahn,"52.488333333333,13.340277777778",B III,Q668574
90,196090,Beeskowdamm,bus,"52.40965850195346, 13.267308742502374",A1,nan
91,196091,Behring-Krankenhaus,bus,"52.42410894567823, 13.251764544509987",A10,nan
92,196092,Bellevue,s-bahn,"52.52,13.348055555556","KBS 103,KBS 102,KBS 101",Q374018
93,196093,Belziger Strasse,strassenbahn,"52.48469759121592, 13.34547616644445",66,nan
94,196094,Benschallee,bus,"52.42959261918116, 13.22400013419735","A3,A18",nan
95,196095,Benzolwerk,strassenbahn,"52.426414690299055, 13.546444409734137",84,nan
96,196096,"Bergfelde, Karl-Marx-Strasse",bus,"52.665111405939506, 13.307446011435928",AN,nan
97,196097,Bergstrasse,bus,"52.458183734651705, 13.329753854060407",A68,nan
98,196098,Bergstrasse,bus,"52.45863201901168, 13.339308585029036",A2,nan
99,196099,Bergstrasse,strassenbahn,"52.45916314067555, 13.34768142911793",66,nan
100,1960100,Berkaer Strasse,bus,"52.48209270683341, 13.281182952838728",A29,nan
101,1960101,"Berkaer Strasse, Elsterplatz",bus,"52.479592141367654, 13.285296936169493",AS3,nan
102,1960102,Berliner Strasse,bus,"52.430812764146886, 13.317504947138493",A11,nan
103,1960103,Berliner Strasse,bus,"52.43506128153174, 13.260479781039699",A53,nan
104,1960104,Berliner Strasse,bus,"52.48647817230135, 13.32051384057218",A60,nan
105,1960105,Berliner Strasse,bus,"52.48732335019939, 13.330965094326162","AS2,A2",nan
106,1960106,Berliner Strasse,strassenbahn,"52.42581131985521, 13.316760031991025",96,nan
107,1960107,Berlinickeplatz,bus,"52.46607292094852, 13.378516406213421",A65,nan
108,1960108,Berlinickeplatz,strassenbahn,"52.466329675590764, 13.378144688199017",95,nan
109,1960109,Bernau (b Bln),s-bahn,"52.6763,13.5931",KBS 106,Q479789
