,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
0,19601,1960,1,strassenbahn,SchillingBrücke (Ostbahnhof)<> Am Kupfergraben,33,7.7,Ost,20
1,19602,1960,11,strassenbahn,"Köpenicker Strasse Ecke Adalbertstrasse<> Oranienburger Tor, Hannoversche Strasse",23,5.4,Ost,20
2,19603,1960,13,strassenbahn,"Klingenberg, Blockdammweg<> Oderberger Strasse",37,9.9,Ost,7
3,19604,1960,15,strassenbahn,Daimlerstrasse<> Schulenburgpark,36,,West,15
4,19605,1960,2,strassenbahn,Wolliner Strasse<> Spreewaldplatz,70,,West,15
5,19606,1960,22,strassenbahn,Bhf. Rosenthal<> Elisabethstrasse,49,11.7,Ost,13
6,19607,1960,25,strassenbahn,Wolliner Strasse<> Gotenstrasse,68,,West,15
7,19608,1960,26,strassenbahn,Spreewaldplatz<> Industriestrasse,31,,West,15
8,19609,1960,27,strassenbahn,Hobrechtstrasse<> Alt-Buckow,26,,West,10
9,196010,1960,3,strassenbahn,Mühlenstrasse<> Bj rnsonstrasse,45,12.1,Ost,10
10,196011,1960,3,strassenbahn,Hobrechtstrasse<> Grüntaler Strasse,79,,West,10
11,196012,1960,35,strassenbahn,Nonnendammallee<> Bhf. Wilhelmsruh,48,,West,15
12,196013,1960,4,strassenbahn,Mühlenstrasse<> Oderberger Strasse,27,6.3,both/unkown,8
13,196014,1960,44,strassenbahn,Sandkrugbrücke<> Birkbuschstrasse,58,,West,15
14,196015,1960,46,strassenbahn,"Niedersch nhausen, Schillerstrasse<> Clara-Zetkin-Strasse",51,12.1,Ost,15
15,196016,1960,46E,strassenbahn,"Niedersch nhausen, Idastrasse bzw. Nordend<> Oranienburger Tor, Hannoversche Strasse",41,9.8,Ost,15
16,196017,1960,47,strassenbahn,Hermannplatz<> Bahnhofstrasse,34,,West,10
17,196018,1960,49,strassenbahn,"Buchholz, Hauptstrasse<> Hackescher Markt, Große Präsidentenstrasse",41,10.6,Ost,8
18,196019,1960,53,strassenbahn,Nollendorfplatz<> Hakenfelde,59,,West,20
19,196020,1960,54,strassenbahn,Nollendorfplatz<> Johannesstift,60,,West,20
20,196021,1960,55,strassenbahn,Nollendorfplatz<> Nauener Strasse,54,,West,12
21,196022,1960,6,strassenbahn,Wintersteinstrasse<> Elsenstrasse,57,,West,10
22,196023,1960,60,strassenbahn,Königin-Elisabeth-Strasse<> Eythstrasse,49,,West,15
23,196024,1960,63,strassenbahn,"Hohensch nhausen, Gartenstadt<> Hackescher Markt, Große Präsidentenstrasse",38,10.2,Ost,20
24,196025,1960,64,strassenbahn,"Hohensch nhausen, Falkenberger Strasse<> D nhoffplatz",39,10.2,Ost,20
25,196026,1960,66,strassenbahn,Belziger Strasse<> Bergstrasse,12,,West,10
26,196027,1960,69,strassenbahn,"Johannisthal, Haeckelstrasse<> Walter-Ulbricht-Stadion",82,21.4,Ost,20
27,196028,1960,69E,strassenbahn,"Johannisthal, Haeckelstrasse<> Kniprodestrasse",59,16.3,Ost,20
28,196029,1960,70,strassenbahn,"Hohensch nhausen, Falkenberger Strasse<> Am Kupfergraben (Haus der Frau)",49,11.9,Ost,12
29,196030,1960,71,strassenbahn,"Heinersdorf, Romain-Rolland-Str.<> J denstrasse, Mokenmarkt",32,7.6,Ost,10
30,196031,1960,72,strassenbahn,"Weißensee, Pasedagplatz<> Taubenstrasse",46,10.5,Ost,13
31,196032,1960,73,strassenbahn,Bhf. Lichterfelde-Ost<> Potsdamer Platz,42,,West,20
