,stop_id,stop_name,type,location,in_lines,identifier
1591,19841591,Sven-Hedin-Strasse,bus,"52.44044491814346, 13.244750958691851",{'53'},nan
1592,19841592,Sächsische Strasse,bus,"52.49969205201753, 13.319017677981881",{'69'},nan
1593,19841593,Säntisstrasse,bus,"52.41320161792562, 13.378457433742751","{'7', '78'}",nan
1594,19841594,Säntisstrasse/Tauernallee,bus,"52.4233048593354, 13.396163151610148",{'76'},nan
1595,19841595,Südendstrasse,bus,"52.45590326647349, 13.332602045391685","{'68', '33'}",nan
1596,19841596,Südstern,u-bahn,"52.489444444444,13.407777777778",{'7'},Q656081
1597,19841597,Tauernallee,bus,"52.42786076158787, 13.405153915036617",{'79'},nan
1598,19841598,Taunusstrasse,bus,"52.394658788888904, 13.417372886712938",{'78'},nan
1599,19841599,Tegel,u-bahn,"52.58944,13.28389",{'6'},Q656090
1600,19841600,Tegeler Weg/DRK-Krankenhaus,bus,"52.528992265224346, 13.296547817787753",{'99'},nan
1601,19841601,Tegelort,bus,"52.5705390073051, 13.231220862666484",{'20'},nan
1602,19841602,Teichstrasse,bus,"52.57435884050963, 13.34777330742025",{'8'},nan
1603,19841603,Teilestrasse,bus,"52.459532250973275, 13.416011945127432","{'25', '73'}",nan
1604,19841604,Teltower Damm,bus,"52.43504474561002, 13.2604425311939","{'10', '53', '48'}",nan
1605,19841605,Teltower Strasse,bus,"52.52691807826059, 13.215807069988056","{'35', '80', '54', '5'}",nan
1606,19841606,Tempelhof,u-bahn,"52.47075,13.385361111111",{'6'},Q3983109
1607,19841607,Tempelhofer Weg,bus,"52.460527573017245, 13.417966820837856",{'77'},nan
1608,19841608,Teplitzer Strasse,bus,"52.476869209379586, 13.280863095711684","{'17', '19'}",nan
1609,19841609,Tessenowstrasse,bus,"52.581468218804446, 13.333934323213498",{'14'},nan
1610,19841610,Tessenowstrasse,bus,"52.58312467969267, 13.34369397778962","{'22', '64'}",nan
1611,19841611,Theodor-Heuss-Platz,u-bahn,"52.509722222222,13.273055555556",{'1'},Q657857
1612,19841612,Thielallee/Pacelliallee,bus,"52.458161495962216, 13.28707254649315",{'68'},nan
1613,19841613,Thielplatz,u-bahn,"52.451111111111,13.282222222222",{'2'},Q571331
1614,19841614,Thuner Platz,bus,"52.42375896990032, 13.296184869051308","{'53', '85'}",nan
1615,19841615,Thälmannpark,strassenbahn,"52.47892424481545, 13.700128620727503",{'S-Bhf. Friedrichshagen <> Rüdersdorf'},nan
1616,19841616,Thälmannplatz,strassenbahn,"52.4506321,13.7524501",{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse'},Q66977540
1617,19841617,Thälmannplatz,u-bahn,"52.51167,13.38472",{'A'},Q658391
1618,19841618,Thälmannstrasse,bus,"52.534521264143414, 13.631328653858786",{'44'},nan
1619,19841619,Tiefwerderweg,bus,"52.52622579438607, 13.207404522142175","{'80', '5'}",nan
1620,19841620,Tiergarten,s-bahn,"52.5144,13.3365",{'3'},Q572112
1621,19841621,Tiergartenstrasse,bus,"52.50960312444174, 13.351320889801638","{'69', '24'}",nan
1622,19841622,Tiergartenstrasse Philharmonie,bus,"52.51102178046428, 13.370519630861303",{'48'},nan
1623,19841623,Tierpark,u-bahn,"52.4964,13.5233",{'E'},Q570954
1624,19841624,Tietjenstrasse,bus,"52.39025194939193, 13.420202875683419",{'82'},nan
1625,19841625,Tirschenreuther Ring,bus,"52.41336702388803, 13.35469832875561",{'2'},nan
1626,19841626,Titlisweg,bus,"52.426161091698916, 13.394604025902328","{'7', '76', '78'}",nan
1627,19841627,Toeplerstrasse,bus,"52.53822939298983, 13.286714503126595",{'23'},nan
1628,19841628,Togostrasse,bus,"52.548727226874426, 13.348697623450558","{'89', '65'}",nan
1629,19841629,Torellplatz,strassenbahn,"52.4740761,13.7714228",{'S-Bhf. Friedrichshagen <> Rüdersdorf'},Q66542827
1630,19841630,Torgauer Strasse,bus,"52.4795227196386, 13.360986924063544",{'84'},nan
1631,19841631,Torweg,bus,"52.539619854576955, 13.150238200449321",{'63'},nan
1632,19841632,"Treptow, Eichenstrasse",bus,"52.49476666624515, 13.45313221364275",{'47'},nan
1633,19841633,"Treptow, Rathaus",bus,"52.48358899866382, 13.480324760498638","{'64', '47'}",nan
1634,19841634,Treptower Park,s-bahn,"52.4938,13.4618","{'140', '115', '141', '143', '142', '110'}",Q559274
1635,19841635,Treuenbrietzener Strasse,bus,"52.59697943891828, 13.360514604920896",{'62'},nan
1636,19841636,Triftstrasse,bus,"52.545286786567914, 13.208067563624326","{'97', '56', '55'}",nan
1637,19841637,Triftstrasse,bus,"52.5868287104656, 13.31626060378331",{'22E'},nan
1638,19841638,Trippsteinstrasse,bus,"52.418978135364235, 13.346160774868661",{'2'},nan
1639,19841639,Turm-/Beusselstrasse,bus,"52.52737827445803, 13.328702359065009",{'23'},nan
1640,19841640,Turmstrasse,bus,"52.52639995421508, 13.35171729538701","{'70', '1', '16'}",nan
1641,19841641,Turmstrasse,u-bahn,"52.52585,13.341352777778",{'9'},Q571400
1642,19841642,U-Bhf. Adenauer Platz,bus,"52.500003587932994, 13.307029882440569",{'74'},nan
1643,19841643,U-Bhf. Adenauerplatz,bus,"52.500003587932994, 13.307029882440569","{'69', '9', '19'}",nan
1644,19841644,U-Bhf. Afrikanische Strasse,bus,"52.56057579527375, 13.334211042952221",{'64'},nan
1645,19841645,U-Bhf. Alt-Mariendorf,bus,"52.440202628447636, 13.387296995844753","{'7', '76', '81', '93', '79', '78', '77'}",nan
1646,19841646,U-Bhf. Alt-Tempelhof,bus,"52.46605569958676, 13.385580223225174","{'68', '65', '73'}",nan
1647,19841647,U-Bhf. Amrumer Strasse,bus,"52.542160623402594, 13.349499736078657","{'64', '16'}",nan
1648,19841648,U-Bhf. Berliner Strasse,bus,"52.48735794384736, 13.331009160858803","{'4', '74'}",nan
1649,19841649,U-Bhf. Blaschkoallee,bus,"52.45244498158435, 13.449032952686656",{'73'},nan
1650,19841650,U-Bhf. Blisse Strasse,bus,"52.486416682006514, 13.320424476676541",{'74'},nan
1651,19841651,U-Bhf. Blissestrasse,bus,"52.486416682006514, 13.320424476676541","{'4', '60', '1', '86'}",nan
1652,19841652,U-Bhf. Boddinstrasse,bus,"52.48032026675395, 13.425268421451845","{'4', '91'}",nan
1653,19841653,U-Bhf. Borsigwerke,bus,"52.58274564980193, 13.289777166884834",{'13'},nan
1654,19841654,U-Bhf. Breitenbachplatz,bus,"52.46728214655765, 13.309329229574995","{'1', '33'}",nan
1655,19841655,U-Bhf. Bundesplatz,bus,"52.477862484073285, 13.328532721522553","{'16', '86'}",nan
1656,19841656,U-Bhf. Dahlem-Dorf,bus,"52.45807069736877, 13.289706947871178","{'68', '1'}",nan
1657,19841657,U-Bhf. Dimitroffstrasse,strassenbahn,"52.5401928,13.4113979","{'70', '22', '21', '13', '4', '49', '46'}",Q65088313
1658,19841658,U-Bhf. Ernst-Reuter-Platz,bus,"52.51164603099566, 13.322290858670174","{'62', '90', '54'}",nan
1659,19841659,U-Bhf. Fehrbelliner Platz,bus,"52.490390927187676, 13.31417745809863","{'4', '50', '1'}",nan
1660,19841660,U-Bhf. Fehrbelliner Strasse,bus,"52.490390927187676, 13.31417745809863",{'74'},nan
1661,19841661,U-Bhf. Frankfurter Tor,strassenbahn,"52.5138037,13.4773772","{'13', '21'}",Q65948557
1662,19841662,U-Bhf. Friedrich-Wilhelm-Platz,bus,"52.47130766098046, 13.328385018588687","{'25', '81', '86', '17', '2'}",nan
1663,19841663,U-Bhf. Friedrichsfelde,bus,"52.50624112361932, 13.512853060220209","{'35', '43', '53'}",nan
1664,19841664,U-Bhf. Gesundbrunnen,bus,"52.54861944950301, 13.387947488953557",{'99'},nan
1665,19841665,U-Bhf. Gneisenaustrasse,bus,"52.491226587637556, 13.396327911797728","{'28', '24'}",nan
1666,19841666,U-Bhf. Grenzallee,bus,"52.46369510254238, 13.444231731166557","{'41', '77'}",nan
1667,19841667,U-Bhf. Görlitzer Bhf.,bus,"52.499261603467374, 13.427938041332432",{'75'},nan
1668,19841668,U-Bhf. Günzelstrasse,bus,"52.49082137170685, 13.330902795989667",{'50'},nan
1669,19841669,U-Bhf. Halemweg,bus,"52.53667667798839, 13.286746671874386",{'23'},nan
