,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19841,1984,1,bus,"Moabit, Waldstrasse Ecke Turmstrasse<> Lichterfelde, Lindenstrasse",66,West,10
1,19842,1984,10 SEV,bus,"Marzahn, Betriebshof<> Franz-Stenzer-Strasse",9,Ost,60
2,19843,1984,10,bus,"Haselhorster Damm<> Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",67,West,12
3,19844,1984,11,bus,Dahlem Waldfriedhof<> Alt-Marienfelde,35,West,15
4,19845,1984,11,strassenbahn,Elisabethstrasse<> Pflugstrasse,56,Ost,10
5,19846,1984,12,bus,"Wedding, Bernauer Strasse<> Maximiliankorso Ecke Hainbuchenstrasse",61,West,15
6,19847,1984,12,strassenbahn,"Marzahn, Henneckestrasse<> Scharnweberstrasse",35,Ost,20
7,19848,1984,13,bus,Alt-Heiligensee<> Spandau Weinmeisterhornweg,66,West,12
8,19849,1984,13,strassenbahn,Eberswalder Strasse<> Hönower Wiesenweg,40,Ost,10
9,198410,1984,14,bus,U-Bhf. Osloer Strasse<> Alt-Heiligensee,60,West,15
10,198411,1984,14,strassenbahn,"Marzahn, Henneckestrasse<> Dimitroffstrasse",31,Ost,20
11,198412,1984,14E,bus,Alt-Heiligensee<> Falkenplatz,9,West,30
12,198413,1984,15,bus,Wittenauer Strasse Märkisches Viertel<> Frohnau Invalidensiedlung,58,West,20
13,198414,1984,15,strassenbahn,Bhf. Berlin-Lichtenberg<> Dimitroffstrasse,21,Ost,20
14,198415,1984,16,bus,Reinickendorf Klemkestrasse/Sommerstrasse<> Breitenbachplatz,63,West,15
15,198416,1984,17,bus,S-Bhf. Grunewald<> Lichterfelde Celsiusstrasse,57,West,12
16,198417,1984,17,strassenbahn,Besarinstrasse<> Haeckelstrasse,56,Ost,12
17,198418,1984,18,bus,U-Bhf. Oskar-Helene-Heim<> Steinstücken,34,West,20
18,198419,1984,18,strassenbahn,Henneckestrasse<> Pflugstrasse,58,Ost,20
19,198420,1984,18E,strassenbahn,Henneckestrasse<> Dimitroffstrasse,34,Ost,10
20,198421,1984,19,bus,Grunewald Roseneck<> Platz der Luftbrücke,44,West,10
