,line_id,stop_name,stop_order,stop_id
0,19841,"Moabit, Waldstrasse Ecke Turmstrasse",0,19841023
1,19841,Turmstrasse,1,19841640
3,19841,Alt-Moabit,2,198450
4,19841,Franklinstrasse,3,1984424
5,19841,Otto-Suhr-Allee,4,19841133
7,19841,Bismarckstrasse,5,1984192
12,19841,Kantstrasse,6,1984745
13,19841,Kurfürstendamm,7,1984828
14,19841,Olivaer Platz,8,19841096
15,19841,U-Bhf. Konstanzer Strasse,9,19841684
16,19841,U-Bhf. Fehrbelliner Platz,10,19841659
17,19841,U-Bhf. Blissestrasse,11,19841651
18,19841,Hildegardstrasse,12,1984647
19,19841,Laubacher Strasse,13,1984870
20,19841,U-Bhf. Breitenbachplatz,14,19841654
21,19841,U-Bhf. Dahlem-Dorf,15,19841656
22,19841,Pacelli-/Thielallee,16,19841138
23,19841,Königin-Luise-Strasse,17,1984842
24,19841,U-Bhf. Oskar-Helene-Heim,18,19841706
25,19841,Winfriedstrasse,19,19841855
26,19841,Berliner Strasse,20,1984145
29,19841,Rathaus Zehlendorf,21,19841254
30,19841,Hampsteadstrasse,22,1984586
31,19841,Wismarer Strasse,23,19841857
32,19841,"Lichterfelde, Lindenstrasse",24,1984913
33,19842,"Marzahn, Betriebshof",0,19841000
34,19842,"Marzahn, Kirche",1,19841002
35,19842,Rebhuhnweg,2,19841265
36,19842,Bruno-Baum-Strasse,3,1984251
37,19842,S-Bhf. Marzahn,4,19841372
38,19842,Franz-Stenzer-Strasse,5,1984428
39,19843,Haselhorster Damm,0,1984595
41,19843,Gartenfelder Strasse,1,1984469
42,19843,Paulsternstrasse,2,19841168
44,19843,Nonnendammallee,3,19841078
45,19843,U-Bhf. Rohrdamm,4,19841718
46,19843,Fürstenbrunner Weg/Friedhof,5,1984461
48,19843,Spandauer Damm,6,19841518
49,19843,U-Bhf. Kaiserdamm,7,19841679
50,19843,ICC/Omnibusbahnhof,8,1984693
51,19843,Dernburgstrasse,9,1984316
52,19843,Amtgerichtsplatz,10,198488
53,19843,Kurfürstendamm,11,1984828
54,19843,Henriettenplatz,12,1984626
55,19843,Rathenauplatz,13,19841256
56,19843,Herbertstrasse,14,1984627
57,19843,Elsterplatz,15,1984365
58,19843,Hundekehlestrasse,16,1984682
59,19843,Königen-Luise-Strasse/Museum Dahlem,17,1984840
60,19843,U-Bhf. Thielplatz,18,19841736
61,19843,Corrensplatz,19,1984301
