Line description,Stops,Frequency,Length (time),Length (km),year
17_bus_West,"Grunewald, Fontanestrasse - Hagenplatz - Teplitzer Strasse - Roseneck - Berkaer Strasse - U-Bhf. Rüdesheimer Platz - Laubacher Strasse/Südwestkorso - U-Bhf. Friedrich-Wilhelm-Platz - Kaisereiche/Schmiljanstrasse - U-Bhf. Walther-Schreiber-Platz - U-Bhf. Schloßstrasse - Kieler Strasse - U-Bhf. Rathaus Steglitz - Heesestrasse - Plantagenstrasse - Bismarckstrasse - Albrechtstrasse - Leonorenstrasse - Birkbuschstrasse Ecke Siemensstrasse - Ostpreußendamm Ecke Königsbergerstrasse - Marienstrasse/Königswark. Krankenhaus - Jungfernstieg - Kranoldplatz - Oberhofer Platz - Lichterfelde Celsiusstrasse",10,,,1976
17_strassenbahn_Ost,Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - Bhf. Karlshorst - Hochschule für Ökonomie - U-Bhf. Tierpark - S-Bhf. Friedrichsfelde Ost - Springpfuhlstrasse - Siegfriedstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Luxemburgplatz - Rosenthaler Platz - Chausseestrasse - Stadion der Weltjugend,10,68,,1976
18_bus_West,"U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Schützallee - Scharfestrasse - Potsdamer Strasse - Fischerhüttenstrasse - Lindenthaler Allee - Spanische Allee - Isoldestrasse - Nibelungenstrasse - Kronprinzessinnenweg - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse  - Wilhelmplatz, Stölpchensee - Kohlhasenbrück-Steinstücken",20,,,1976
19_bus_West,Roseneck - Teplitzer Strasse - Richard-Strauß-Strasse - Koenigsallee/Hagenplatz - Kurfürstendamm/Ratenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstrasse - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburger Strasse - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse - U-Bhf. Nollendorfplatz - Potsdamer Strasse - Goebenstrasse - U-Bhf.  Yorckstrasse - Großbeerenstrasse Ecke Yorckstrasse - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1976
19_strassenbahn_Ost,"Köpenick, Krankenhaus - Freiheit - Institut für Lehrerbildung - Pionierpark - Edisonstrasse - Bhf. Karlshorst - Hochschule für Ökonomie - U-Bhf. Tierpark - S-Bhf. Friedrichsfelde Ost - Springpfuhlstrasse - Siegfriedstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Artur-Becker-Strasse",20,73,,1976
2_bus_West,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregstrasse - Bismarckstrasse - Lauenburger Platz - Bergstrasse - Selerweg - Steglitzer Damm - Munsterdamm - Albrechtstrasse - Leonorenstrasse - Rathaus Lankwitz - Lankwitz, Kirche - Hildburghauser Strasse - Waldsassener Strasse - Marienfelde, Waldsassener Strasse",7.5,36,,1976
20_bus_West,Tegelort - Falkenplatz - Heiligenseestrasse/Gabelung - Schulzendorfer Weg - Karolinenstrasse - Gabrielenstrasse -  Alt-Tegel/U-Bhf.  Tegel - Gorkistrasse - Ziekowstrasse - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Alt-Lübars,15,,,1976
21_bus_West,"Quickborner Strasse Märkisches Viertel - Wilhelmsruher Damm - Schorfheidestrasse - Wilhelmsruh Damm/Dannenwalder Weg - Oranienburger Strasse - Alt-Wittenau - Rathaus reinickendorf - Breitenbachstrasse - U-Bhf. Scharnweber Strasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm, Volkspark Jungfernheide - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Luisenplatz - Bismarckstrasse - Kantstraße Ecke Suarezstrasse - Amtsgericht Charlottenburg - Kurfürstendamm - Westfälische Strasse - Rudolstädter Strasse - Berliner Strasse - Fehrbelliner Platz",15,,,1976
21_strassenbahn_Ost,"Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Griefswalder Strasse - Artur-Becker-Strasse - Leninallee - Frankfurter Tor - Holteistrasse - Hauptsrasse (S-Bhf. Berlin-Rummelsburg) - Kraftwerk Klingenberg - Hönower Wiesenweg - Hermann-Duncker-Strasse - Wilhelminenhofstrasse - Pionierpark - Institut für Lehrerbildung - Grünstrasse - Köpenick, Krankenhaus",20,72,,1976
22_strassenbahn_Ost,"Rosenthal, Hauptstrasse - Nordendstrasse - Platanenstrasse - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,49,,1976
