Line description,Stops,Frequency,Length (time),Length (km),year
5_bus_West,"U-Bhf. Ruhleben - Friedhaus Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Galenstrasse - Staakener Strasse - Dallgower Strasse - Seegefelder Strasse - Spekteweg - Merziger Strasse - Falkenseer Chaussee - Siegener Strasse (Friedhof) - Mühlheimer Strasse - Am Kiesteich - Falkenseer Chaussee/Stadtrandstrasse - Nervenklinik Spandau",10,,,1976
50_bus_Ost,Rolandstrasse - Kurt-Fischer-Strasse - Bürgerpark - Dolomitenstrasse - U-Bhf. Pankow,15,15,,1976
50_bus_West,Grunewald Roseneck - Rheinbabenallee - Hohenzollerndamm - Berkaer Strasse/ Elsterplatz - Forckenbeckstrasse - Landecker Strasse - Cunostrasse - Rudolstädter Strasse - Berliner Strasse - U-Bhf. Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauische Strasse - Bundesallee - Prager Platz - Landshuter Strasse - U-Bhf. Viktoria-Luise-Platz - Martin-Luther-Strasse - Eisenacher Strasse - Winterfeldtplatz - Potsdamer Strasse - Mansteinstrasse - Schöneberg Mansteinstraße,15,26,,1976
51_bus_Ost,"Buch, Sandhaus - S-Bhf. Buch - Akademie der Wissenschaften - Zepernick, Kirche - Zepernicker Strasse",20,12,2.3,1976
52_bus_Ost,Achtermannstrasse - Paracelsiusstrasse - Galenusstrasse - Granitzstrasse - Prenzlauer Promendade - U-Bhf. Pankow,15,12,4.6,1976
52_bus_West,Rudow Stubenrauchstrasse - Seidelbastweg - Efeuweg - Rudower Strasse - Lipschitzallee - Loewensteinring - Fritz-Erler-Allee - U-Bhf. Johannisthaler Chaussee - Kölner Damm - Buckower Damm - Buckower Friedhof - Quarzweg - Lichtenrader Damm - Kettinger Strasse - Buckower Chaussee - Motzener Strasse - Gutshof Marienfeld - Alt-Marienfelde - Ahrensdorfer Strasse - Baußnerweg - Marienfelde Stadrandsiedlung,7.5,34,,1976
53_bus_Ost,Degnerstrasse - Landsberger Chaussee - S-Bhf. Friedrichsfelde Ost - U-Bhf. Friedrichsfelde - Mellenstrasse,12,28,10.3,1976
53_bus_West,Nikolassee Alemannenstrasse - An der Rehwiese - Krottnauererstrasse - Waldemarplatz - Argentinische Allee - Forststrasse - U-Bhf. Krumme Lanke - Sven-Hedin-Strasse - Hartmannsweiler Weg - Potsdamer Strasse - Teltower Damm - Rathaus Zehlendorf - Machnower Strasse - Knesebeckstrasse - Dahlemer Weg - Osteweg - Luzerner Strasse - Thuner Platz - Goerzallee - Drakestrasse - Ostpreußendamm Ecke Königsbergerstrasse - Marienstrasse - Morgensternstrasse - Kranoldplatz - Lichterfelde Oberhofer Platz,15,40,,1976
54_bus_Ost,Artur-Becker-Strasse - S-Bhf. Leninallee - Ho-Chi-Minh-Strasse - Genslerstrasse - Heizkraftwerk - Stadtberg - Bürknersfelde - Stadtberg - Elisabethstrasse - S-Bhf. Biesdorf - Am Tierpark - Irenenstrasse,15,53,20.4,1976
54_bus_West,"Spandau Johannesstift - Stadtpark/Cautiusstrasse - Hohenzollernring - Lynarstrasse - Wröhmännerpark - Moritzstrasse - Rathaus Spandau - Brunsbütteler Damm Ecke Klosterstrasse - Teltower Strasse - Friedhof Ruhleben - U-Bhf. Ruhleben - Reichsstrasse - Klinikum Westend - Königin-Elisabeth-Strasse - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Klausenerplatz - Luisenplatz - Wilmersdorfer Strasse - Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Jebensstrasse/Amerikahaus - Zoo, Hardenbergplatz",10,45,,1976
54E_bus_West,"Zoo, Hardenbergplatz - Ernst-Reuter-Platz - Cauerstraße - Luisenplatz - Klausenerplatz - Fürstenbrunner Weg - Kirschenallee - Schloß Ruhwald - U-Bhf. Ruhleben - Rathaus Spandau - Moritzstraße - Wröhmännerpark - Predigergarten - Lynarstraße - Klinkeplatz",Im Berufsverkehr,,,1976
55_bus_Ost,"Fontanestrasse - Edelweißstrasse - Pankow, Rathaus - S-Bhf. Pankow - U-Bhf. Pankow - Prenzlauer Promenade - Heinersdorf, Kirche - Pasedagplatz - Klement-Gottwald-Allee - Piesporter Strasse",20,30,12.7,1976
55_bus_West,"Zoo, Hardenbergplatz - Jebensstrasse/Amerikahaus - Ernst-Reuter-Platz - Leibnizstrasse - Richard-Wagner-Platz - Luisenplatz - Tauroggener Strasse - Landgericht/Osnabrücker Strasse - Olbersstrasse/DRK-Krankenhaus - Jakob-Kaiser-Platz - Letterhausweg - Quellweg - Siemens-Verwaltungsgebäude - Paulsternstrasse - Gartenfelder Strasse - Haselhorster Damm - Am Juliusturm - Zitadellenweg - Zur Zitadelle  - Breite Strasse/Am Juliusturm - Carl-Schurz-Strasse - Wröhmännerpark - Lynastrasse - Hohenzollernring - Spandau Hakenfelde",15,50,,1976
56_bus_Ost,Nüßlerstrasse - Hamburger Platz - S-Bhf. Prenzlauer Allee - Greifswalder Strasse - S-Bhf. Leninallee - Artur-Becker-Strasse,6,29,10.2,1976
56_bus_West,"U-Bhf. Ruhleben - Friedhof Ruhleben - Klärwerkstrasse - Freiheit 42/43 - Pichelswerderstrasse - Stresowplatz - Charlottenstrasse Ecke Breitestrasse - Spandau, Markt - Carl-Schurz-Strasse - Wröhmännerpark - Triftstrasse - Lynar-/Parkstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Spandau Hakenfelde",15,23,,1976
57_bus_Ost,Artur-Becker-Strasse - Hufelandstrasse - Am Friedrichshain - Alexanderplatz - Deutsche Staatsoper - Charlottenstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Reinhardtstrasse - Oranienburger Tor - Platz  vor dem Neuen Tor - Scharnhorststrasse,10,26,7.2,1976
57_bus_West,Zittauer Strasse - U-Bhf. Zwickauer Damm - Neuköllner Strasse - Seidelbastweg - Köpenicker Strasse/Kanalstrasse - Alt-Rudow/Köpenicker Strasse - U-Bhf. Rudow - Lockenhuhnweg - Geflügelsteig - Rhodeländerweg - Groß-Ziethener-Chaussee - U-Bhf. Rudow - Alt-Rudow/Köpenicker Strasse - Köpenicker Strasse/Kanalstrasse - Seidelbastweg - Neuköllner Strasse - U-Bhf. Zwickauer Damm - Zittauer Strasse,20,43,,1976
6_bus_West,"Wannsee, Kronprinzessinnenweg - Kronprinzessinnenweg - Am Kleinen Wannsee - Wernerstrasse - Pfaueninselchausee - Rathaus Wannsee - Friedenstrasse - Schaferberg z. Golfplatz - Schloß Glienicke - Glienicker Brücke",30,,,1976
60_bus_West,Wittenbergplatz - Breitscheidplatz - Joachimstaler Strasse - Kantstrasse - Kurfürsten Damm/U-Bhf. Uhlandstrasse - Lietzenburger Strasse - Ludwigkirchstrasse - U-Bhf. Hohenzollernplatz - Güntzelstrasse - U-Bhf.  Blissestrasse - Blissestrasse - U-Bhf. Heidelberger Platz - Binger Strasse - Sodener Strasse - Kirchstrasse - Berkaer Strasse - Rathaus Schmargendorf - Elsterplatz - Roseneck - Königen-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Berliner Strasse - Rathaus Zehlendorf,15,47,,1976
61_bus_West,Gartenplatz - Voltastrasse Ecke Brunnenstrasse - Bernauer Strasse - Brunnenstrasse - Usedomer Strasse - Gustav-Meyer-Allee - Ramlerstraße - U-Bhf. Gesundbrunnen - Pankstraße - Exerzierstraße - U-Bhf. Osloer Straße - Reginhardstrasse - Pankower Allee/Schäfersee - Emmentaler Strasse - Residenzstrasse - Aroser Allee - Roedernallee Ecke Lindauer Allee - Gemeindefriedhof - Sebastianfriedhof - Humboldtstrasse - Friedrich-Karl-Strasse - Kurt-Schumacher-Platz - Scharnweberstrasse - U-Bhf. Scharnweberstrasse ,12,34,,1976
62_bus_West,"Wilhelmsruher Damm Märkisches Viertel - Treuenbrietzener Strasse - Gemeindezentrum - Oranienburger Strasse - Roedernallee Ecke Oranienburgerstrasse - Alt-Wittenau - Karl-Bonhoeffer-Nerven-Klinik - Lindauer Allee - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Südtor - Staatwinkler Damm - Heckerdamm - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Schloßbrücke - Luisenplatz - Wilmersdorfer Strasse - Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Steinplatz - Zoo, Hardenbergplatz",12,43,,1976
63_bus_West,"Spandau Radelandstrasse E. Niederheideweg - Niederheideweg - Pflegeheim - Kolonie Waldfrieden - Bötzow-Bahn - Glienweg - Schwanter Weg - Kisselnallee - Pionierstrasse - Falkenseer Chaussee - Zweibrücker Strasse - Askanierring - Flankenschanze - Falkenseer Platz - Spandau, Markt - Rathaus Spandau - Galenstrasse - Staakener Strasse - Petzoldweg - Zeppelinstrasse - Schulzenstrasse - Dryotzer Strasse - Straße 392 - Spandau Seegefelder Weg",15,30,,1976
63_strassenbahn_Ost,Gartenstadt - Wartenberger Strasse - Suermondtstrasse - Oberseestrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - Prenzlauer Allee - U-Bhf. Luxemburgplatz - Hackescher Markt - Oranienburger Tor - Stadion der Weltjugend,12,48,12.9,1976
64_bus_Ost,"Krüllsstrasse - S-Bhf. Treptower Park - Treptow, Rathaus - S-Bhf. Treptower Park - Wiener Brücke",33,17,6.8,1976
64_bus_West,Senftenberger Ring Märkisches Zentrum - Calauer Strasse - Eichhorster Weg Ecke Finsterwalderstrasse - Wilhelmsruher Damm Ecke Schorfheidestrasse - Dannenwalder Weg - Roadernallee - Tessenowstrasse Ecke Roedernallee - Lindauer Allee - Humboldt-Krankenhaus - Gotthardstrasse - Holländerstrasse/Friedhöfe - Müllerstrasse Ecke Londonerstrasse - Afrikanische Strasse - Seestrasse - U-Bhf. Amrumer Strasse - U-Bhf. Leopoldplatz - U-Bhf. Nauener Platz Exerzierstrasse - Uferstrasse - Pankstrasse - U-Bhf. Gesundbrunnen - Gustav-Meyer-Allee - Usedomer Strasse - Bernauer Strasse - Vinetaplatz,12,51,,1976
65_bus_Ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - S-Bhf. Baumschulenweg - Baumschulenstrasse - Bhf. Schöneweide - S-Bhf. Oberspree - Oberspree,20,27,9.9,1976
65_bus_West,Wedding Seestrasse E. Müllerstrasse - Müllerstrasse/U-Bhf. Seestrasse - Afrikanische Strasse - Beusselstrasse - Paul-Hertz-Siedlung - Jakob-Kaiser-Platz - Spandauer Damm - Messedamm - Rathenauplatz - Hohenzollerndamm - Mecklenburgische Strasse - Bundesallee - Innsbrucker Strasse - Hauptstrasse - Sportzentrum Schöneberg - Gotenstrasse - Alboinstrasse - Berlinickeplatz - U-Bhf. Alt-Tempelhof - Hermannstrasse - Bendastrasse - U-Bhf. Neukölln - Sonnenallee - Grenzallee - Neukölln Schulenburgpark,15,58,,1976
66_bus_Ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - S-Bhf. Baumschulenweg - Bhf. Schöneweide - Sterndamm - Lindhorstweg - Springbornstrasse ,20,28,11.2,1976
66_bus_West,"Zoo, Hardenbergplatz - Joachimstaler Strasse - Uhlandstrasse - Savignyplatz - Schlüterstrasse - Leibnizstrasse - Wilmersdorfer Strasse - Kaiser-Friedrich-Strasse - Suarezstrasse/Amtsgericht - Kuno-Fischer-Strasse - Dernburgstrasse - Messedamm - Avus-Einfahrt Nikolassee - Wannseebauweg - Am Beelitzhof - Am Sandwerder - Tillmannsweg - Wannsee - Königstrasse -  Am Großen Wannsee - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse - Wilhelmstrasse - Stölpchensee Glienicker Strasse",20,40,,1976
67_bus_Ost,"VEB Kombinat Auto Trans - Bhf. Schöneweide - Krematorium - Hänselstrasse - S-Bhf. Plänterwald - Treptow, Rathaus - S-Bhf. Treptower Park",20,24,8.6,1976
68_bus_Ost,"S-Bhf Köpenick - Lindenstrasse - Schloßplatz - Pablo-Neruda-Strasse - Krankenaus, Köpenick - Salvador-Allende Strasse Ecke Wendenschloßstrasse",15,12,3.8,1976
68_bus_West,"Dahlem Clayallee E. Königin-Luise-Strasse - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Postamt, Museum Dahlem - Botanischer Garten - Lepsiusstrasse - U-Bhf. Rathaus Steglitz - Breite Strasse - Südendstrasse - Bergstrasse/Filandastrasse - Bismarckstrasse - Munsterdamm - Priesterweg - Röblingstrasse/Arnulfstrasse - Alboinstrasse Ecke Arnulfstrasse - Attilaplatz - Friedrich-Karl-Strasse - Albrechtstrasse - U-Bhf. Kaiserin-Augusta-Strasse - Rathaus Tempelhof - U-Bhf. Alt-Tempelhof - Ringbahnstrasse/U-Bhf. Tempelhof - U-Bhf. Tempelhof Hoeppnerstrasse",15,35,,1976
69_bus_West,Eichkamp Dauerwaldweg - Waldschulallee - Jaffestrasse/Deutschlandhalle - Messedamm - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - Adenauerplatz - Olivaer Platz - Sächsische Strasse - Uhlandstrasse - Joachimstaler Strasse - U-Bhf. Kurfürstendamm - Kantstrasse - Breitscheidplatz - Bayreuther Strasse - Lützowplatz - Tiergartenstrasse - Großer Stern - Schloß Bellevue - Kongreßhalle - Entlastungsstrasse - Kongreßhalle-Reichstag,20,38,,1976
7_bus_Ost,"Glienicke, Kirche - Schildow - Blankenfelde - Nordend-Arena - Nordend - Kurt-Fischer-Strasse - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",12,35,,1976
7_bus_West,"U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg/Siedlung Daheim - Säntisstrasse - Daimlerstrasse - Brandaustrasse - Buckower Chaussee - Motzener Strasse/Nachmitzer Damm - Nunsdorfer Ring/Nord - Nunsdorfer Ring/Süd - Schichauweg - Lichtenrade, Motzener Strasse (Egestorffstrasse)",10,15,,1976
70_bus_West,Wollankstrasse E. Kattegatstraße - Elisabeth-Friedhof - Saldiner Strasse - Osloer Strasse - Badstrasse - Brunnenplatz - Wisenstrasse - Nettelbeckplatz - Ravenestrasse - Müllerstrasse/Weddingplatz - Am Nordhafen - Lehrter Strasse - Stephanstrasse - Rathenower Strasse - Birkenstrasse - Turmstrasse - Wilsnacker Strasse - Krankenhaus Moabit - U-Bhf. Turmstraße - Rathaus Tiergarten - Ottostrasse - Gotzkowskystrasse - Reuchlinstrasse - Huttenstrasse - Moabit Wiebestraße,10,37,,1976
70_strassenbahn_Ost,Falkenberger Strasse - Suermondtstrasse - Stadion Buschallee - Kniprodeallee - Klement-Gottwald-Allee - Antonplatz - Wisbyer Strasse - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben,15,46,12.5,1976
71_bus_West,Vinetaplatz - Ramlerstrasse - U-Bhf. Gesundbrunnen - Badstrasse - Osloer Strasse - Prinzenallee - Soldiner Strasse - Koloniestrasse - Provinzstrasse/Papierstrasse - Letteplatz/Reginhardstrasse - Pankower Allee/Schäfersee - Stargardtstrasse - Emmentaler Strasse - Residenzstrasse/Lindauer Allee - Wilhelmsruh Kopenhagener Strasse,15,24,,1976
71_strassenbahn_Ost,"Heinersdorf, Romain-Rolland-Strasse - Heinersdorf, Kirche - Am Steinberg - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Luxemburgplatz - Hackescher markt - Oranienburger Tor - Am Kupfergraben",15,37,9.2,1976
72_bus_West,Alt-Reinickendorf - Lindauer Allee - Pankower Allee - Louise-Schroeder-Platz - U-Bhf. Nauener Platz - Nettelbeckplatz - Weddingplatz/Müllerstrasse - Lehrter Strasse - Rathenower Strasse - Stromstrasse - U-Bhf. Turmstrasse - Rathaus Tiergarten - Gotzkowskystrasse - Wiebestrasse - Kaiserin-Augusta-Allee - Tauroggener Strasse - Landgericht - Olbersstrasse/DRK-Krankenhaus - Jakob-Kaiser-Platz - Letterhausweg - Ohmstrasse - Quellweg - Paulsternstrasse - Gartenfelder Strasse - Gartenfeld,15,51,,1976
72_strassenbahn_Ost,Pasedagplatz - Buschallee - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf.  Luxemburgplatz - Hackescher Markt,20,31,8,1976
73_bus_West,"Zoo Hardenbergplatz - Marburger Strasse/Breitscheidplatz - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse/An der Urania - Motzstrasse - Hohenstaufenstrasse - Barbarossastrasse - Grunewaldstrasse - John-F.-Kennedy-Platz - Hauptstrasse - Sportzentrum Schöneberg - Gotenstrasse - Reichartstrasse - Alboinstrasse - Berlinickeplatz - U-Bhf. Alt-Tempelhof - Oberlandstrasse - Linzer Strasse - Gottlieb-Dunkel-Strasse - Karl-Elsasser-Strasse - Gradestrasse - Britzer Damm - U-Bhf. Blaschkoallee - Britz, Buschkrug",15,38,,1976
73_strassenbahn_Ost,Pasedagplatz - Buschallee - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswald Strasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Luxemburgplatz - Hackescher Markt - Oranienburger Tor - Stadion der Weltjugend,12,39,9.9,1976
74_bus_West,Charlottenburg Königin-Elisabeth-Strasse - Spandauer Damm - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Schloßstrasse - U-Bhf. Sophie-Charlotte-Platz - Neue Kantstrasse/Amtsgericht - Kaiser-Friedrich-Strasse - Mommsenstrasse - Adenauerplatz - Ravensberger Strasse - Konstanzer Strasse - U-Bhf. Berliner Strasse - Kufsteiner Strasse - John-F.-Kennedy-Platz - Hauptstrasse - Sportzentrum Schöneberg - Gotenstrasse - Alboinstrasse - Eresburgstrasse - Alboinplatz - Lindenhof,15,44,,1976
74_strassenbahn_Ost,Bernkasteler Strasse - Buschallee - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswald Strasse - Dimitroffstrasse - Mollstrasse - Leninplatz - Bersarinstrasse - S-Bhf. Leninallee - Ho-Chi-Minh-Strasse - Haupstrasse - Falkenberger Strasse,12,47,12.1,1976
75_bus_West,Steglitzer Damm E. Munsterdamm - Steglitzer Damm - Bismarckstrasse - Bergstrasse - Feuerbachstrasse - Kaisereiche - Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Askanischer Platz - U-Bhf. Kochstrasse/Friedrichstrasse - Lindenstrasse - U-Bhf. Moritzplatz - Adalbertstrasse - U-Bhf. Görlitzer Bhf. - Spreewaldplatz - Sonnenallee - Hermannplatz,15,46,,1976
75_strassenbahn_Ost,Bernkasteler Strasse - Buschallee - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswald Strasse - Dimitroffstrasse - Mollstrasse - U-Bhf. Luxemburgplatz - Hackescher Markt,12,27,6.6,1976
76_bus_West,"U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestrasse - Bismarckstrasse - Rubensstrasse/Krankenhaus - Bergstrasse/Sternwarte und Planetarium - Priesterweg - Röblingstrasse - Attilastrasse - Kaiserstrasse - Großbeerenstrasse Ecke Lankwitzerstrasse - Mariendorfer Damm - U-Bhf. Alt-Mariendorf/Reißeckstrasse - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg/Siedlung ""Daheim"" - Säntisstrasse/Tauernallee - Buckower Chaussee/Marienfelder Chaussee - Goethestrasse - Grimmstrasse - Steinstrasse Ecke Barnetstrasse - Goltzstrasse - Steinstrasse Ecke Bahnhofstrasse - Lichtenrade Blohmstrasse E. Wünsdorfer Strasse",7.5,41,,1976
76E_bus_West,"U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg/Siedlung ""Daheim"" - Säntisstrasse/Tauernallee - Göllweg - Buckower Chaussee/Marienfelder Chaussee - Raabestrasse - Goethestrasse - Barnetstrasse/Finchleystrasse - Steinstrasse Ecke Barnetstrasse - Rhinstrasse - John-Locke-Strasse/Hochhaus - Riedingerstrasse - Lichtenrade Bahnhofstrasse ",10,20,,1976
77_bus_West,Neukölln Britzer Allee - Naumburger Strasse - Neukölln Grenzallee - U-Bhf. Neukölln/Karl-Marx-Strasse - Bendastrasse - Eschersheimer Strasse - Gottlieb-Dunkel-Strasse - Eisenacher Strasse - Imbrosweg - Alt-Mariendorf - U-Bhf. Alt-Mariendorf - Großbeerenstrasse Ecke Lankwitzerstrasse - Körtingstrasse - Wilhelm-von-Siemens-Strasse - Daimlerstrasse - Marienfelde Daimlerstrasse,20,32,,1976
78_bus_Ost,Arkonaplatz - Brunnenstrasse - Invalidenstrasse - Rosenthaler Platz - Rosa-Luxemburg-Strasse - Alexanderplatz - S-Bhf. Jannowitzbrücke - Adalbertstrasse - Annenstrasse - U-Bhf. Märkisches Museum - Breite Strasse - Oberwallstrasse - Bhf. Friedrichstrasse - Rober-Koch-Platz,10,33,9.6,1976
78_bus_West,"Alt-Buckow - Buckower Friedhof - An den Achterhöfen - Delmer Steig - Quarzweg - Asbestweg - Tropfsteinweg - Grünsteinweg - Tauernallee - Watzmannweg - Mariendorfer Damm - Titlisweg/Siedlung ""Daheim"" - Pilatusweg - Rennbahn Mariendorf - Körtingstrasse - U-Bhf. Alt-Mariendorf",15,16,,1976
79_bus_Ost,Alexanderstrasse - S-Bhf. Jannowitzbrücke - U-Bhf. Märkisches Museum - Französische Strasse - U-Bhf. Thälmannplatz,15,12,3.2,1976
8_bus_Ost,"Mahlsdorfer Allee - Hultschiner Damm - Sadowastrasse - Köpenicker Strasse - Dohlengrund - Oberfeldstrasse - Am Tierpark - Bhf. Berlin-Lichtenberg, Irenenstrasse",15,35,,1976
8_bus_West,Flughafen Berlin-Tegel - Flugsteig 8 - Flugsteig 15 - Haupthalle - Saatwinkler Damm (Einfahrt Flughafen) - Kaserne Südtor - U-Bhf. Kurt-Schumacher-Platz - Humboldtstrasse/Aug.-Viktoria-Allee - Landauer Allee/Ollenhauer-/Waldstrasse - Teichstrasse/Roedernalle - Lindauer Allee/Aroser Allee,15,18,,1976
80_bus_West,"U-Bhf. Ruhleben - Friedhof Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Brunsbütteler Damm Ecke Klosterstrasse - Elsflether Weg - Grünhofer Weg - Nauener Strasse - Päwesiner Weg - Egelpfuhlstrasse - Harburger Weg - Brunsbütteler Damm Ecke Magistratsweg - Louise-Schroeder-Siedlung - Zweiwinkelweg - Nennhauser Damm E. Brunsbütteler Damm",10,25,,1976
81_bus_West,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregstrasse - Bismarckstrasse - Bergstrasse - Steglitzer Damm - Halskestrasse - Albrechtstrasse - Leonorenstrasse - Calandrellistrasse/Stadtbad - Rathaus Lankwitz - Lankwitz, Kirche - Bruchwitzstrasse - Alt-Lankwitz - Mühlenstrasse - Alt-Lankwitz, Dorfaue - Greinerstrasse/Dederingstrasse - Alt-Mariendorf - U-Bhf. Alt-Mariendorf - Am Heidefriedhof - Britzer Strasse - Dardanellenweg - Mariendorf Dardanellenweg",7.5,36,,1976
82_bus_West,Blohmstrasse/Wünsdorfer Strasse - Kirchhainer Damm - Augsburger Strasse - Pechsteinstrasse - Bamberger Strasse - Münchener Strasse - Goltzstrasse - Groß-Ziethener-Strasse - Töpchiner Weg - Potsdamer Strasse Ecke Alt-Lichtenrade - Lichtenrader Damm - Halker Zeile - Grimmstrasse - Barnetstrasse - Simpsonweg - Illigstrasse - Cecilienstrasse - Blohmstrasse/Wünsdorfer Strasse,15,28,,1976
82_strassenbahn_Ost,"Mahlsdorf-Süd, Hubertus - Uhlenhorst - S-Bhf. Köpenick - Insitut für Lehrerbildung - Pionierpark - Rathenaustrasse - Edisonstrasse - Hegemeisterweg - Ehrlichstrasse - Hönower Wiesenweg - Kraftwerk Klingenberg - Karlshorster Strasse - S-Bhf. Ostkreuz",20,49,14.5,1976
83_bus_West,"Nettelbeckplatz - Müllerstrasse Ecke Fennstrasse - Am Nordhafen - Invalidenstrasse - Platz der Republik - Philharmonie - Potsdamer Brücke - U-Bhf. Kurfürstenstrasse - Bülowstrasse - Goebenstrasse - U-Bhf. Kleistpark - Kaiser-Wilhelm-Platz - U-Bhf. Innsbrucker Platz - Grazer Platz - Canovastrasse/Krankenhaus - Bergstrasse - Sternwarte und Planetarium - Steglitzer Damm - Albrechtstrasse - Calandrellistrasse/Stadtbad - Rathaus Lankwitz - Lankwitz, Kirche - Malteserstrasse - Belßstrasse - Belßstrasse E. Preysingstrasse",12,51,,1976
83_strassenbahn_Ost,S-Bhf. Mahlsdorf - Alt-Mahlsdorf - Rahnsdorfer Strasse - Bürgerwäldchen - Ruhlsdorfer Strasse - Mahlsdorf-Süd - Wongrowitzer Steig - S-Bhf. Köpenick - Lindenstrasse - Grünstrasse  - Strassenbahn-Betriebshof - RFT-Werk - VEB Bootswerft - Wendenschloß,20,40,12.1,1976
84_bus_West,Ringstrasse E. Weißwasserweg - Finckensteinallee - Baseler Strasse - Kadettenweg - Karwendelstrasse - Hindenburgdamm - Bäkestrasse - Krahmerstrasse - Moltkestrasse (Klinikum) - Klingsorstrasse - Haydnstrasse - Händelplatz - Fronhoferstrasse - Albrechtstrasse - Düppelstrasse - Friedenauer Brücke - Sachsendamm - Torgauer Strasse - Gustav-Müller-Platz - Kolonnenstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse,12,36,,1976
84_strassenbahn_Ost,"Wasserwerk - Brauerei - S-Bhf. Friedrichshagen - Hirschgarten - Lindenstrasse - Grünstrasse - S-Bhf. Spindlersfeld - S-Bhf. Adlershof - Altglienicke, Kirche - Am Falkenberg",20,58,13.4,1976
85_bus_West,Lichterfelde-Süd Holtheimer Weg - Ostpreußendamm Ecke Wismarerstrasse - Goerzallee - Thuner Platz  - Osteweg - Rittberg-Krankenhaus - Finckensteinallee - Drakestrasse - Gardeschützenweg - Moltkestrasse - Händelplatz - Birkbuschstrasse Ecke Wolfensteindamm - Schloßstrasse/Wrangelstrasse - U-Bhf. Rathaus Steglitz - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Rathaus Schöneberg - Grunewaldstrasse - Barbarossastrasse - Hohenstaufenstrasse - Motzstrasse - Wittenbergplatz,12,50,,1976
85_strassenbahn_Ost,Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - Pionierpark - Alte Försterei - Bahnhofstrasse - Grünstrasse - Wendenschloßstrasse - Strassenbahn-Betriebshof - VEB Bootswerft - Wendenschloß,20,41,11.9,1976
