,stop_name,type,location,in_lines,identifier,east-west
297,Donnersmarckplatz,bus,"52.62982465046043, 13.28047497184123","A15,A12",,West
298,"Doppel-Süd, Berlepschstrasse",bus,"52.42115284920077, 13.226688767210124",A66,,West
299,Dorfaue,bus,"52.47886105131975, 13.70053232372426","S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",,Ost 
300,Drakestrasse,bus,"52.445733691746746, 13.293722374035292",A48,,West
301,Dudenstrasse,bus,"52.485078406979376, 13.376567552300232",A28,,West
302,Dyotzer Strasse,bus,"52.541513574478394, 13.168806761501132",A63,,West
303,Dönhoffplatz,strassenbahn,"52.509950568117645, 13.398144081918815",64,,Ost
304,Düppel-Kleinmachnow,s-bahn,"52.421388888889,13.226666666667",KBS 104a,Q44763529,West
305,Eberswalderstrasse Ecke Oderberger Strasse,strassenbahn,"52.54061076763243, 13.404559930731686","4, 13",",",Ost
306,Ebertystrasse Ecke Leninallee,bus,"52.52722237261361, 13.450799684654514",O30,,Ost
307,Edisonstrasse,strassenbahn,"52.4619496,13.5139049",95,Q65951882,Ost
308,Efeuweg,bus,"52.42961975739112, 13.47788675809725",A52,,West
309,Egelpfuhlstrasse,bus,"52.53353984351533, 13.169416926784528",A31,,West
310,Ehrenmal,bus,"52.57958419912971, 13.375974716701414","A55,A45",,Ost
311,Eichbornstr.,s-bahn,"52.5776,13.3169",KBS 105,Q800500,West
312,Eichbuschallee,bus,"52.47574296676633, 13.487312571777435",A47,,Ost
313,Eichbuschplatz,bus,"52.39366126137233, 13.582046308470128",A38,,Ost
314,Eichendamm,bus,"52.45563928691219, 13.730601143973864",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
315,Eichkamp,bus,"52.48991827349885, 13.259541279740162",A69,,West
316,Eichkamp,s-bahn,"52.4987,13.2702",KBS 101,Q800504,West
317,Eichwalde,s-bahn,"52.3715,13.6152",KBS 103,Q19274479,Ost
318,"Eichwalde, Uhlandstrasse",bus,"52.372634587228696, 13.62680242919348",Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),,Ost
319,EinemStrasse,bus,"52.500023072644105, 13.35409116646997",A16,,West
320,Elisabethstrasse,bus,"52.53409533705918, 13.55949915809485",O37,,Ost
321,Elisabethstrasse,strassenbahn,"52.51764985236767, 13.418046139104245",22,Q65364041,Ost
322,Elsenstraße Ecke Heidelberger Strasse,strassenbahn,"52.48686073879974, 13.451206024220186",3,,West
323,Elsterplatz,bus,"52.47977982878401, 13.285507613099716","A10,A50",,West
324,Elsässer Strasse,bus,"52.63337294510061, 13.345103420124245",A7,,Ost
325,Emmentaler Strasse,bus,"52.5675354709663, 13.351240165364471",A12,,West
326,Emmentaler Strasse,bus,"52.570420696850896, 13.360956869321077",A71,,West
327,Emser Platz,bus,"52.492072890007414, 13.319251387534207",A50,,West
328,Endestrasse,bus,"52.41965961978957, 13.160396994674473",A6,,West
329,Englerallee,bus,"52.46177802552459, 13.304473295414123",A16,,West
330,Erdener Strasse,bus,"52.490558314289494, 13.276360031005654",A19,,West
331,Erkner,s-bahn,"52.4296,13.7513",KBS 102,Q14434071,Ost
332,Erkstrasse,bus,"52.48167227551806, 13.440052048368255",A67,,West
333,Erkstrasse Ecke Sonnenallee,bus,"52.481673740100334, 13.440111510727606",A4,,West
334,Erkstrasse Ecke Sonnenallee,strassenbahn,"52.48169987618706, 13.440143697235596",95,,West
335,Ernst-Reuter-Platz,bus,"52.511591823135106, 13.322571528312595",A2,,West
336,Ernst-Reuter-Platz,strassenbahn,"52.51161823664999, 13.32251039233923",2,,West
337,Ernst-Reuter-Platz,u-bahn,"52.511944444444,13.322222222222","A I,B I",Q658361,West
338,"Ernst-Reuter-Platz, Straße des 17. Juni",bus,"52.51415248820911, 13.349264931257151",A2,,West
339,Exerzierstrasse,bus,"52.553756646174705, 13.37716619556309",A61,,West
340,Eythstrasse,bus,"52.45972284347706, 13.366428299506616",A74,,West
341,Eythstrasse,strassenbahn,"52.45988973432991, 13.36224461313015",60,,West
342,Fahlenbergstrasse Ecke Fürstenwalder Allee,bus,"52.431470149043314, 13.718708856639706",A22,,Ost
343,Falkenberger Chaussee,bus,"52.565816857333125, 13.511913714753",A39,,Ost
344,Falkenbergerstrasse Ecke Wartenberger Strasse,strassenbahn,"52.55036672097044, 13.509915032138812",63,,Ost
345,Falkenplatz,bus,"52.58490937545724, 13.227619925618022",A20,,West
346,Falkensee,s-bahn,"52.559722,13.088889",KBS 103,Q5431918,Ost
347,Falkenseer Chaussee,bus,"52.54750354783305, 13.184668062763297",A5,,West
348,Fasanenstrasse,bus,"52.452960838046685, 13.744604216761394",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
349,Fehrbelliner Platz,bus,"52.49040638965375, 13.314204217177087","A74,A50",,West
350,Fehrbelliner Platz,strassenbahn,"52.49032472677901, 13.314317300484289","60,3",,West
351,Fehrbelliner Platz,u-bahn,"52.490277777778,13.314444444444","A II,B II",Q663245,West
352,Feldtmannstrasse,bus,"52.56401588379611, 13.46980857664685",A46,,Ost
353,Feuerbachstr.,s-bahn,"52.463611111111,13.332777777778",KBS 104,Q800501,West
354,"Fichtenau, Stadtgrenze",bus,"52.45479242349705, 13.701499962608066",A22,,Ost
355,Fichtestrasse Ecke Schopenhauerstrasse,bus,"52.47979924975105, 13.617292306977053",A8,,Ost
356,Finckensteinallee,strassenbahn,"52.43264816323959, 13.294626828766564",74,,West
357,Flinsberger Platz,bus,"52.483689942018465, 13.29268111645926",A50,,West
358,Flughafen,bus,"52.470965141866394, 13.385641462324475","A19,A24",,West
359,Flughafen,u-bahn,"52.485556, 13.385833",C II,Q557582,West
360,Flughafen Schönefeld,bus,"52.388890492596076, 13.518696635005039",Flughafen Schönefeld <> Strausberger Platz,,Ost
361,Flughafen Tempelhof,bus,"52.48504444099743, 13.386014416287884","A77,A76",,West
362,Forckenbeckstrasse,bus,"52.482221394934605, 13.290044081376928",A50,,West
363,Frankfurter Tor,u-bahn,"52.515833333333,13.454166666667",E,Q568627,Ost
364,Frankfurter Tor/Stalinallee,strassenbahn,"52.5153903,13.4540172","13,4",Q65706246,Ost
365,Franz-Körner-Strasse Ecke Britzer Damm,strassenbahn,"52.45588399633974, 13.437301610724912",27,,West
366,Frauenklinik,strassenbahn,"52.463949908172545, 13.427509548910932",15,,West
367,Fredersdorf (b Bln),s-bahn,"52.5265,13.7625",KBS 101,Q15197387,Ost
368,Freibad Grünau,strassenbahn,"52.4086224,13.604455",86,Q66489598,Ost
369,Freie Scholle,bus,"52.599851537868666, 13.301736158422598",A20,,West
370,Friedenau,s-bahn,"52.47,13.341",KBS 104,Q800471,West
371,Friedenstrasse,bus,"52.417223782342035, 13.138950169993388",A6,,West
372,Friedhof Rudow,bus,"52.42113122136662, 13.503199151482875",A52,,West
373,Friedhof Ruhleben,bus,"52.527735865422024, 13.231788317801291","A5,A31",,West
374,Friedrich-Junge-Strasse,bus,"52.49382897072681, 13.471572865851856",A82P,,Ost
375,Friedrich-Wilhelm-Platz,bus,"52.47128806242274, 13.328362126543809",A2,,West
376,Friedrich-Wilhelm-Platz,strassenbahn,"52.47132415928576, 13.328417218543715","77,78",,West
377,Friedriche-Wilhelm-Platz,bus,"52.471408713269064, 13.327952650518178",A17,,West
378,Friedrichsfelde (Tierpark),u-bahn,"52.506111111111,13.512777777778",E,Q429781,Ost
379,Friedrichsfelde Ost,s-bahn,"52.5141,13.5198",KBS 101,Q800473,Ost
380,Friedrichshagen,s-bahn,"52.4574,13.6233",KBS 102,Q800474,Ost
381,"Friedrichshagen, Wasserwerk",strassenbahn,"52.4560563,13.6419956",84,Q66362601,Ost
382,Friedrichstr.,s-bahn,"52.52027777777778,13.386944444444444","KBS 106,KBS 104,KBS 101,KBS 105,KBS 103,KBS 102",Q111219456,West
383,Friedrichstrasse Ecke Leipzigerstrasse,strassenbahn,"52.5103602362092, 13.38989950699694",74,,Ost
384,Friedrichstrasse Ecke Unter den Linden,bus,"52.51718498081941, 13.388821428784585","A57,A9",,Ost
385,Friesenstrasse,bus,"52.483950604682775, 13.394359749805426",A4,,West
386,Frohnau,s-bahn,"52.6325,13.2902",KBS 106,Q800472,West
387,Fuldastrasse,bus,"52.483802510465225, 13.435884392882318",A67,,West
388,Fürstenbrunner Weg,bus,"52.518378845111386, 13.280184750778325",AS1,,West
389,Fürstenwalder Damm,strassenbahn,"52.4498638,13.661534",84,Q66361484,Ost
390,Gabelung,bus,"52.59988612656876, 13.25204128545515",A13,,West
391,"Galenusstrasse, Krankenhaus Pankow",strassenbahn,"52.5818183,13.4287678",49,Q66195410,Ost
392,Gartenfeld,s-bahn,"52.54695,13.24882",KBS 100c,Q96080469,West
393,"Gartenplatz, Feldstrasse",bus,"52.538565896675905, 13.384005277447793",A61,,West
394,Gartenstadtweg,bus,"52.412313913821045, 13.56660267841369",AD/36,,Ost
395,Gartenstrasse Ecke Bernauer Strasse,bus,"52.53347451941179, 13.387474124225042",A12,,West
396,"Gatow, Kirche",bus,"52.48684680676539, 13.18215147844503","A34,A35",,West
397,Gatower Strasse,bus,"52.489436255649245, 13.180387588417426",A35,,West
398,Genslerstrasse Ecke Siegfriedstrasse,bus,"52.53419051284018, 13.497014225567375",O37,,Ost
399,Germaniapromenade Ecke Britzer Damm,strassenbahn,"52.4608966930734, 13.435060145023824",27,,West
400,Germaniastrasse,strassenbahn,"52.46053782557012, 13.418009045149528","15,26",,West
401,Germersheimer Platz,bus,"52.54433253766927, 13.187336363919895",A35,,West
402,Gerosteig,bus,"52.40977095398672, 13.52694351354655",A23,,Ost
403,Gesundbrunnen,s-bahn,"52.548611111111,13.389444444444","KBS 100,KBS 104,KBS 105,KBS 106",Q111239092,West
404,Gesundbrunnen,u-bahn,"52.548611,13.389444",D,Q3761416,West
405,Giebelsee,s-bahn,"52.5291,13.791",KBS 101,Q7178217,Ost
406,Giesendorferstrasse Ecke Ostpreußendamm,strassenbahn,"52.42404034141401, 13.314380054820173",96,,West
407,Glasow,bus,"52.34362622314638, 13.436212574873101","S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,Ost
408,Gleisdreieck,u-bahn,"52.49952,13.37409","A II,A I,B II,B I",Q678372,West
409,"Glienicke, Kirche",bus,"52.63062737184449, 13.312861916755343",A7,,Ost
410,Glienicker Brücke,bus,"52.413474089031965, 13.091235881924467",A6,,West
411,Glogauer Strasse,strassenbahn,"52.493437003779434, 13.43739124697587",26,,West
412,Gneisenaustr.,u-bahn,"52.491388888889,13.395555555556",C I,Q668618,West
413,Gneisenaustrasse,bus,"52.491573255885584, 13.394331623371611",A24,,West
414,Goebelplatz,bus,"52.53812718171093, 13.27991414794248",A65,,West
415,Goeben-/Pallasstrasse,bus,"52.49428616497335, 13.361054367554111",A48,,West
416,Goerzallee,strassenbahn,"52.421239396012226, 13.297229913434496",77,,West
417,Goerzallee,strassenbahn,"52.421943941201924, 13.298506647186814",78,,West
418,Goethestrasse,bus,"52.455522709275314, 13.725374316281378",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,Ost 
419,Goethestrasse Ecke Lichtenrader Damm,bus,"52.40441062653864, 13.406187362835603",A76,,West
420,Goltzstrasse,bus,"52.38667572084441, 13.407934498494095",AS2,,West
421,Gorkistrasse,bus,"52.59059426195262, 13.292011153010927",A15,,West
422,GotenStrasse,strassenbahn,"52.47980106472719, 13.360246185256694",2,,West
423,Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg,bus,"52.460486783559624, 13.417983924217406","A25,A73",,West
424,GotzkowskyStrasse,bus,"52.52718356053599, 13.330470683683586",A24,,West
425,Gotzkowskybrücke,bus,"52.52381238362036, 13.329729120795239",A25,,West
426,Gotzkowskybrücke,strassenbahn,"52.52256202362077, 13.328976276425243",2,,West
427,Gotzkowskystrasse Ecke Turmstrasse,strassenbahn,"52.52723347192614, 13.330503468404352",3,,West
428,Grazer Platz,bus,"52.467636991817486, 13.347565807885369",A25,,West
429,Greifswalder Str.,s-bahn,"52.539722222222,13.439444444444","KBS 103a,KBS 106",Q439246,Ost
430,Greifswalder Strasse,bus,"52.53002871375482, 13.62681794411932","A44,A44E",,Ost
431,Greifswalder Strasse,strassenbahn,"52.5364975,13.4334045","13,4",Q65548960,Ost
432,Greifswalderstrasse Ecke Dimitroffstrasse,bus,"52.5362177572407, 13.433017500945247",O30,,Ost
433,Grenadierstrasse,bus,"52.530981925368565, 13.205371761701368","A5,A31",,West
434,Grenzallee,u-bahn,"52.463333333333,13.443888888889",C I,Q571836,West
435,Grenzstrasse,bus,"52.541822798579034, 13.378147647725354",A12,,West
436,Griebnitzsee,s-bahn,"52.3944,13.1272",KBS 102,Q315133,Ost
437,GritznerStrasse,bus,"52.464372021076116, 13.31646473581109",A32,,West
438,Grottkauer Strasse,bus,"52.52796238368814, 13.600805280630896",A49,,Ost
439,Groß Ziethen,bus,"52.41404104155547, 13.438879163306126",AZ,,Ost
440,Große Seestrasse Ecke Berliner Allee,bus,"52.55706359604488, 13.46682217730197",A55,,Ost
441,Großer Stern,bus,"52.514524715463295, 13.349933192922938",A69,,West
442,Großglienicker Weg,bus,"52.483148805729485, 13.182630557348212","A34,A35",,West
443,Großgörschenstr.,s-bahn,"52.4922745,13.3678588",KBS 104,Q21776726,West
444,Grunewald,s-bahn,"52.4892,13.2614",KBS 102,Q457266,West
445,Grunewaldstrasse,bus,"52.48907804007202, 13.345000249198607",A73,,West
446,Grunewaldstrasse,strassenbahn,"52.489099571674906, 13.344928521367574","77,78",,West
447,Grunewaldstrasse Ecke Martin-Luther-Strasse,strassenbahn,"52.489114608736564, 13.344981706170403","2, 3",",",West
448,Grünau,s-bahn,"52.4122,13.5746","KBS 103,KBS 100a,KBS 106",Q111307258,Ost
449,Grünberger Strasse,strassenbahn,"52.5122359,13.452609",4,Q65706239,Ost
450,Grüner Weg,bus,"52.42955863550208, 13.453590733350595","A25,A52",,West
451,Grüntaler Straße Ecke Osloer Strasse,strassenbahn,"52.555331,13.3909979",3,Q65807452,West
452,Gustav-Adolf-Strasse Ecke Rennbahnstrasse,bus,"52.562178269666816, 13.454275093038184",A55,,Ost
453,Gutschmidtstrasse,bus,"52.437076827846255, 13.444129425003135",A25,,West
454,Gutschmidtstrasse Ecke Buckower Damm,strassenbahn,"52.44036543188374, 13.434740081887323",27,,West
455,Gutshof,bus,"52.47510904064348, 13.120710540203262",A34,,West
456,Gutshof Marienfelde,bus,"52.41088450558385, 13.373192649319066",A52,,West
457,Görlitzer Bahnhof (Oranienstr.),u-bahn,"52.4992,13.428","B II,B I",Q597759,West
458,Güntzelstrasse,bus,"52.49154575346882, 13.323206588873013",A60,,West
459,Güteraußenring,bus,"52.599887239389226, 13.469297130431492",A42,,Ost
460,Güterbahnhof Springpfuhl,bus,"52.52561231977731, 13.533687321893124",A43,,Ost
461,Hackbuschstrasse,bus,"52.53959956967987, 13.150244533066292",A31,,West
462,"Hackescher Markt, Große Präsidentenstrasse",strassenbahn,"52.523392495650945, 13.40144677696498","49,63",,Ost
463,Hafenplatz,bus,"52.50392083524772, 13.375479875476426",A24,,West
464,Hafenplatz,bus,"52.54215888169655, 13.206044861619935","AS1,A34",,West
465,Hafenplatz,strassenbahn,"52.542292547760184, 13.206201126048732","53,75,54,76",,West
466,Hagenplatz,bus,"52.483382973651, 13.265818700272884","A19,A17",,West
467,Hainbuchenstrasse,bus,"52.63427133418521, 13.274824021447571",A12,,West
468,Hakenfelde,strassenbahn,"52.57886009874865, 13.210057800310379","53,75",,West
469,Halensee,s-bahn,"52.4961,13.2906",KBS 100,Q800476,West
470,Hallesches Tor,u-bahn,"52.497777777778,13.391111111111","B I,A II,B II,C I",Q658302,West
471,Halskestrasse,bus,"52.449975911659585, 13.34671540590703",A33,,West
472,Hamburger Platz,bus,"52.555394187589414, 13.438973139463632","A56,A55,A45",,Ost
473,"Hamburger Strasse, Rudolf-Mosse-Platz",bus,"52.475375170002664, 13.303566446005037",A60,,West
474,Hannoversche Strasse,strassenbahn,"52.52716496126181, 13.387046759579254",11,,Ost
475,Hansaplatz,bus,"52.5179343319099, 13.342038193257153","A25,A16",,West
476,HardenbergStrasse,bus,"52.506181479310335, 13.332318460113605","AS2,AS3",,West
477,Hartmannsweiler Weg,bus,"52.43871188132932, 13.248833836243495",A53,,West
478,Harzer Strasse,bus,"52.48636830082275, 13.446318376662678",A4,,West
479,"Haselhorst, Kirche",bus,"52.5468281751583, 13.237065889883622",A10,,West
480,Hatzfeldallee,bus,"52.592072752436835, 13.28604590141529",A20,,West
481,Hauptkinderheim,bus,"52.52819346807093, 13.228649269163302",A5,,West
482,Hauptstrasse (Schöneberg),bus,"52.48187232227649, 13.348270377910302",A74,,West
483,Hauptstrasse (Schöneberg),strassenbahn,"52.47785084296006, 13.34322373343706","60,66",,West
484,Hauptstrasse Ecke Dominicusstrasse,bus,"52.48178377611229, 13.348418210727631","A75, A73",",",West
485,Hauptstrasse Ecke Dominicusstrasse,strassenbahn,"52.48179322469747, 13.348385662518401",2,,West
486,Hauptstrasse Ecke Edelweißstrasse,bus,"52.586379262142074, 13.36752938856218","A55,A45",,Ost
487,Hauptstrasse Ecke Karlshorster Strasse,strassenbahn,"52.50151144462545, 13.475233514493265",82,,Ost
488,Hauptstrasse Ecke Suermondtstrasse,strassenbahn,"52.549007155940316, 13.5016967242267",70,,Ost
489,Hausvogteiplatz,u-bahn,"52.513055555556,13.396666666667",A,Q656523,Ost
490,Havensteinstrasse Ecke Gallwitzallee,bus,"52.431932745971366, 13.346359890563553",A2,,West
491,Heckerdamm,bus,"52.53962816572025, 13.295048454368684","A21,A62",,West
492,Heckmannufer,bus,"52.49706082077895, 13.44923941809119",A28,,West
493,Heerstr.,s-bahn,"52.5086,13.2586",KBS 101,Q800502,West
494,Heerstrasse,bus,"52.51550447615084, 13.18456806294143","A34,A35",,West
495,Heerstrasse,bus,"52.51662457723462, 13.179022303033726",A13,,West
496,Heidebergplan,bus,"52.541074133887626, 13.147338727333166",A31,,West
497,Heidelberger Platz,u-bahn,"52.479808333333,13.313236111111","A II,B II",Q21777872,West
498,Heiligensee,s-bahn,"52.6247,13.2292",KBS 105,Q800475,West
499,Heiligenseestrasse,bus,"52.59796193636089, 13.275098894138587","A20,A14",,West
500,"Heinersdorf, Kirche",bus,"52.56826376476754, 13.440601903603064",A42,,Ost
501,"Heinersdorf, Kirche",strassenbahn,"52.5686908,13.4389053",71,Q65096107,Ost
502,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,"52.5725511,13.4371063",71,Q65096052,Ost
503,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,"52.4789566,13.5234316",82,Q65951921,Ost
504,Heinrich-Heine-Strasse,strassenbahn,"52.51099529411967, 13.416420239383946","64,11",,Ost
505,Heinrich-Mann-Platz,bus,"52.57297246262195, 13.392146133350426","A55,A45",,Ost
506,Hennigsdorf (b Bln),s-bahn,"52.638,13.2057",KBS 105,Q800909,Ost
507,Hennigsdorf Nord,s-bahn,"52.66,13.2033",KBS 105,Q685717,Ost
508,Hermannplatz,bus,"52.48778872855567, 13.425393480017616",A67,,West
509,Hermannplatz,strassenbahn,"52.487085572732276, 13.424752445258537","3,95,47,27,26",,West
510,Hermannplatz,u-bahn,"52.48629,13.42455","D,C I",Q658929,West
511,Hermannstr.,s-bahn,"52.4675,13.431111111111","KBS 100a,KBS 100",Q111263802,West
512,Hermannstrasse,strassenbahn,"52.46476232618638, 13.432818109719008","15,26",,West
513,Hermannstrasse Ecke Silbersteinstrasse,bus,"52.46644333425963, 13.43195484694859",A65,,West
514,Hermsdorf,s-bahn,"52.6178,13.3069",KBS 106,Q263189,West
515,Hermsdorfer Damm,bus,"52.600011860666825, 13.281303213246002",A15,,West
516,Hermsdorfer Damm,bus,"52.62242143698805, 13.31287835380073",A12,,West
517,Hertzbergplatz,bus,"52.477487105395774, 13.448598156816837",A67,,West
518,Hertzbergplatz,strassenbahn,"52.4773735457893, 13.448843811492495",95,,West
519,"Hessenwinkel, Lindenstrasse",bus,"52.42653518647879, 13.728458969026482",A22,,Ost
520,Hildburghauser Strasse,bus,"52.416650746748985, 13.338144038711128",A11,,West
521,Hindenburgdamm,bus,"52.45352507850236, 13.315671490206539",A48,,West
522,Hindenburgdamm,strassenbahn,"52.45271700038014, 13.319567835182761","77,78",,West
523,Hirschgarten,s-bahn,"52.4579,13.6032",KBS 102,Q4892435,Ost
524,Hirschgarten,strassenbahn,"52.4518533,13.6006245","84,87",Q66360740,Ost
525,Hirtestrasse,strassenbahn,"52.46228517510202, 13.582989445330378",86,,Ost
526,Hochgerichtstrasse,bus,"52.53838037062423, 13.183009198076522","A63,A5",,West
527,Hochmeisterplatz,bus,"52.49468637986547, 13.301254684721862",A4,,West
528,Hochschule für Ökonomie,strassenbahn,"52.4927681,13.5266059",69,Q65952866,Ost
529,Hohen-Neuendorf (b Bln),s-bahn,"52.6684,13.287",KBS 104,Q4500489,Ost
530,"Hohenschönhausen, Falkenberger Strasse",bus,"52.550229554941964, 13.509585042301534",A39,,Ost
531,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"52.5508672,13.5094994","64,70",Q65555882,Ost
532,"Hohenschönhausen, Gartenstadt",strassenbahn,"52.5508672,13.5094994",63,Q65555882,Ost
533,"Hohenschönhausen, Hauptstrasse",strassenbahn,"52.548884396434666, 13.504600838756778","64,63",,Ost
534,Hohenschönhauser Strasse,strassenbahn,"52.5359329,13.4729468",3,Q65553684,Ost
535,Hohenschöpping,s-bahn,"52.67,13.1945",KBS 105,Q19274489,Ost
536,Hohenstaufenplatz,bus,"52.49085480753271, 13.423419999335453",A67,,West
537,Hohenzollerndamm,bus,"52.476835205459196, 13.28097752710442",A50,,West
538,Hohenzollerndamm,s-bahn,"52.4885,13.3004",KBS 100,Q800503,West
539,Hohenzollernplatz,u-bahn,"52.493888888889,13.325","A II,B II",Q571570,West
540,Hohenzollernring,bus,"52.55569430282622, 13.207589665448262",AS1,,West
541,Hohenzollernring,strassenbahn,"52.55534806923232, 13.198657615343986","54,76",,West
542,Hohenzollernring,strassenbahn,"52.55569292602298, 13.20744492422738","53,75",,West
543,Holzhauser Str.,u-bahn,"52.575833333333,13.296111111111",C I,Q557566,West
544,Holzhauser Strasse,bus,"52.581973276504755, 13.305409380050108",A15,,West
545,Holzhauser Strasse,bus,"52.59178549505881, 13.326377240287412","A12,A14",,West
546,Hoppegarten (Mark),s-bahn,"52.5183,13.6734",KBS 101,Q15197357,Ost
547,Hottengrund,bus,"52.44597765000425, 13.126251393745859",A35,,West
548,Hultschiner Damm,bus,"52.47711373957008, 13.600598140620137",A8,,Ost
549,Humannplatz,strassenbahn,"52.5493627,13.4213646",70,Q65962652,Ost
550,Humboldthain,s-bahn,"52.5451,13.3796","KBS 104,KBS 105,KBS 106",Q481276,West
551,Humboldtstrasse,bus,"52.56929443788896, 13.32995611157798",A61,,West
552,Hundekehlestrasse,bus,"52.47548162130776, 13.290308772196097",A10,,West
553,Händelplatz,strassenbahn,"52.450279094879285, 13.315466784727654","73,77,78,74",,West
554,"Hönow, Dorfstrasse",bus,"52.54884927869554, 13.63648687804691",A44,,Ost
555,Ihnestrasse,bus,"52.44831039409289, 13.276355065531465",A11,,West
556,Imbrosweg,strassenbahn,"52.443541863050356, 13.398564688322455",15,,West
557,Industriestrasse,strassenbahn,"52.455350229930445, 13.409794385645863","15,26",,West
558,Innsbrucker Platz,bus,"52.478545508234895, 13.34405868604117","A75,A65,A4,A16,A48",,West
559,Innsbrucker Platz,s-bahn,"52.4786,13.3439","KBS 100a,KBS 100",Q111263876,West
560,Innsbrucker Platz,strassenbahn,"52.47804266204959, 13.343446877940893","66,73,74",,West
561,Innsbrucker Platz (Hauptstr.),u-bahn,"52.4786,13.3439",B III,Q10275871,West
562,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,"52.5304158,13.3827302",1,Q65552697,Ost
563,Jakob-Kaiser-Platz,bus,"52.536739701449115, 13.293604878938678",A72,,West
564,Jakob-Kaiser-Platz,strassenbahn,"52.53674527783534, 13.293570890395548",55,,West
565,Jannowitzbrücke,s-bahn,"52.514822222222,13.41795","KBS 101,KBS 103,KBS 102",Q27955427,Ost
566,"Jerusalems-Kirche, Lindenstrasse",bus,"52.507080658279015, 13.398349137947935",A67,,West
567,Joachim-Friedrich-Strasse,bus,"52.49796465694724, 13.296270941417216",A29,,West
568,Joachim-Friedrich-Strasse Ecke Kurfürsten Damm,bus,"52.497990910880795, 13.296176084656011",A69,,West
569,Joachimstaler Strasse,bus,"52.50380704791941, 13.331281572821457","A19,A60,A29",,West
570,Joachimstaler Strasse Ecke Kurfürstendamm,bus,"52.503848526250394, 13.331282191682005",A69,,West
571,Joachimstrasse,bus,"52.40316589631168, 13.57664158970399",A38,,Ost
572,Johannesstift,strassenbahn,"52.56762416524039, 13.191782610265674","54,76",,West
573,"Johannisthal, Haeckelstrasse",strassenbahn,"52.4402944,13.5052638",69,Q66225573,Ost
574,Johannisthaler Chaussee,bus,"52.43435004063257, 13.469086013123487",A47,,Ost
575,Johannisthaler Chaussee,strassenbahn,"52.43434580082342, 13.469025837805159",47,,Ost
576,John-Foster-Dulles-Allee,bus,"52.517085214536316, 13.354609198247653",A24,,West
577,"Judenstrasse, Molkenmarkt",strassenbahn,"52.516142213164905, 13.410591792750504",71,,Unknown
578,Jungfernheide,s-bahn,"52.53035,13.299433333333","KBS 103a,KBS 100c,KBS 100",Q110977325,West
579,Jänickestrasse,bus,"52.427213941734294, 13.271659447787256",A53,,West
580,Kaiser-Friedrich-Strasse,bus,"52.50678666128108, 13.302343266081147",A74,,West
581,Kaiser-Wilhelm-Platz,bus,"52.486329247981715, 13.35655627172785","A4,A48,A75",,West
582,Kaiser-Wilhelm-Platz,strassenbahn,"52.486331659025346, 13.356584679052645","2,73,74",,West
583,Kaiserdamm (Messedamm),u-bahn,"52.51,13.2822","A I,B I",Q656409,West
584,Kaisereiche,bus,"52.46896806014468, 13.332614886077709","A25,A48,A75",,West
585,Kaisereiche,strassenbahn,"52.468942127334586, 13.332672961457298","73,74",,West
586,Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm,bus,"52.45934920938466, 13.384516351201325",A68,,West
587,Kaiserstrasse,bus,"52.445569639174806, 13.385736727448023",A33,,West
588,Kaiserstrasse Ecke Mariendorfer Damm,bus,"52.44556072681654, 13.38580316499979",A76,,West
589,Kaiserstrasse Ecke Mariendorfer Damm,bus,"52.445571772041696, 13.38576290701988",A77,,West
590,Kaiserstrasse/Ringstrasse,bus,"52.44449600134536, 13.372233806361567",A33,,West
591,Kali-Chemie,strassenbahn,"52.46329854840191, 13.499789773217568","95, 92",",",Ost
592,Kanalstrasse,bus,"52.42383870085989, 13.514466425990765",A52,,West
593,Kantstrasse,bus,"52.50678794910284, 13.302320269833038",A21,,West
594,Karl-Marx-Platz,strassenbahn,"52.47358382682129, 13.44070604138443","47,26",,West
595,Karl-Marx-Str.,u-bahn,"52.476111111111,13.439166666667",C I,Q519494,West
596,Karlshorst,s-bahn,"52.4808,13.5258",KBS 102,Q111327045,Ost
597,Karlshorster Strasse,strassenbahn,"52.502334098187674, 13.475466875195085",13,,Ost
598,Karolinenhof Mitte,strassenbahn,"52.39176095915858, 13.634654256792825",86,,Ost
599,Karolinenstrasse,bus,"52.59678679258494, 13.276661373436578",A20,,West
600,Karow,s-bahn,"52.615,13.4692",KBS 106,Q111324168,Ost
601,"Karow, Bahnhofstrasse",bus,"52.60931228539711, 13.481265848599735",A42,,Ost
