line_name,Stops,Frequency_7-30,Length (time),type,east-west,year,direction
69,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg - Strab. Bhf. Siegfriedstrasse - Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt - Oranienburger Tor - Walter-Ulbricht-Stadion",20,84,strassenbahn,Ost,1964
69E,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Alt-Friedrichsfelde - Bhf. Lichtenberg - Strab. Bhf. Siegfriedstrasse - Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse - Kniprodestrasse",20,55,strassenbahn,Ost,1964
70,"Hohenschönhausen, Falkenberger Strasse - Berliner Strasse Ecke Suermondtstrasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,49,strassenbahn,Ost,1964
72,"Weißensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Saarbrücker Strasse - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Charlottenstrasse - Taubenstrasse Ecke Glinkastrasse",12,44,strassenbahn,Ost,1964
74,"Wießensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Königstor - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Leipziger Strasse Ecke Wilhelmstrasse",6,37,strassenbahn,Ost,1964
74E,"Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Königstor - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke - Spittelmarkt",6,28,strassenbahn,Ost,1964
75,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstrasse - Reichssportfeldstrasse - StößenseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20,58,strassenbahn,West,1964
76,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstrasse - Reichssportfeldstrasse - Stößenseebrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke Schönwalder Allee - Johannesstift",20,59,strassenbahn,West,1964
82,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Lindenstrasse Ecke Hegelschule - Pionierpark - Wilhelminenhofstrasse Ecke Edisonstrasse - Heinrich-Duncker-Strasse Ecke Ehrlichstrasse - Kraftwerk Klingenberg - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Invalidenstrasse - Chausseestrasse - Walter-Ulbricht-Stadion",20,88,strassenbahn,Ost,1964
82P,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5,bus,Ost,1964
