line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year
37,bus,Ost,S-Bhf. Grünau - Germanenstrasse - Normannenstrasse - Köpenicker Strasse - Rudower Strasse,30,12,,1984
38,bus,Ost,"S-Bhf. Grünau - Joachimstrasse - Eichbuschplatz - Waltersdorfer Strasse - Bohnsdorf, Waldstrasse - Waltersdorf - Kienberg - Diepensee",60,25,,1984Fährt einmal am tag auch anders nach Kiekebusch
39,bus,Ost,"Wartenberg, Siedlung - Lindenberger Strasse - Falkenberger Chaussee - Gehrenseestrasse - Wollenberger Strasse - Marzahner Strasse - Große Leege Strasse - Degnerstrasse",20,21,,1984
4,bus,West,"Neu-Westend, Brixplatz - U-Bhf. Neu-Westend - U-Bhf. Theodor-Heuss-Platz - Ausstellungshallen - ICC/Omnibusbahnhof - ICC/Ausstellungshallen - Kurfürstendamm/Rathenauplatz. - Henriettenplatz - Joachim-Friedrich-Strasse - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - U-Bhf. Berliner Strasse - Rathaus Schöneberg - Hauptstrasse - Katzbach-/Boelckestrasse - Platz der Luftbrücke - Friesenstrasse - U-Bhf. Boddinstrasse - Morusstrasse - U-Bhf. Karl-Marx-Strasse - U-Bhf. Rathaus Neukölln - Sonnenallee - Neukölln, Teupitzer Strasse",10,64,,1984
4,strassenbahn,Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Bersarinplatz - Frankfurter Tor - Grünberger Strasse - S-Bhf. Warschauer Strasse,10,25,,1984
40,bus,Ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz - U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Allee - Am Friedrichshain - Leninplatz - Karl-Marx-Allee - Franz-Mehring-Platz - Ostbahnhof,8,20,,1984
41,bus,Ost,"Neu-Lindenberg - Lindenberg, Dorf - Malchow, Dorf - Feldtmannstrasse - Rennbahnstrasse - Falkenberger Strasse - Liebermannstrasse - Straße nach Wartenberg - Falkenberg, Schule - Stadtrandsiedlung - S-Bhf. Ahrensfelde - Ahrensfelde, Lindenberger Strasse",30,39,,1984Auch als 107 bezeichnet
41,bus,West,Rudow Stadtgrenze - U-Bhf. Rudow - Stubenrauchstrasse - Arnikaweg - Lipschitzallee - Grüner Weg - Parchimer Allee - Blaschkoallee - U-Bhf. Grenzallee - Naumburger Strasse - Sonnenallee - Saalestrasse - Wildenbruchstrasse - Pannierstrasse - Hermannplatz - U-Bhf. Kottbusser Damm - U-Bhf. Kottbusser Tor - Oranienplatz - U-Bhf. Moritzplatz - Alexandrinenstrasse - Alte Jakobstrasse - Lindenstrasse - Neuenburger Strasse - Gitschiner Strasse - U-Bhf. Hallesches Tor,12,58,,1984
42,bus,Ost,"Buch, Zepernicker Strasse - Karower Strasse - Stadtrandsiedlung - Alt-Karow - Straße 26 - Alt-Blankenburg - Heinersdorf, Kirche - Am Steinberg - Ostseestrasse",12,30,,1984Auch als 105 bezeichnet
43,bus,Ost,S-Bhf. Marzahn - Murtzaner Ring - Boschpoler Strasse - S-Bhf. Springpfuhl - Kröver Strasse - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Friedrichsfelde - Weitlingstrasse - S-Bhf. Nöldnerplatz,10,29,,1984
44,bus,Ost,"Hönow, Dorf - Thälmannstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",60,16,,1984
45,bus,Ost,"Wilhelmsruh, Schillerstrasse - Edelweißstrasse - Ehrenmal Schönholz - Heinrich-Mann-Platz - Pankow, Rathaus - S-Bhf. Pankow - Prenzlauer Promenade - Am Steinberg - Hamburger Platz - Klement-Gottwald-Allee - Lichtenberger Strasse - Gehringstrasse - Schwarzelfenweg",12,38,,1984
46,strassenbahn,Ost,"Nordend - Kuckhoffstrasse - Kurt-Fischer-Strasse - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bornholmer Strasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchstrasse - Brunnenstrasse - Invalidenstrasse, Post - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,48,,1984
47,bus,Ost,"Treptow, Eichenstrasse - S-Bhf. Treptower Park - Treptow, Rathaus - Eichbuschallee - S-Bhf. Baumschulenweg - Sonnenallee - Johannisthaler Chaussee - Sterndamm - Bhf. Schöneweide - Rudower Strasse - S-Bhf. Oberspree",15,38,,1984
48,bus,Ost,Marzahner Strasse - Plauener Strasse - Leninallee - Allee der Kosmonauten - S-Bhf. Friedrichsfelde Ost,12,15,,1984
48,bus,West,Zehlendorf Fischerhüttenstrasse Ecke Potsdamer Strasse - Potsdamer Strasse - Teltower Damm - Berliner Strasse - Seehofstrasse - Sundgauer Strasse - Dahlemer Weg - Drakestrasse - Botanischer Garten - U-Bhf. Rathaus Steglitz - U-Bhf. Schloßstrasse - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Breslauer Platz/Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Kulturforum - Tiergartenstrasse Philharmonie,12,46,,1984
49,strassenbahn,Ost,"Bucholz, Hauptstrasse - Blankenfelder Strasse - Rosenthaler Strasse - Marienstrasse - Blankenburger Strasse - Pankower Strasse - Galenusstrasse - S-Bhf. Pankow-Heinersdorf - Würtzstrasse - Amalienpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bornholmer Strasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchplatz - Rosenthaler Platz - Hackescher Markt",15,39,,1984
5,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltower Strasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Galenstrasse - Staakener Strasse - Petzoldtweg - Zeppelinstrasse - Spekteweg - Merziger Strasse - Falkenseer Chaussee - Westerwaldstrasse Ecke Friedhof - Frankenwaldstrasse - Am Kiesteich - Falkenseer Chaussee/Stadtrandstrasse - Waldkrankenhaus - Spandau, Nervenklinik",10,32,,1984
50,bus,Ost,Rolandstrasse - Grumbkowstrasse - Lindenberger Strasse - Idastrasse - Ossietzkyplatz - Kurt-Fischer-Strasse - Bürgerpark - Görschstrasse - Dolomitenstrasse - U-Bhf. Pankow,7.5,18,,1984
50,bus,West,Grunewald Roseneck - Berkaer Strasse/ Elsterplatz - Forckenbeckstrasse - Landecker Strasse - Cunostrasse - Rudolstädter Strasse - Berliner Strasse - U-Bhf. Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauische Strasse - U-Bhf. Günzelstrasse - Prager Platz - Landshuter Strasse - U-Bhf. Viktoria-Luise-Platz - Martin-Luther-Strasse - Eisenacher Strasse - Schöneberg Barbarossaplatz,15,23,,1984
51,bus,Ost,"Buch, Am Sandhaus - S-Bhf. Buch - Zepernicker Strasse - Zepernick, Kirche",20,,,1984
51E,bus,Ost,"Buch, Am Sandhaus - S-Bhf. Buch - Lindenberger Weg - Akademie der Wissenschaften",10,,,1984
52,bus,Ost,Achtermannstrasse - Galenusstrasse - Prenzlauer Chaussee - Granitzstrasse - Kissingenstrasse - Kissingenplatz - Stadtbezirksgericht - U-Bhf. Pankow,15,14,,1984Kein Verkehr zwischen 7:44 - 14:44
52,bus,West,Rudow Stubenrauchstrasse - Flurweg - Fuchsienweg - Arnikaweg - Lipschitzallee - Hirtsieferzeile - Fritz-Erler-Allee - U-Bhf. Johannisthaler Chaussee - Kölner Damm - Buckower Damm - Buckower Friedhof - Quarzweg - Mariendorfer Damm - Richard-Tauber-Damm - S-Bhf. Buckower Chaussee - Motzener Strasse - Gutshof Marienfeld - Marienfelder Allee - Ahrensdorfer Strasse - Baußnernweg - Marienfelde Stadtrandsiedlung,12,35,,1984
53,bus,Ost,Degnerstrasse - Gehrenseestrasse - Marzahner Strasse - Mischwerk - Leninallee - Allee der Kosmonauten - Kröver Strasse - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Friedrichsfelde - Mellenseestrasse - U-Bhf. Tierpark,10,38,,1984
53,bus,West,S-Bhf. Nikolassee - An der Rehwiese - Krottnaurerstrasse - Breisgauer Strasse - Mexico Platz - Forststrasse - U-Bhf. Krumme Lanke - Sven-Hedin-Strasse - Hartmannsweiler Weg - Potsdamer Strasse - Teltower Damm - Rathaus Zehlendorf - Machnower Strasse - Knesebeckstrasse - Dahlemer Weg - Osteweg - Luzerner Strasse - Thuner Platz - Goerzallee - Wiesenbaude - Ostpreußendamm - Marienstrasse - Morgensternstrasse - Kranoldplatz - Lichterfelde Oberhofer Platz,15,40,,1984
54,bus,Ost,S-Bhf. Marzahn - Alt-Marzahn - Elisabethstrasse - Cecilienstrasse - S-Bhf. Biesdorf - Alt-Biesdorf - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - Bhf. Lichtenberg,10,31,,1984
54,bus,West,"Spandau Johannesstift - Stadtpark - Hohenzollernring - Lynarstrasse - Predigergarten - Wröhmännerpark - Rathaus Spandau - Ruhlebener Strasse - Teltower Strasse - Krematorium Ruhleben - U-Bhf. Ruhleben - Reichsstrasse - Klinikum Westend - Königin-Elisabeth-Strasse - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Klausenerplatz - Luisenplatz - Wilmersdorfer Strasse - U-Bhf. Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Steinplatz - Zoo, Hardenbergplatz",10,45,,1984
55,bus,Ost,"Fontanestrasse - Edelweißstrasse - Ehrenmal Schönholz - Heinrich-Mann-Strasse - Bürgerpark - U-Bhf. Pankow - Prenzlauer Promenade - Heinersdorf, Kirche - Pasedagplatz - Klement-Gottwald-Allee - Piesporter Strasse",7,33,,1984
55,bus,West,Jakob-Kaiser-Platz - Letterhausweg - U-Bhf. Siemensdamm - Quellweg - U-Bhf. Rohrdamm - Schaltwerk - Paulsternstrasse - Gartenfelder Strasse - Haselhorster Damm - Siedlung Haselhorst - Am Juliusturm - Lagerweg - BMW-Maschinenfabrik - Zur Zitadelle - Carl-Schurz-Strasse - Wröhmännerpark - Triftstrasse - Park-/Lynarstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Werderstrasse - Spandau Hakenfelde,15,33,,1984
56,bus,Ost,Gehringstrasse - Rennbahnstrasse - Wigandstaler Strasse - Hamburger Platz - Prenzlauer Promenade - Greilstrasse - Greifswalder Strasse - Storkower Strasse - S-Bhf. Leninallee - Ho-Chi-Minh-Strasse - Vulkanstrasse - Herzbergstrasse - Jacques-Duclos-Strasse - S-Bhf. Storkower Strasse,12,42,,1984
56,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Freiheit - Pichelswerderstrasse - Fernbahnhof Spandau - Spandau, Markt - Wröhmännerpark - Triftstrasse - Lynar-/Parkstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Spandau Hakenfelde",20,23,,1984
56E,bus,Ost,Gehringstrasse - Wigandstaler Strasse - Hamburger Platz - Prenzlauer Promenade - Greilstrasse - Greifswalder Strasse - Storkower Strasse - S-Bhf. Leninallee - S-Bhf. Storkower Strasse,12,28,,1984
57/E,bus,Ost,Michelangelostrasse - Stedinger Weg - Storkower Strasse - Conrad-Blenke-Strasse - Dimitroffstrasse - Hufelandstrasse - Bötzowstrasse - Am Friedrichshain - Mollstrasse - Karl-Liebknecht-Strasse - Bhf. Alexanderplatz - Palasthotel - Universitätsstrasse - Bhf. Friedrichstrasse - Oranienburger Tor - Schlegelstrasse - Invalidenstrasse - Platz vor dem Neuen Tor - Orthopädische Klinik - Scharnhorststrasse,2.5,31,,1984
57,bus,West,Rudower Ring (U-Bhf. Zwickauer Damm) - Zittauer Strasse - U-Bhf. Zwickauer Damm - Neuköllner Strasse - Seidelbastweg/Stubenrauchstrasse - Köpenicker Strasse - Alt-Rudow - U-Bhf. Rudow - Lockenhuhnweg - Geflügelsteig - Rhodeländerweg - Groß-Ziethener-Chaussee - U-Bhf. Rudow - Alt-Rudow - Köpenicker Strasse - Seidelbastweg/Stubenrauchstr - Neuköllner Strasse - U-Bhf. Zwickauer Damm - Zittauer Strasse - Rudower Ring (U-Bhf. Zwickauer Damm),20,44,,1984Ringlinie
59,bus,Ost,Stadion der Weltjugend - Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - U-Bhf. Stadtmitte - Leipziger Strasse - Otto-Grotewohl-Strasse,10,15,,1984
6,bus,West,S-Bhf. Wannsee - Königstrasse - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Pfaueninsel - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Schloß Glienicke - Glienicker Brücke,30,14,,1984
60,bus,Ost,S-Bhf. Kaulsdorf - Briesener Weg - Wernerbad - Grottkauer Strasse - Uckermarkstrasse - S-Bhf. Kaulsdorf,20,14,,1984
60,bus,West,Wittenbergplatz - Breitscheidplatz - Kantstrasse - Uhlandstrasse - Kürfürstendamm/U.Bhf. Uhlandstrasse - Lietzenburger Strasse - Ludwigkirchstrasse - U-Bhf. Hohenzollernplatz - Güntzelstrasse - U-Bhf. Blissestrasse - Blissestrasse - U-Bhf. Heidelberger Platz - Binger Strasse - Rudolf-Mosse-Platz - Cunostrasse - Berkaer Strasse - Rathaus Schmargendorf - Elsterplatz - Roseneck - Königen-Luise-Strasse - Hüttenweg - U-Bhf. Oskar-Helene-Heim,15,40,,1984
61,bus,Ost,"Schöneiche, Dorfaue - Dr.-Wilhelm-Külz-Strasse - S-Bhf. Rahnsdorf - Waldschänke - Zentralschule - S-Bhf. Wilhelmshagen - Fahlenbergstrasse - Hessenwinkel",20,31,,1984
61,bus,West,U-Bhf./S-Bhf. Gesundbrunnen - U-Bhf. Pankstrasse - Exerzierstrasse - U-Bhf. Osloer Strasse - Koloniestrasse - Prinzenallee - Soldiner Strasse - Kühnemannstrasse - Pankower Allee - Reginhardstrasse - Residenzstrasse - Emmentaler Strasse - Lindauer Allee - Flottenstrasse - Paracelsus-Bad - Gemeindefriedhof - Ollenhauerstrasse - U-Bhf. Kurt-Schumacher-Platz - Uranusweg - Antonienstrasse - Quäckerstrasse - Otisstrasse Ecke Wittestrasse,15,45,,1984
62,bus,Ost,VEB Kombinat Auto Trans - Bhf. Schöneweide - Hoevelstrasse - Springbornstrasse,7.5,13,,1984
62,bus,West,"Wilhelmsruher Damm Märkisches Viertel - Treuenbrietzener Strasse - Gemeindezentrum - Oranienburger Strasse - Roedernallee - Alt-Wittenau - Karl-Bonhoeffer-Nervenklinik - Lindauer Allee - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Südtor - Saatwinkler Damm - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Schloßbrücke - Luisenplatz - Wilmersdorfer Strasse - u-Bhf. Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Steinplatz - Zoo, Hardenbergplatz",12,50,,1984
63,bus,West,"Spandau Waldkrankenhaus - Pflegeheim - Kolonie Waldfrieden - Bötzow-Bahn - Gliensteig - Schwanter Weg - Kisselnallee - Pionierstrasse - Falkenseer Chaussee - Zweibrücker Strasse - Askanierring - Flankenschanze - Falkenseer Damm - Rathaus Spandau - Galenstrasse - Staakener Strasse - Petzoldweg - Zeppelinstrasse - Schulzenstrasse - Viersener Strasse - Spandau Seegefelder Weg - Torweg - Staaken Heidebergplan",15,29,,1984
63,strassenbahn,Ost,Gehrenseestrasse - Berliner Strasse - Oberseestrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Mollstrasse - Hans-Beimler-Strasse - Prenzlauer Allee - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Stadion der Weltjugend,10,42,,1984
64,bus,Ost,"Krüllsstrasse - S-Bhf. Treptower Park - Treptow, Rathaus - S-Bhf. Treptower Park - Karl-Kunger-Strasse",15,19,,1984
64,bus,West,Senftenberger Ring Märkisches Zentrum - Calauer Strasse - Eichhorster Weg - Wilhelmsruher Damm - Dannenwalder Weg - Roedernallee - Tessenowstrasse - Flottenstrasse - Paracelsus-Bad - Humboldt-Krankenhaus - Gotthardstrasse - Holländerstrasse - U-Bhf. Afrikanische Strasse - Seestrasse - U-Bhf. Amrumer Strasse - U-Bhf. Leopoldplatz - U-Bhf. Nauener Platz - U-Bhf. Pankstrasse - U-Bhf./S-Bhf. Gesundbrunnen - Bernauer Strasse Ecke Wollinger Strasse,15,48,,1984
65,bus,Ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - Baumschulenstrasse - Bhf. Schöneweide - Rudower Strasse - S-Bhf. Oberspree - Oberspree,20,26,,1984
65,bus,West,Wedding Seestrasse Ecke Müllerstrasse - Togostrasse - Afrikanische Strasse - Beusselstrasse - Paul-Hertz-Siedlung - Jakob-Kaiser-Platz - Spandauer Damm - ICC/Omnibusbahnhof - Rathenauplatz - Hohenzollerndamm - Mecklenburgische Strasse - Bundesallee - Innsbrucker Platz - Dominicusstrasse - Sportzentrum Schöneberg - S-Bhf. Papestrasse - Alboinstrasse - Berlinickeplatz - U-Bhf. Alt-Tempelhof - Hermannstrasse - Bendastrasse - U-Bhf. Neukölln - Sonnenallee - Grenzallee - Sonnenalle Ecke Peter-Anders-Strasse,12,,,1984
66,bus,Ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - Baumschulenstrasse - Bhf. Schöneweide - Sterndamm - Lindhorstweg - Springbornstrasse ,20,27,,1984
67,bus,Ost,S-Bhf. Treptower Park - S-Bhf. Plänterwald - Hänselstrasse - Krematorium - Bhf. Schöneweide - VEB Kombinat Auto Trans,20,26,,1984
68,bus,Ost,"Kaulsdorfer Strasse - S-Bhf. Köpenick - Lindenstrasse - Müggelheimer Strasse - Krankenhaus, Köpenick - Müggelschlößchenweg",10,16,,1984
68,bus,West,Dahlem Clayallee Ecke Königin-Luise-Strasse - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Museum Dahlem - Botanischer Garten - Lepsiusstrasse - U-Bhf. Rathaus Steglitz - Breite Strasse - Südendstrasse - Bergstrasse - Bismarckstrasse - Insulaner/Sternwarte - S-Bhf. Priesterweg - Röblingstrasse/Arnulfstrasse - Alboinstrasse - Attilaplatz - Friedrich-Karl-Strasse - Albrechtstrasse - U-Bhf. Kaiserin-Augusta-Strasse - Rathaus Tempelhof - U-Bhf. Alt-Tempelhof - U-Bhf. Tempelhof,15,35,,1984
69,bus,Ost,"Kaulsdorfer Strasse - S-Bhf. Köpenick - Friedrichshagener Strasse - Wendenschloßstrasse - Krankenhaus, Köpenick - Müggelschlößchenweg",20,14,,1984
69,bus,West,Eichkamp Dauerwaldweg - Waldschulallee - Jafféstrasse/Deutschlandhalle - ICC/Ausstellungshallen - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz - Sächsische Strasse - Uhlandstrasse - Joachimstaler Strasse - U-Bhf. Kurfürstendamm - Kantstrasse - Breitscheidplatz - Bayreuther Strasse - Lützowplatz - Tiergartenstrasse - Großer Stern - Entlastungsstrasse - Reichstag,20,37,,1984
7,bus,Ost,"Glienicke, Leninstrasse - Gerhard-Weiß-Platz - Breitscheidstrasse - Ernst-Thälmann-Strasse - Lessingstrasse - Johannes-Diekmann-Strasse - Glienicker Strasse - Bhf. Schildow - Blankenfelde - Nordend-Arena - Nordend - Kurt-Fischer-Strasse - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",20,42,,1984
7,bus,West,"U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstrasse - Richard-Tauber-Damm - Schwechtenstrasse - S-Bhf. Buckower Chaussee - Nahmitzer Damm - Nunsdorfer Ring/Nord - Nunsdorfer Ring/Süd - Sperenberger Strasse - Schichauweg - Blohmstrasse - Egestorffstrasse - Illigstrasse - Cecilienstrasse - Wünsdorfer Strasse - Lichtenrade, Blohmstrasse Ecke Wünsdorfer Strasse",10,18,,1984
70,bus,West,Wollankstrasse Ecke Kattegatstrasse - Elisabeth-Friedhof - Soldiner Strasse - Osloer Strasse - U-Bhf. Pankstrasse - Brunnenplatz - Wiesenstrasse - Nettelbeckplatz - Müllerstrasse - Am Nordhafen - Lehrter Strasse - Stephanstrasse - Rathenower Strasse - Birkenstrasse - Turmstrasse - Wilsnacker Strasse - Krankenhaus Moabit - U-Bhf. Turmstrasse - Rathaus Tiergarten - Ottostrasse - Waldstrasse/Beusselstrasse - Berlichingenstrasse - Moabit Wiebestrasse,12,34,,1984
70,strassenbahn,Ost,"Gehrenseestrasse - Suermondtstrasse - Am Faulen See - Stadion Buschallee - Kniprodeallee - Sulzfelder Strasse - Klement-Gottwald-Allee - Antonplatz - Wisbyer Strasse - Humannplatz - U-Bhf. Dimitroffstrasse - Zionskirchplatz - Brunnenstrasse - Invalidenstrasse, Post - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,49,,1984
71,strassenbahn,Ost,"Heinersdorf - Heinersdorf, Kirche - Am Steinberg - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Am Kupfergraben",15,37,,1984
72,bus,West,Wilhelmsruh Kopenhagener Strasse - Lindauer Allee - Emmentaler Strasse - Pankower Allee - Louise-Schroeder-Platz - U-Bhf. Nauener Platz - Nettelbeckplatz - Müllerstrasse - Lehrter Strasse - Rathenower Strasse - U-Bhf. Turmstrasse - Rathaus Tiergarten - Waldstrasse/Beusselstrasse - Wiebestrasse - Kaiserin-Augusta-Allee - U-Bhf. Mierendorffplatz - Landgericht - Olbersstrasse/DRK-Krankenhaus - Jakob-Kaiser-Platz - Letterhausweg - U-Bhf. Siemensdamm - U-Bhf. Rohrdamm - Paulsternstrasse - Gartenfelder Strasse - Gartenfeld,15,56,,1984
72,strassenbahn,Ost,Pasedagplatz - Bernkasteler Strasse - Lichtenberger Strasse - Antonplatz - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor,15,35,,1984Kein Verkehr zwischen 7.49 und 12.34
73,bus,West,"Zoo Hardenbergplatz - U-Bhf. Kurfürstendamm - Breitscheidplatz - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse/An der Urania - Motzstrasse - Hohenstaufenstrasse - Grunewaldstrasse - Rathaus Schöneberg - Hauptstrasse - Sportzentrum Schöneberg - Gotenstrasse - S-Bhf. Papestrasse - Alboinstrasse - Berlinickeplatz - U-Bhf. Alt-Tempelhof - Oberlandstrasse - Teilestrasse - Gottlieb-Dunkel-Strasse - Karl-Elsasser-Strasse - Gradestrasse - Britzer Damm - U-Bhf. Blaschkoallee - Britz, Buschkrug",7.5,41,,1984
74,bus,West,Charlottenburg Königin-Elisabeth-Strasse - Spandauer Damm - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Schloßstrasse - U-Bhf. Sophie-Charlotte-Platz - Neue Kantstrasse/Amtsgericht - Kaiser-Friedrich-Strasse - U-Bhf. Wilmersdorfer Strasse - U-Bhf. Adenauer Platz - Ravensberger Strasse - U-Bhf. Konstanzer Strasse - U-Bhf. Fehrbelliner Strasse - U-Bhf. Blisse Strasse - U-Bhf. Berliner Strasse - Kufsteiner Strasse - Rathaus Schöneberg - Hauptstrasse - Sportzentrum Schöneberg - S-Bhf. Papestrasse - Alboinstrasse - Eresburgstrasse - Alboinplatz - Lindenhof,15,44,,1984
75,bus,West,Steglitzer Damm Ecke Munsterdamm - Steglitzer Damm - Bismarckstrasse - Bergstrasse - Feuerbachstrasse - Kaisereiche - Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Kulturforum - Anhalter Bhf. - U-Bhf. Kochstrasse/Friedrichstrasse - Lindenstrasse - U-Bhf. Moritzplatz - Adalbertstrasse - U-Bhf. Görlitzer Bhf. - Spreewaldplatz - Sonnenallee - Hermannplatz,10,54,,1984
76,bus,West,U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestrasse - Bismarckstrasse - Rubensstrasse/Krankenhaus - Bergstrasse/Sternwarte - Priesterweg - Röblingstrasse - Attilastrasse - Kaiserstrasse - Großbeerenstrasse - Mariendorfer Damm - U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstrasse/Tauernallee - Buckower Chaussee - Goethestrasse - Grimmstrasse - Barnetstrasse - Goltzstrasse - S-Bhf. Lichtenrade - Lichtenrade Blohmstrasse Ecke Wünsdorfer Strasse,7.5,42,,1984
77,bus,West,Neukölln Britzer Allee - Bergiusstrasse - Naumburger Strasse - U-Bhf. Grenzallee - U-Bhf. Neukölln/Karl-Marx-Strasse - Bendastrasse - Hermannstrasse - Tempelhofer Weg - Industriestrasse - Eisenacher Strasse - Imbrosweg - Alt-Mariendorf - U-Bhf. Alt-Mariendorf - Großbeerenstrasse - Körtingstrasse - Wilhelm-von-Siemens-Strasse - Daimlerstrasse - S-Bhf. Marienfelde - Marienfelde Daimlerstrasse,20,32,,1984
78,bus,Ost,Arkonaplatz - Invalidenstrasse - Rosenthaler Platz - Alexanderplatz - S-Bhf. Jannowitzbrücke - Adalbertstrasse - U-Bhf. Märkisches Museum - Oberwallstrasse - Bhf. Friedrichstrasse - Schumannstrasse,10,32,,1984
78,bus,West,U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstrasse - Göllweg - Sandsteinweg - Buckower Chaussee - Raabestrasse - Goethestrasse - Grimmstrasse - Groß-Ziethener-Strasse - Alt-Lichtenrade - Taunusstrasse - Lichtenrade Nahariyastrasse,20,19,,1984
78E,bus,Ost,Arkonaplatz - Brunnenstrasse - Invalidenstrasse - Rosenthaler Platz - Alexanderplatz - S-Bhf. Jannowitzbrücke - Heinrich-Heine-Strasse - Annenstrasse - Melchiorstrasse - Adalbertstrasse,10,18,,1984
79,bus,Ost,Alexanderstrasse - S-Bhf. Jannowitzbrücke - U-Bhf. Märkisches Museum - Französische Strasse - Otto-Grotewohl-Strasse,20,12,,1984Kein Verkehr zwischen 7:51 und 14:03?
79,bus,West,Marienfelde Waldsassener Strasse - Lichterfelder Ring - Hildburghauser Strasse - Marienfelder Allee - Alt-Marienfelde - Stegerwaldstrasse - Hranitzkystrasse - Daimlerstrasse - Alt-Mariendorf - Mariendorfer Damm - U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Tauernallee - Grünsteinweg - Marienfelder Chaussee - Rathenower Strasse - Potsdamer Strasse - Alt-Lichtenrade - Groß-Ziethener-Strasse - Lichtenrader Damm - Steinstrasse - Rhinstrasse - John-Locke-Strasse - S-Bhf. Lichtenrade,15,48,,1984
