line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year
16,bus,West,Reinickendorf Klemkestrasse/Sommerstrasse - Reginhardstrasse - Pankower Allee - Residenzstrasse - U-Bhf. Osloer Strasse - Luise-Schröder-Platz - U-Bhf. Seestrasse - Amrumer Strasse - U-Bhf. Amrumer Strasse - Fennstrasse - Turmstrasse - S-Bhf. Bellevue - U-Bhf. Hansaplatz - Großer Stern - Lützowplatz - U-Bhf. Nollendorfplatz - Martin-Luther-Strasse - Rathaus Schöneberg - U-Bhf. Innsbrucker Platz - U-Bhf. Bundesplatz - Wiesbadener Strasse - Breitenbachplatz,15,63,,1984
17,bus,West,"S-Bhf. Grunewald - Hagenplatz - Teplitzer Strasse - Roseneck - Berkaer Strasse - U-Bhf. Rüdesheimer Platz - Laubacher Strasse/Südwestkorso - U-Bhf. Friedrich-Wilhelm-Platz - Kaisereiche/Schmiljanstrasse - U-Bhf. Walther-Schreiber-Platz - U-Bhf. Schloßstrasse - Kieler Strasse - U-Bhf. Rathaus Steglitz - Klingsorstrasse - Bismarckstrasse - Stindestrasse - Siemensstrasse - Leonorenstrasse - Birkbuschstrasse - Königsberger Strasse - Marienstrasse/Königswark. Krankenhaus - Morgensternstrasse - Kranoldplatz - Oberhofer Platz - Lichterfelde Celsiusstrasse",12,57,,1984
17,strassenbahn,Ost,Besarinstrasse - S-Bhf. Leninallee - Franz-Jacob-Strasse - Herzbergstrasse - Siegfriedstrasse - Allee der Kosmonauten - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Tierpark - Bhf. Karlshorst - Wilhelminenhofstrasse - Bhf. Schöneweide - Königsheideweg - Haeckelstrasse ,12,56,,1984
18,bus,West,U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Scharfestrasse - Potsdamer Strasse - Fischerhüttenstrasse - Lindenthaler Allee - Spanische Allee - Breisgauer Strasse - An der Rehwiese - S-Bhf. Nikolassee - Wannseebadweg - S-Bhf. Wannsee - Königstrasse - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse - Wilhelmplatz - Kohlhasenbrück - Königsweg - Bernhard-Beyer-Strasse - Steinstücken,20,34,,1984
18,strassenbahn,Ost,"Henneckestrasse - Otto-Winzer-Strasse - Bruno-Leuschner-Strasse - Alt-Marzahn - Elisabethstrasse - Marchwitzastrasse - S-Bhf. Springpfuhl - Rhinstrasse - Siegfriedstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Krankenhaus Friedrichshain - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Strasse - Veteranenstrasse - Invalidenstrasse, Post - Stadion der Weltjugend - Pflugstrasse",20,58,,1984
18E,strassenbahn,Ost,Henneckestrasse - Alt-Marzahn - Elisabethstrasse - Marchwitzastrasse - S-Bhf. Springpfuhl - Rhinstrasse - Siegfriedstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse,10,34,,1984
19,bus,West,Grunewald Roseneck - Teplitzer Strasse - Richard-Strauß-Strasse - Hagenplatz - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstrasse - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburger Strasse - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse - U-Bhf. Nollendorfplatz - Potsdamer Strasse - Goebenstrasse - U-Bhf./S-Bhf. Yorckstrasse - Großbeerenstrasse - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1984
19,strassenbahn,Ost,"Köpenick, Krankenhaus - Wendenschloßstrasse - Freiheit - Bahnhof-/Lindenstrasse - Pionierpark - Rathenaustrasse - Edisonstrasse - Bhf. Karlshorst - U-Bhf. Tierpark - Straße der Befreiung - S-Bhf. Friedrichsfelde Ost - Allee der Kosmonauten - Herzberg-/Siegfriedstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse",20,65,,1984
2,bus,West,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestrasse - Bismarckstrasse - Lauenburger Platz - Bergstrasse - Selerweg - Steglitzer Damm - Halskestrasse - Albrechtstrasse - Leonorenstrasse - Rathaus Lankwitz - Lankwitz, Kirche - Havensteinstrasse - Lerbacher Weg - Brotteroder Strasse - Trippsteinstrasse - Hildburghauser Strasse - Waldsassener Strasse - Lichterfelder Ring - Tirschenreuther Ring - Marienfelde, Waldsassener Strasse",7.5,36,,1984
20,bus,West,Tegelort - Falkenplatz - Heiligenseestrasse/Gabelung - Schulzendorfer Weg - Karolinenstrasse - Gabrielenstrasse - Alt-Tegel/U-Bhf. Tegel - Gorkistrasse - Ziekowstrasse - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Lübars Alt-Lübars,15,41,,1984
20,strassenbahn,Ost,Bhf. Lichtenberg - Straßenbahn-Betriebshof - Josef-Orlopp-Strasse - Herzbergstrasse - Ho-Chi-Minh-Strasse - Leninallee - Hohenschönhauser Strasse - Omnibus-Betriebshof - Klement-Gottwald-Allee - Antonplatz - Roelckestrasse - Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackerscher Markt,20,50,,1984
21,bus,West,Quickborner Strasse Märkisches Viertel - Wilhelmsruher Damm - Schorfheidestrasse - Wilhelmsruher Damm/Dannenwalder Weg - Oranienburger Strasse - Alt-Wittenau - Rathaus Reinickendorf - Auguste-Viktoria-Allee - U-Bhf. Scharnweber Strasse - U-Bhf. Kurt-Schumacher-Platz - Kaserne Südtor - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Luisenplatz - Bismarckstrasse - S-Bhf. Charlottenburg - Amtsgericht Charlottenburg - Kurfürstendamm - Westfälische Strasse - Rudolstädter Strasse - Berliner Strasse - Fehrbelliner Platz,20,63,,1984
21,strassenbahn,Ost,"Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistrasse - Hauptstrasse - VEB Gummiwerke - Heizkraftwerk - Hönower Wiesenweg - Stechlinstrasse - Hermann-Duncker-Strasse - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Bahnhof-/Lindenstrasse - Schloßplatz - Wendenschloßstrasse - Köpenick, Krankenhaus",20,71,,1984
22,bus,West,U-Bhf. Osloer Strasse - Ritterlandweg - Pankower Allee - Emmentaler Strasse - Lindauer Allee - Aroser Allee - Roedernallee/Paracelsus-Bad - Tessenowstrasse - Am Nordgraben - Dannenwalder Weg - Wilhelmsruher Damm - Gemeinde-Zentrum - Märkisches Zentrum - Wesendorfer Strasse - Senftenberger Ring-Ost - Senioren-Zentrum - Calauer Strasse - Eichhorster Weg - Lübarser Strasse - Hermsdorfer Strasse - Zabel-Krüger-Damm - Waidmannslust Titiseestrasse,15,37,,1984
22,strassenbahn,Ost,"Rosenthal, Quickborner Strasse - Hauptstrasse - Siedlung - Kastanienallee - Nordendstrasse - Uhlandstrasse - Platanenstrasse - Skladanowskystrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bornholmer Strasse - Björnsonstrasse - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Zionskirchplatz - Brunnenstrasse - Invalidenstrasse, Post - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,50,,1984
22E,bus,West,"U-Bhf. Holzhauser Strasse - Wittestrasse - Soltauer Strasse - Breitenbachstrasse - Miraustrasse - Triftstrasse - Rathaus Reinickendorf - Wittenau, Kirche",15,11,,1984
23,bus,Ost,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Normannenstrasse - Wolfmarsteig - Schönefelder Chaussee - Altglienicke, Kirche - Glienicker Weg - VEB Berlin-Chemie - Dörpfeldstrasse - S-Bhf. Adlershof - Rudower Chaussee",20,28,,1984
